"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","도축업","02_04_03_P","6530000","642000000519840001","1984-02-18","","01","영업/정상","0000","정상","","","","","0332551893","5006.54","200-852","강원특별자치도 춘천시 동면 만천리 330번지 34호","강원특별자치도 춘천시 동면 만천양지길 147","200-852","(주)현진","2025-02-24 10:51:07","U","2025-02-26 02:40:00","","267506.839305568","487860.183234382","도축업","","0","000","64",
"2","도축업","02_04_03_P","6530000","642000000519850001","1985-06-03","","01","영업/정상","0000","정상","","","","","0333439886","8166.32","225-806","강원특별자치도 횡성군 횡성읍 조곡리 355번지 1호","강원특별자치도 횡성군 횡성읍 한우로 588","225-806","주식회사 횡성케이씨","2025-03-24 13:29:32","U","2025-03-26 02:40:00","","289845.351895997","443768.825458786","도축업","","0","L00","38",
"3","도축업","02_04_03_P","6530000","642000000519900001","1990-07-06","","01","영업/정상","0000","정상","","","","","0334324127","4387.14","250-803","강원특별자치도 홍천군 홍천읍 장전평리 628번지 7호","강원특별자치도 홍천군 홍천읍 미루나무길 146","250-803","주식회사 한다운에프에스엘","2025-09-08 08:46:53","U","2025-09-10 02:40:00","","276608.61632573","461827.815075559","도축업","","0","L00","28",
"4","도축업","02_04_03_P","6530000","642000000519900002","1990-08-10","","01","영업/정상","0000","정상","","","","","0334527121","2346","269-804","강원특별자치도 철원군 갈말읍 문혜리 1383번지 8호","강원특별자치도 철원군 갈말읍 호국로 4991","269-804","철원한양영농조합축산물종합처리장","2020-04-29 13:01:16","I","2023-06-13 00:00:00","","227330.893217265","518086.605513714","도축업","","0","L00","35",
"5","도축업","02_04_03_P","6530000","642000000519900003","1990-04-26","","01","영업/정상","0000","정상","","","","","0333327604","19644","232-933","강원특별자치도 평창군 용평면 장평리 207번지 8호","강원특별자치도 평창군 용평면 평창대로 1948-21","232-933","평창육가공영농조합법인","2025-05-16 16:25:18","U","2025-05-18 02:40:00","","325194.409539174","454117.719288194","도축업","","0","L00","18",
"6","도축업","02_04_03_P","6530000","642000000519960001","1996-08-16","","01","영업/정상","0000","정상","","","","","0334638881","11294","252-801","강원특별자치도 인제군 인제읍 덕산리 590번지","강원특별자치도 인제군 인제읍 덕산로20번길 94","252-801","(주)해마로","2022-11-10 18:04:35","I","2023-06-13 00:00:00","","304766.116249456","509691.341953469","도축업","","0","L00","0",
"7","도축업","02_04_03_P","6530000","642000000520010001","2001-11-17","","01","영업/정상","0000","정상","","","","","0337321300","4062.1","220-140","강원특별자치도 원주시 가현동  438번지 3호","강원특별자치도 원주시 저금어지길 456 (가현동)","220-140","우리손에프앤지 농업회사법인(주) 강원엘피씨","2023-06-14 17:31:10","U","2023-06-16 02:40:00","","282692.257451099","432485.622622449","도축업","","0","L00","90",
"8","도축업","02_04_03_P","6530000","642000000520140001","2014-01-22","","01","영업/정상","0000","정상","","","","","0337471992","210.3","","","강원특별자치도 원주시 덕성길 18 (행구동)","220-160","행구축산","2014-01-22 15:29:40","I","2023-06-13 00:00:00","","289103.954710074","428370.397780079","도축업","","0","000","4",
"9","도축업","02_04_03_P","6530000","642000000520150001","2015-05-06","","01","영업/정상","0000","정상","","2023-09-25","2023-11-01","","0332618905","142.4","","","강원특별자치도 춘천시 동내면 원창고개길 165-1","200-882","춘천흑염소도축장","2023-11-03 09:45:31","U","2023-11-05 02:40:00","","267071.820245315","480378.424372405","도축업","","0","000","3",
"10","도축업","02_04_03_P","6530000","653000000520240001","2024-01-04","","01","영업/정상","0000","정상","","","","","0332625336","144.19","","강원특별자치도 춘천시 남산면 수동리 508번지 7호","강원특별자치도 춘천시 남산면 한치로 228-80","","농업회사법인주식회사춘천꿩농장","2024-01-04 15:44:15","I","2024-01-06 00:16:29","","","","도축업","","0","L00","11",
