"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물운송업","02_03_12_P","4181000","418100005020240001","2024-01-16","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 동면 만천리 *** 춘천만천엘에이치아파트","강원특별자치도 춘천시 동면 후석로***번길 **, ***동 ****호 (춘천만천엘에이치아파트)","24215","펫친구","2024-01-16 11:24:01","I","2024-01-18 00:16:19","","266763.541596314","487060.257449708","동물운송업","동물운송업","000","0",
"2","동물운송업","02_03_12_P","4181000","418000005020180030","2018-08-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 신북읍 산천리 ***-*","강원특별자치도 춘천시 신북읍 맥국*길 **-*","24203","루나네","2022-07-29 17:17:16","I","2023-06-13 00:00:00","","265073.853180611","495551.879695909","동물운송업","동물운송업","000","0",
"3","동물운송업","02_03_12_P","4181000","418000005020210019","2021-11-01","","01","영업/정상","0000","정상","","","","","033-264-0024","0","","강원특별자치도 춘천시 석사동 ***","강원특별자치도 춘천시 안마산로 ***-**(석사동)","24417","도그스테이블 석사점","2022-11-17 11:12:49","I","2023-06-13 00:00:00","","265543.109288531","482638.180291762","동물운송업","동물운송업","000","0",
"4","동물운송업","02_03_12_P","4181000","418000005020210022","2021-12-06","","01","영업/정상","0000","정상","","","","","033-245-0045","0","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 효자로***번길 **-*(효자동)","24330","준독라운지","2025-06-04 09:54:16","U","2025-06-06 02:40:00","","264730.730356189","486178.137828578","동물운송업","동물운송업","L00","0",
"5","동물운송업","02_03_12_P","4181000","418000005020220001","2022-05-10","","01","영업/정상","0000","정상","","","","","070-8080-1886","0","","강원특별자치도 춘천시 석사동 ***-*** ***호","강원특별자치도 춘천시 춘천순환로 **, ***호 (석사동)","24395","헬로우댕댕유치원","2025-01-16 09:00:59","U","2025-01-18 02:40:00","","265810.825589494","483871.091715249","동물운송업","동물운송업","000","0",
"6","동물운송업","02_03_12_P","4181000","418100005020240002","2024-04-03","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 *** 세경*차아파트 ***동 ***호","강원특별자치도 춘천시 남춘천새길 **, 세경*차아파트 ***동 *층 ***호 (석사동, 세경*차아파트)","24381","pet336조4232","2024-04-03 11:21:03","I","2024-04-06 00:15:14","","264807.241666538","484720.141657102","동물운송업","동물운송업","000","0",
"7","동물운송업","02_03_12_P","4181000","418100005020250003","2025-07-17","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 신북읍 산천리 ****-*","강원특별자치도 춘천시 신북읍 신북로 ***","24203","예당앤다울펫","2025-07-17 09:44:44","I","2025-07-19 00:20:02","","265981.722247464","493211.600874052","동물운송업","동물운송업","000","0",
"8","동물운송업","02_03_12_P","4181000","418100005020250002","2025-01-09","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 효자로***번길 **, ***호 (효자동)","24331","AMICUS PREMIUM PET TAXI","2025-01-09 13:43:31","I","2025-01-11 00:11:16","","264758.371453665","486162.092573555","동물운송업","동물운송업","000","0",
"9","동물운송업","02_03_12_P","4181000","418100005020250001","2025-01-06","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 효석로 **, ***호 (석사동)","24382","pet171조5370","2025-01-06 15:42:34","I","2025-01-08 00:11:19","","264952.151607049","484363.455347371","동물운송업","동물운송업","000","0",
"10","동물운송업","02_03_12_P","4181000","418000005020180026","2018-07-09","","02","휴업","0001","휴업","","2024-11-10","2025-06-02","","033-262-4003","0","","강원특별자치도 춘천시 동내면 학곡리 **-*","강원특별자치도 춘천시 동내면 사암길 **-**","24408","애견호텔 맥시","2024-12-04 14:49:31","U","2024-12-06 02:40:00","","267211.722242909","481440.625272985","동물운송업","동물운송업","000","0",
"11","동물운송업","02_03_12_P","4181000","418000005020200007","2020-05-11","","03","폐업","0002","폐업","2023-01-26","","","","","0","","강원특별자치도 춘천시 온의동 *** 온의한주아파트","강원특별자치도 춘천시 스포츠타운길 ***-**, ***동 *층 ***호 (온의동, 온의한주아파트)","24433","눈맞춤반려동물교감","2023-01-26 10:26:39","I","2023-06-13 00:00:00","","262835.662792547","485225.484060736","동물운송업","동물운송업","000","0",
"12","동물운송업","02_03_12_P","4181000","418000005020200019","2020-12-22","","03","폐업","0002","폐업","2023-10-16","","","","","0","","강원특별자치도 춘천시 교동 ***-*","강원특별자치도 춘천시 성심로 **-*, *층 (교동)","24259","개묘한 스토리","2023-10-16 15:26:24","U","2023-10-18 02:40:00","","264998.496453599","486806.165513721","동물운송업","동물운송업","000","0",
