"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물위탁관리업","02_03_10_P","4181000","418000004820180041","2018-09-20","","01","영업/정상","0000","정상","","","","","261-9119","0","","강원특별자치도 춘천시 칠전동 ***-*","강원특별자치도 춘천시 칠전서길 **-** (칠전동)","24457","충무로애견","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","262703.645","482414.78","동물위탁관리업","동물위탁관리업","000","0",
"2","동물위탁관리업","02_03_10_P","4181000","418000004820200009","2020-06-19","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 **","24400","발바닥애견카페","2023-12-12 13:15:12","U","2023-12-14 02:40:00","","267019.444768929","484504.54292803","동물위탁관리업","동물위탁관리업","000","0",
"3","동물위탁관리업","02_03_10_P","4181000","418000004820200013","2020-08-21","","01","영업/정상","0000","정상","","","","","033-242-3636","0","","강원특별자치도 춘천시 동면 만천리 ***-*","강원특별자치도 춘천시 동면 만천로 ***","24216","독스앤휴먼","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","266413.284572076","487188.607000607","동물위탁관리업","동물위탁관리업","000","0",
"4","동물위탁관리업","02_03_10_P","4181000","418000004820200015","2020-09-28","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로 ***, *층 (후평동)","24312","애견아롬샵","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","266167.438275898","485999.679579667","동물위탁관리업","동물위탁관리업","000","0",
"5","동물위탁관리업","02_03_10_P","4181000","418000004820200018","2020-12-03","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 신북읍 발산리 ***-*","강원특별자치도 춘천시 신북읍 맥국*길 **","24203","호반애견훈련소","2023-02-03 09:52:18","I","2023-06-13 00:00:00","","266301.741235596","496108.605627759","동물위탁관리업","동물위탁관리업","000","0",
"6","동물위탁관리업","02_03_10_P","4181000","418000004820210007","2021-06-25","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 ***-* 퇴계(*)주공아파트 상가동 ***호","강원특별자치도 춘천시 퇴계로 ***, 퇴계(*)주공아파트 상가동 ***호 (퇴계동)","24378","루비반지 PET SHOP 퇴계점","2022-06-20 09:37:10","I","2023-06-13 00:00:00","","264862.666927956","484182.8773591","동물위탁관리업","동물위탁관리업","000","0",
"7","동물위탁관리업","02_03_10_P","4181000","418000004820210012","2021-08-18","","01","영업/정상","0000","정상","","","","","033-264-0282","0","","강원특별자치도 춘천시 석사동 ***-**","강원특별자치도 춘천시 퇴계로 ***-*, *층 (석사동)","24390","멍블리하우스","2022-04-28 18:08:59","I","2023-06-13 00:00:00","","265216.296168285","484055.728702636","동물위탁관리업","동물위탁관리업","000","0",
"8","동물위탁관리업","02_03_10_P","4181000","418000004820210016","2021-10-15","","01","영업/정상","0000","정상","","","","","070-7777-3820","0","","강원특별자치도 춘천시 신북읍 산천리 ****-*","강원특별자치도 춘천시 신북읍 신북로 ***","24203","예당 앤 다울","2022-04-28 18:08:59","I","2023-06-13 00:00:00","","265981.722247464","493211.600874052","동물위탁관리업","동물위탁관리업","000","0",
"9","동물위탁관리업","02_03_10_P","4181000","418000004820210017","2021-10-21","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 퇴계동 **** e편한세상 춘천 한숲시티","강원특별자치도 춘천시 안마산로 ***, e편한세상 춘천 한숲시티 상가 B동 *층 ***호 (퇴계동)","24448","멍블리 펫살롱","2022-04-28 18:08:59","I","2023-06-13 00:00:00","","264260.591704341","483777.59503768","동물위탁관리업","동물위탁관리업","000","0",
"10","동물위탁관리업","02_03_10_P","4181000","418000004820210021","2021-12-06","","01","영업/정상","0000","정상","","","","","033-254-0045","0","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 효자로***번길 **-*(효자동)","24330","준독라운지","2025-06-04 09:52:28","U","2025-06-06 02:40:00","","264730.730356189","486178.137828578","동물위탁관리업","동물위탁관리업","L00","0",
