"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물판매업","02_03_07_P","4181000","418100004520230001","2023-07-14","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 서면 안보리 ***","강원특별자치도 춘천시 서면 노동길 **","24463","준독","2025-06-04 09:47:35","U","2025-06-06 02:40:00","","251687.073854469","482143.610454269","동물판매업","동물판매업(일반)","L00","0",
"2","동물판매업","02_03_07_P","4181000","418100004520230002","2023-07-14","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 스무숲*길 ** (석사동)","24416","노이펫 강아지 고양이분양 춘천점","2023-08-01 09:20:07","U","2023-08-03 02:40:00","","266118.665339321","483146.771608267","동물판매업","동물판매업(일반)","000","0",
"3","동물판매업","02_03_07_P","4181000","418000004520120001","2012-08-20","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 **-*","강원특별자치도 춘천시 세실로 *** (석사동)","24315","롯데마트석사점 수족관펫코리아","2022-04-28 18:08:52","I","2023-06-13 00:00:00","","266737.880921009","485159.020559127","동물판매업","동물판매업(일반)","000","0",
"4","동물판매업","02_03_07_P","4181000","418000004520120002","2012-08-20","","01","영업/정상","0000","정상","","","","","033)2401051","0","","강원특별자치도 춘천시 온의동 ***","강원특별자치도 춘천시 경춘로 **** (온의동)","24435","(주)밀레펫","2022-04-28 18:08:52","I","2023-06-13 00:00:00","","263141.943193102","484821.289677657","동물판매업","동물판매업(일반)","L00","0",
"5","동물판매업","02_03_07_P","4181000","418000004520120004","2012-09-07","","01","영업/정상","0000","정상","","","","","031-527-4244","0","","강원특별자치도 춘천시 온의동 *-**","강원특별자치도 춘천시 방송길 ** (온의동)","","롯데마트 춘천점(한강아쿠아)","2025-03-24 14:38:56","U","2025-03-26 02:40:00","","263109.175778889","485355.40305733","동물판매업","동물판매업(일반)","L00","0",
"6","동물판매업","02_03_07_P","4181000","418000004520160002","2016-03-10","","01","영업/정상","0000","정상","","","","","","0","","","강원특별자치도 춘천시 춘천로 *** (후평동)","24257","공주애견&Black Dog","2022-04-28 18:08:54","I","2023-06-13 00:00:00","","265314.660141186","486650.5615261","동물판매업","동물판매업(일반)","000","0",
"7","동물판매업","02_03_07_P","4181000","418000004520170002","2017-03-22","","01","영업/정상","0000","정상","","","","","242-8833","0","","","강원특별자치도 춘천시 춘천로 *** (후평동)","24256","고Dog","2022-04-28 18:08:55","I","2023-06-13 00:00:00","","265547.820653329","486793.557820482","동물판매업","동물판매업(일반)","000","0",
"8","동물판매업","02_03_07_P","4181000","418000004520170008","2017-09-28","","01","영업/정상","0000","정상","","","","","033-253-3523","0","","강원특별자치도 춘천시 조양동 ***-*","강원특별자치도 춘천시 중앙로**번길 *, *층 (조양동)","24353","히포코코","2022-04-28 18:08:55","I","2023-06-13 00:00:00","","263907.525093906","486490.624417762","동물판매업","동물판매업(일반)","000","0",
"9","동물판매업","02_03_07_P","4181000","418000004520180001","2018-03-16","","01","영업/정상","0000","정상","","","","","033-263-9209","0","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 춘천로 ***, *층 (후평동)","24292","송원애견의집","2024-11-26 11:14:17","U","2024-11-28 02:40:00","","265286.473206589","486587.432015705","동물판매업","동물판매업(일반)","000","0",
"10","동물판매업","02_03_07_P","4181000","418000004520180031","2018-09-05","","01","영업/정상","0000","정상","","","","","0332415896","0","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 춘천로 ***-* (효자동)","24292","멍군애견","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","265180.276300152","486528.606721984","동물판매업","동물판매업(일반)","000","0",
"11","동물판매업","02_03_07_P","4181000","418000004520190012","2019-09-04","","01","영업/정상","0000","정상","","","","","033-264-0024","0","","강원특별자치도 춘천시 석사동 ***","강원특별자치도 춘천시 안마산로 ***-** (석사동)","24417","도그스테이블 석사점","2022-11-17 11:19:49","I","2023-06-13 00:00:00","","265543.109288531","482638.180291762","동물판매업","동물판매업(일반)","000","0",
"12","동물판매업","02_03_07_P","4181000","418000004520210009","2021-07-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 우석로 **, *층 (석사동)","24326","이쁘개","2023-08-24 11:41:09","U","2023-08-26 02:40:00","","265788.711951446","484694.16487951","동물판매업","동물판매업(일반)","000","0",
"13","동물판매업","02_03_07_P","4181000","418000004520220001","2022-12-29","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 동면 장학리 ***-**","강원특별자치도 춘천시 동면 춘천순환로 ***-*","24210","멍사무소","2022-12-29 17:08:11","I","2023-06-13 00:00:00","","265909.900597532","490651.555485185","동물판매업","동물판매업(일반)","000","0",
