"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","무도장업","10_33_01_P","4181000","CDFH3301102002000001","2002-10-09","","03","폐업","03","폐업","2004-09-14","","","","252-8636","","200-954","강원특별자치도 춘천시 효자동 684-11","강원특별자치도 춘천시 공지로 367  (효자동)","","서울무도장","2011-07-14 17:37:11","I","2023-06-13 00:00:00","","263776.104141899","485573.469431416","무도장업","사립","","0","0","0","0","","",
"2","무도장업","10_33_01_P","4191000","CDFH3301102023000001","2023-07-24","","03","폐업","03","폐업","2024-07-04","","","","","","","강원특별자치도 원주시 단계동 855-1","강원특별자치도 원주시 천사로 60, 7층 (단계동)","26436","놀자댄스교습소","2024-07-04 15:14:02","U","2024-07-06 02:40:00","","282497.027969516","427676.450873445","무도장업","사립","Y","0","0","2340.04","0","","",
"3","무도장업","10_33_01_P","4191000","CDFH3301102003000001","2003-10-20","","03","폐업","03","폐업","2008-01-31","","","","033-744-9482","","220-955","강원특별자치도 원주시 우산동 230-22","강원특별자치도 원주시 우산초교길 20-1  (우산동)","","피아노무도장","2003-10-20 16:58:29","I","2023-06-13 00:00:00","","283081.830570823","429932.651445932","무도장업","사립","0","0","0","0","0","","",
"4","무도장업","10_33_01_P","4191000","CDFH3301102017000001","2017-02-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 우산동 90-3","강원특별자치도 원주시 우산초교길 9 (우산동)","26343","뉴피아노무도장","2020-11-17 09:18:00","I","2023-06-13 00:00:00","","283141.826701045","429844.683788665","무도장업","사립","Y","0","0","1933.61","0","","",
"5","무도장업","10_33_01_P","4201000","CDFH3301102015000001","2015-02-11","","03","폐업","03","폐업","2019-02-22","","","","","","210-920","강원특별자치도 강릉시 교동 136 2층호","강원특별자치도 강릉시 옥가로 61-136 (교동)","210-920","솔향생활체육리듬연수원","2019-02-23 15:23:38","I","2023-06-13 00:00:00","","367370.455209422","474959.962199995","무도장업","사립","Y","0","1","556.63","0","","",
"6","무도장업","10_33_01_P","4201000","CDFH3301102018000001","2018-05-29","","03","폐업","03","폐업","2018-07-18","","","","033-645-2333","","","강원특별자치도 강릉시 옥천동 219","강원특별자치도 강릉시 옥가로50번길 2 (옥천동)","25552","영동콜라텍","2018-07-18 15:15:56","I","2023-06-13 00:00:00","","367401.437631048","474824.334069292","무도장업","사립","Y","0","0","1330.59","0","","",
"7","무도장업","10_33_01_P","4201000","CDFH3301102019000001","2019-02-28","","04","취소/말소/만료/정지/중지","35","직권말소","2019-03-12","","","","","","","강원특별자치도 강릉시 교동 136","강원특별자치도 강릉시 옥가로 61, 2층 (교동)","25551","솔향생활체육리듬연수원","2019-03-12 16:16:30","I","2023-06-13 00:00:00","","367370.455209422","474959.962199995","무도장업","사립","","0","1","556.63","0","","",
"8","무도장업","10_33_01_P","4221000","CDFH3301102023000001","2023-05-26","","01","영업/정상","13","영업중","","","","","0335521004","","","강원특별자치도 태백시 황지동 85-2","강원특별자치도 태백시 황지로 51, 썬타운웨딩홀 2층 (황지동)","26020","썬타운컨벤션 유한회사","2023-05-26 17:24:59","I","2023-06-13 00:00:00","","376772.208380144","408705.8233854","무도장업","사립","","0","0","2920","0","","",
"9","무도장업","10_33_01_P","4221000","CDFH3301102015000001","2015-07-03","2016-02-24","04","취소/말소/만료/정지/중지","32","신고취소","","","","","","","235-800","강원특별자치도 태백시 황지동","강원특별자치도 태백시 서황지로 지하 74 (황지동)","235-800","주목댄스동아리","2016-02-24 10:08:04","I","2023-06-13 00:00:00","","","","무도장업","사립","","0","0","0","0","","",
"10","무도장업","10_33_01_P","4231000","CDFH3301102015000001","2015-06-03","","03","폐업","03","폐업","2016-08-17","","","","","","217-030","강원특별자치도 속초시 중앙동 468-6","강원특별자치도 속초시 중앙로 167 (중앙동)","24826","동해무도장","2016-08-18 10:47:05","I","2023-06-13 00:00:00","","339400.631412345","523740.749776376","무도장업","사립","","0","0","1650.86","0","","",
"11","무도장업","10_33_01_P","4231000","CDFH3301102020000001","2020-04-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 중앙동 468-29","강원특별자치도 속초시 중앙부두길 87, 지하 1층 (중앙동)","24824","생활체육 무도장(린콜라텍)","2020-04-01 09:58:16","I","2023-06-13 00:00:00","","339388.1472116","523592.480510172","무도장업","사립","","0","0","0","0","","",
"12","무도장업","10_33_01_P","4271000","CDFH3301102002000001","2002-10-21","","03","폐업","03","폐업","2006-01-24","","","","","","230-801","강원특별자치도 영월군 영월읍 영흥리 1096-28 12통4반","강원특별자치도 영월군 영월읍 단종로 183","230-800","장미무도장","2011-10-30 11:29:06","I","2023-06-13 00:00:00","","329177.19606603","411319.272724995","무도장업","사립","","0","0","0","0","","",
"13","무도장업","10_33_01_P","4291000","CDFH3301102010000001","2010-07-21","","03","폐업","03","폐업","2012-06-21","","","","","","233-833","강원특별자치도 정선군 남면 무릉리 819-15","강원특별자치도 정선군 남면 무릉4로 2","233-836","아이비 무도장","2014-01-24 10:37:02","I","2023-06-13 00:00:00","","357578.86661275","417446.424727526","무도장업","사립","","0","1","4076","0","","",
"14","무도장업","10_33_01_P","4301000","CDFH3301102020000001","2020-06-29","","03","폐업","03","폐업","2024-06-05","","","","","","","강원특별자치도 철원군 동송읍 이평리 680-1 동송시장","강원특별자치도 철원군 동송읍 이평로47번길 16, 동송시장 b1층","24015","동송무도장","2024-06-05 13:29:20","U","2024-06-08 02:40:00","","219098.448507271","522898.547960981","무도장업","사립","","0","0","386.8","0","","",
"15","무도장업","10_33_01_P","4311000","CDFH3301102023000001","2023-11-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 화천군 화천읍 하리 66-55","강원특별자치도 화천군 화천읍 중앙로1길 26","24123","CHALLENGE","2023-11-16 11:54:29","I","2023-11-18 00:17:17","","261847.286584618","511682.52186545","무도장업","사립","","0","0","0","0","","",
