"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","무도학원업","10_33_02_P","4181000","CDFH3301111999000003","1999-11-26","","03","폐업","03","폐업","2011-12-02","","","","241-4343","","200-050","강원특별자치도 춘천시 죽림동 32","강원특별자치도 춘천시 약사고개길 13  (죽림동)","","도선무도학원","2011-12-05 10:25:29","I","2023-06-13 00:00:00","","263815.717679964","486351.132414808","무도학원업","사립","0","0","0","0","0","","",
"2","무도학원업","10_33_02_P","4181000","CDFH3301111999000004","1999-07-01","","03","폐업","03","폐업","2007-11-07","","","","","","200-959","강원특별자치도 춘천시 후평동 704-4","강원특별자치도 춘천시 후석로 361  (후평동)","","토우무도학원","2008-12-30 15:48:03","I","2023-06-13 00:00:00","","265692.379175398","486958.248551539","무도학원업","사립","0","0","0","0","0","","",
"3","무도학원업","10_33_02_P","4181000","CDFH3301112003000001","2003-04-24","","03","폐업","03","폐업","2003-06-07","","","","252-4646","","200-954","강원특별자치도 춘천시 효자동 684-11","강원특별자치도 춘천시 공지로 367  (효자동)","","남부무도학원","2007-04-09 10:20:34","I","2023-06-13 00:00:00","","263776.104141899","485573.469431416","무도학원업","사립","0","0","0","0","0","","",
"4","무도학원업","10_33_02_P","4181000","CDFH3301112007000001","2007-04-18","","03","폐업","03","폐업","2014-07-09","","","","243-9877","","200-954","강원특별자치도 춘천시 효자동 684-11","강원특별자치도 춘천시 공지로 367 (효자동)","200-954","남부콜라텍","2014-07-10 15:27:29","I","2023-06-13 00:00:00","","263776.104141899","485573.469431416","무도학원업","사립","","0","0","0","0","","",
"5","무도학원업","10_33_02_P","4181000","CDFH3301112009000001","2009-03-16","","03","폐업","03","폐업","2014-10-27","","","","","","200-954","강원특별자치도 춘천시 효자동 684-11 남부시장3층 6호","강원특별자치도 춘천시 공지로 367  (효자동,남부시장3층 6호)","","서울콜라텍","2014-10-27 13:54:51","I","2023-06-13 00:00:00","","263776.104141899","485573.469431416","무도학원업","사립","","0","1","8891.88","0","","",
"6","무도학원업","10_33_02_P","4181000","CDFH3301112013000001","2013-02-25","","03","폐업","03","폐업","2018-04-05","","","","256-6200","","200-950","강원특별자치도 춘천시 효자동 641-6 501호","강원특별자치도 춘천시 춘천로 199 (효자동)","24260","황희중&길경댄스스포츠스쿨","2018-04-06 16:04:12","I","2023-06-13 00:00:00","","264702.174234341","486310.528026106","무도학원업","사립","","1","0","5031.71","0","","",
"7","무도학원업","10_33_02_P","4181000","CDFH3301111998000001","1998-04-18","","01","영업/정상","13","영업중","","","","","242-2363","","","강원특별자치도 춘천시 근화동 264-12","강원특별자치도 춘천시 중앙로 176, 3층 (근화동)","24276","현대무도학원","2020-03-06 17:00:28","I","2023-06-13 00:00:00","","262906.898136704","486034.230859133","무도학원업","사립","Y","0","0","0","0","","",
"8","무도학원업","10_33_02_P","4181000","CDFH3301112000000001","2000-06-22","","01","영업/정상","13","영업중","","","","","243-2575","","200-953","강원특별자치도 춘천시 효자동 712-11","강원특별자치도 춘천시 남춘로 47 (효자동)","","올림픽댄스스포츠아카데미","2015-01-06 16:38:47","I","2023-06-13 00:00:00","","264342.260049412","484985.319277892","무도학원업","사립","","0","0","0","0","","",
"9","무도학원업","10_33_02_P","4181000","CDFH3301111999000001","1999-03-10","","04","취소/말소/만료/정지/중지","35","직권말소","2014-12-08","","","","254-9802","","200-043","강원특별자치도 춘천시 중앙로3가 60-6","","","중앙무도학원","2014-12-10 11:24:16","I","2023-06-13 00:00:00","","263672.364616095","486327.324994184","무도학원업","사립","","0","0","0","0","","",
"10","무도학원업","10_33_02_P","4181000","CDFH3301111999000002","1999-12-22","","04","취소/말소/만료/정지/중지","35","직권말소","2014-12-08","","","","241-2852","","200-959","강원특별자치도 춘천시 후평동 728-3","강원특별자치도 춘천시 춘천로 344 (후평동)","","춘천무도교습소","2014-12-10 11:23:26","I","2023-06-13 00:00:00","","265858.213634341","487092.389693944","무도학원업","사립","","0","0","0","0","","",
"11","무도학원업","10_33_02_P","4181000","CDFH3301112008000001","2008-10-14","","04","취소/말소/만료/정지/중지","35","직권말소","2014-12-08","","","","","","200-959","강원특별자치도 춘천시 후평동 704-4","강원특별자치도 춘천시 후석로 361 (후평동)","","유명식댄스스포츠","2014-12-10 11:22:02","I","2023-06-13 00:00:00","","265692.379175398","486958.248551539","무도학원업","사립","","0","0","0","0","","",
"12","무도학원업","10_33_02_P","4191000","CDFH3301112009000001","2009-12-03","","02","휴업","02","휴업","","2024-01-10","2026-01-10","","","","220-020","강원특별자치도 원주시 평원동 198-36 3층","강원특별자치도 원주시 평원로 56 (평원동)","26430","차민영댄스스포츠","2024-01-10 14:25:07","U","2024-01-12 02:40:00","","284216.292489754","428075.042341435","무도학원업","사립","Y","0","1","525.87","0","","",
"13","무도학원업","10_33_02_P","4191000","CDFH3301111998000001","1998-05-28","","03","폐업","03","폐업","2003-10-05","","","","748-0819","","220-956","강원특별자치도 원주시 일산동 53-8","강원특별자치도 원주시 원일로 85-14 (일산동)","220-956","중앙무도학원","2013-12-23 15:48:51","I","2023-06-13 00:00:00","","284025.701433254","427767.009273354","무도학원업","사립","Y","0","0","0","0","","",
"14","무도학원업","10_33_02_P","4191000","CDFH3301111999000001","1999-10-30","","03","폐업","03","폐업","2003-08-29","","","","745-7427","","220-963","강원특별자치도 원주시 학성동 430-6","","","영동무도학원","2003-10-24 11:50:42","I","2023-06-13 00:00:00","","","","무도학원업","사립","0","0","0","0","0","","",
