"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","직원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"1","물류창고업체","11_45_02_P","4181000","2012418000032500001","2023-05-26","","01","영업/정상","01","영업중","","","","","033-264-4153","","","강원특별자치도 춘천시 신북읍 용산리 269","강원특별자치도 춘천시 신북읍 영서로 3287","24202","㈜한진","2025-06-17 15:36:26","U","2025-06-19 02:40:00","","262465.124360748","493416.792933963","1","2070.11","0","0","0","3","차량접안 Dock시설, 랙","13000","법인","1","1","","",
"2","물류창고업체","11_45_02_P","4181000","2022418035632500001","2022-06-29","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 춘천시 후평동 244-5","강원특별자치도 춘천시 후석로440번길 43 (후평동)","24232","씨제이대한통운 주식회사","2024-04-15 18:44:46","U","2024-04-17 02:40:00","","265719.446518868","487700.517060952","5","1674","0","0","0","9","택배분류장, 지게차 등","50000","법인","1","1","","",
"3","물류창고업체","11_45_02_P","4181000","2025418112932500001","2025-07-30","","01","영업/정상","01","영업중","","","","","070-7729-0616","","","강원특별자치도 춘천시 동산면 군자리 1392","강원특별자치도 춘천시 동산면 종자리로 33-91","24409","서린컴퍼니(주)","2025-09-30 16:40:38","U","2025-10-02 02:40:00","","","","6","6199.56","0","0","6199.56","111","일반창고 5동, 택배물품 보관 1동, 사무실 별도","0","법인","1","","","",
"4","물류창고업체","11_45_02_P","4191000","2023419102332500001","2023-09-06","","01","영업/정상","01","영업중","","","","","033-738-7412","","","강원특별자치도 원주시 문막읍 건등리 산 40-2","강원특별자치도 원주시 문막읍 좁은목길 60","26372","씨제이대한통운(주)","2024-04-17 14:03:30","U","2024-04-19 02:40:00","","273965.920283814","424300.612469413","1","2136.6","0","0","0","2","지게차 1대, CCTV6대","","법인","1","","","",
"5","물류창고업체","11_45_02_P","4191000","2012419000032500001","2012-05-18","","01","영업/정상","01","영업중","","","","","033-732-2314","","220-805","강원특별자치도 원주시 문막읍 반계리 1093번지 1호","강원특별자치도 원주시 문막읍 원문로 2298","220-805","삼성전자로지텍","2025-04-14 10:39:39","U","2025-04-16 02:40:00","","269863.27874372","421432.572091908","1","4039","0","0","0","26","지게차, Rack, 파쇄기 등","0","법인","1","1","","",
"6","물류창고업체","11_45_02_P","4191000","2012419000032500002","2012-06-11","","01","영업/정상","01","영업중","","","","","033-747-8682","","220-843","강원특별자치도 원주시 흥업면 사제리 1339번지 1호","강원특별자치도 원주시 흥업면 원문로 898","220-843","씨제이대한통운㈜","2024-04-17 14:03:50","U","2024-04-19 02:40:00","","278143.544654168","427170.170403677","2","2430.08","0","0","0","48","지게차","0","법인","1","1","1","1",
"7","물류창고업체","11_45_02_P","4191000","2012419000032500003","2012-06-26","","01","영업/정상","01","영업중","","","","","02-3771-2336","","","강원특별자치도 원주시 문막읍 동화리 608번지 42호","강원특별자치도 원주시 문막읍 동건길 61","26372","주식회사 엘엑스판토스","2024-04-25 16:32:51","U","2024-04-27 02:40:00","","274437.431427406","424302.800266323","1","2953","0","0","2584","76","지게차5대","88141","법인","1","1","1","",
"8","물류창고업체","11_45_02_P","4191000","2012419000032500004","2012-07-17","","01","영업/정상","01","영업중","","","","","070-4351-5011","","220-926","강원특별자치도 원주시 호저면 주산리 275번지","강원특별자치도 원주시 호저면 호매곡1길 97","220-926","씨제이대한통운 주식회사","2024-04-17 14:02:52","U","2024-04-19 02:40:00","","282004.03725753","432941.867542718","1","2764","0","0","0","7","Rack, 지게차","0","법인","1","1","1","",
"9","물류창고업체","11_45_02_P","4191000","2012419000032500005","2012-08-09","","01","영업/정상","01","영업중","","","","","033-731-1870","","","강원특별자치도 원주시 문막읍 반계리 2262번지 13호","강원특별자치도 원주시 문막읍 원문로 2057","26362","동부로지스 주식회사","2021-03-19 14:48:51","I","2023-06-13 00:00:00","","271125.242191868","422427.917953942","1","5609","1","1182","0.00","21","전동컨베어, 리치트럭 2, 전동지게차 2, 상품 랙, 롤테이너, 냉동기","0","법인","1","1","1","",
"10","물류창고업체","11_45_02_P","4191000","2012419000032500006","2012-08-13","","01","영업/정상","01","영업중","","","","","033-760-9541","","","강원특별자치도 원주시 명륜동 779번지","강원특별자치도 원주시 서원대로 308-6 (명륜동)","26479","씨제이대한통운주식회사","2024-04-17 13:59:11","U","2024-04-19 02:40:00","","283287.594311595","426477.581092973","1","1596","0","0","0","4","랙, 지게차 등","27000","법인","1","1","","",
