"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1","미용업","05_18_01_P","4191000","4191000-212-2023-00025","2023-08-30","","01","영업/정상","01","영업","","","","","","92.38","","강원특별자치도 원주시 단구동 1582-7","강원특별자치도 원주시 구곡길 56, 1층 (단구동)","26486","치크비비","2024-12-16 13:02:31","U","2024-12-18 02:40:00","피부미용업","284085.774482877","425040.403461137","피부미용업","4","0","1","1","0","0","0","","","","","0","0","4","N",
"2","미용업","05_18_01_P","4241000","4241000-215-2023-00001","2023-07-26","","01","영업/정상","01","영업","","","","","","25.50","","강원특별자치도 삼척시 정상동 356-2 강부3차아파트","강원특별자치도 삼척시 동해대로 4122-18, 강부3차아파트 다동 2층 201호 (정상동)","25925","유월의네일","2023-07-26 16:49:55","I","2023-07-28 00:18:47","네일아트업","392799.721848265","440634.623337347","네일미용업","0","0","0","0","0","0","2","","","","","0","0","0","N",
"3","미용업","05_18_01_P","4211000","4211000-213-2023-00003","2023-03-28","","01","영업/정상","01","영업","","","","","","19.79","","강원특별자치도 동해시 천곡동 802-1 동해유공타워","강원특별자치도 동해시 천곡1길 3, 1층 111호 (천곡동, 동해유공타워)","25759","라움","2023-08-16 09:50:01","I","2023-08-18 00:18:28","일반미용업","386712.289280063","449002.11793605","종합미용업","1","0","1","0","0","0","0","","","","","0","0","1","N",
"4","미용업","05_18_01_P","4211000","4211000-215-2023-00004","2023-09-08","","01","영업/정상","01","영업","","","","","","49.99","","강원특별자치도 동해시 천곡동 1058-28","강원특별자치도 동해시 한섬로 43-1, 1층 (천곡동)","25766","네일아띠 nail atti","2023-09-08 13:09:13","I","2023-09-10 00:18:09","네일아트업","386356.850962129","448517.056315604","네일미용업","3","1","1","0","0","0","1","","","","임대","0","0","0","N",
"5","미용업","05_18_01_P","4301000","4301000-213-2023-00002","2023-07-26","","01","영업/정상","01","영업","","","","","","6.44","","강원특별자치도 철원군 철원읍 화지리 45-75","강원특별자치도 철원군 철원읍 금학로255번길 19-16","24006","퀸네일(Queen nail)","2023-07-26 10:26:48","I","2023-07-28 00:18:47","네일아트업","218621.857157907","523041.810347931","종합미용업","2","0","2","2","0","0","0","","","","","0","0","0","N",
"6","미용업","05_18_01_P","4311000","4311000-221-2023-00001","2023-08-16","","01","영업/정상","01","영업","","","","","","37.37","","강원특별자치도 화천군 화천읍 아리 225-1","강원특별자치도 화천군 화천읍 산수화로1길 49","24119","단디왁싱앤래쉬","2023-08-16 10:27:39","I","2023-08-18 00:18:28","피부미용업","262087.721414957","511775.22691388","피부미용업, 화장ㆍ분장 미용업","0","0","1","0","0","0","0","","","","임대","0","0","2","N",
"7","미용업","05_18_01_P","4191000","4191000-213-2023-00025","2023-08-03","","01","영업/정상","01","영업","","","","","","52.00","","강원특별자치도 원주시 반곡동 1913-4","강원특별자치도 원주시 건강로 25, 1층 107호 (반곡동)","26464","순수한헤어","2023-08-18 13:09:11","U","2023-08-20 02:40:00","일반미용업","287502.659388413","425235.263753653","종합미용업","7","3","1","1","0","0","2","","","","","0","0","0","N",
"8","미용업","05_18_01_P","4191000","4191000-213-2013-00009","2013-08-14","","01","영업/정상","01","영업","","","","","033 766 0713","36.00","","강원특별자치도 원주시 반곡동 2047-5 중흥S클래스 프라디움 아파트 상가동 20호 일부호","강원특별자치도 원주시 배울로 24, 상가동 2층 20호 일부호 (반곡동, 중흥S클래스 프라디움 아파트)","26465","아우라헤어","2023-08-31 14:37:39","I","2023-09-02 00:18:46","일반미용업","286462.356184421","424575.782591608","종합미용업","2","0","2","2","0","0","6","","","","임대","0","0","0","N",
"9","미용업","05_18_01_P","4191000","4191000-221-2021-00002","2021-06-29","","01","영업/정상","01","영업","","","","","","95.04","","강원특별자치도 원주시 무실동 1850-1","강원특별자치도 원주시 능라동길 42, 2층 203호 (무실동)","26392","안녕예쁜아속눈썹&왁싱원주무실점","2024-05-22 10:08:25","U","2024-05-24 02:40:00","메이크업업","282280.547693665","426159.939676681","피부미용업, 화장ㆍ분장 미용업","6","2","2","2","0","0","0","","","","임대","2","0","6","N",
"10","미용업","05_18_01_P","4241000","4241000-211-2023-00003","2023-08-16","","01","영업/정상","01","영업","","","","","","40.74","","강원특별자치도 삼척시 도계읍 도계리 373-4","강원특별자치도 삼척시 도계읍 도계로 304","25947","깍쟁이헤어","2023-08-16 13:38:15","I","2023-08-18 00:18:28","일반미용업","381382.085695623","416859.207125313","일반미용업","1","0","0","0","0","0","3","","","","","0","0","0","N",
