"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","방문판매업","08_26_02_P","4181000","2023418108123200002","2023-08-25","","01","영업/정상","01","정상영업","","","","","033-256-3283","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 서부대성로 ***, *층 (효자동)","24289","보청기매니아 춘천지사","2023-08-25 15:12:49","I","2023-08-27 00:18:30","","265400.82119557","485872.551028504","0","0","0","",
"2","방문판매업","08_26_02_P","4181000","2002418015523200044","2002-09-24","","01","영업/정상","01","정상영업","","","","","033-256-7532","","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 남춘로 **, ***호 (퇴계동)","24370","사임당화장품춘천지사","2024-04-17 15:41:58","U","2024-04-19 02:40:00","","264256.766682684","484866.120110744","0","0","0","",
"3","방문판매업","08_26_02_P","4181000","2008418016623200003","2008-03-13","","01","영업/정상","01","정상영업","","","","","262-1570","","","","강원특별자치도 춘천시 남산면 보매기길 **","24465","강호정보통신(주)","2015-09-03 14:43:42","I","2023-06-13 00:00:00","","256342.619111862","475910.882656002","0","0","0","",
"4","방문판매업","08_26_02_P","4181000","2014418022923200006","2014-03-18","","01","영업/정상","01","정상영업","","","","","033-263-0641","","","","강원특별자치도 춘천시 새롬공원길 ** (석사동)","200-933","참선진 팜듀 춘천지사","2014-03-18 16:28:01","I","2023-06-13 00:00:00","","265693.15466969","483656.143252317","0","0","0","",
"5","방문판매업","08_26_02_P","4181000","2008418016623200013","2008-04-25","","01","영업/정상","01","정상영업","","","","","033-261-8088","","","강원특별자치도 춘천시 퇴계동 **","강원특별자치도 춘천시 안마산로 ***, *층 ***호 (퇴계동)","24421","홍선생미술 춘천지사","2022-03-17 16:03:23","I","2023-06-13 00:00:00","","264855.838698284","483301.263496797","0","0","0","",
"6","방문판매업","08_26_02_P","4181000","2014418022923200014","2014-05-09","","01","영업/정상","01","정상영업","","","","","033-257-1007","","","","강원특별자치도 춘천시 후만로***번길 **, *층 (후평동)","200-963","김정문알로에플러스춘천지점","2014-12-15 10:31:21","I","2023-06-13 00:00:00","","266689.592307511","486201.657418535","0","0","0","",
"7","방문판매업","08_26_02_P","4181000","2016418027723200013","2016-05-31","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 동내면 거두리 ***번지","강원특별자치도 춘천시 동내면 춘천순환로 **, ***호","24400","윤선생 영어교실","2018-04-20 16:53:11","I","2023-06-13 00:00:00","","266172.310489493","483995.423172328","0","0","0","",
"8","방문판매업","08_26_02_P","4181000","2016418027723200019","2016-10-11","","01","영업/정상","01","정상영업","","","","","033-264-2444","","","","강원특별자치도 춘천시 동산면 종자리로 ***-**, *층","24409","예인도방","2016-10-11 15:15:39","I","2023-06-13 00:00:00","","265416.966191509","473133.801761027","0","0","0","",
"9","방문판매업","08_26_02_P","4181000","2017418027723200004","2017-02-16","","01","영업/정상","01","정상영업","","","","","033-261-1887","","","강원특별자치도 춘천시 동내면 거두리 ****-*","강원특별자치도 춘천시 동내면 춘천순환로 ***, *층","24402","주식회사 케이에스케이","2021-10-12 15:27:33","I","2023-06-13 00:00:00","","266442.390352952","483985.343789958","1748817020","1488517630","700000000","",
"10","방문판매업","08_26_02_P","4181000","2017418027723200009","2017-05-10","","01","영업/정상","01","정상영업","","","","","033-254-6211","","","","강원특별자치도 춘천시 새롬공원길*번길 * (석사동)","24394","에치와이 춘천점","2021-05-03 14:40:41","I","2023-06-13 00:00:00","","265651.343196376","483673.084417062","0","0","0","",
"11","방문판매업","08_26_02_P","4181000","2019418034923200007","2019-12-24","","01","영업/정상","01","정상영업","","","","","033-252-2755","","","강원특별자치도 춘천시 온의동 ***번지 *호","강원특별자치도 춘천시 춘주로 ***, ***호 (온의동)","24437","마임 강남지사","2019-12-24 17:44:50","I","2023-06-13 00:00:00","","263367.567492374","484498.820685882","0","0","0","",
"12","방문판매업","08_26_02_P","4181000","2020418034923200002","2020-02-04","","01","영업/정상","01","정상영업","","","","","033-262-2055","","","강원특별자치도 춘천시 후평동 ***번지 *호","강원특별자치도 춘천시 후석로 ***, *층 (후평동)","24282","마임춘천남부센터","2020-02-04 18:22:57","I","2023-06-13 00:00:00","","266037.5807931","486354.911608167","0","0","0","",
"13","방문판매업","08_26_02_P","4181000","2020418034923200003","2020-02-04","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 후평동 ***번지 *호","강원특별자치도 춘천시 후석로 ***, *층 (후평동)","24282","마임봄내지사","2020-02-04 18:23:56","I","2023-06-13 00:00:00","","266037.5807931","486354.911608167","0","0","0","",
"14","방문판매업","08_26_02_P","4181000","2020418034923200004","2020-03-06","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 교동 ***번지 ***호","강원특별자치도 춘천시 춘천로***번길 **-*, ***호 (교동)","24259","유플라워","2020-03-06 15:37:58","I","2023-06-13 00:00:00","","264822.563730456","486546.352664814","0","0","0","",
"15","방문판매업","08_26_02_P","4181000","2015418027723200021","2015-08-28","","01","영업/정상","01","정상영업","","","","","033-244-6363","","","강원특별자치도 춘천시 퇴계동 ****번지 *호","강원특별자치도 춘천시 우묵들길 **-* (퇴계동)","24367","태영통신","2019-06-10 21:23:07","I","2023-06-13 00:00:00","","263698.943005196","485250.507658721","0","0","0","",
"16","방문판매업","08_26_02_P","4181000","2015418027723200022","2015-08-28","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 공지로 ***(근화동)","24275","필그린 인카운터","2021-10-26 10:44:22","I","2023-06-13 00:00:00","","262811.407957727","486164.778251572","0","0","0","",
"17","방문판매업","08_26_02_P","4181000","2015418027723200024","2015-09-01","","01","영업/정상","01","정상영업","","","","","070-8628-6708","","","강원특별자치도 춘천시 동면 지내리 ***-*","강원특별자치도 춘천시 동면 가산로 ***, ***동 ***호","24211","손발콩콩 탑베이비","2021-09-14 09:51:28","I","2023-06-13 00:00:00","","268687.634593555","490643.393182599","0","0","0","",
"18","방문판매업","08_26_02_P","4181000","2020418034923200006","2020-04-02","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 소양로*가 ***번지","강원특별자치도 춘천시 가연길 **, *층 (소양로*가)","24275","에치와이 경춘점","2021-04-26 16:28:19","I","2023-06-13 00:00:00","","263431.933942698","486358.059923326","0","0","0","",
"19","방문판매업","08_26_02_P","4181000","2020418034923200008","2020-04-10","","01","영업/정상","01","정상영업","","","","","033-264-9001","","","강원특별자치도 춘천시 동내면 거두리 ***번지 *호 부영아파트","강원특별자치도 춘천시 동내면 춘천순환로**번길 **, 제상가동 ***호 (부영아파트)","24403","마임춘천동부지사","2020-04-13 14:50:59","I","2023-06-13 00:00:00","","266237.994558798","483781.509505524","0","0","0","",
"20","방문판매업","08_26_02_P","4181000","2020418034923200013","2020-09-01","","01","영업/정상","01","정상영업","","","","","033-244-6664","","","강원특별자치도 춘천시 서면 덕두원리 ***-*","강원특별자치도 춘천시 서면 덕두원길 **","24462","삼내음농장","2022-05-17 14:43:15","I","2023-06-13 00:00:00","","258942.160960652","483462.922114178","0","0","0","",
"21","방문판매업","08_26_02_P","4181000","2020418034923200014","2020-09-10","","01","영업/정상","01","정상영업","","","","","033-241-7136","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 우석로 **, 석사빌딩 *층 (석사동)","24326","마임광장지사","2020-09-10 16:26:08","I","2023-06-13 00:00:00","","265972.29935078","484785.970648172","0","0","0","",
"22","방문판매업","08_26_02_P","4181000","2015418027723200030","2015-11-25","","01","영업/정상","01","정상영업","","","","","251-8959","","","강원특별자치도 춘천시 퇴계동 ***번지","강원특별자치도 춘천시 춘주로***번길 *, *층 (퇴계동)","24443","김정문알로에춘천지점","2019-06-10 16:55:53","I","2023-06-13 00:00:00","","263957.839614185","484504.452719248","0","0","0","",
"23","방문판매업","08_26_02_P","4181000","2015418027723200033","2015-12-16","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 우두동 ***번지 **호","강원특별자치도 춘천시 충열로 **, *층 (우두동)","24228","이든네이처 춘천 주랑지사","2018-11-01 17:14:14","I","2023-06-13 00:00:00","","264566.048723001","488808.091452502","0","0","0","",
"24","방문판매업","08_26_02_P","4181000","2018418031923200003","2018-11-28","","01","영업/정상","01","정상영업","","","","","","","","강원특별자치도 춘천시 석사동 ***번지","강원특별자치도 춘천시 후석로**번길 ** (석사동)","24382","춘천녹즙","2018-11-28 14:09:35","I","2023-06-13 00:00:00","","264998.619204355","484487.44841114","0","0","0","",
