"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","부화업","02_04_04_P","4181000","418000000120120001","2012-05-17","","01","영업/정상","0000","정상","","","","2014-07-22","","","200-822","강원특별자치도 춘천시 신북읍 산천리 ***","강원특별자치도 춘천시 신북읍 신북로 ***-**","24203","신세기부화장","2016-07-14 09:21:36","I","2023-06-13 00:00:00","","265891.894014657","493816.209161091","부화업","","379","000","0",
"2","부화업","02_04_04_P","4181000","418000000119980001","1998-03-12","","03","폐업","0002","폐업","2000-05-18","","","","","0","","강원특별자치도 춘천시 근화동 ***-*","","","신세기부화장","2003-04-23 13:25:57","I","2023-06-13 00:00:00","","","","부화업","","0","000","0",
"3","부화업","02_04_04_P","4181000","418000000119980002","1998-05-19","","03","폐업","0002","폐업","2003-03-31","","","","","0","","강원특별자치도 춘천시 동산면 봉명리 ***-*","","","소양강축산","2003-04-23 13:27:50","I","2023-06-13 00:00:00","","","","부화업","","0","000","0",
"4","부화업","02_04_04_P","4191000","419000000120030001","1991-04-03","","02","휴업","0001","휴업","","2003-12-10","2004-03-31","","033-732-1623","0","","강원특별자치도 원주시 지정면 신평리 ***","","","삼원부화장","2003-12-11 14:08:19","I","2023-06-13 00:00:00","","278295.829649309","432381.317948207","부화업","","0","000","0",
"5","부화업","02_04_04_P","4191000","419000000120030002","2003-12-10","","03","폐업","0002","폐업","2005-06-22","","","","033-763-6119","0","220-823","강원특별자치도 원주시 지정면 신평리 ***","","","삼원부화장","2005-06-23 16:17:10","I","2023-06-13 00:00:00","","278295.829649309","432381.317948207","부화업","","260","000","0",
"6","부화업","02_04_04_P","4191000","419000000120070001","2007-03-22","","03","폐업","0002","폐업","2009-11-24","","","","","0","220-925","강원특별자치도 원주시 호저면 매호리 **-*","","","임선부화장","2009-11-25 16:55:41","I","2023-06-13 00:00:00","","278990.342076612","435536.405956204","부화업","","411","000","0",
"7","부화업","02_04_04_P","4211000","421000000119910001","1991-09-14","","03","폐업","0002","폐업","2009-06-17","","","","","0","240-030","강원특별자치도 동해시 쇄운동 ***","강원특별자치도 동해시 승지로 ** (부곡동)","25741","경동부화장","2011-10-30 13:48:00","I","2023-06-13 00:00:00","","384906.198405923","450523.60050142","부화업","","3","000","0",
"8","부화업","02_04_04_P","4251000","425000000120060001","2006-03-13","","03","폐업","0002","폐업","2012-02-07","","","","033-262-4990","0","250-882","강원특별자치도 홍천군 북방면 역전평리 *-*","","","홍천부화장","2012-02-07 16:09:49","I","2023-06-13 00:00:00","","270144.599150706","470684.645733698","부화업","","332","000","0",
"9","부화업","02_04_04_P","4271000","427000000120050001","2005-06-09","","03","폐업","0002","폐업","2019-08-02","","","","374-7289","0","230-804","강원특별자치도 영월군 영월읍 삼옥리 ****","강원특별자치도 영월군 영월읍 둥글바위길 **","26223","정현부화장","2019-08-06 17:28:39","I","2023-06-13 00:00:00","","333443.383465551","412383.539523541","부화업","","70","000","0",
"10","부화업","02_04_04_P","4281000","428000000120170001","2017-06-12","","03","폐업","0002","폐업","2022-02-21","","","","033-330-9513","","","강원특별자치도 평창군 대관령면 횡계리 산 ***-*","강원특별자치도 평창군 대관령면 대관령마루길 ***-** (고령지시험장)","25342","국립축산과학원 가금연구소","2022-02-21 15:39:00","I","2023-06-13 00:00:00","","353309.798622577","466092.547025292","부화업","","455","L00","0",
"11","부화업","02_04_04_P","4281000","428000000120200001","2020-02-13","","03","폐업","0002","폐업","2020-09-10","","","","033-330-9511","","25342","강원특별자치도 평창군 대관령면 횡계리 산 *-*** 고령지 시험장","강원특별자치도 평창군 대관령면 대관령마루길 ***-**, 고령지 시험장","25342","국립축산과학원 가금연구소","2020-09-10 13:27:23","I","2023-06-13 00:00:00","","353142.583543033","466274.625424648","부화업","","505","L00","0",
"12","부화업","02_04_04_P","4311000","431000000120010001","2001-03-14","","03","폐업","0002","폐업","2003-11-30","","","","441-5322","100","","강원특별자치도 화천군 하남면 원천리 ****","강원특별자치도 화천군 하남면 공단길 **","","화천축협부화장","2003-12-04 09:31:36","I","2023-06-13 00:00:00","","258301.06365288","505791.489477955","부화업","","0","000","0",
