"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"1","석유판매업","09_28_08_P","4181000","2010418016601500004","2010-12-28","","01","영업/정상","01","신규등록","","","","","3002626961","1032","","강원특별자치도 춘천시 신동면 590-4","강원특별자치도 춘천시 동내면 학곡동2길 11","","동춘천농협클린주유소","2023-10-19 15:30:24","U","2023-10-21 02:40:00","주유소","266874.83136805","481964.400377013","","",
"2","석유판매업","09_28_08_P","4181000","1992418001601500025","1992-09-04","","01","영업/정상","01","신규등록","","","","","033 263 7756","","","강원특별자치도 춘천시 남산면 광판리 424","강원특별자치도 춘천시 남산면 김유정로 295-4","","SK예일주유소","2023-10-19 15:21:13","U","2023-10-21 02:40:00","주유소","262377.151599317","471032.722014889","","",
"3","석유판매업","09_28_08_P","4181000","1993418001601200020","1993-10-29","","01","영업/정상","01","신규등록","","","","","003302428001","","","강원특별자치도 춘천시 후평동 726","강원특별자치도 춘천시 후석로 368-1  (후평동)","","토우석유","2000-10-02 00:00:00","I","2023-06-13 00:00:00","일반판매소","265726.168180267","487031.429062345","","",
"4","석유판매업","09_28_08_P","4181000","1993418001601200021","1993-11-11","","01","영업/정상","01","신규등록","","","","","003302626501","","","강원특별자치도 춘천시 동내면 신촌리 590-5 3통2반","강원특별자치도 춘천시 동내면 동내로 68","","한양석유","2018-07-03 15:19:44","I","2023-06-13 00:00:00","일반판매소","266806.601847024","483121.257721767","","",
"5","석유판매업","09_28_08_P","4181000","1993418001601500028","1993-06-10","","01","영업/정상","01","신규등록","","","","","033 2522464","1520","","강원특별자치도 춘천시 우두동 139-5","강원특별자치도 춘천시 충열로 234 (우두동)","","우두주유소","2023-10-19 15:45:39","U","2023-10-21 02:40:00","주유소","264972.676434116","490414.704871245","","",
"6","석유판매업","09_28_08_P","4181000","1993418001601500031","1993-07-19","","01","영업/정상","01","신규등록","","","","","033 2575151","820","","강원특별자치도 춘천시 후평동 24-4","강원특별자치도 춘천시 후석로 239 (후평동)","","SK에너지(주)부안주유소","2025-10-16 17:25:58","U","2025-10-18 02:40:00","주유소","266121.614057439","485851.617521766","","",
"7","석유판매업","09_28_08_P","4181000","2005418001601200001","2005-08-31","","01","영업/정상","01","신규등록","","","","","033-251-5189","","","강원특별자치도 춘천시 동면 장학리 704-10","강원특별자치도 춘천시 동면 하일길 146-8","","동성석유","2023-06-26 14:05:18","U","2023-06-28 02:40:00","일반판매소","266325.346605202","489913.008357077","","",
"8","석유판매업","09_28_08_P","4181000","2005418001601500002","2005-04-06","","01","영업/정상","01","신규등록","","","","","","1066","","강원특별자치도 춘천시 동내면 거두리 667-1","강원특별자치도 춘천시 동내면 세실로 38","","새춘천주유소","2023-10-19 15:41:01","U","2023-10-21 02:40:00","주유소","266768.407380694","484510.751119017","","",
"9","석유판매업","09_28_08_P","4181000","2005418001601500003","2005-04-28","","01","영업/정상","01","신규등록","","","","","033 262 5124","823","","강원특별자치도 춘천시 퇴계동 197-1","강원특별자치도 춘천시 김유정로 1863 (퇴계동)","","GS칼텍스(주)봄내주유소","2024-04-01 15:48:32","U","2024-04-03 02:40:00","주유소","264626.281493334","483677.946452713","","",
"10","석유판매업","09_28_08_P","4181000","2006418015501500001","2006-09-11","","01","영업/정상","01","신규등록","","","","","033 2512841","","","강원특별자치도 춘천시 동내면 신촌리 641-79","강원특별자치도 춘천시 동내면 신촌길 21-21","","선진세탁크리닉","2019-04-18 13:40:18","I","2023-06-13 00:00:00","용제판매소","267605.980425982","483554.632611174","","",
