"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"1","세탁업","06_20_01_P","4181000","4181000-205-2023-00003","2023-09-11","","01","영업/정상","01","영업","","","","","033 2633626","39.29","","강원특별자치도 춘천시 석사동 721-2 석사대우아파트","강원특별자치도 춘천시 우석로101번길 86, 상가동 202호 (석사동, 석사대우아파트)","24318","대우세탁소","2024-08-27 16:46:48","U","2024-08-29 02:40:00","일반세탁업","266544.270644695","485428.661463148","일반세탁업","2","1","2","2","0","0","","","","자가","1","0","0","1","N",
"2","세탁업","06_20_01_P","4181000","4181000-205-2023-00002","2023-06-27","","01","영업/정상","01","영업","","","","","","45.36","","강원특별자치도 춘천시 퇴계동 1146-5","강원특별자치도 춘천시 남춘천길 35, 1층 (퇴계동)","24370","운동화이불세탁전문점","2023-06-27 16:24:48","I","2023-06-29 00:19:12","운동화전문세탁업","264039.738324918","484863.903872302","운동화전문세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"3","세탁업","06_20_01_P","4181000","4181000-205-2009-00001","2009-01-28","","01","영업/정상","01","영업","","","","","033 254 1345","31.50","","강원특별자치도 춘천시 퇴계동 1025-2 퇴계주공7단지상가103호","강원특별자치도 춘천시 승지골길16번길 16 (퇴계동)","24426","그린세탁빨래방","2021-11-22 09:14:07","I","2023-06-13 00:00:00","빨래방업","265234.907876377","483217.42119975","빨래방업","0","0","1","0","0","0","","","","임대","1","0","0","1","N",
"4","세탁업","06_20_01_P","4181000","4181000-205-1992-00016","1992-10-23","","01","영업/정상","01","영업","","","","","033 2611333","20.65","","강원특별자치도 춘천시 효자동 285-2","강원특별자치도 춘천시 공지로 234-12 (효자동)","24343","흥부세탁소","2020-06-08 14:41:56","I","2023-06-13 00:00:00","일반세탁업","264903.038486599","484846.963837985","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"5","세탁업","06_20_01_P","4181000","4181000-205-1992-00018","1992-10-26","","01","영업/정상","01","영업","","","","","033 2561538","0.00","","강원특별자치도 춘천시 효자동 769","강원특별자치도 춘천시 서부대성로206번길 19 (효자동)","24332","모아세탁소","2014-03-07 10:58:19","I","2023-06-13 00:00:00","일반세탁업","265064.91015579","485830.473862784","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"6","세탁업","06_20_01_P","4181000","4181000-205-1987-00052","1987-07-18","","01","영업/정상","01","영업","","","","","033 2540227","12.75","","강원특별자치도 춘천시 신동 927-1","강원특별자치도 춘천시 영서로 3146-2 (신동)","24207","현대세탁소","2021-12-17 11:13:08","I","2023-06-13 00:00:00","일반세탁업","263462.567810101","492487.965901533","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"7","세탁업","06_20_01_P","4181000","4181000-205-2009-00003","2009-02-26","","01","영업/정상","01","영업","","","","","033 253 7734","25.38","","강원특별자치도 춘천시 퇴계동 1130","강원특별자치도 춘천시 퇴계로 135 (퇴계동)","24380","모모세탁소","2020-06-05 12:16:47","I","2023-06-13 00:00:00","일반세탁업","264592.664384389","484413.624907773","일반세탁업","3","0","1","0","0","0","","","","자가","1","0","0","1","N",
"8","세탁업","06_20_01_P","4181000","4181000-205-1995-00023","1995-12-20","","01","영업/정상","01","영업","","","","","033 2531343","48.75","","강원특별자치도 춘천시 온의동 543-6","강원특별자치도 춘천시 춘주로92번길 17, 1층 (온의동)","24437","맵시크리닝","2024-08-13 14:50:06","U","2024-08-15 02:40:00","일반세탁업","263210.175584712","484469.829514769","일반세탁업","3","1","1","1","0","0","","","","임대","1","0","0","2","N",
"9","세탁업","06_20_01_P","4181000","4181000-205-2011-00006","2011-07-26","","01","영업/정상","01","영업","","","","","033 254 8572","120.40","","강원특별자치도 춘천시 후평동 733-1","강원특별자치도 춘천시 삭주로 190 (후평동)","24297","황제세탁공장","2019-11-11 14:21:54","I","2023-06-13 00:00:00","일반세탁업","266034.569940184","487345.525535365","일반세탁업","3","1","1","1","0","0","","","","임대","2","0","0","1","N",
"10","세탁업","06_20_01_P","4181000","4181000-205-2011-00007","2011-09-15","","01","영업/정상","01","영업","","","","","033 253 6668","35.25","","강원특별자치도 춘천시 요선동 201 한신휴플러스상가111동103호","강원특별자치도 춘천시 서부대성로 38 (요선동)","24271","한신세탁전문점","2011-12-01 11:10:18","I","2023-06-13 00:00:00","일반세탁업","263903.719918537","487009.168082667","일반세탁업","1","0","1","0","0","0","","","","임대","1","0","0","1","N",
