"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025202300002","2023-07-07","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동면 만천리 480-31 , 480-10, 574-10","강원특별자치도 춘천시 동면 춘천순환로 357","24315","신성종합검사장정비공장","2024-11-22 09:13:40","U","2024-11-24 02:40:00","","267486.93476538","485916.234107658","기타수질오염원관리","","","","","0","","0","5430602962",
"2","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200100252","1998-10-15","","01","영업/정상","11","영업","","","","","0332545386","","","강원특별자치도 춘천시 요선동 18-12","강원특별자치도 춘천시 서부대성로44번길 25-2 (요선동)","","라이트사","2018-01-18 19:28:00","I","2023-06-13 00:00:00","","263898.31151172","486736.43920691","기타수질오염원관리","","","","","0","","0","2210840866",
"3","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200100332","2001-04-19","","01","영업/정상","11","영업","","","","","0332406237","","","강원특별자치도 춘천시 효자동 349-2","강원특별자치도 춘천시 백령로 15 (효자동)","","강원지방병무청","2017-10-20 11:09:30","I","2023-06-13 00:00:00","","264724.970869134","485095.099377436","기타수질오염원관리","","","","","0","","0","2218300110",
"4","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200100353","2001-12-27","","01","영업/정상","11","영업","","","","","0332577533","","","강원특별자치도 춘천시 석사동 641-6","강원특별자치도 춘천시 후석로 61 (석사동)","200-935","미래종합동물병원","2019-03-12 17:59:30","I","2023-06-13 00:00:00","","265307.810818209","484387.456365944","기타수질오염원관리","","","","","0","","0","2211211000",
"5","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200200002","2002-05-28","","01","영업/정상","11","영업","","","","","2544300","","","강원특별자치도 춘천시 퇴계동 676-2","","","(주)쌍용자동차춘천정비사업소","2011-12-16 11:22:44","I","2023-06-13 00:00:00","","","","기타수질오염원관리","","","","","0","","0","",
"6","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200200003","2002-06-24","","01","영업/정상","11","영업","","","","","0332577284","","","강원특별자치도 춘천시 동면 만천리 810-7","강원특별자치도 춘천시 동면 만천로 159","","호반자동차 정비공장","2014-02-06 15:57:42","I","2023-06-13 00:00:00","","266526.911896055","486972.991870799","기타수질오염원관리","","","","","0","","0","2211256711",
"7","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200200004","2002-08-27","","01","영업/정상","11","영업","","","","","0332542604","","","강원특별자치도 춘천시 후평동 243-1","강원특별자치도 춘천시 공단로 30 (후평동)","","동춘천 서비스 기아오토큐","2022-11-04 12:03:56","I","2023-06-13 00:00:00","","265892.915166064","487608.496866468","기타수질오염원관리","","","","","0","","0","2210366084",
"8","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200000309","2000-10-04","","01","영업/정상","11","영업","","","","","0332527660","","","강원특별자치도 춘천시 온의동 65-44","강원특별자치도 춘천시 스포츠타운길 533 (온의동)","","온세의원","2019-06-27 11:30:49","I","2023-06-13 00:00:00","","262808.456357804","485405.244083934","기타수질오염원관리","","","","","0","","0","2219025496",
"9","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200100004","2001-08-13","","01","영업/정상","11","영업","","","","","033 2567369","","","강원특별자치도 춘천시 후평동 298-1","강원특별자치도 춘천시 춘천로 379 (후평동)","","금광자동차정비공장","2016-11-21 16:47:49","I","2023-06-13 00:00:00","","265934.169130018","487449.182085625","기타수질오염원관리","","","","","0","","0","2210483377",
"10","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200100005","2001-10-15","","01","영업/정상","11","영업","","","","","0332422285","","","강원특별자치도 춘천시 동면 장학리 627-6","강원특별자치도 춘천시 동면 소양강로 298","","르노코리아 서비스센터 북춘천정비","2024-04-22 18:37:04","U","2024-04-24 02:40:00","","265698.895363807","490348.594125294","기타수질오염원관리","","","","","0","","0","2212682991",
"11","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200800003","2008-07-02","","01","영업/정상","11","영업","","","","","0332516577","","","강원특별자치도 춘천시 온의동 152-15","강원특별자치도 춘천시 영서로 2293 (온의동)","","소망동물병원","2019-03-12 18:09:41","I","2023-06-13 00:00:00","","263289.853576607","485005.955439961","기타수질오염원관리","","","","","0","","0","2210599328",
"12","수질오염원설치시설(기타)","09_30_12_P","4181000","418100025200900001","2009-05-29","","01","영업/정상","11","영업","","","","","0332441962","","","강원특별자치도 춘천시 동면 만천리 산 20","","","(주) 춘천골프아카데미(스프링베일골프클럽)","2012-11-02 15:29:31","I","2023-06-13 00:00:00","골프장 운영업","","","기타수질오염원관리","골프장 운영업","","","","0","","0","2218121289",
