"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","숙박업","03_11_03_P","4181000","4181000-214-2023-00003","2023-06-12","","01","영업/정상","01","영업","","","","","","598.11","","강원특별자치도 춘천시 남산면 방곡리 280-1","강원특별자치도 춘천시 남산면 강촌로 244","24465","오후펜션","2023-06-12 17:03:18","I","2023-06-14 00:19:49","숙박업(생활)","256222.71188969","477461.762950069","숙박업(생활)","2","0","0","0","0","0","1","13","","","","","0","0","N",
"2","숙박업","03_11_03_P","4181000","4181000-201-1995-00025","1995-11-25","","01","영업/정상","01","영업","","","","","033 2562534","492.70","","강원특별자치도 춘천시 근화동 285-8","강원특별자치도 춘천시 방송길36번길 53-22 (근화동)","24360","황도파크여관","2020-12-21 15:36:36","I","2023-06-13 00:00:00","여관업","263050.452202735","485836.764739412","여관업","0","0","0","0","0","0","8","12","","","","자가","0","0","N",
"3","숙박업","03_11_03_P","4181000","4181000-201-1997-00013","1997-10-04","","01","영업/정상","01","영업","","","","","033 2640037","342.02","","강원특별자치도 춘천시 효자동 305-25","강원특별자치도 춘천시 남춘로56번길 12 (효자동)","24373","오성모텔","2024-04-16 14:22:50","U","2024-04-18 02:40:00","여관업","264488.215124717","484971.882970164","여관업","3","0","0","0","0","0","0","14","","","","","0","0","N",
"4","숙박업","03_11_03_P","4181000","4181000-201-2022-00006","2022-09-28","","01","영업/정상","01","영업","","","","","","1805.71","","강원특별자치도 춘천시 근화동 265-1","강원특별자치도 춘천시 중앙로 193 (근화동)","24360","더잭슨나인스셀렉트","2025-09-03 16:28:44","U","2025-09-05 02:40:00","일반호텔","262762.787471616","485918.488669297","일반호텔","15","0","15","0","2","0","0","32","","","","","0","0","N",
"5","숙박업","03_11_03_P","4181000","4181000-201-2003-00010","2003-05-07","","01","영업/정상","01","영업","","","","","033 2535832","737.00","","강원특별자치도 춘천시 후평동 725-21","강원특별자치도 춘천시 후석로370번길 8 (후평동)","24234","조히텔","2024-04-12 14:41:54","U","2024-04-14 02:40:00","여관업","265781.999420127","487065.483585823","여관업","4","0","1","4","0","0","3","21","","","","","0","0","N",
"6","숙박업","03_11_03_P","4181000","4181000-201-2012-00001","2012-02-20","","01","영업/정상","01","영업","","","","","033 243 5353","973.00","","강원특별자치도 춘천시 삼천동 180-12","강원특별자치도 춘천시 구마니길 26 (삼천동)","24239","호텔N","2025-02-04 13:41:42","U","2025-02-06 02:40:00","일반호텔","261564.204145605","485461.577157699","일반호텔","5","0","1","5","0","0","0","26","","","","자가","0","0","N",
"7","숙박업","03_11_03_P","4181000","4181000-201-2012-00002","2012-06-19","","01","영업/정상","01","영업","","","","","033 242 6562","224.50","","강원특별자치도 춘천시 낙원동 118-9","강원특별자치도 춘천시 중앙로106번길 3 (낙원동)","24274","초당장여관","2020-06-16 09:30:25","I","2023-06-13 00:00:00","여관업","263536.124967025","486310.081964084","여관업","0","0","1","0","0","0","1","9","","","","자가","0","0","N",
"8","숙박업","03_11_03_P","4181000","4181000-201-1998-00008","1998-02-13","","01","영업/정상","01","영업","","","","","033 2640083","337.78","","강원특별자치도 춘천시 효자동 305-22 ,306-6,250-93","강원특별자치도 춘천시 효석로9번길 11-4 (효자동)","24373","초원장여관","2020-07-03 16:00:03","I","2023-06-13 00:00:00","여관업","264541.402433358","484950.819860956","여관업","0","0","0","0","0","0","6","10","","","","","0","0","N",
"9","숙박업","03_11_03_P","4181000","4181000-201-2012-00004","2012-09-07","","01","영업/정상","01","영업","","","","","033 253 2224","527.00","","강원특별자치도 춘천시 효자동 685-3","강원특별자치도 춘천시 춘천로68번길 17 (효자동)","24365","MOTEL.H.현대모텔","2021-04-23 14:13:38","I","2023-06-13 00:00:00","여관업","263864.516569157","485493.533626779","여관업","3","0","3","0","0","0","5","8","","","","임대","0","0","N",
"10","숙박업","03_11_03_P","4181000","4181000-201-1976-00001","1976-05-21","","01","영업/정상","01","영업","","","","","033252 6567","304.20","","강원특별자치도 춘천시 근화동 722-9","강원특별자치도 춘천시 중앙로166번길 5 (근화동)","24276","조인모텔","2025-10-13 09:21:33","U","2025-10-15 02:40:00","여관업","262982.683255227","486085.834937671","여관업","0","0","0","0","0","0","0","13","","","","","0","0","N",
"11","숙박업","03_11_03_P","4181000","4181000-201-2012-00005","2012-10-15","","01","영업/정상","01","영업","","","","","033 252 2335","490.00","","강원특별자치도 춘천시 효자동 674-16","강원특별자치도 춘천시 효명길 10 (효자동)","24337","애플모텔","2021-06-17 10:21:33","I","2023-06-13 00:00:00","여관업","263859.668212809","485631.804409281","여관업","3","1","1","3","0","0","3","11","","","","","0","0","N",
"12","숙박업","03_11_03_P","4181000","4181000-201-2004-00006","2004-03-04","","01","영업/정상","01","영업","","","","","033 2429240","1288.46","","강원특별자치도 춘천시 삼천동 423-3","강원특별자치도 춘천시 스포츠타운길 296 (삼천동)","24239","비발디모텔","2023-12-28 16:59:13","U","2023-12-30 02:40:00","여관업","260890.631804265","485424.470538664","여관업","1","7","2","7","0","0","4","30","","","","임대","0","0","N",
"13","숙박업","03_11_03_P","4181000","4181000-201-1997-00021","1997-02-28","","01","영업/정상","01","영업","","","","","033 2410331","752.19","","강원특별자치도 춘천시 옥천동 42-6 ,42-9","강원특별자치도 춘천시 중앙로27번길 5-4 (옥천동)","24346","3D 시네마모텔","2022-07-11 11:24:31","I","2023-06-13 00:00:00","여관업","264093.911952742","486892.273451877","여관업","0","0","0","0","0","0","5","23","","","","","0","0","N",
"14","숙박업","03_11_03_P","4181000","4181000-201-2008-00005","2008-04-18","","01","영업/정상","01","영업","","","","","033 261 4629","408.00","","강원특별자치도 춘천시 남산면 강촌리 413","강원특별자치도 춘천시 남산면 강촌구곡길 135","24465","강촌폭포펜션","2020-06-15 10:47:11","I","2023-06-13 00:00:00","여관업","254917.242969323","477958.476180409","여관업","2","0","0","0","0","0","8","6","","","","자가","0","0","N",
"15","숙박업","03_11_03_P","4181000","4181000-201-2006-00001","2006-04-25","","01","영업/정상","01","영업","","","","","033 2525789","150.00","","강원특별자치도 춘천시 삼천동 301-27","강원특별자치도 춘천시 강창골길 37 (삼천동)","24239","하얀별모텔","2025-09-08 16:24:38","U","2025-09-10 02:40:00","여관업","261495.074048713","485466.832298755","여관업","8","1","6","0","0","1","6","16","","","","자가","0","0","N",
"16","숙박업","03_11_03_P","4181000","4181000-201-1990-00009","1990-08-09","","01","영업/정상","01","영업","","","","","033245 4300","3081.60","","강원특별자치도 춘천시 삼천동 300-3 290-3,308-1","강원특별자치도 춘천시 스포츠타운길 376 (삼천동)","24239","춘천베어스관광호텔","2025-05-29 13:12:01","U","2025-05-31 02:40:00","관광호텔","261426.409291116","485603.420620416","관광호텔","0","0","0","0","0","0","19","59","","","","임대","0","0","N",
"17","숙박업","03_11_03_P","4181000","4181000-201-2003-00004","2003-02-11","","01","영업/정상","01","영업","","","","","033 2540755","937.00","","강원특별자치도 춘천시 후평동 728-10","강원특별자치도 춘천시 보안길 107-1 (후평동)","24297","호텔야자춘천후평점","2024-10-30 10:41:32","U","2024-11-01 02:40:00","여관업","265869.510363423","487060.471230778","여관업","5","1","2","5","0","0","3","21","","","","","0","0","N",
"18","숙박업","03_11_03_P","4181000","4181000-201-1999-00014","1999-07-28","","01","영업/정상","01","영업","","","","","033 2575005","528.36","","강원특별자치도 춘천시 동면 장학리 76-2","강원특별자치도 춘천시 동면 춘천로 575","24210","수향모텔","2021-11-08 13:46:08","I","2023-06-13 00:00:00","여관업","267367.467384471","488678.777343901","여관업","3","1","1","3","0","0","9","17","","","","","0","0","N",
"19","숙박업","03_11_03_P","4181000","4181000-201-2002-00005","2002-08-10","","01","영업/정상","01","영업","","","","","033 2550550","810.10","","강원특별자치도 춘천시 퇴계동 1168-3","강원특별자치도 춘천시 남춘로5번길 10-2 (퇴계동)","24369","라벤다호텔","2024-10-30 10:41:03","U","2024-11-01 02:40:00","여관업","264077.533873961","484684.34908728","여관업","6","0","1","6","0","0","0","26","","","","","0","0","N",
"20","숙박업","03_11_03_P","4181000","4181000-214-2016-00001","2016-07-18","","01","영업/정상","01","영업","","","","","","198.09","","강원특별자치도 춘천시 남산면 백양리 290","강원특별자치도 춘천시 남산면 서백3길 101","24464","아이산테니스펜션","2021-05-11 11:10:53","I","2023-06-13 00:00:00","숙박업(생활)","249726.688109249","478497.392410236","숙박업(생활)","1","0","1","1","0","0","4","0","","","","임대","0","0","N",
"21","숙박업","03_11_03_P","4181000","4181000-201-1975-00003","1975-01-31","","01","영업/정상","01","영업","","","","","033 2544539","92.19","","강원특별자치도 춘천시 소양로4가 104-12","강원특별자치도 춘천시 가연길5번길 2-2 (소양로4가)","24275","강릉여인숙","2025-05-23 10:43:07","U","2025-05-25 02:40:00","여인숙업","263451.363897353","486292.886599364","여인숙업","1","0","1","1","0","0","5","0","","","","","0","0","N",
"22","숙박업","03_11_03_P","4181000","4181000-201-2004-00004","2004-01-30","","01","영업/정상","01","영업","","","","","033 2517786","1157.49","","강원특별자치도 춘천시 소양로3가 70","강원특별자치도 춘천시 금강로13번길 21 (소양로3가)","24272","VIP모텔","2024-03-12 15:54:14","U","2024-03-14 02:40:00","여관업","263695.497206682","487036.994697732","여관업","5","1","2","5","0","0","0","32","","","","자가","0","0","N",
"23","숙박업","03_11_03_P","4181000","4181000-201-2004-00005","2004-02-13","","01","영업/정상","01","영업","","","","","033 2420080","812.51","","강원특별자치도 춘천시 효자동 659-7","강원특별자치도 춘천시 금강로 133-1 (효자동)","24329","모텔티파니","2023-09-15 09:59:21","U","2023-09-17 02:40:00","여관업","264512.760781794","486079.357676497","여관업","6","0","2","6","0","0","4","21","","","","자가","0","0","N",
"24","숙박업","03_11_03_P","4181000","4181000-201-2003-00019","2003-11-25","","01","영업/정상","01","영업","","","","","033 2555544","1091.30","","강원특별자치도 춘천시 효자동 659-4","강원특별자치도 춘천시 금강로 129 (효자동)","24329","노블모텔","2020-07-06 14:55:00","I","2023-06-13 00:00:00","여관업","264477.821448729","486096.335187531","여관업","5","1","1","5","0","0","2","22","","","","임대","0","0","N",
"25","숙박업","03_11_03_P","4181000","4181000-201-1994-00018","1994-01-03","","01","영업/정상","01","영업","","","","","033242 9075","483.50","","강원특별자치도 춘천시 근화동 264-25","강원특별자치도 춘천시 공지로 473 (근화동)","24246","조이모텔","2020-06-18 15:40:34","I","2023-06-13 00:00:00","여관업","262846.603166064","486037.549816287","여관업","0","0","0","0","0","0","0","15","","","","자가","0","0","N",
