"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"1","승강기유지관리업체","11_48_01_P","6530000","642000000014","1998-10-26","","01","영업/정상","1","인허가","","","","","0337310572","","220-912","강원특별자치도 원주시 판부면 서곡리 468번지","강원특별자치도 원주시 판부면 내남송길 3","220-912","(주)금성엘리베이터","2025-09-02 00:00:00","U","2025-09-04 02:40:00","","","","유지관리","고속승강기,중저속승강기","150000000","","1100","3","0","","","","","","","","","본점","2240287816",
"2","승강기유지관리업체","11_48_01_P","6530000","642000000016","1999-08-27","","01","영업/정상","1","인허가","","","","","0336526675","","","강원특별자치도 강릉시 안현동 743","강원특별자치도 강릉시 안현로 110, 1층 (안현동)","","동양이앤아이 주식회사","2025-10-22 00:00:00","U","2025-10-24 02:40:00","","","","유지관리","고속승강기,중저속승강기","510","","874","1","0","","","","","","","","","본점","2268135395",
"3","승강기유지관리업체","11_48_01_P","6530000","423000000003","2015-04-08","","01","영업/정상","1","인허가","","","","","0336384585","","24899","강원특별자치도 속초시 대포동 산 53번지 41호","강원특별자치도 속초시 농공단지2길 14 (대포동)","24899","(주)금강엔지니어링","2025-10-20 00:00:00","U","2025-10-23 02:40:00","","","","유지관리","고속승강기,중저속승강기","800","","500","1","0","","","","","","","","","본점","2278110946",
"4","승강기유지관리업체","11_48_01_P","6530000","642000000018","1999-11-15","","01","영업/정상","1","인허가","","","","","0337614113","","26455","강원특별자치도 원주시 행구동 502번지 8호","강원특별자치도 원주시 운곡로 181-1 (행구동)","26455","(주)성림엘리베이터","2024-08-06 00:00:00","U","2024-08-08 02:40:00","","","","유지관리","고속승강기,중저속승강기","100000000","","1100","1","0","","","","","","","","","본점","2248141834",
"5","승강기유지관리업체","11_48_01_P","6530000","642000000038","2015-07-07","","01","영업/정상","1","인허가","","","","","0336517005","","","강원특별자치도 동해시 동회동 326-4","강원특별자치도 동해시 동회길 12(동회동)","","동해엘리베이터 주식회사","2025-10-15 00:00:00","U","2025-10-17 02:40:00","","","","유지관리","중저속승강기","100000000","","1000","2","0","","","","","","","","","본점","3478700574",
"6","승강기유지관리업체","11_48_01_P","6530000","419000000001","2022-04-20","","01","영업/정상","1","인허가","","","","","033813 3902","","26341","강원특별자치도 원주시 우산동 74-5","강원특별자치도 원주시 북원로 2541, 3층 (우산동)","26341","현대엘리베이터(주)충주지사","2025-07-22 00:00:00","U","2025-07-24 02:40:00","","","","유지관리","고속승강기","135997","","17280","9","","","","","","","","","","지점","1268104267",
"7","승강기유지관리업체","11_48_01_P","6530000","642000000033","2012-09-03","","01","영업/정상","1","인허가","","","","","0332637215","","200-933","강원특별자치도 춘천시 석사동 836번지 7호","강원특별자치도 춘천시 새롬공원길9번길 6-7 (석사동)","200-933","정운엘리베이터(주)","2025-04-29 00:00:00","U","2025-05-01 02:40:00","","","","유지관리","고속승강기,중저속승강기","100000000","","1600","2","0","","","","","","","","","본점","2218141418",
"8","승강기유지관리업체","11_48_01_P","6530000","642000000012","1998-02-09","","01","영업/정상","1","인허가","","","","","0336472601","","26341","강원특별자치도 원주시 우산동 74-5","강원특별자치도 원주시 북원로 2541, 3층 (우산동)","26341","현대엘리베이터(주)강원지사","2025-05-22 00:00:00","U","2025-05-24 02:40:00","","","","유지관리","고속승강기,중저속승강기","117547000000","","9270","8","0","","","","","","","","","본점","2948501300",
"9","승강기유지관리업체","11_48_01_P","6530000","642000000001","1992-10-30","","01","영업/정상","1","인허가","","","","","0332556557","","200-957","강원특별자치도 춘천시 후평1동  301번지 1호 영신빌딩 202호","강원특별자치도 춘천시 공단로 16, 2층 202호 (후평동,영신빌딩)","200-957","우전엘리베이터","2025-08-19 00:00:00","U","2025-08-21 02:40:00","","","","유지관리","고속승강기,중저속승강기","175","192","1200","2","0","","","","","","","","","본점","2212396325",
"10","승강기유지관리업체","11_48_01_P","6530000","419000000002","2020-12-16","","01","영업/정상","1","인허가","","","","","033 733 1125","","26383","강원특별자치도 원주시 단계동 382-12","강원특별자치도 원주시 로아노크로 28, 1동 3층 301호 (단계동)","26383","한국승강기센터 주식회사","2025-08-04 00:00:00","U","2025-08-06 02:40:00","","","","유지관리","고속승강기","100","100","630","1","","","","","","","","","","본점","5945400513",
"11","승강기유지관리업체","11_48_01_P","6530000","642000000029","2008-07-01","","01","영업/정상","1","인허가","","","","","033651700500","","25471","강원특별자치도 강릉시 포남동 55-4","강원특별자치도 강릉시 산양길 48(포남동)","25471","동양산전(주)","2025-06-26 00:00:00","U","2025-06-28 02:40:00","","","","유지관리","고속승강기,중저속승강기","100000000","","1200","2","","","","","","","","","","본점","2268138086",
"12","승강기유지관리업체","11_48_01_P","6530000","642000000036","2015-04-03","","01","영업/정상","1","인허가","","","","","0337312119","","","강원특별자치도 원주시 단계동 883번지 6호","강원특별자치도 원주시 이화6길 1, 8층 (단계동)","","에프엠엘리베이터(주)","2024-10-04 00:00:00","U","2024-10-06 02:40:00","","","","유지관리","고속승강기,중저속승강기","100000000","","300","1","0","","","","","","","","","본점","1538601267",
"13","승강기유지관리업체","11_48_01_P","6530000","642000000010","2014-04-17","","01","영업/정상","1","인허가","","","","","0337327215","","26311","강원특별자치도 원주시 태장동 1848번지","강원특별자치도 원주시 태장공단길 28 (태장동)","26311","(주)세진승강기","2025-10-23 00:00:00","U","2025-10-25 02:40:00","","","","유지관리","고속승강기,중저속승강기","102000000","","500","1","0","","","","","","","","","본점","2248144898",
"14","승강기유지관리업체","11_48_01_P","6530000","642000000035","2014-07-14","","01","영업/정상","1","인허가","","","","","0332637215","","","강원특별자치도 속초시 조양동 1563번지 1호","강원특별자치도 속초시 청대마을길 (조양동)","24869","승창엘리베이터(주)","2017-08-23 18:21:49","I","2023-06-13 00:00:00","","337660.804862988","521648.193382949","유지관리","중저속승강기","100000000","","500","1","0","","","","8","","","","","본점","5698800570",
"15","승강기유지관리업체","11_48_01_P","6530000","642000000037","2015-04-08","","01","영업/정상","1","인허가","","","","","0336384585","","","강원특별자치도 속초시 대포동 산 53번지 41호","강원특별자치도 속초시 농공단지2길 14 (대포동)","24899","(주)금강엔지니어링","2017-07-06 20:03:19","I","2023-06-13 00:00:00","","339985.718720489","520388.505472476","유지관리","중저속승강기","100000000","","500","1","0","","","","5","","","","","본점","2278110946",
"16","승강기유지관리업체","11_48_01_P","6530000","642000000039","2015-10-13","","01","영업/정상","1","인허가","","","","","0336368937","","","강원특별자치도 속초시 노학동 291번지 5호","강원특별자치도 속초시 온천로 153, 2층 (노학동)","24864","(주)세종엘리베이터","2018-04-21 12:15:29","I","2023-06-13 00:00:00","","336498.53131159","522023.139137799","유지관리","중저속승강기","100000000","","600","1","","","","","9","","","","","본점","4588600260",
"17","승강기유지관리업체","11_48_01_P","6530000","642000000028","2008-01-17","","01","영업/정상","1","인허가","","","","","0332616125","","24441","강원특별자치도 춘천시 퇴계동 887","강원특별자치도 춘천시 공원3길 1, 1층 (퇴계동)","24441","춘천엘리베이터","2025-08-28 00:00:00","U","2025-08-30 02:40:00","","","","유지관리","고속승강기,중저속승강기","102475269","","1200","2","0","","","","","","","","","본점","2210922356",
"18","승강기유지관리업체","11_48_01_P","6530000","423000000007","2023-04-25","","01","영업/정상","1","인허가","","","","","","","05399","서울특별시 강동구 성내동 551-1 삼원타워","서울특별시 강동구 성내로6길 11, 삼원타워 2층 (성내동)","05399","오티스서비스엑스퍼트(유)강원","2025-08-27 00:00:00","U","2025-08-29 02:40:00","","","","유지관리","중저속승강기","2650","","1900","2","","","","","","","","","","지점","4088533696",
"19","승강기유지관리업체","11_48_01_P","6530000","642000000002","1992-12-24","","01","영업/정상","1","인허가","","","","","0336510755","","25605","강원특별자치도 강릉시 노암동 762번지 8호","강원특별자치도 강릉시 남부로 90, A동 204호 (노암동)","25605","(주)삼양엘리베이터","2024-10-17 00:00:00","U","2024-10-19 02:40:00","","","","유지관리","중저속승강기","100000000","","2000","2","0","","","","","","","","","본점","2268122075",
