"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품냉동냉장업","07_22_07_P","4181000","4181000-116-2024-00001","2024-09-11","","01","영업/정상","01","영업","","","","","15663756","450.00","","강원특별자치도 춘천시 신북읍 율문리 942","강원특별자치도 춘천시 신북읍 신북로 61-14, 춘천벤처2공장 B104호","24206","농업회사법인 밭 주식회사","2025-09-10 16:57:13","U","2025-09-12 02:40:00","식품냉동.냉장업","265906.685991406","492278.551903287","식품냉동.냉장업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"2","식품냉동냉장업","07_22_07_P","4181000","4181000-116-1972-00001","1972-08-21","","03","폐업","02","폐업","2017-12-28","","","","","990.00","","강원특별자치도 춘천시 후평동 244-39","강원특별자치도 춘천시 삭주로145번길 50 (후평동)","24232","중원수산","2017-12-28 11:53:50","I","2023-06-13 00:00:00","식품냉동.냉장업","265601.876794888","487784.330674053","식품냉동.냉장업","0","0","","","상수도전용","0","0","7","2","8","임대","0","0","N","0","","","",
"3","식품냉동냉장업","07_22_07_P","4181000","4181000-116-1992-00001","1992-12-15","","03","폐업","02","폐업","2015-06-05","","","","033 2545525","193.02","","강원특별자치도 춘천시 소양로1가 94-1","강원특별자치도 춘천시 번개시장길 19-1 (소양로1가)","24247","옥수제빙냉동.냉장공장","2013-11-15 13:25:05","I","2023-06-13 00:00:00","식품냉동.냉장업","263787.958432988","487834.193467715","식품냉동.냉장업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"4","식품냉동냉장업","07_22_07_P","4181000","4181000-116-2009-00001","2009-09-07","","03","폐업","02","폐업","2009-09-14","","","","033 262 5892","200.00","","강원특별자치도 춘천시 동내면 고은리 528-28","","","(주)빙그레","2009-09-07 17:09:26","I","2023-06-13 00:00:00","식품냉동.냉장업","267549.104400361","483357.226462928","식품냉동.냉장업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","식품냉동냉장업","07_22_07_P","4191000","4191000-116-1996-00003","1996-11-04","","01","영업/정상","01","영업","","","","","033 7472988","140.00","","강원특별자치도 원주시 호저면 만종리 489-1","강원특별자치도 원주시 호저면 원문로 525-23","26375","(주)남원","2021-08-25 13:45:28","I","2023-06-13 00:00:00","식품냉동.냉장업","280252.989491685","428939.263698856","식품냉동.냉장업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","식품냉동냉장업","07_22_07_P","4191000","4191000-116-2009-00001","2009-05-14","","01","영업/정상","01","영업","","","","","033 731 1870","1293.60","","강원특별자치도 원주시 문막읍 반계리 2262-13","강원특별자치도 원주시 문막읍 원문로 2057","26362","동부로지스주식회사","2024-07-31 14:10:34","U","2024-08-02 02:40:00","식품냉동.냉장업","271125.242191868","422427.917953942","식품냉동.냉장업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"7","식품냉동냉장업","07_22_07_P","4191000","4191000-116-2011-00002","2011-06-30","","01","영업/정상","01","영업","","","","","033 740 8250","1008.00","","강원특별자치도 원주시 우산동 390","강원특별자치도 원주시 우산로 177 (우산동)","26335","삼양라운드어스주식회사","2023-07-18 15:22:41","U","2023-07-20 02:40:00","식품냉동.냉장업","282952.964980929","431133.811000084","식품냉동.냉장업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","식품냉동냉장업","07_22_07_P","4191000","4191000-116-2014-00001","2014-06-12","","01","영업/정상","01","영업","","","","","033 733 0235","1157.00","","강원특별자치도 원주시 소초면 장양리 184","강원특별자치도 원주시 소초면 북원로 3062-6, 1층","26308","원주K-7저온센터","2024-05-14 14:04:59","U","2024-05-16 02:40:00","식품냉동.냉장업","285240.875377241","435142.343733355","식품냉동.냉장업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","1157","","","",
"9","식품냉동냉장업","07_22_07_P","4191000","4191000-116-2015-00001","2015-05-06","","01","영업/정상","01","영업","","","","","033 747 7939","1354.40","","강원특별자치도 원주시 소초면 장양리 484-1 1,2층","강원특별자치도 원주시 소초면 수래울길 5 (1,2층)","26308","(주)에스피씨지에프에스원주물류센터","2024-11-18 09:45:27","U","2024-11-20 02:40:00","식품냉동.냉장업","285928.188554942","433490.309857545","식품냉동.냉장업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","1354.4","","","",
"10","식품냉동냉장업","07_22_07_P","4191000","4191000-116-2015-00002","2015-08-28","","01","영업/정상","01","영업","","","","","033 734 0981","412.28","","강원특별자치도 원주시 문막읍 동화리 166","강원특별자치도 원주시 문막읍 동화큰골길 8-1","26372","농업회사법인 김채주식회사","2016-07-06 17:27:47","I","2023-06-13 00:00:00","식품냉동.냉장업","275606.515980105","425619.537404957","식품냉동.냉장업","0","0","","","","0","0","0","0","0","","0","0","N","412.28","","","",
