"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품운반업","07_22_09_P","4181000","4181000-117-2014-00001","2014-02-13","","01","영업/정상","01","영업","","","","","033  2635783","149.70","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 경춘로 **** (온의동)","24431","(주)영서이앤에스","2014-02-19 17:21:07","I","2023-06-13 00:00:00","식품운반업","262783.432266062","482789.516811151","식품운반업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"2","식품운반업","07_22_09_P","4181000","4181000-117-2018-00001","2018-07-13","","01","영업/정상","01","영업","","","","","033 254 9368","","","강원특별자치도 춘천시 사농동 *** 춘천 뉴시티 코아루 ***동 ***호","강원특별자치도 춘천시 영서로 ****, ***동 ***호 (사농동, 춘천 뉴시티 코아루)","24223","행복운수","2024-08-14 10:36:44","U","2024-08-17 02:40:00","식품운반업","263745.755839268","490140.453348897","식품운반업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","식품운반업","07_22_09_P","4181000","4181000-117-2020-00002","2020-12-29","","01","영업/정상","01","영업","","","","","033 263 8051","","","강원특별자치도 춘천시 칠전동 ***-**","강원특별자치도 춘천시 칠전동길 ** (칠전동)","24456","선우물류 주식회사","2024-11-26 09:59:08","U","2024-11-28 02:40:00","식품운반업","262905.962238314","482374.221868107","식품운반업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","식품운반업","07_22_09_P","4181000","4181000-117-2022-00001","2022-07-22","","01","영업/정상","01","영업","","","","","033 262 0044","66.00","","강원특별자치도 춘천시 동내면 학곡리 ***","강원특별자치도 춘천시 동내면 영서로 ****","24408","(주)한올상운","2022-07-22 10:53:19","I","2023-06-13 00:00:00","식품운반업","266882.526574301","480228.376458695","식품운반업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","식품운반업","07_22_09_P","4181000","4181000-117-2007-00005","2007-06-05","","01","영업/정상","01","영업","","","","","033 253 8030","","","강원특별자치도 춘천시 소양로*가 ***-*","강원특별자치도 춘천시 소양로 *** (소양로*가)","24272","춘천농업협동조합","2024-08-12 15:44:05","U","2024-08-14 02:40:00","식품운반업","263597.187815591","487019.948940286","식품운반업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"6","식품운반업","07_22_09_P","4181000","4181000-117-2010-00001","2010-01-11","","01","영업/정상","01","영업","","","","","033 263 6368","13.00","","강원특별자치도 춘천시 동내면 사암리 ****-*","강원특별자치도 춘천시 동내면 대룡산길 **-*","24408","해양수산","2022-07-15 13:14:02","I","2023-06-13 00:00:00","식품운반업","267319.182648713","482242.696713625","식품운반업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"7","식품운반업","07_22_09_P","4181000","4181000-117-2003-00003","2003-11-12","","01","영업/정상","01","영업","","","","","033 2638051","0.00","","강원특별자치도 춘천시 칠전동 ***-**","강원특별자치도 춘천시 칠전동길 ** (칠전동)","24456","(합자)경영물류","2022-02-18 10:24:20","I","2023-06-13 00:00:00","식품운반업","262905.962238314","482374.221868107","식품운반업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"8","식품운반업","07_22_09_P","4181000","4181000-117-2005-00001","2005-06-07","","01","영업/정상","01","영업","","","","","033 2635783","0.00","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 경춘로 **** (온의동)","24431","영서로지스틱스주식회사","2022-07-12 17:52:16","I","2023-06-13 00:00:00","식품운반업","262783.432266062","482789.516811151","식품운반업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"9","식품운반업","07_22_09_P","4181000","4181000-117-2023-00001","2023-11-22","","01","영업/정상","01","영업","","","","","033 253 9095","247.15","","강원특별자치도 춘천시 동내면 거두리 ***-**","강원특별자치도 춘천시 동내면 순환대로 ***, 나동","24399","나눔유통협동조합","2024-08-12 15:43:09","U","2024-08-14 02:40:00","식품운반업","268218.242314131","485332.74466709","식품운반업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"10","식품운반업","07_22_09_P","4191000","4191000-117-2023-00002","2023-08-02","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 원주시 소초면 장양리 ***-* 영진*차아파트","강원특별자치도 원주시 소초면 장막*길 **, ***동 ***호 (영진*차아파트)","26306","에이스후레쉬(주)","2023-08-02 11:14:47","I","2023-08-04 00:18:41","식품운반업","284785.199851184","434852.432478119","식품운반업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
