"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품자동판매기업","07_22_10_P","4181000","4181000-112-2023-00012","2023-08-31","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 춘천시 조양동 24-8","강원특별자치도 춘천시 시청길 16, 1층 (조양동)","24352","씨유 춘천시청광장점","2024-06-04 17:57:08","U","2024-06-06 02:40:00","식품자동판매기영업","264099.585143201","486646.862929519","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","식품자동판매기업","07_22_10_P","4251000","4251000-112-2023-00002","2023-08-30","","01","영업/정상","01","영업","","","","","033 433 8776","1.00","","강원특별자치도 홍천군 홍천읍 희망리 43-1 미진아파트","강원특별자치도 홍천군 홍천읍 석화로 116 (미진아파트)","25124","GS25홍천미진점","2023-08-30 17:39:25","I","2023-09-01 00:18:42","식품자동판매기영업","278538.717888794","466311.286294459","식품자동판매기영업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"3","식품자동판매기업","07_22_10_P","4191000","4191000-112-2023-00037","2023-09-13","","01","영업/정상","01","영업","","","","","","1.40","","강원특별자치도 원주시 단계동 876-5","강원특별자치도 원주시 서원대로 163, 1층 (단계동)","26436","카페쿠엘","2023-10-12 16:13:37","U","2023-10-14 02:40:00","식품자동판매기영업","282315.635616416","427345.392282396","식품자동판매기영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"4","식품자동판매기업","07_22_10_P","4281000","4281000-112-2023-00003","2023-08-08","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 평창군 대관령면 용산리 425 알펜시아 리조트","강원특별자치도 평창군 대관령면 솔봉로 325, 알펜시아 리조트","25351","샤인","2023-08-08 15:46:44","I","2023-08-10 00:18:35","식품자동판매기영업","345786.815844836","462590.554819645","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","식품자동판매기업","07_22_10_P","4181000","4181000-112-2023-00010","2023-07-04","","01","영업/정상","01","영업","","","","","","75.90","","강원특별자치도 춘천시 석사동 971 석사신도브래뉴 상가동 201호","강원특별자치도 춘천시 공지로 69-10, 상가동 201호 (석사동, 석사신도브래뉴)","24395","메일빈 춘천석사점","2025-06-11 10:07:36","U","2025-06-13 02:40:00","식품자동판매기영업","265911.804704953","483723.030054978","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","식품자동판매기업","07_22_10_P","4191000","4191000-112-2023-00033","2023-08-21","","01","영업/정상","01","영업","","","","","","0.56","","강원특별자치도 원주시 소초면 흥양리 1664","강원특별자치도 원주시 소초면 치악로 2334, 1층","26310","씨유원주흥양리점","2023-09-06 13:10:02","U","2023-09-08 02:40:00","식품자동판매기영업","286343.368117475","431703.330396096","식품자동판매기영업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"7","식품자동판매기업","07_22_10_P","4191000","4191000-112-2023-00029","2023-07-14","","01","영업/정상","01","영업","","","","","","0.49","","강원특별자치도 원주시 흥업면 사제리 1342-2","강원특별자치도 원주시 흥업면 원문로 913, 1층","26356","씨유(CU)원주광터점","2023-08-02 10:03:40","U","2023-08-04 02:40:00","식품자동판매기영업","278178.223569249","427008.834243628","식품자동판매기영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"8","식품자동판매기업","07_22_10_P","4251000","4251000-112-2023-00001","2023-08-09","","01","영업/정상","01","영업","","","","","","3.30","","강원특별자치도 홍천군 남면 시동리 1088-2","","","진영사","2023-08-09 10:36:08","I","2023-08-11 00:18:47","식품자동판매기영업","272858.010311876","455048.981453612","식품자동판매기영업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"9","식품자동판매기업","07_22_10_P","4211000","4211000-112-2023-00011","2023-08-25","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 동해시 천곡동 10-3","","","천곡어촌계","2023-08-25 09:26:11","I","2023-08-27 00:18:30","식품자동판매기영업","387754.409262511","449155.47285882","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","식품자동판매기업","07_22_10_P","4241000","4241000-112-2007-00004","2007-05-31","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 삼척시 남양동 55-9","강원특별자치도 삼척시 오십천로 418 (남양동)","25920","삼척의료원","2023-08-04 10:50:39","I","2023-08-06 00:18:39","식품자동판매기영업","391434.820290382","439773.856200338","식품자동판매기영업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
