"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업소구분명","소재지","지정일자","신청일자","항목값1",
"1","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800161","1998-12-15","","01","영업/정상","11","영업","","","","","033 263 6969","","200-180","강원특별자치도 춘천시 석사동 813","","","현대프라자","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","265129.011467503","483916.620791369","지정","현대아파트 상가","","20000925","관급봉투",
"2","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199500420","1995-01-05","","01","영업/정상","11","영업","","","","","033 2422259","","200-821","강원특별자치도 춘천시 신북읍 율문리 1","","","경춘상회","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","","","","","관급봉투",
"3","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199600232","1996-07-12","","01","영업/정상","11","영업","","","","","","","200-835","강원특별자치도 춘천시 서면 당림리 관리사무소","","","당림유원지","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","당림유원지내 관리사무소","","20000927","관급봉투",
"4","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199600233","1996-07-12","","01","영업/정상","11","영업","","","","","033 255 0998","","200-860","강원특별자치도 춘천시 사북면 고탄리 50-23","","","고탄낚시터","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","고탄낚시터","","20000927","관급봉투",
"5","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199600234","1996-07-12","","01","영업/정상","11","영업","","","","","033253 1093","","200-113","강원특별자치도 춘천시 소양로3가 58 2  통2  반","강원특별자치도 춘천시 금강로13번길 10-1  (소양로3가)","","자매식품","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263692.465801182","486923.42842287","지정","서부시장 부근","","20000927","관급봉투",
"6","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199600235","1996-06-18","","01","영업/정상","11","영업","","","","","","","200-140","강원특별자치도 춘천시 사농동 동부아파트상가지하-101","","","동부유통","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","동부아파트상가지하-101","","20000927","관급봉투",
"7","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199600236","1996-04-06","","01","영업/정상","11","영업","","","","","","","200-140","강원특별자치도 춘천시 사농동 75-3","강원특별자치도 춘천시 영서로 2851  (사농동)","","대광상회","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263563.88865321","489650.115658518","지정","소양중 부근","","20000927","관급봉투",
"8","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199600237","1996-05-02","","01","영업/정상","11","영업","","","","","033 252 1900","","200-150","강원특별자치도 춘천시 우두동 1065","강원특별자치도 춘천시 충열로16번길 5-3  (우두동)","","사우슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","264111.363191051","488836.126976101","지정","삼성아파트 부근","","20000927","관급봉투",
"9","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199600238","1996-05-02","","01","영업/정상","11","영업","","","","","033241 9152","","200-140","강원특별자치도 춘천시 사농동 1063-5","","","할렐루야 슈퍼 6호점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","삼성아파트 부근","","20000927","관급봉투",
"10","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800139","1998-05-06","","01","영업/정상","11","영업","","","","","033 261 1088","","200-180","강원특별자치도 춘천시 석사동 두산아파트상가  101동 103호","","","두산유통","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","두산아파트 상가 내","","20000925","관급봉투",
"11","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800140","1998-05-06","","01","영업/정상","11","영업","","","","","033 261 8585","","200-180","강원특별자치도 춘천시 석사동 744-1","강원특별자치도 춘천시 우석로79번길 9  (석사동)","","애막골 부식","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","266183.021365759","485041.59700806","지정","석사동 744-1","","20000925","관급봉투",
"12","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800141","1998-05-06","","01","영업/정상","11","영업","","","","","033 244 3225","","200-130","강원특별자치도 춘천시 근화동 467 6  통2  반","","","성경마트","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","근화동 467  6/2","","20000925","관급봉투",
"13","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800142","1998-04-09","","01","영업/정상","11","영업","","","","","033 251 1267","","200-860","강원특별자치도 춘천시 사북면 지촌리","","","지촌2리판매소","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","사북면 지촌2리","","20000925","관급봉투",
"14","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800143","1998-04-09","","01","영업/정상","11","영업","","","","","033 253 0815","","200-860","강원특별자치도 춘천시 사북면 고성리 94","","","양통매점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","264711.454819113","500155.468502277","지정","고성2리 94","","20000925","관급봉투",
"15","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800144","1998-04-29","","01","영업/정상","11","영업","","","","","033 252 2110","","200-190","강원특별자치도 춘천시 온의동 532-2","강원특별자치도 춘천시 춘주로 96  (온의동)","","내고향슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263297.113525447","484576.419045698","지정","남춘천중학교 부근","","20000925","관급봉투",
"16","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800145","1998-04-17","","01","영업/정상","11","영업","","","","","033  2548533","","200-070","강원특별자치도 춘천시 조양동 48-1","강원특별자치도 춘천시 시청길10번길 16  (조양동)","","현대상회","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","264099.311169448","486536.709866083","지정","조양동 48-1","","20000925","관급봉투",
"17","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800146","1998-04-18","","01","영업/정상","11","영업","","","","","033243 1569","","200-870","강원특별자치도 춘천시 북산면 추곡리 1204","","","추곡1리 봉투판매소","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","278144.258882973","502572.565327124","지정","북산면 추곡1리 1204","","20000925","관급봉투",
"18","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800147","1998-04-11","","01","영업/정상","11","영업","","","","","033 255 0144","","200-091","강원특별자치도 춘천시 효자동 677-37","","","에덴슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263960.854622046","485941.235420688","지정","약사리고개","","20000925","관급봉투",
"19","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800148","1998-04-11","","01","영업/정상","11","영업","","","","","033 253 9107","","200-091","강원특별자치도 춘천시 효자동 593-2 20 통4  반","","","황해슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","","","지정","효자1동 593-2     20/4","","20000925","관급봉투",
"20","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800149","1998-04-13","","01","영업/정상","11","영업","","","","","033 255 8077","","200-190","강원특별자치도 춘천시 온의동 549-16","강원특별자치도 춘천시 충혼길52번길 5-17  (온의동)","","상광마트","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263259.395163719","484335.841230564","지정","남춘천여자중학교 부근","","20000925","관급봉투",
"21","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800150","1998-04-02","","01","영업/정상","11","영업","","","","","033 241 9911","","200-163","강원특별자치도 춘천시 후평동 67-72","강원특별자치도 춘천시 후석로 312  (후평동)","","신부안슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","265993.969354751","486528.741471488","지정","후평3동 67-72","","20000925","관급봉투",
"22","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800151","1998-03-21","","01","영업/정상","11","영업","","","","","033243 0957","","200-190","강원특별자치도 춘천시 온의동 531-7","강원특별자치도 춘천시 충혼길44번길 4  (온의동)","","신선슈퍼","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263349.475731166","484493.643850808","지정","남춘천중학교 부근","","20000925","관급봉투",
"23","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800152","1998-03-21","","01","영업/정상","11","영업","","","","","033242 7794","","200-190","강원특별자치도 춘천시 온의동 65-56","강원특별자치도 춘천시 스포츠타운길 529-3  (온의동)","","할렐루야 온의점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","262778.656688072","485390.028251393","지정","보배아파트 입구","","20000925","관급봉투",
"24","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800153","1998-02-10","","01","영업/정상","11","영업","","","","","033 256 5506","","200-093","강원특별자치도 춘천시 효자동 618-3","강원특별자치도 춘천시 서부대성로 205  (효자동)","","훼미리마트춘천여명점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","265162.463180138","486000.311496231","지정","효자3동 618-3","","20000925","관급봉투",
"25","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800154","1998-02-09","","01","영업/정상","11","영업","","","","","033242 7791","","200-130","강원특별자치도 춘천시 근화동 791-4","","","할렐루야9호점","2007-07-21 10:30:26","I","2023-06-13 00:00:00","","263397.445850893","487836.861292467","지정","근화동 791-4","","20000925","관급봉투",
"26","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199600266","1996-07-01","","01","영업/정상","11","영업","","","","","0332439700","","200-821","강원특별자치도 춘천시 신북읍 율문리 551-1","강원특별자치도 춘천시 신북읍 율문길 71","","신북농업협동조합","2009-10-21 09:22:29","I","2023-06-13 00:00:00","","265486.324533957","491723.428032791","지정","강원특별자치도 춘천시 신북읍 율문리","19960701","19960701","관급봉투",
