"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","영화배급업","03_13_01_P","4181000","CDFF5211032017000001","2017-12-11","","03","폐업","03","폐업","2020-01-17","","","","070-4090-8922","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 **-* (후평동)","24254","주식회사 산사나무픽처스","2020-01-17 09:35:29","I","2023-06-13 00:00:00","","265506.554739553","487171.742474238","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20171211","",
"2","영화배급업","03_13_01_P","4181000","CDFF5211032022000001","2022-02-17","","03","폐업","03","폐업","2024-08-05","","","","","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 우석로 **, 혜원빌딩 ***호 (석사동)","24326","스튜디오텔레파시 주식회사","2024-08-07 09:05:04","U","2024-08-10 02:40:00","","265972.29935078","484785.970648172","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20220217","",
"3","영화배급업","03_13_01_P","4181000","CDFF5211032012000001","2008-06-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 현암리","강원특별자치도 춘천시 서면 박사로 ***, *층 ***호","200-831","㈜오션망고코리아","2012-03-06 14:14:11","I","2023-06-13 00:00:00","","260819.739664112","488267.312140011","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20080616","",
"4","영화배급업","03_13_01_P","4181000","CDFF5211032013000001","2013-01-09","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 서면 금산리 ****","강원특별자치도 춘천시 서면 박사로 ***","200-831","(주)네모컬처스","2013-01-09 11:24:57","I","2023-06-13 00:00:00","","260819.739664112","488267.312140011","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20130109","",
"5","영화배급업","03_13_01_P","4181000","CDFF5211032016000001","2016-10-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 **-**","강원특별자치도 춘천시 으뜸길 ** (효자동)","24290","봄내필름","2020-04-20 14:30:57","I","2023-06-13 00:00:00","","265382.870930782","486279.728608653","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20161025","",
"6","영화배급업","03_13_01_P","4181000","CDFF5211032020000001","2020-04-20","","01","영업/정상","13","영업중","","","","","033-245-6600","","","강원특별자치도 춘천시 효자동 ***-* 춘천축협효자지점","강원특별자치도 춘천시 효자로 ***, 춘천축협효자지점 *층 (효자동)","24329","한테크주식회사","2023-02-07 14:29:17","I","2023-06-13 00:00:00","","264563.94245221","486040.71272591","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20200420","",
"7","영화배급업","03_13_01_P","4181000","CDFF5211032021000001","2021-05-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 신동면 증리 ***","강원특별자치도 춘천시 신동면 금병의숙*길 **","24412","영화사 몸","2021-05-11 17:31:29","I","2023-06-13 00:00:00","","263110.814484607","479254.018615224","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20210511","",
"8","영화배급업","03_13_01_P","4181000","CDFF5211032023000001","2023-04-13","","01","영업/정상","13","영업중","","","","","033-255-5390","","","강원특별자치도 춘천시 후평동 ***-** 후평공단 *동 *층 *호","강원특별자치도 춘천시 후석로***번길 **, 후평공단 *동 *층 *호 (후평동)","24232","스탠딩플러스","2023-04-13 15:29:17","I","2023-06-13 00:00:00","","265337.030473427","487891.43582197","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20230413","",
"9","영화배급업","03_13_01_P","4181000","CDFF5211032024000001","2024-11-28","","01","영업/정상","13","영업중","","","","","070-7543-4504","","","강원특별자치도 춘천시 옥천동 **-*","강원특별자치도 춘천시 중앙로**번길 **-*, *층 (옥천동)","24346","주식회사 나인픽처스","2024-11-28 16:26:58","I","2024-11-30 00:11:51","","264149.86098667","486883.545858048","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20241128","",
"10","영화배급업","03_13_01_P","4191000","CDFF5211032018000001","2018-02-21","","03","폐업","03","폐업","2023-11-01","","","","033-733-8020","","","강원특별자치도 원주시 일산동 *** 시민문화센터 *층 원주영상미디어센터","강원특별자치도 원주시 원일로 ***, 시민문화센터 *층 (일산동)","26417","원주영상미디어센터","2024-01-09 13:35:33","U","2024-01-11 02:40:00","","283818.701302395","428144.659798378","영화배급업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20180221","",
