"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","영화상영업","03_13_03_P","4181000","CDFF5211041999000003","1999-08-27","","02","휴업","02","휴업","","","9999-12-31","","","","","강원특별자치도 춘천시 조양동 25","강원특별자치도 춘천시 시청길 12 (조양동)","200-941","피카디리","2011-11-03 11:01:50","I","2023-06-13 00:00:00","","264058.010369038","486641.245936737","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","19990827","",
"2","영화상영업","03_13_03_P","4181000","CDFF5211041999000004","1999-08-27","","02","휴업","02","휴업","","","9999-12-31","","","","","강원특별자치도 춘천시 조양동 25-3","강원특별자치도 춘천시 시청길10번길 7 (조양동)","200-941","아카데미","2011-11-03 11:02:25","I","2023-06-13 00:00:00","","264066.594581182","486613.502635083","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","19990827","",
"3","영화상영업","03_13_03_P","4181000","CDFF5211042004000001","2004-07-07","","02","휴업","02","휴업","","","9999-12-31","","","","200-911","강원특별자치도 춘천시 남산면 강촌리 224-7","","","강촌자동차극장","2010-05-03 17:32:29","I","2023-06-13 00:00:00","","255767.311401857","479344.013503728","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20040707","",
"4","영화상영업","03_13_03_P","4181000","CDFF5211042005000001","2005-05-30","","02","휴업","02","휴업","","","9999-12-31","","","","","강원특별자치도 춘천시 삼천동 200","강원특별자치도 춘천시 스포츠타운길 383-6 (삼천동)","200-200","씨네자동차극장","2011-11-03 11:04:12","I","2023-06-13 00:00:00","","261638.06885953","485738.768274014","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20050530","",
"5","영화상영업","03_13_03_P","4181000","CDFF5211042008000001","2008-01-15","","02","휴업","02","휴업","","","9999-12-31","","","","200-831","강원특별자치도 춘천시 서면 현암리 367","강원특별자치도 춘천시 서면 박사로 854","","(재)강원정보문화진흥원","2010-05-04 11:34:50","I","2023-06-13 00:00:00","","","","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20080115","",
"6","영화상영업","03_13_03_P","4181000","CDFF5211042022000001","2022-02-17","","03","폐업","03","폐업","2024-08-05","","","","","","","강원특별자치도 춘천시 석사동 765-2","강원특별자치도 춘천시 우석로 43, 혜원빌딩  201호 (석사동)","24326","스튜디오텔레파시 주식회사","2024-08-07 09:04:54","U","2024-08-10 02:40:00","","265972.29935078","484785.970648172","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20220217","",
"7","영화상영업","03_13_03_P","4181000","CDFF5211042007000001","2007-08-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 죽림동 189 브라운가6동","강원특별자치도 춘천시 중앙로67번길 18 (죽림동)","200-050","(주)앰케이픽처스(프리머스시네마)","2011-11-03 11:05:04","I","2023-06-13 00:00:00","","263954.075694438","486406.885561246","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20070814","",
"8","영화상영업","03_13_03_P","4181000","CDFF5211042008000002","2008-09-24","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 1017","강원특별자치도 춘천시 지석로 80 (퇴계동)","200-965","투탑시티 씨네마","2011-11-03 11:06:23","I","2023-06-13 00:00:00","","265386.634330563","483368.251535269","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20080924","",
"9","영화상영업","03_13_03_P","4181000","CDFF5211042009000001","2009-01-12","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 죽림동 189 브라운 5번가 6동","강원특별자치도 춘천시 중앙로67번길 18 (죽림동)","200-050","지아이씨네","2011-11-03 11:07:04","I","2023-06-13 00:00:00","","263954.075694438","486406.885561246","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20090112","",
"10","영화상영업","03_13_03_P","4181000","CDFF5211042017000001","2017-03-07","","01","영업/정상","13","영업중","","","","","033)241-1000","","","강원특별자치도 춘천시 온의동 587-8","강원특별자치도 춘천시 춘천로17번길 17 (온의동)","24364","파사디나(주)춘천지점","2020-04-20 13:48:56","I","2023-06-13 00:00:00","","263286.939584035","485123.910625361","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20170307","",
"11","영화상영업","03_13_03_P","4181000","CDFF5211042020000001","2020-04-20","","01","영업/정상","13","영업중","","","","","033-245-6600","","","강원특별자치도 춘천시 효자동 658-5 춘천축협효자지점","강원특별자치도 춘천시 효자로 135, 춘천축협효자지점 5층 (효자동)","24329","한테크주식회사","2023-02-07 14:36:23","I","2023-06-13 00:00:00","","264563.94245221","486040.71272591","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20200420","",
"12","영화상영업","03_13_03_P","4181000","CDFF5211042020000002","2020-07-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 죽림동 189 브라운가","강원특별자치도 춘천시 중앙로67번길 18 (죽림동, 브라운가)","24354","주식회사 글로벌콘텐츠그룹","2025-07-23 13:57:06","U","2025-07-25 02:40:00","","263954.075694438","486406.885561246","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20200707","",
"13","영화상영업","03_13_03_P","4191000","CDFF5211042013000001","2013-03-27","","03","폐업","03","폐업","2013-07-16","","","","","","","강원특별자치도 원주시 흥업면 사제리 1652","강원특별자치도 원주시 흥업면 수루니길 22","","벤허자동차극장","2013-07-16 16:32:39","I","2023-06-13 00:00:00","","276750.379514792","426472.217345587","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20130327","",
"14","영화상영업","03_13_03_P","4191000","CDFF5211042018000001","2018-02-21","","03","폐업","03","폐업","2023-11-01","","","","033-733-8020","","","강원특별자치도 원주시 일산동 211 시민문화센터 4층 원주영상미디어센터","강원특별자치도 원주시 원일로 139, 시민문화센터 4층 (일산동)","26417","원주영상미디어센터","2024-01-09 13:35:25","U","2024-01-11 02:40:00","","283818.701302395","428144.659798378","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20180221","",
"15","영화상영업","03_13_03_P","4191000","CDFF5211042009000001","2009-11-09","","01","영업/정상","13","영업중","","","","","033-744-2002","","","강원특별자치도 원주시 단계동 873 아트스페이스빌딩 6층","강원특별자치도 원주시 서원대로 165-3, 아트스페이스빌딩 6층 (단계동)","26436","주식회사 씨케이케이앤장","2018-01-03 15:07:07","I","2023-06-13 00:00:00","","282315.673637127","427402.924552547","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20091109","",
"16","영화상영업","03_13_03_P","4191000","CDFF5211042016000001","2016-07-13","","01","영업/정상","13","영업중","","","","","033-747-2903","","","강원특별자치도 원주시 반곡동 1903-2","강원특별자치도 원주시 양지로 80, 7층 601호 (반곡동)","26462","(주)와이지시네마","2016-09-26 17:07:00","I","2023-06-13 00:00:00","","287336.98603588","425561.69150027","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20160713","",
"17","영화상영업","03_13_03_P","4191000","CDFF5211042017000001","2017-06-19","","01","영업/정상","13","영업중","","","","","033-735-3377","","","강원특별자치도 원주시 무실동 1857-10","강원특별자치도 원주시 능라동길 51, 9층 901호 (무실동, 시네시티타워)","26392","금남종합개발(주)","2019-05-16 17:21:04","I","2023-06-13 00:00:00","","282361.656343235","426273.540502002","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20170619","",
"18","영화상영업","03_13_03_P","4191000","CDFF5211042022000001","2022-06-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 1511-2 스타월드","강원특별자치도 원주시 서원대로 396, 스타월드 5층 (단구동)","26484","주식회사 원시네마","2022-06-23 09:20:21","I","2023-06-13 00:00:00","","284012.197863588","425846.256339564","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20220623","",
"19","영화상영업","03_13_03_P","4191000","CDFF5211042024000001","2024-01-10","","01","영업/정상","13","영업중","","","","","033-733-8020","","","강원특별자치도 원주시 일산동 211 시민문화센터","강원특별자치도 원주시 원일로 139, 시민문화센터 4층 (일산동)","26417","원주영상미디어센터","2024-01-10 09:43:59","I","2024-01-12 00:16:24","","283818.701302395","428144.659798378","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20240110","",
"20","영화상영업","03_13_03_P","4201000","CDFF5211041998000001","1998-03-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 임당동 117-2","강원특별자치도 강릉시 경강로 2106 (임당동)","210-080","신영극장 1관","2012-11-29 13:36:30","I","2023-06-13 00:00:00","","367139.395198995","474208.39644644","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","19980308","",
"21","영화상영업","03_13_03_P","4201000","CDFF5211041999000001","1999-08-27","","01","영업/정상","13","영업중","","","","","033-644-4959","","210-934","강원특별자치도 강릉시 옥천동 177-1","강원특별자치도 강릉시 율곡로 2837 (옥천동)","210-934","중앙극장 2관","2012-11-29 13:41:53","I","2023-06-13 00:00:00","","367146.118306702","474454.691957701","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","19990827","",
"22","영화상영업","03_13_03_P","4201000","CDFF5211042005000001","2005-08-17","","01","영업/정상","13","영업중","","","","","","","210-080","강원특별자치도 강릉시 임당동 117-2","강원특별자치도 강릉시 경강로 2106 (임당동)","210-080","롯데리아극장 2관","2012-11-29 13:29:40","I","2023-06-13 00:00:00","","367139.395198995","474208.39644644","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20050817","",
"23","영화상영업","03_13_03_P","4201000","CDFF5211042008000001","2008-03-13","","01","영업/정상","13","영업중","","","","","033-644-4959","","210-934","강원특별자치도 강릉시 옥천동 177-1","강원특별자치도 강릉시 율곡로 2837 (옥천동)","210-934","중앙극장","2012-11-29 13:43:36","I","2023-06-13 00:00:00","","367146.118306702","474454.691957701","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20080313","",
"24","영화상영업","03_13_03_P","4201000","CDFF5211042009000001","2009-07-03","","01","영업/정상","13","영업중","","","","","","","210-080","강원특별자치도 강릉시 임당동 117-2","강원특별자치도 강릉시 경강로 2106 (임당동)","210-080","롯데리아극장","2012-11-29 13:38:42","I","2023-06-13 00:00:00","","367139.395198995","474208.39644644","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20090703","",
"25","영화상영업","03_13_03_P","4201000","CDFF5211042011000001","2011-11-23","","01","영업/정상","13","영업중","","","","","033-645-7415","","","강원특별자치도 강릉시 임당동 119-3","강원특별자치도 강릉시 경강로 2100 (신영빌딩2)","210-080","강릉씨네마떼끄","2011-11-23 16:58:14","I","2023-06-13 00:00:00","","367081.629567027","474168.095625465","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20111123","",
"26","영화상영업","03_13_03_P","4201000","CDFF5211042017000001","2017-04-26","","01","영업/정상","13","영업중","","","","","033-642-1012","","","강원특별자치도 강릉시 노암동 279-61","강원특별자치도 강릉시 강변로 308, 2층 (노암동)","25588","제이기획","2017-04-26 21:29:28","I","2023-06-13 00:00:00","","367538.735817436","473778.49567565","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20170426","",
"27","영화상영업","03_13_03_P","4201000","CDFF5211042017000002","2017-06-29","","01","영업/정상","13","영업중","","","","","033-645-7200","","","강원특별자치도 강릉시 구정면 어단리 478-132","강원특별자치도 강릉시 구정면 칠성로 13-8","25624","(주)강릉자동차극장","2017-06-29 11:40:47","I","2023-06-13 00:00:00","","367183.602182436","467401.016644459","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20170629","",
"28","영화상영업","03_13_03_P","4201000","CDFF5211042023000001","2023-03-30","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 명주동 41-1 지하층","강원특별자치도 강릉시 경강로 2041, 지하층 (명주동)","25534","사회적협동조합 인디하우스","2023-03-30 15:03:53","I","2023-06-13 00:00:00","","366649.587358978","473791.934217864","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20230330","",
"29","영화상영업","03_13_03_P","4201000","CDFF5211042024000001","2024-07-15","","01","영업/정상","13","영업중","","","","","033-647-2003","","","강원특별자치도 강릉시 성남동 254","강원특별자치도 강릉시 임영로 102, 6~10층 (성남동)","25544","(주)알엔알","2024-07-15 11:12:34","I","2024-07-17 00:13:46","","366951.313681556","473763.154554713","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20240715","",
