"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","위탁급식영업","07_21_01_P","4181000","4181000-120-2023-00006","2023-06-13","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 춘천시 동면 만천리 324-1 강원도공무원교육원","강원특별자치도 춘천시 동면 순환대로 1122, 강원도공무원교육원","24212","우리나이스랜드","2023-06-13 15:27:48","I","2023-06-15 00:19:34","위탁급식영업","268389.501223842","486781.741888209","위탁급식영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","위탁급식영업","07_21_01_P","4181000","4181000-120-2024-00006","2024-09-24","","01","영업/정상","01","영업","","","","","","28.48","","강원특별자치도 춘천시 동면 지내리 303-4","강원특별자치도 춘천시 동면 가산로 116-9, 1층","24211","천사실버홈","2024-09-24 14:30:44","I","2024-09-26 00:13:12","위탁급식영업","268838.162199878","490476.472118767","위탁급식영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","28.48","","","",
"3","위탁급식영업","07_21_01_P","4181000","4181000-120-2014-00005","2014-11-21","","01","영업/정상","01","영업","","","","","02  34007500","952.00","","강원특별자치도 춘천시 동면 만천리 1010 네이버지식정보캠퍼스 연구동","강원특별자치도 춘천시 동면 순환대로 1154-77, 연구동 4층 (네이버지식정보캠퍼스)","24212","커넥트원원키친","2023-07-20 16:17:55","U","2023-07-22 02:40:00","위탁급식영업","268191.328460205","487714.676799161","위탁급식영업","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","952","","","",
"4","위탁급식영업","07_21_01_P","4181000","4181000-120-2015-00004","2015-06-22","","01","영업/정상","01","영업","","","","","","155.00","","강원특별자치도 춘천시 퇴계동 860-4","강원특별자치도 춘천시 퇴계농공로 118 (퇴계동)","24427","(주)푸디스엘엔에프베베쿡지점","2017-08-09 13:44:21","I","2023-06-13 00:00:00","위탁급식영업","265035.065252227","482597.730738469","위탁급식영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","155","","","",
"5","위탁급식영업","07_21_01_P","4181000","4181000-120-2016-00003","2016-04-07","","01","영업/정상","01","영업","","","","","033 248 1131","375.62","","강원특별자치도 춘천시 옥천동 1-1","강원특별자치도 춘천시 한림대학길 1, 3층 (옥천동, 학생회관(김유정관))","24252","(주)아워홈한림대학교파인점","2025-06-13 15:43:02","U","2025-06-15 02:40:00","위탁급식영업","264602.141926602","487386.633309595","위탁급식영업","1","1","","","상수도전용","0","0","0","0","0","","0","0","N","375.62","","","",
"6","위탁급식영업","07_21_01_P","4181000","4181000-120-2017-00006","2017-07-03","","01","영업/정상","01","영업","","","","","02  545 9730","31.68","","강원특별자치도 춘천시 신북읍 산천리 728","강원특별자치도 춘천시 신북읍 신북로 386-1, 지하1층 (강원도보건환경연구원)","24203","(주)푸디스엘엔에프보건환경지점","2024-12-27 15:03:05","U","2024-12-29 02:40:00","위탁급식영업","265412.865825097","495307.918781199","위탁급식영업","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","31.68","","","",
"7","위탁급식영업","07_21_01_P","4181000","4181000-120-2017-00009","2017-07-11","","01","영업/정상","01","영업","","","","","033 262 3155","160.54","","강원특별자치도 춘천시 남산면 강촌리 641-4","강원특별자치도 춘천시 남산면 북한강변길 812-39, 본관동 1층","24465","강촌수련원구내식당(위탁)","2017-07-12 14:52:41","I","2023-06-13 00:00:00","위탁급식영업","252654.628477044","480366.024463474","위탁급식영업","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","160.54","","","",
"8","위탁급식영업","07_21_01_P","4181000","4181000-120-2017-00010","2017-12-11","","01","영업/정상","01","영업","","","","","033 815 2010","736.64","","강원특별자치도 춘천시 퇴계동 866","강원특별자치도 춘천시 퇴계공단길 72, 다동 3층 (퇴계동)","24427","(주)아워홈에프엠지춘천점","2025-06-13 15:42:42","U","2025-06-15 02:40:00","위탁급식영업","264997.255063046","482527.844509136","위탁급식영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","736.64","","","",
"9","위탁급식영업","07_21_01_P","4181000","4181000-120-2019-00005","2019-01-11","","01","영업/정상","01","영업","","","","","","82.00","","강원특별자치도 춘천시 운교동 179-7","강원특별자치도 춘천시 금강로 119, 2층 (운교동)","24329","제이에스푸드(JS푸드)","2019-01-11 11:32:22","I","2023-06-13 00:00:00","위탁급식영업","264399.561478737","486166.51735473","위탁급식영업","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","N","82","","","",
"10","위탁급식영업","07_21_01_P","4181000","4181000-120-2019-00008","2019-02-22","","01","영업/정상","01","영업","","","","","070 71244628","904.00","","강원특별자치도 춘천시 효자동 192-1 강원대학교","강원특별자치도 춘천시 강원대학길 1, 강원대학교 이룸관동 1층 (효자동)","24341","세영식품","2024-02-29 14:42:06","U","2024-03-02 02:40:00","위탁급식영업","265481.557982219","485420.871953344","위탁급식영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","904","","","",
