"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","유통전문판매업","07_22_17_P","4181000","4181000-113-2023-00020","2023-08-07","","01","영업/정상","01","영업","","","","","033 243 1188","222.59","","강원특별자치도 춘천시 신동면 정족리 667-1","강원특별자치도 춘천시 신동면 김유정로 1772, 1층","24412","정족리동치미막국수","2024-12-02 16:11:36","U","2024-12-04 02:40:00","유통전문판매업","264380.330514068","482775.781962364","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"2","유통전문판매업","07_22_17_P","4181000","4181000-113-2023-00017","2023-07-14","","01","영업/정상","01","영업","","","","","","28.40","","강원특별자치도 춘천시 소양로1가 105-31","강원특별자치도 춘천시 소양정길 33 (소양로1가)","24248","혜원농장","2023-07-14 09:55:54","I","2023-07-16 00:19:09","유통전문판매업","264114.514059648","488117.145285272","유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","유통전문판매업","07_22_17_P","4181000","4181000-113-2023-00015","2023-07-03","","01","영업/정상","01","영업","","","","","","20.00","","강원특별자치도 춘천시 낙원동 78-5","강원특별자치도 춘천시 낙원길 25-1, 3층 (낙원동)","24274","미조리테일","2023-07-03 10:51:21","I","2023-07-05 00:19:07","유통전문판매업","263729.509557934","486507.275133028","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"4","유통전문판매업","07_22_17_P","4181000","4181000-113-2023-00021","2023-08-22","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 춘천시 신북읍 지내리 334","강원특별자치도 춘천시 신북읍 지내고탄로 316-1","24202","리팜","2023-08-22 16:18:36","I","2023-08-24 00:18:36","유통전문판매업","264157.549366111","495281.586299031","유통전문판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"5","유통전문판매업","07_22_17_P","4181000","4181000-113-2023-00022","2023-08-22","","01","영업/정상","01","영업","","","","","033244 6804","197.00","","강원특별자치도 춘천시 신북읍 산천리 1035","강원특별자치도 춘천시 신북읍 아침못길 25","24203","농업회사법인 그린스프레드 주식회사","2024-04-24 12:49:39","U","2024-04-26 02:40:00","유통전문판매업","266230.997382721","493164.585243562","유통전문판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","4","","","",
"6","유통전문판매업","07_22_17_P","4181000","4181000-113-2023-00019","2023-07-20","","01","영업/정상","01","영업","","","","","033 252 8985","604.68","","강원특별자치도 춘천시 서면 금산리 1023","강원특별자치도 춘천시 서면 박사로 894, 2,3층","24461","(주)엠아이제이","2024-06-24 15:20:20","U","2024-06-26 02:40:00","유통전문판매업","260703.627491138","488356.361568597","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"7","유통전문판매업","07_22_17_P","4181000","4181000-113-2024-00001","2024-01-08","","01","영업/정상","01","영업","","","","","","198.00","","강원특별자치도 춘천시 후평동 558-1","강원특별자치도 춘천시 후석로420번길 7, 608호 (후평동)","24232","순이네푸드","2024-07-17 13:09:35","U","2024-07-19 02:40:00","유통전문판매업","265474.842593179","487512.552718902","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"8","유통전문판매업","07_22_17_P","4181000","4181000-113-2024-00016","2024-10-22","","01","영업/정상","01","영업","","","","","","18.00","","강원특별자치도 춘천시 신북읍 천전리 93-13","강원특별자치도 춘천시 신북읍 배후령길 4, 나동","24204","주식회사 통나무집닭갈비","2024-10-23 17:30:41","I","2024-10-25 00:12:21","유통전문판매업","268676.401843189","492223.014602204","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"9","유통전문판매업","07_22_17_P","4181000","4181000-113-2024-00017","2024-11-05","","01","영업/정상","01","영업","","","","","","54.00","","강원특별자치도 춘천시 후평동 198-53","강원특별자치도 춘천시 소양강로 32, 춘천바이오산업진흥원 바이오1동 411호 (후평동)","24232","주식회사 세찬","2024-11-19 17:30:38","U","2024-11-21 02:40:00","유통전문판매업","265331.3469315","487999.802568208","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"10","유통전문판매업","07_22_17_P","4181000","4181000-113-2024-00015","2024-09-03","","01","영업/정상","01","영업","","","","","","11.60","","강원특별자치도 춘천시 후평동 558-1","강원특별자치도 춘천시 후석로420번길 7, 826호 (후평동)","24232","마시즐(주)","2024-09-06 13:34:31","U","2024-09-08 02:40:00","유통전문판매업","265474.842593179","487512.552718902","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
