"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062009000001","2009-12-01","","03","폐업","03","폐업","2021-08-05","","","","","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 춘천로 ***","","프리셔스레이블","2021-08-05 17:14:14","I","2023-06-13 00:00:00","","265392.996199068","486702.227859639","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062018000001","2018-03-23","","03","폐업","03","폐업","2021-07-29","","","","","","","강원특별자치도 춘천시 퇴계동 ****-* 춘천시너스카펠라복합빌딩 ***,***호","강원특별자치도 춘천시 지석로 **-*, 춘천시너스카펠라복합빌딩","","놀이터 뮤직 영상 제작실","2021-07-29 16:31:22","I","2023-06-13 00:00:00","","265386.634330563","483368.251535269","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062019000002","2019-06-24","","03","폐업","03","폐업","2021-10-01","","","","","","","강원특별자치도 춘천시 퇴계동 ****-* 투탑시티 *층동 ***호","강원특별자치도 춘천시 지석로 **-*, 투탑시티","","케이팝 코인노래 뮤비방","2021-10-01 16:27:04","I","2023-06-13 00:00:00","","265386.634330563","483368.251535269","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062020000003","2020-09-11","","03","폐업","03","폐업","2021-09-23","","","","","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 공지로 **-**","","케이팝 뮤직비디오","2021-09-24 18:06:22","I","2023-06-13 00:00:00","","266053.123232477","483837.490977581","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062023000001","2023-06-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 ***-* 그린타운아파트","강원특별자치도 춘천시 춘주로 ***, ***동 ***호 (퇴계동, 그린타운아파트)","24450","크레이 뮤직(Clay Music)","2023-06-01 17:16:05","I","2023-06-13 00:00:00","","263969.689717852","484117.82646055","음반.음악영상물제작업","유통관련업","0","","음반,음원,영상","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062006000001","2006-06-22","","01","영업/정상","13","영업중","","","","","0332507742","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 강원대학길 *","","강원대학교 BR 미디어 프로덕션","2021-03-02 10:23:22","I","2023-06-13 00:00:00","","265481.557982219","485420.871953344","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062015000001","2015-06-17","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 ***-* 춘천축협효자지점","강원특별자치도 춘천시 효자로 ***, 춘천축협효자지점 *층 (효자동)","24329","한테크주식회사","2023-05-08 17:28:03","I","2023-06-13 00:00:00","","264563.94245221","486040.71272591","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062017000001","2017-06-07","","01","영업/정상","13","영업중","","","","","07075860507","","","강원특별자치도 춘천시 삼천동 ***-*","강원특별자치도 춘천시 스포츠타운길***번길 **","","컴퍼니에스에스(주)춘천 아트센터","2021-03-02 10:23:56","I","2023-06-13 00:00:00","","261742.021530883","485921.90819634","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062019000001","2019-05-27","","01","영업/정상","13","영업중","","","","","0332591215","","","강원특별자치도 춘천시 삼천동 ***-* MBC춘천문화방송","강원특별자치도 춘천시 수변공원길 **-*, MBC춘천문화방송","","춘천문화방송(주)","2021-03-02 10:23:56","I","2023-06-13 00:00:00","","261823.333742905","486063.952881273","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","음반.음악영상물제작업","03_14_03_P","4181000","CDFF3241062020000001","2020-05-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 춘주로 **, 트리플타워(공유오피스) *층 (온의동)","24436","주식회사 아츠","2021-08-10 17:05:33","I","2023-06-13 00:00:00","","263277.754058361","484647.309880067","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
