"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","음반물제작업","03_14_05_P","6530000","M01012019000006","2019-06-10","","01","영업/정상","1","영업","","","","","0337476723","","","강원특별자치도 원주시 단구동 ****번지 *호 원주프리미엄아울렛","강원특별자치도 원주시 서원대로 ***-*, *층 ***호 (단구동,원주프리미엄아울렛)","","주식회사 서울미디어","2019-06-10 18:20:08","I","2023-06-13 00:00:00","","284818.874360771","425225.032426821","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반, 음악영상물","","",
"2","음반물제작업","03_14_05_P","6530000","M01012015000001","2015-06-17","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 서면 금산리 ****번지 *호 강원창작개발센터 ***호","강원특별자치도 춘천시 서면 박사로 ***-*, *층 ***호 (강원창작개발센터)","","한테크주식회사","2019-05-27 14:26:56","I","2023-06-13 00:00:00","","260819.739664112","488267.312140011","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반제작업","","",
"3","음반물제작업","03_14_05_P","6530000","M01012015000003","2015-06-30","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 인제군 인제읍 남북리 ***번지 *호","강원특별자치도 인제군 인제읍 인제로 ***","","ABIO Entertainment","2015-09-08 11:45:18","I","2023-06-13 00:00:00","","302115.915059391","507383.679566035","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반, 음악영상물","","",
"4","음반물제작업","03_14_05_P","6530000","M01012015000004","2015-09-04","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 나안동 ***번지 *호","강원특별자치도 동해시 청운*길 ** (나안동)","","싸이트 노래뮤비방","2015-09-08 11:43:37","I","2023-06-13 00:00:00","","386541.691965798","444706.224965102","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음악영상물, 음악영상파일, SD카드","","",
"5","음반물제작업","03_14_05_P","6530000","M01012015000005","2015-10-08","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 홍천군 홍천읍 연봉리 ***번지 *호","강원특별자치도 홍천군 홍천읍 연봉중앙로 **-*, 지하층","","올레 노래영상제작실","2019-05-27 14:48:42","I","2023-06-13 00:00:00","","277157.486984036","464716.800352975","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반","","",
"6","음반물제작업","03_14_05_P","6530000","M01012016000001","2016-08-09","","01","영업/정상","1","영업","","","","","0337348279","","","강원특별자치도 원주시 일산동 ***번지 **호","강원특별자치도 원주시 동진골*길 **, *층 ***호 (일산동)","","코드앤멜로디 (chord&melody)","2019-05-27 14:17:00","I","2023-06-13 00:00:00","","283459.508597857","427669.087522107","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반, 음악영상물, 음악파일, 음악영상파일","","",
"7","음반물제작업","03_14_05_P","6530000","M01012017000001","2017-06-07","","01","영업/정상","1","영업","","","","","07075860507","","","강원특별자치도 춘천시 삼천동 ***번지 *호","강원특별자치도 춘천시 스포츠타운길***번길 ** (삼천동)","","컴퍼니에스에스(주)춘천 아트센터","2019-05-27 14:07:00","I","2023-06-13 00:00:00","","261742.021530883","485921.90819634","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반, 음원, 음악파일, 음악영상물. 음악영상파일","","",
"8","음반물제작업","03_14_05_P","6530000","M01012017000002","2017-12-15","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 철원군 동송읍 이평리 ***번지 **호 청송얼음골막걸리","강원특별자치도 철원군 동송읍 금학로***번길 *-*, *층 (청송얼음골막걸리)","","케이(K)팝스타 코인노래뮤비방","2017-12-15 16:58:00","I","2023-06-13 00:00:00","","219105.186207465","522762.36300592","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반영상 뮤직비디오","","",
"9","음반물제작업","03_14_05_P","6530000","M01012018000001","2018-02-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 홍천군 홍천읍 희망리 ***번지 *호","강원특별자치도 홍천군 홍천읍 너브내길 **-*","","K-POP노래뮤비방","2020-01-23 17:35:26","I","2023-06-13 00:00:00","","277679.580910806","465395.268641778","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음악영상물, 음악영상파일, USB","","",
"10","음반물제작업","03_14_05_P","6530000","M01012018000002","2018-03-23","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 퇴계동 ****번지 *호 춘천시너스카펠라복합빌딩 ***,***호","강원특별자치도 춘천시 지석로 **-*, ***,***호 (퇴계동,춘천시너스카펠라복합빌딩)","","놀이터 뮤직 영상 제작실","2019-05-27 13:53:29","I","2023-06-13 00:00:00","","265386.634330563","483368.251535269","음반물제작업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","음반영상 뮤직비디오 제작","","",
