"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"1","의료기관세탁물처리업","06_20_02_P","4181000","PHMC220124180029043200001","2012-10-15","","01","영업/정상","10","변경","","","","","033-251-0322","","","","강원특별자치도 춘천시 동면 만천양지길 43","24214","주식회사 탑크린","2025-10-22 11:32:34","U","2025-10-24 02:40:00","","266773.69451946","487197.868687923","","","428.56","",
"2","의료기관세탁물처리업","06_20_02_P","4191000","PHMC220224190023043200001","2022-05-02","","03","폐업","03","폐업","2022-12-08","","","","","","","강원특별자치도 원주시 우산동 458-5","강원특별자치도 원주시 우산공단길 159, A,B동 (우산동)","26335","인성크린주식회사","2022-12-08 13:31:32","I","2023-06-13 00:00:00","","283021.316176999","431483.773294014","","","1282","",
"3","의료기관세탁물처리업","06_20_02_P","4191000","PHMC219924190023043200001","1992-07-20","","01","영업/정상","13","영업중","","","","","033-745-7331","","220-130","강원특별자치도 원주시 우산동 542번지 11호","강원특별자치도 원주시 우산공단길 129-21 (우산동)","26335","합포기업","2019-11-05 09:50:06","I","2023-06-13 00:00:00","","282713.628618246","431361.848741811","","","835.43","",
"4","의료기관세탁물처리업","06_20_02_P","4191000","PHMC220194190023043200001","2019-12-26","","01","영업/정상","13","영업중","","","","","033-813-0465","","","강원특별자치도 원주시 태장동 2488번지","강원특별자치도 원주시 태장공단길 77 (태장동)","26311","성안주식회사","2020-01-07 09:28:45","I","2023-06-13 00:00:00","","283360.980430641","434130.00489893","","","854.92","",
"5","의료기관세탁물처리업","06_20_02_P","4191000","PHMC220254191050043200001","2025-08-04","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 원주시 우산공단길 159, A동 (우산동)","26335","주식회사 대원크리닝 원주지점","2025-10-07 16:02:38","U","2025-10-11 02:40:00","","283021.316176999","431483.773294014","","","1282","",
"6","의료기관세탁물처리업","06_20_02_P","4191000","PHMC220094190023043200001","2009-05-27","","04","취소/말소/만료/정지/중지","24","직권폐업","","","","","033-745-7331","","220-952","강원특별자치도 원주시 우산동 542번지 11호  542-8외1필지(6번지)","강원특별자치도 원주시 우산공단길 129-21 (우산동,542-8외1필지(6번지))","","합포기업","2010-01-05 09:41:17","I","2023-06-13 00:00:00","","282713.628618246","431361.848741811","","","835.43","",
"7","의료기관세탁물처리업","06_20_02_P","4201000","PHMC220074200028043200001","2007-12-26","","01","영업/정상","10","변경","","","","","033-610-3736","","","강원특별자치도 강릉시 사천면 방동리 415 강릉아산병원","강원특별자치도 강릉시 사천면 방동길 38, 강릉아산병원 지하 1층","25440","에이치디씨랩스(주)","2022-01-14 18:07:56","I","2023-06-13 00:00:00","","363580.205089049","481138.750877628","","","714.5","",
"8","의료기관세탁물처리업","06_20_02_P","4211000","PHMC220104210020043200001","2010-10-18","","01","영업/정상","13","영업중","","","","","033-521-7803","","240-220","강원특별자치도 동해시 추암동 91번지 3호  1층","강원특별자치도 동해시 쉬눔길 21 (추암동)","25790","대성산업","2025-10-23 11:59:22","U","2025-10-25 02:40:00","","390212.439811869","442870.167332993","","","341.910","",
"9","의료기관세탁물처리업","06_20_02_P","4211000","PHMC220104210020043200002","2010-10-22","","04","취소/말소/만료/정지/중지","24","직권폐업","","","","","033 531 5795","","240-220","강원특별자치도 동해시 추암동 91번지 3호","강원특별자치도 동해시 쉬눔길 21 (추암동)","240-220","대성산업","2013-08-16 14:20:55","I","2023-06-13 00:00:00","","390212.439811869","442870.167332993","","","956.160","",
"10","의료기관세탁물처리업","06_20_02_P","4241000","PHMC220104240025043200001","2010-04-12","","01","영업/정상","13","영업중","","","","","572-9600","","245-150","강원특별자치도 삼척시 사직동 59번지 1호","강원특별자치도 삼척시 중앙로 28 (사직동)","25930","삼척시장애인보호작업장","2025-04-23 13:43:33","U","2025-04-25 02:40:00","","392608.719332317","438787.556123547","","","460.3","",
"11","의료기관세탁물처리업","06_20_02_P","4241000","PHMC220144240025043200001","2014-02-11","","04","취소/말소/만료/정지/중지","24","직권폐업","","","","","033-572-9600","","","","강원특별자치도 삼척시 중앙로 28 (사직동)","25930","삼척시장애인보호작업장","2016-09-11 11:46:50","I","2023-06-13 00:00:00","","392608.719332317","438787.556123547","","","373.08","",
"12","의료기관세탁물처리업","06_20_02_P","4241000","PHMC220134240025043200001","2013-05-30","","04","취소/말소/만료/정지/중지","24","직권폐업","","","","","572-9660","","245-150","강원특별자치도 삼척시 사직동 59번지 1호","강원특별자치도 삼척시 중앙로 28 (사직동)","25930","삼척시장애인보호작업장","2016-09-11 11:45:19","I","2023-06-13 00:00:00","","392608.719332317","438787.556123547","","","365033","",
"13","의료기관세탁물처리업","06_20_02_P","4241000","PHMC220134240025043200002","2013-12-06","","04","취소/말소/만료/정지/중지","24","직권폐업","","","","","572-9600","","25930","강원특별자치도 삼척시 사직동 59번지 1호","강원특별자치도 삼척시 중앙로 59-1 (사직동)","25930","삼척시장애인보호작업장","2016-09-11 11:46:14","I","2023-06-13 00:00:00","","392608.719332317","438787.556123547","","","336.5","",
"14","의료기관세탁물처리업","06_20_02_P","4261000","PHMC220064260015043200001","2006-11-06","","03","폐업","03","폐업","2009-05-07","","","","033-344-0360","","225-812","강원특별자치도 횡성군 우천면 오원리 527번지 2호","강원특별자치도 횡성군 우천면 전재로 274","","HID자활개발공사","2009-10-20 21:17:46","I","2023-06-13 00:00:00","","297129.94118687","437679.48873447","","","450","",
