"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료유사업종별명","직원수","자격증소유자수","보조직원수","시설관리자수","기타직원수","병상수","욕실면적","총면적",
"1","의료유사업","01_01_10_P","4181000","PHMB420124180029042400001","2012-05-24","","03","폐업","03","폐업","2012-12-07","","","","264-8456","","200-170","강원특별자치도 춘천시 퇴계동 975번지 9호 1층","강원특별자치도 춘천시 퇴계로146번길 8-8, 1층 (퇴계동)","200-170","파랑새안마원","2012-12-07 13:57:16","I","2023-06-13 00:00:00","안마원","264584.988507972","484323.832053488","안마원","1","0","0","0","0","0","0","120",
"2","의료유사업","01_01_10_P","4181000","PHMB420124180029042400002","2012-12-17","","03","폐업","03","폐업","2013-05-21","","","","033-264-8456","","200-170","강원특별자치도 춘천시 퇴계동 975번지 9호","강원특별자치도 춘천시 퇴계로146번길 8-8 (퇴계동)","200-945","춘천건강안마원","2013-05-21 11:30:45","I","2023-06-13 00:00:00","안마원","264584.988507972","484323.832053488","안마원","1","0","0","0","0","5","0","120",
"3","의료유사업","01_01_10_P","4181000","PHMB420144180029042400001","2014-09-23","","03","폐업","03","폐업","2017-02-10","","","","033-242-7848","","","","강원특별자치도 춘천시 우두벌1길 79 (사농동)","24222","함께하는 선교시술원","2017-02-10 16:53:57","I","2023-06-13 00:00:00","안마원","","","안마원","0","0","0","0","0","1","0","36",
"4","의료유사업","01_01_10_P","4181000","PHMB420154180029042400001","2015-10-14","","03","폐업","03","폐업","2016-08-31","","","","033-264-7582","","","강원특별자치도 춘천시 동내면 거두리 946번지 10호","강원특별자치도 춘천시 동내면 거두택지길 16-1, 2층 201호","24405","다온클린안마원","2016-08-31 17:30:15","I","2023-06-13 00:00:00","안마원","266226.51883445","483663.891332337","안마원","1","0","0","0","0","1","0","30.57",
"5","의료유사업","01_01_10_P","4181000","PHMB420174180029042400001","2017-02-08","","03","폐업","03","폐업","2017-04-12","","","","033)241-9963","","","강원특별자치도 춘천시 운교동 179번지 16호 2층","강원특별자치도 춘천시 춘천로 170, 2층 (운교동)","24329","우성진안마원","2017-04-12 10:03:25","I","2023-06-13 00:00:00","안마원","264418.851821577","486207.946022308","안마원","0","0","0","0","0","2","0","49.5",
"6","의료유사업","01_01_10_P","4181000","PHMB420204180029042400003","2020-05-29","","03","폐업","03","폐업","2020-06-26","","","","","","","","강원특별자치도 춘천시 춘주로201번길 11 (퇴계동)","24443","손짓안마원","2020-06-26 15:40:55","I","2023-06-13 00:00:00","안마원","263906.034822818","484539.428281536","안마원","1","0","0","0","0","1","0","58",
"7","의료유사업","01_01_10_P","4181000","PHMB419754180029042400001","1975-03-03","","03","폐업","03","폐업","2015-11-19","","","","","","200-111","강원특별자치도 춘천시 소양로1가 92번지 48호","강원특별자치도 춘천시 소양정길 16-1 (소양로1가)","","박산일 지압시술원","2015-11-19 14:42:44","I","2023-06-13 00:00:00","안마원","263971.45263731","488017.784318567","안마원","1","0","0","0","0","1","0","150",
"8","의료유사업","01_01_10_P","4181000","PHMB419984180029042400001","1998-04-21","","03","폐업","03","폐업","2013-05-28","2012-12-07","2013-02-28","","033-243-9988","","200-030","강원특별자치도 춘천시 요선동 212번지 2호","강원특별자치도 춘천시 소양고개길 46 (요선동)","200-030","귀빈안마시술소","2013-05-28 16:35:01","I","2023-06-13 00:00:00","안마시술소","263847.689815308","486866.497847132","안마시술소","2","0","0","0","0","10","0","484.16",
"9","의료유사업","01_01_10_P","4181000","PHMB420024180029042400001","2002-02-25","","03","폐업","03","폐업","2018-06-30","","","","033)252-4434","","200-944","강원특별자치도 춘천시 퇴계동 729번지 4호","강원특별자치도 춘천시 춘천로 34 (퇴계동)","24367","강남안마시술소","2018-07-03 14:26:04","I","2023-06-13 00:00:00","안마시술소","263553.061972726","485255.137924169","안마시술소","2","0","0","0","0","23","0","628.13",
"10","의료유사업","01_01_10_P","4181000","PHMB420044180029042400001","2004-07-21","","03","폐업","03","폐업","","","2016-09-20","","070-8793-6640","","200-091","강원특별자치도 춘천시 효자1동 305번지 2호 3층","강원특별자치도 춘천시 공지로 263, 3층 (효자동)","200-953","몽 안마시술소","2016-11-14 13:49:39","I","2023-06-13 00:00:00","안마시술소","264605.737068491","484979.301556598","안마시술소","2","0","0","0","0","18","0","406.65",
"11","의료유사업","01_01_10_P","4181000","PHMB420074180029042400001","2007-04-26","","03","폐업","03","폐업","2023-07-26","","","","033-241-0325","","200-938","강원특별자치도 춘천시 온의동 544번지","강원특별자치도 춘천시 춘주로92번길 19 (온의동)","","정다운 안마원","2023-07-26 13:22:47","U","2023-07-28 02:40:00","안마원","263196.672856354","484448.457576593","안마원","0","0","0","0","0","1","0","23.31",
"12","의료유사업","01_01_10_P","4181000","PHMB420074180029042400002","2007-09-06","","03","폐업","03","폐업","2024-01-08","","","","033-264-1875","","200-936","강원특별자치도 춘천시 석사동 698번지 7호","강원특별자치도 춘천시 효석로89번길 19 (석사동)","","박기철 안마원","2024-01-08 17:43:45","U","2024-01-10 02:40:00","안마원","265104.729081367","484444.24384654","안마원","0","0","0","0","0","1","0","45.5",
"13","의료유사업","01_01_10_P","4181000","PHMB420084180029042400002","2008-11-07","","03","폐업","03","폐업","2018-06-20","","","","033-254-1133","","200-950","강원특별자치도 춘천시 효자3동 641번지 6호","강원특별자치도 춘천시 춘천로 199 (효자동)","","킹안마시술소","2018-06-21 15:57:03","I","2023-06-13 00:00:00","안마시술소","264702.174234341","486310.528026106","안마시술소","2","0","0","0","0","8","0","499.55",
"14","의료유사업","01_01_10_P","4181000","PHMB420094180029042400002","2009-03-27","","03","폐업","03","폐업","2012-03-12","","","","033)244-0579","","200-041","강원특별자치도 춘천시 중앙로1가 91번지 지하상가 다열 73호","","","건강안마센터안마원","2012-03-12 11:48:28","I","2023-06-13 00:00:00","안마원","264063.07608168","486899.162452165","안마원","1","0","0","0","0","1","0","26.58",
"15","의료유사업","01_01_10_P","4181000","PHMB420094180029042400003","2009-08-18","","03","폐업","03","폐업","2009-12-31","","","","033)255-1144","","200-080","강원특별자치도 춘천시 운교동 168번지","강원특별자치도 춘천시 금강로 93 (운교동)","","전통안마원","2010-01-11 16:25:41","I","2023-06-13 00:00:00","안마원","264223.354841904","486332.690778501","안마원","1","0","0","0","0","0","0","83.3",
"16","의료유사업","01_01_10_P","4181000","PHMB419954180029042400001","1995-09-29","","01","영업/정상","13","영업중","","","","","033-257-3332","","200-941","강원특별자치도 춘천시 조양동 43번지 5호","강원특별자치도 춘천시 시청길10번길 11 (조양동)","","태림시술원","2016-11-03 10:08:27","I","2023-06-13 00:00:00","안마원","264091.937722338","486581.177914785","안마원","1","0","0","0","0","1","0","91.2",
"17","의료유사업","01_01_10_P","4181000","PHMB420114180029042400001","2011-01-26","","01","영업/정상","13","영업중","","","","","242-5123","","200-952","강원특별자치도 춘천시 효자동 164번지 4호 10통 3반","강원특별자치도 춘천시 효제길 34 (효자동)","","함수영건강지킴이안마원","2011-01-27 12:46:32","I","2023-06-13 00:00:00","안마원","264760.859191734","485650.181324209","안마원","1","0","0","0","0","0","0","23",
"18","의료유사업","01_01_10_P","4181000","PHMB420114180029042400002","2011-03-03","","01","영업/정상","13","영업중","","","","","033-263-7588","","","강원특별자치도 춘천시 석사동 744-5","강원특별자치도 춘천시 우석로79번길 7-10, 1층 (석사동)","24324","시원안마원","2024-07-03 17:05:53","U","2024-07-05 02:40:00","안마원","266171.928257075","485004.980327209","안마원","1","0","0","0","0","4","0","108.43",
"19","의료유사업","01_01_10_P","4181000","PHMB420194180029042400001","2019-02-08","","01","영업/정상","13","영업중","","","","","255-7175","","","강원특별자치도 춘천시 온의동 532-7","강원특별자치도 춘천시 충혼길44번길 14(온의동)","24437","참편한안마원","2022-03-24 11:20:33","I","2023-06-13 00:00:00","안마원","263284.792499795","484563.300242754","안마원","1","0","0","0","0","0","0","66.8",
