"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1","이용업","05_19_01_P","4181000","4181000-203-2023-00003","2023-08-11","","01","영업/정상","01","영업","","","","","","41.50","","강원특별자치도 춘천시 동내면 거두리 1020-9","강원특별자치도 춘천시 동내면 외솔길19번길 57, 1층 101호","24400","제이원바버샵","2023-08-18 09:54:49","U","2023-08-20 02:40:00","일반이용업","266464.843447888","484185.29066799","일반이용업","3","0","1","1","0","0","2","","","","임대","0","0","0","N",
"2","이용업","05_19_01_P","4181000","4181000-203-2023-00002","2023-07-17","","01","영업/정상","01","영업","","","","","","59.29","","강원특별자치도 춘천시 우두동 1062-5","강원특별자치도 춘천시 영서로2756번길 14, 2층 201호 (우두동)","24231","프롬더문바버샵","2023-07-17 15:27:03","I","2023-07-19 00:18:55","일반이용업","264110.802583179","488731.096029602","일반이용업","3","1","2","2","0","0","2","","","","임대","0","0","0","N",
"3","이용업","05_19_01_P","4181000","4181000-203-2022-00001","2022-06-14","","01","영업/정상","01","영업","","","","","","53.15","","강원특별자치도 춘천시 우두동 1110","강원특별자치도 춘천시 우두5길 36, 1층 103호 (우두동)","24221","크랭키한바버샵","2022-06-14 10:35:26","I","2023-06-13 00:00:00","일반이용업","264798.07590442","489729.908453491","일반이용업","2","1","1","1","0","0","1","","","","","0","0","0","N",
"4","이용업","05_19_01_P","4181000","4181000-203-1978-00003","1978-11-08","","01","영업/정상","01","영업","","","","","033 2551291","12.00","","강원특별자치도 춘천시 낙원동 28-3","강원특별자치도 춘천시 낙원길 49 (낙원동)","24273","한일이용소","2013-07-05 11:46:13","I","2023-06-13 00:00:00","일반이용업","263863.372654608","486683.234407931","일반이용업","0","0","1","0","0","0","3","","","","","0","0","0","N",
"5","이용업","05_19_01_P","4181000","4181000-203-1985-00004","1985-04-08","","01","영업/정상","01","영업","","","","","033 2526522","23.70","","강원특별자치도 춘천시 효자동 673-12","강원특별자치도 춘천시 공지로 354 (효자동)","24337","남궁이용소","2019-02-26 16:12:55","I","2023-06-13 00:00:00","일반이용업","263926.449529986","485545.659100792","일반이용업","0","0","1","0","0","0","3","","","","","0","0","0","N",
"6","이용업","05_19_01_P","4181000","4181000-203-1985-00010","1985-11-09","","01","영업/정상","01","영업","","","","","033 2410815","33.00","","강원특별자치도 춘천시 신북읍 율문리 298-27 [1리]","강원특별자치도 춘천시 신북읍 율문3길 31 ([1리])","24206","대성이용소","2018-10-04 15:44:15","I","2023-06-13 00:00:00","일반이용업","265588.358496815","491965.646223472","일반이용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"7","이용업","05_19_01_P","4181000","4181000-203-1991-00003","1991-11-26","","01","영업/정상","01","영업","","","","","","33.00","","강원특별자치도 춘천시 퇴계동 79 춘천퇴계타운 105호","강원특별자치도 춘천시 안마산로 213, 105호 (퇴계동, 춘천퇴계타운)","24421","그린이용소","2021-08-11 17:11:07","I","2023-06-13 00:00:00","일반이용업","264855.838698284","483301.263496797","일반이용업","0","0","1","0","0","0","2","","","","임대","0","0","0","N",
"8","이용업","05_19_01_P","4181000","4181000-203-1994-00007","1994-01-28","","01","영업/정상","01","영업","","","","","033 249 5698","37.80","","강원특별자치도 춘천시 봉의동 15 2층","강원특별자치도 춘천시 중앙로 1, 봉의동 (봉의동)","24266","도청구내이용실","2022-12-15 11:32:03","I","2023-06-13 00:00:00","일반이용업","264161.625099424","487252.702443066","일반이용업","0","0","0","0","0","0","5","","","","","0","0","0","N",
"9","이용업","05_19_01_P","4181000","4181000-203-1999-00004","1999-06-14","","01","영업/정상","01","영업","","","","","033 2564674","26.40","","강원특별자치도 춘천시 후평동 883-9","강원특별자치도 춘천시 세실로 188-1 (후평동)","24307","향신이발소","2013-07-23 17:03:42","I","2023-06-13 00:00:00","일반이용업","266656.607390085","485991.656428383","일반이용업","0","0","1","0","0","0","2","","","","","0","0","0","N",
"10","이용업","05_19_01_P","4181000","4181000-203-2005-00003","2005-03-25","","01","영업/정상","01","영업","","","","","","18.70","","강원특별자치도 춘천시 우두동 1068 삼성아파트상가 106호","강원특별자치도 춘천시 충열로 30 (우두동,삼성아파트상가 106호)","24230","하이클래스","2020-01-08 16:38:18","I","2023-06-13 00:00:00","일반이용업","264199.59128247","488717.090463373","일반이용업","0","0","1","0","0","0","2","","","","임대","0","0","0","N",
