"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","일반테마파크업","03_07_09_P","4181000","CDFI5271002019000001","2019-05-27","","02","휴업","02","휴업","","2025-10-01","2026-05-31","","","","","강원특별자치도 춘천시 남면 가정리 908","","","가정자몽키스포츠영농조합법인","2025-09-30 14:33:45","U","2025-10-02 02:40:00","","250558.652212151","470302.166315284","허가테마파크업","","관리지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","0","안전성검사대상 7대, 안전성검사 비대상 7대","0","Y","Y","Y","Y","","","0","","","","0",
"2","일반테마파크업","03_07_09_P","4181000","CDFI5271002021000001","2021-03-15","","02","휴업","02","휴업","","2025-01-01","2025-12-31","","033-240-1697","","","강원특별자치도 춘천시 근화동 231-1 꿈자람 물정원","강원특별자치도 춘천시 소양로 55, 꿈자람 물정원 (근화동)","24243","꿈자람물정원","2025-02-15 10:42:52","U","2025-02-17 02:40:00","","263193.267163686","486613.976668448","허가테마파크업","","자연녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","Y","","Y","Y","","","0","","","","0",
"3","일반테마파크업","03_07_09_P","4181000","CDFI5271002023000003","2023-06-16","","03","폐업","03","폐업","2025-05-01","","","","","","","강원특별자치도 춘천시 남산면 백양리 29-1 엘리시안 강촌","강원특별자치도 춘천시 남산면 북한강변길 688, 엘리시안 강촌","24464","강촌강변레저","2025-04-30 16:54:40","U","2025-05-02 02:40:00","","251021.728216938","480612.913126754","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","고카트(주로주행형) 10대","0","","","","","","","0","","","","0",
"4","일반테마파크업","03_07_09_P","4181000","CDFI5271002023000002","2023-06-12","","03","폐업","03","폐업","2023-06-19","","","","","","","강원특별자치도 춘천시 삼천동 392-3","","","고구려기획","2024-02-21 11:50:26","U","2024-02-24 02:40:00","","260751.138414223","485133.24048266","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","안전성검사 대상 2종(미니바이킹,타가다디스코) / 비대상 3종(미니기차, 페들보트, 미니에어바운스)","0","","","","","","","0","","","","0",
"5","일반테마파크업","03_07_09_P","4181000","CDFI5271002003000002","2003-05-12","","03","폐업","03","폐업","2024-09-30","","","","261-4544","","","강원특별자치도 춘천시 남산면 강촌리 252-2","강원특별자치도 춘천시 남산면 강촌로 88","24465","강촌랜드","2024-10-02 14:07:57","U","2024-10-04 02:40:00","","255872.316326912","478941.167524628","허가테마파크업","테마파크업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","1630","","5","Y","Y","Y","Y","","","0","","","","1630",
"6","일반테마파크업","03_07_09_P","4181000","CDFI5271002003000004","2003-05-12","","03","폐업","03","폐업","2005-06-09","","","","031)582-8687","","200-914","강원특별자치도 춘천시 남산면 방하리 198","강원특별자치도 춘천시 남산면 남이섬길 1","200-914","어린이놀이터","2014-01-10 14:26:20","I","2023-06-13 00:00:00","","246222.531678854","476683.992337235","허가테마파크업","테마파크업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","N","N","N","N","","","0","","","","0",
"7","일반테마파크업","03_07_09_P","4181000","CDFI5271002019000002","2019-06-27","","03","폐업","03","폐업","2022-10-20","","","","","","","강원특별자치도 춘천시 남산면 방하리 256","강원특별자치도 춘천시 남산면 방하로 579","24464","원코리아 수상레저클럽","2022-12-06 17:37:06","I","2023-06-13 00:00:00","","246790.197301459","475833.247323919","허가테마파크업","","관리지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","2종 2개","0","Y","Y","Y","Y","","","0","","","","0",
"8","일반테마파크업","03_07_09_P","4181000","CDFI5271002024000001","2024-06-18","","03","폐업","03","폐업","2024-06-24","","","","","","","강원특별자치도 춘천시 중도동 603","강원특별자치도 춘천시 하중도길 128 (중도동)","24240","늘찬 명인기획","2024-08-21 11:12:37","U","2024-08-23 02:40:00","","261196.14804155","486795.908265274","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","안전성검사대상 3대, 확인검사대상 2대","0","","","","","","","0","","","","0",
"9","일반테마파크업","03_07_09_P","4181000","CDFI5271002025000001","2025-07-04","","03","폐업","03","폐업","2025-08-18","","","","033-255-0920","","","강원특별자치도 춘천시 송암동 644-13","","","주식회사 윈클루","2025-08-19 11:33:34","U","2025-08-21 02:40:00","","260375.207872533","483845.364319932","허가테마파크업","","보전녹지지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","3200","1종 1대(하이슬라이드)","0","Y","Y","Y","Y","","","0","","","","3200",
"10","일반테마파크업","03_07_09_P","4181000","CDFI5271002003000003","2003-05-12","","01","영업/정상","13","영업중","","","","","031-580-8119","","200-914","강원특별자치도 춘천시 남산면 방하리 198","강원특별자치도 춘천시 남산면 남이섬길 1","24464","주식회사 남이섬","2025-09-30 10:12:41","U","2025-10-02 02:40:00","","246222.531678854","476683.992337235","허가테마파크업","테마파크업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","10610","","2","Y","Y","Y","Y","","","0","","","","10610",
