"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","자동차야영장업","03_11_05_P","4181000","CDFI2262142015000002","2015-09-08","","03","폐업","03","폐업","2022-02-09","","","","","","","강원특별자치도 춘천시 동산면 봉명리 35","강원특별자치도 춘천시 동산면 윗성골길 54","24410","데일리랜드","2022-02-09 13:54:19","I","2023-06-13 00:00:00","","274562.06795083","473480.487907841","자동차야영장업","","관리지역","0","기타","","현대해상","","0","0","0","1086","","","0","0","","0","0","","0","2999","","0","","","","","","","0","","","","2999",
"2","자동차야영장업","03_11_05_P","4181000","CDFI2262142023000002","2023-06-27","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남면 박암리 519-1","강원특별자치도 춘천시 남면 박암관천길 511-24","24468","(주)힐링브릿지","2025-10-20 13:18:57","U","2025-10-23 02:40:00","","247202.073989997","469072.40225542","자동차야영장업","","","0","","","","","0","0","0","127","","","0","0","","0","0","","0","3947","","0","","","","","","","0","","","","3947",
"3","자동차야영장업","03_11_05_P","4181000","CDFI2262142015000001","2015-08-04","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남산면 백양리 159","강원특별자치도 춘천시 남산면 서백길 585","24464","자유인의 카라반","2025-02-25 09:46:21","U","2025-02-27 02:40:00","","250536.316585791","478126.717269338","자동차야영장업","","관리지역","0","","","삼성화재해상보험","","0","0","0","150","","","0","0","","0","0","","0","3576","","0","","","","","","","0","","","","3576",
"4","자동차야영장업","03_11_05_P","4181000","CDFI2262142016000001","2016-07-11","","01","영업/정상","13","영업중","","","","","033-240-1792","","","강원특별자치도 춘천시 서면 현암리 894 춘천 박사마을 어린이글램핑장","강원특별자치도 춘천시 서면 박사로 770, 춘천 박사마을 어린이글램핑장","24461","춘천박사마을 어린이 글램핑장","2025-02-15 10:12:26","U","2025-02-17 02:40:00","","260295.793660244","487378.185589223","자동차야영장업","","","0","","","한국지방재정공제회","","0","0","0","153","","","0","0","","0","0","","0","16044","","0","","","","","","","0","","","","16044",
"5","자동차야영장업","03_11_05_P","4181000","CDFI2262142019000001","2019-07-30","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 사북면 지암리 578-1","강원특별자치도 춘천시 사북면 화악지암길 186","24200","자연에 머물다","2025-07-06 10:29:29","U","2025-07-08 02:40:00","","251355.767922683","496732.248959249","자동차야영장업","","관리지역","0","","","삼성화재","","0","0","0","108","","","0","0","","0","0","","0","2311","","0","","","","","","","0","","","","2311",
"6","자동차야영장업","03_11_05_P","4181000","CDFI2262142021000001","2021-11-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 사북면 지암리 172","강원특별자치도 춘천시 사북면 화악지암길 576","24200","봄봄캠핑","2025-09-03 09:08:07","U","2025-09-05 02:40:00","","254472.067177101","497637.801337587","자동차야영장업","","","0","","","농협보험","","0","0","0","0","","","0","0","","0","0","","0","2792","","0","","","","","","","0","","","","2792",
"7","자동차야영장업","03_11_05_P","4181000","CDFI2262142022000001","2022-04-20","","01","영업/정상","13","영업중","","","","","0507-1343-0407","","","강원특별자치도 춘천시 서면 서상리 679","강원특별자치도 춘천시 서면 툇골길 349","24460","숲속에 머물다","2025-04-15 16:49:35","U","2025-04-17 02:40:00","","258647.599895727","492810.319194125","자동차야영장업","","자연녹지지역","0","","","농협손해보험","","0","0","0","247","","","0","0","","0","0","","44","3175","","0","","","","","","","0","","","","3175",
"8","자동차야영장업","03_11_05_P","4181000","CDFI2262142022000002","2022-10-04","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 사북면 지암리 469","강원특별자치도 춘천시 사북면 화악지암길 297-19","24200","수복캠핑장","2025-10-22 11:43:58","U","2025-10-24 02:40:00","","252152.051058585","497247.432816709","자동차야영장업","","","0","","","","","0","0","0","155","","","0","0","","0","0","","0","2845","","0","","","","","","","0","","","","2845",
"9","자동차야영장업","03_11_05_P","4181000","CDFI2262142023000001","2023-03-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 동면 상걸리 510","강원특별자치도 춘천시 동면 길골길 63-14","24212","사가록캠핑장","2025-09-08 17:59:32","U","2025-09-11 02:40:00","","273310.461454067","484878.808081754","자동차야영장업","","보전녹지지역","0","","","NH농협손해보험","","0","0","0","67","","","0","0","","0","0","","0","4044","","0","","","","","","","0","","","","4044",
"10","자동차야영장업","03_11_05_P","4191000","CDFI2262141998000002","1998-07-30","","02","휴업","02","휴업","","2025-10-13","2026-03-15","","033-763-5232","","220-913","강원특별자치도 원주시 판부면 금대리 1333","","","금대자동차야영장(치악산국립공원)","2025-10-10 09:58:39","U","2025-10-12 02:40:00","","","","자동차야영장업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","632000000","","","","0",
"11","자동차야영장업","03_11_05_P","4191000","CDFI2262142015000001","2015-05-08","","03","폐업","03","폐업","2019-08-01","","","","","","220-863","강원특별자치도 원주시 신림면 성남리 237-3","강원특별자치도 원주시 신림면 무시정길 16","26506","호호캠핑장","2019-10-08 15:16:28","I","2023-06-13 00:00:00","","295966.102747076","417202.835062372","자동차야영장업","","관리지역","1","기타","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","64.5","","0","","","","","","","0","","","","65",
"12","자동차야영장업","03_11_05_P","4191000","CDFI2262142015000004","2015-10-01","","03","폐업","03","폐업","2017-03-28","","","","","","","강원특별자치도 원주시 부론면 흥호리 635-6","강원특별자치도 원주시 부론면 선유길 135","26497","섬강두꺼비오토캠핑장","2017-03-30 16:31:05","I","2023-06-13 00:00:00","","266967.06992136","416878.199116783","자동차야영장업","","관리지역","2","기타","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","119.08","","0","","","","","","","0","","","","119",
"13","자동차야영장업","03_11_05_P","4191000","CDFI2262141998000001","1998-07-30","","01","영업/정상","13","영업중","","","","","033-732-5231","","220-831","강원특별자치도 원주시 소초면 학곡리 920","","","구룡자동차야영장(치악산국립공원)","2025-02-21 16:56:59","U","2025-02-23 02:40:00","","292511.608125754","434503.976583282","자동차야영장업","","","0","","","","","0","0","0","262","","","0","0","","0","0","","0","0","","0","","","","","","","2600000000","","","","0",
"14","자동차야영장업","03_11_05_P","4191000","CDFI2262142013000001","2013-12-30","","01","영업/정상","13","영업중","","","","","033-766-3491","","220-864","강원특별자치도 원주시 신림면 황둔리 551","강원특별자치도 원주시 신림면 신림황둔로 1032","26507","한울오토캠핑장","2023-10-10 16:03:24","U","2023-10-12 02:40:00","","304186.951375254","417322.383187003","자동차야영장업","","관리지역","1","기타","","","사무실","0","0","0","321","","","0","0","","0","0","","0","21500","","0","","","","","","","630000000","","","","21500",
"15","자동차야영장업","03_11_05_P","4191000","CDFI2262142014000001","2014-10-29","","01","영업/정상","13","영업중","","","","","02-567-1032","","","강원특별자치도 원주시 소초면 학곡리 150-9","강원특별자치도 원주시 소초면 구룡사로 127-1","26304","산사랑글램핑펜션","2025-02-25 09:28:07","U","2025-02-27 02:40:00","","293528.20641641","436624.182037658","자동차야영장업","","관리지역","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","4654","","0","","","","","","","300000000","","","","4654",
"16","자동차야영장업","03_11_05_P","4191000","CDFI2262142015000002","2015-05-26","","01","영업/정상","13","영업중","","","","","","","220-864","강원특별자치도 원주시 신림면 황둔리 1625-1","강원특별자치도 원주시 신림면 창촌길 132","26508","매봉힐링캠프","2021-02-25 15:53:35","I","2023-06-13 00:00:00","","300940.495337861","418227.701699303","자동차야영장업","","관리지역","1","기타","","","기타","1","0","0","219","","","0","0","","0","0","","0","218.86","","0","","","","","","","50000000","","","","219",
"17","자동차야영장업","03_11_05_P","4191000","CDFI2262142015000003","2015-05-29","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 신림면 황둔리 573","강원특별자치도 원주시 신림면 신림황둔로 1072","26507","한스캠핑장","2025-04-16 14:53:25","U","2025-04-18 02:40:00","","304473.18249927","417660.19434714","자동차야영장업","","관리지역","1","기타","","","기타","1","0","0","418","","","0","0","","0","0","","0","341.17","","0","","","","","","","0","","","","341",
