"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"1","저수조청소업","09_30_14_P","4181000","418100031202300001","2023-06-19","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 효자상길 ** (효자동)","24336","모두클린","2025-09-30 10:57:54","U","2025-10-02 02:40:00","","264188.993528853","485646.661846014","31","","0","","","","","저수조청소업",
"2","저수조청소업","09_30_14_P","4181000","418100031200600004","2020-08-14","","01","영업/정상","11","정상","","","","","242-8756","","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 중앙로***번길 *, *층 (근화동)","24276","(주)늘푸른환경","2020-08-14 12:04:54","I","2023-06-13 00:00:00","","262896.168216074","486079.753496386","31","","0","","","","","저수조청소업",
"3","저수조청소업","09_30_14_P","4181000","418100031201800003","2018-11-15","","01","영업/정상","11","정상","","","","","0332528849","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 충혼길*번길 *-* (퇴계동)","24440","(주)환경21","2018-11-15 13:32:07","I","2023-06-13 00:00:00","","263456.361524998","484777.524949379","31","","0","","","","","저수조청소업",
"4","저수조청소업","09_30_14_P","4181000","418100031201800004","2018-11-15","","01","영업/정상","11","정상","","","","","264-6777","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 춘천순환로**번길 **-**","24405","(주)성화","2018-11-15 16:22:27","I","2023-06-13 00:00:00","","266388.743926607","483731.30804211","31","","0","","","","","저수조청소업",
"5","저수조청소업","09_30_14_P","4181000","418100031201800005","2018-11-15","","01","영업/정상","11","정상","","","","","033-257-5413","","","강원특별자치도 춘천시 후평동 ***-* 에리트아파트","강원특별자치도 춘천시 삭주로 **-*, 에리트아파트 (후평동)","24253","춘천방역","2018-11-15 16:25:31","I","2023-06-13 00:00:00","","265169.602985857","487195.395357005","31","","0","","","","","저수조청소업",
"6","저수조청소업","09_30_14_P","4181000","418100031201800006","2018-11-15","","01","영업/정상","11","정상","","","","","033-252-8777","","","강원특별자치도 춘천시 소양로*가 ***-*","강원특별자치도 춘천시 금강로 ** (소양로*가)","24273","(주)엠케이21","2018-12-07 11:13:51","I","2023-06-13 00:00:00","","263723.94189466","486776.706602575","31","","0","","","","","저수조청소업",
"7","저수조청소업","09_30_14_P","4181000","418100031201800008","2018-12-06","","01","영업/정상","11","정상","","","","","033-261-9118","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 벌말길**번길 ** (석사동)","24383","대동방역","2018-12-07 11:52:35","I","2023-06-13 00:00:00","","265039.856569532","484543.781406723","31","","0","","","","","저수조청소업",
"8","저수조청소업","09_30_14_P","4181000","418100031201800009","2019-12-04","","01","영업/정상","11","정상","","","","","033-257-0110","","","강원특별자치도 춘천시 운교동 ***-*","강원특별자치도 춘천시 운천길 ** (운교동)","24335","선진종합환경","2019-12-06 10:50:12","I","2023-06-13 00:00:00","","264278.222616159","486103.913187696","31","","0","","","","","저수조청소업",
"9","저수조청소업","09_30_14_P","4181000","418100031201800010","2023-03-09","","01","영업/정상","11","정상","","","","","033-254-6654","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로***번길 *, *층 ***,***호 (후평동)","24232","청소마트","2023-03-10 09:22:51","I","2023-06-13 00:00:00","","265474.842593179","487512.552718902","31","","0","","","","","저수조청소업",
"10","저수조청소업","09_30_14_P","4181000","418100031201800011","2020-01-23","","01","영업/정상","11","정상","","","","","033-244-8878","","","강원특별자치도 춘천시 교동 ***","강원특별자치도 춘천시 삭주로 **, *층 (교동)","24262","(주) 하이크린서비스","2020-03-11 17:16:28","I","2023-06-13 00:00:00","","264605.968466317","486811.40408148","31","","0","","","","","저수조청소업",
"11","저수조청소업","09_30_14_P","4181000","418100031201800012","2024-10-29","","01","영업/정상","11","정상","","","","","033-244-8555","","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 퇴계로**번길 **-**, *층 (퇴계동)","24376","(주)하이토탈크리닝","2024-10-29 14:22:56","U","2024-10-31 02:40:00","","264437.678619208","484753.975549351","31","","0","","","","","저수조청소업",
"12","저수조청소업","09_30_14_P","4181000","418100031201800013","2019-10-08","","01","영업/정상","11","정상","","","","","033-262-1196","","","강원특별자치도 춘천시 신북읍 산천리 ***-**","강원특별자치도 춘천시 신북읍 장본길 **-**, *층","24203","유디코","2021-03-12 15:24:00","I","2023-06-13 00:00:00","","266393.500646282","494405.529173788","31","","0","","","","","저수조청소업",
"13","저수조청소업","09_30_14_P","4181000","418100031202000001","2022-10-17","","01","영업/정상","11","정상","","","","","033-912-5588","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 충혼길**번길 *-** (온의동)","24438","(주)대명종합관리","2024-09-03 17:57:38","U","2024-09-05 02:40:00","","263252.642531248","484374.581182559","31","","0","","","","","저수조청소업",
"14","저수조청소업","09_30_14_P","4181000","418100031202000002","2021-01-08","","01","영업/정상","11","정상","","","","","070-8972-0923","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 충혼길**번길 **, *층 ***-E호 (온의동)","24437","디엠큐","2021-01-11 09:24:54","I","2023-06-13 00:00:00","","263250.540593552","484452.409041204","31","","0","","","","","저수조청소업",
"15","저수조청소업","09_30_14_P","4181000","418100031202100001","2021-09-02","","01","영업/정상","11","정상","","","","","033-911-7763","","","강원특별자치도 춘천시 우두동 ***-* 강원도농업인단체회관","강원특별자치도 춘천시 충열로 **, 강원도농업인단체회관 *층 (우두동)","24228","주식회사 크린산업","2021-09-06 13:25:15","I","2023-06-13 00:00:00","","264781.914858618","488972.71476933","31","","0","","","","","저수조청소업",
