"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"1","전력기술감리업체","09_28_12_P","6530000","202365300008600002","2023-07-26","","01","영업/정상","1","인허가","","","","","0336519960","","25473","강원특별자치도 강릉시 교동 613-2","강원특별자치도 강릉시 율곡로 3060 (교동)","25473","주식회사 엘제이엔지니어링","2023-07-26 16:58:46","I","2023-07-28 00:18:47","","366338.043536181","476420.188886527","감리업","전문감리업","","50000000",
"2","전력기술감리업체","09_28_12_P","6530000","202365300008600004","2023-08-07","","01","영업/정상","1","인허가","","","","","07043351719","","24283","강원특별자치도 춘천시 후평동 838-9","강원특별자치도 춘천시 후석로 265, 2층 (후평동)","24283","주식회사 효림이엔지","2023-08-07 11:41:33","I","2023-08-09 00:19:30","","266118.799199437","486103.986036206","감리업","전문감리업","","50000000",
"3","전력기술감리업체","09_28_12_P","6530000","202365300008600003","2023-08-04","","01","영업/정상","1","인허가","","","","","0332511924","","26490","강원특별자치도 원주시 단구동 1662-5","강원특별자치도 원주시 단관길 101, 201호 (단구동)","26490","주식회사 동강이앤씨","2025-03-11 11:28:06","U","2025-03-13 02:40:00","","284841.503699941","424758.509686163","감리업","전문감리업","","50000000",
"4","전력기술감리업체","09_28_12_P","6530000","200664200008600007","2006-07-25","","01","영업/정상","1","인허가","","","","","0337646982","","26431","강원특별자치도 원주시 원동 15-1","강원특별자치도 원주시 감영길 4(원동)","26431","주식회사 한성기술단","2022-12-08 18:46:04","I","2023-06-13 00:00:00","","284097.699830703","427636.282463587","감리업","종합감리업","대한민국","0",
"5","전력기술감리업체","09_28_12_P","6530000","201964200008600002","2019-01-15","","01","영업/정상","1","인허가","","","","","0336443524","","25547","강원특별자치도 강릉시 포남동 1005-353","강원특별자치도 강릉시 성덕포남로153번길 15 (포남동)","25547","이원방재시스템","2019-11-12 14:59:34","I","2023-06-13 00:00:00","","368229.338039719","475325.023255059","감리업","전문감리업","대한민국","40355480",
"6","전력기술감리업체","09_28_12_P","6530000","202364200008600003","2023-02-16","","01","영업/정상","1","인허가","","","","","0336727078","","25030","강원특별자치도 양양군 양양읍 남문리 78-3 삼강의원 401호","강원특별자치도 양양군 양양읍 양양로 75, 삼강의원 401호","25030","주식회사 이지이엔씨","2023-02-16 16:28:42","I","2023-06-13 00:00:00","","342187.582298586","509216.451512924","감리업","전문감리업","","200000000",
"7","전력기술감리업체","09_28_12_P","6530000","202364200008600004","2023-03-03","","01","영업/정상","1","인허가","","","","","0335348773","","25777","강원특별자치도 동해시 천곡동 979-2 시네마북스","강원특별자치도 동해시 중앙로 162, 시네마북스 3층 (천곡동)","25777","주식회사 삼원기술","2024-02-07 13:11:46","U","2024-02-09 02:40:00","","387218.937253912","448066.446025161","감리업","전문감리업","","0",
"8","전력기술감리업체","09_28_12_P","6530000","202364200008600005","2023-03-17","","01","영업/정상","1","인허가","","","","","0335760102","","25926","강원특별자치도 삼척시 정상동 462-10 서울명문학원","강원특별자치도 삼척시 정상안1길 8-6, 서울명문학원 1층(정상동)","25926","주식회사 문엔지니어링","2024-01-25 09:21:46","U","2024-01-27 02:40:00","","392645.078450243","440342.331286241","감리업","전문감리업","","50000000",
"9","전력기술감리업체","09_28_12_P","6530000","202364200008600006","2023-04-04","","01","영업/정상","1","인허가","","","","","0337354001","","26387","강원특별자치도 원주시 무실동 1720-1 경남빌딩 702호","강원특별자치도 원주시 만대로 53, 경남빌딩 702호 (무실동)","26387","주식회사 바셈엔지니어링","2023-04-04 13:29:53","I","2023-06-13 00:00:00","","281541.451025346","426904.182637282","감리업","전문감리업","","200000000",
"10","전력기술감리업체","09_28_12_P","6530000","202364200008600007","2023-04-04","","01","영업/정상","1","인허가","","","","","0337313945","","26460","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워 씨1107호","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 씨1107호 (반곡동)","26460","주식회사 이베스트엔지니어링","2023-04-04 13:34:33","I","2023-06-13 00:00:00","","286650.196160256","425529.258545694","감리업","전문감리업","","200000000",
"11","전력기술감리업체","09_28_12_P","6530000","202364200008600009","2023-04-21","","01","영업/정상","1","인허가","","","","","07073471004","","26471","강원특별자치도 원주시 관설동 1689-1 202호","강원특별자치도 원주시 나비허리길 120-13, 202호 (관설동)","26471","주식회사 경진엔지니어링","2023-04-21 11:27:48","I","2023-06-13 00:00:00","","285226.054858266","424656.79612291","감리업","전문감리업","","200000000",
"12","전력기술감리업체","09_28_12_P","6530000","202364200008600010","2023-05-30","","01","영업/정상","1","인허가","","","","","0337327554","","26460","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워 C동 1116호","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 C동 11층 1116호 (반곡동)","26460","주식회사 이시에스컴","2025-04-22 15:34:20","U","2025-04-24 02:40:00","","286650.196160256","425529.258545694","감리업","종합감리업","","100000000",
"13","전력기술감리업체","09_28_12_P","6530000","200264200008600002","2002-05-07","","01","영업/정상","1","인허가","","","","","0337420022","","","강원특별자치도 원주시 학성동 1057번지 14호","강원특별자치도 원주시 동진골1길 9-2 (학성동)","26417","선인엔지니어링","2022-07-28 10:55:07","I","2023-06-13 00:00:00","","283329.532451335","428164.772768333","감리업","종합감리업","대한민국","0",
"14","전력기술감리업체","09_28_12_P","6530000","199864200008600001","1998-03-14","","01","영업/정상","1","인허가","","","","","0335356080","","","","강원특별자치도 동해시 감추6길 33 (천곡동)","240-812","광운설계감리(주)","2013-07-17 15:14:42","I","2023-06-13 00:00:00","","387470.730530138","448398.408903926","감리업","전문감리업","대한민국","0",
"15","전력기술감리업체","09_28_12_P","6530000","200964200008600001","2009-02-20","","01","영업/정상","1","인허가","","","","","0336519960","","25473","강원특별자치도 강릉시 교동 613-2","강원특별자치도 강릉시 율곡로 3060 (교동)","25473","S.H설계감리","2017-12-20 14:24:39","I","2023-06-13 00:00:00","","366338.043536181","476420.188886527","감리업","전문감리업","대한민국","50000000",
"16","전력기술감리업체","09_28_12_P","6530000","201064200008600001","2010-06-23","","01","영업/정상","1","인허가","","","","","0336437065","","","","강원특별자치도 강릉시 하슬라로 32 (홍제동)","210-949","(주)화신엔지니어링","2024-12-15 13:15:49","U","2024-12-17 02:40:00","","365452.863644426","474186.417082478","감리업","전문감리업","","50000000",
"17","전력기술감리업체","09_28_12_P","6530000","201064200008600002","2010-08-17","","01","영업/정상","1","인허가","","","","","0332615303","","24211","강원특별자치도 춘천시 동면 지내리 169번지","강원특별자치도 춘천시 동면 가산로 58-27","24211","가람이엔지(주)","2019-11-11 16:04:17","I","2023-06-13 00:00:00","","268922.47990333","489894.283675122","감리업","종합감리업","대한민국","51048000",
"18","전력기술감리업체","09_28_12_P","6530000","201164200008600002","2011-03-17","","01","영업/정상","1","인허가","","","","","0317300414","","","","강원특별자치도 속초시 중앙로 190, 712호 (동명동,설악센트리움)","217-810","(주)정엔지니어링","2013-07-18 09:07:49","I","2023-06-13 00:00:00","","339470.15928513","523908.757554044","감리업","전문감리업","대한민국","150000000",
"19","전력기술감리업체","09_28_12_P","6530000","201164200008600004","2011-11-02","","01","영업/정상","1","인허가","","","","","0332630489","","200-934","강원특별자치도 춘천시 석사동 421번지 1호","강원특별자치도 춘천시 공지로 178 (석사동)","200-934","(주)광장","2020-03-19 14:56:03","I","2023-06-13 00:00:00","","265406.386596906","484552.628667499","감리업","종합감리업","","102109376",
"20","전력기술감리업체","09_28_12_P","6530000","201364200008600001","2013-01-17","","01","영업/정상","1","인허가","","","","","07041514010","","25503","강원특별자치도 강릉시 교동 162-195","강원특별자치도 강릉시 임영로 198 (교동)","25503","선이엔지","2019-07-11 17:11:09","I","2023-06-13 00:00:00","","366669.450586933","474599.254533125","감리업","전문감리업","","0",
"21","전력기술감리업체","09_28_12_P","6530000","201364200008600002","2013-04-03","","01","영업/정상","1","인허가","","","","","0335760319","","245-935","강원특별자치도 삼척시 남양동 5번지 4호","강원특별자치도 삼척시 봉황로 97 (남양동)","245-935","(주)동남엔지니어링","2014-03-19 10:58:31","I","2023-06-13 00:00:00","","392082.513216988","440470.540929679","감리업","전문감리업","","50000000",
"22","전력기술감리업체","09_28_12_P","6530000","200364200008600004","2003-06-24","","01","영업/정상","1","인허가","","","","","0337666337","","","","강원특별자치도 원주시 늘품로 158-1 (단구동)","220-942","주식회사 극동","2025-07-25 10:16:49","U","2025-07-27 02:40:00","","284968.616492258","425909.825102051","감리업","종합감리업","대한민국","0",
"23","전력기술감리업체","09_28_12_P","6530000","201064200008600003","2010-01-29","","01","영업/정상","1","인허가","","","","","07078449717","","26465","강원특별자치도 원주시 반곡동 1886-1 701-1호","강원특별자치도 원주시 혁신로 53, 701-1호 (반곡동)","26465","주식회사 성우엔지니어링종합건축사사무소","2022-11-29 17:21:18","I","2023-06-13 00:00:00","","286792.280579079","425060.061384448","감리업","전문감리업","","50000000",
"24","전력기술감리업체","09_28_12_P","6530000","201964200008600006","2019-07-29","","01","영업/정상","1","인허가","","","","","0336519960","","25473","강원특별자치도 강릉시 교동 613-2","강원특별자치도 강릉시 율곡로 3060 (교동)","25473","주식회사 동우이씨","2023-11-01 13:32:56","U","2023-11-03 02:40:00","","366338.043536181","476420.188886527","감리업","종합감리업","","50000000",
"25","전력기술감리업체","09_28_12_P","6530000","201964200008600007","2019-08-06","","01","영업/정상","1","인허가","","","","","0332611198","","24402","강원특별자치도 춘천시 동내면 거두리 1102-1 202호","강원특별자치도 춘천시 동내면 거두택지길 93-16, 2층 202호","24402","주식회사 동해","2022-05-27 14:51:14","I","2023-06-13 00:00:00","","266603.696507272","484015.651729039","감리업","전문감리업","","50000000",
"26","전력기술감리업체","09_28_12_P","6530000","201964200008600008","2019-08-23","","01","영업/정상","1","인허가","","","","","0337308821","","25506","강원특별자치도 강릉시 교동 1740번지","강원특별자치도 강릉시 원대로 14, 2층 (교동)","25506","(주)정민엔지니어링","2025-01-24 11:50:41","U","2025-01-26 02:40:00","","365782.027858996","474263.481919356","감리업","전문감리업","033-432-1392","50000000",
"27","전력기술감리업체","09_28_12_P","6530000","201964200008600009","2019-08-29","","01","영업/정상","1","인허가","","","","","0333459697","","25929","강원특별자치도 삼척시 남양동 332번지 현진빌딩 904호","강원특별자치도 삼척시 중앙로 214, 현진빌딩 904호(남양동)","25929","주식회사 한울이엔씨","2022-12-23 11:13:01","I","2023-06-13 00:00:00","","391816.26302448","439984.606066527","감리업","전문감리업","","50000000",
"28","전력기술감리업체","09_28_12_P","6530000","201964200008600010","2019-09-25","","01","영업/정상","1","인허가","","","","","0333448816","","25246","강원특별자치도 횡성군 우천면 하대리 403번지","강원특별자치도 횡성군 우천면 하대2길 1","25246","(주)현엔지니어링","2019-09-26 13:25:15","I","2023-06-13 00:00:00","","295002.371988498","440095.951811552","감리업","전문감리업","대한민국","50000000",
