"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","집단급식소","07_21_02_P","4181000","4181000-105-2023-00007","2023-07-25","","01","영업/정상","01","영업","","","","","033255 4680","180.12","","강원특별자치도 춘천시 우두동 1089 춘천우두이지더원시그니처","강원특별자치도 춘천시 우두1길 70, 113동 (우두동, 춘천우두이지더원시그니처)","24221","이지더원어린이집","2024-05-24 10:57:03","U","2024-05-26 02:40:00","어린이집","264679.912044023","489794.047137665","어린이집","0","0","","","","0","0","0","0","0","","0","0","N","65.54","","","",
"2","집단급식소","07_21_02_P","4181000","4181000-105-2011-00018","2011-11-07","","01","영업/정상","01","영업","","","","","033 815 8099","927.99","","강원특별자치도 춘천시 근화동 524-1 한국고용정보센터 5층","강원특별자치도 춘천시 영서로 2491 (근화동)","24238","(주)한국고용정보","2025-06-02 09:11:21","U","2025-06-04 02:40:00","산업체","262530.685197535","486783.215058785","산업체","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","198.9","","","",
"3","집단급식소","07_21_02_P","4181000","4181000-105-2012-00001","2012-01-31","","01","영업/정상","01","영업","","","","","033 251 1555","6.25","","강원특별자치도 춘천시 후평동 755-7 2층","강원특별자치도 춘천시 만천로 247, 2층 (후평동)","24296","꿈나무유치원","2025-03-31 17:58:23","U","2025-04-02 02:40:00","어린이집","266272.767747883","487811.03350069","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","6.25","","","",
"4","집단급식소","07_21_02_P","4181000","4181000-105-2012-00002","2012-02-29","","01","영업/정상","01","영업","","","","","033 244 2177","149.85","","강원특별자치도 춘천시 서면 신매리 329-1","강원특별자치도 춘천시 서면 박사로 1348","24460","서상초등학교","2023-03-13 16:56:46","I","2023-06-13 00:00:00","학교","262115.538109662","492044.626488555","학교","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","45.36","","","",
"5","집단급식소","07_21_02_P","4181000","4181000-105-2005-00013","2005-04-19","","01","영업/정상","01","영업","","","","","033 2515530","5.13","","강원특별자치도 춘천시 후평동 868-1","강원특별자치도 춘천시 후만로126번길 4 (후평동)","24307","나래어린이집","2025-10-15 09:22:41","U","2025-10-17 02:40:00","어린이집","266633.463103351","486319.495150196","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","5.13","","","",
"6","집단급식소","07_21_02_P","4181000","4181000-105-2005-00014","2005-04-19","","01","영업/정상","01","영업","","","","","033 2526621","10.50","","강원특별자치도 춘천시 우두동 693-1","강원특별자치도 춘천시 충열로7번길 9 (우두동)","24226","사우어린이집","2025-05-16 17:25:47","U","2025-05-18 02:40:00","어린이집","264130.212202534","489011.727674643","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","10.5","","","",
"7","집단급식소","07_21_02_P","4181000","4181000-105-2005-00018","2005-04-20","","01","영업/정상","01","영업","","","","","033 2527819","","","강원특별자치도 춘천시 소양로1가 90-1","강원특별자치도 춘천시 후석로 573 (소양로1가)","24248","근화어린이집","2025-07-11 14:56:10","U","2025-07-13 02:40:00","어린이집","264162.33027111","488147.557642902","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"8","집단급식소","07_21_02_P","4181000","4181000-105-2005-00019","2005-04-20","","01","영업/정상","01","영업","","","","","033 2574293","13.80","","강원특별자치도 춘천시 효자동 708-16","강원특별자치도 춘천시 남춘로61번길 20 (효자동)","24372","효자어린이집","2025-06-01 13:21:22","U","2025-06-03 02:40:00","어린이집","264298.470985867","485219.229574791","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","13.8","","","",
"9","집단급식소","07_21_02_P","4181000","4181000-105-2017-00013","2017-10-23","","01","영업/정상","01","영업","","","","","","165.00","","강원특별자치도 춘천시 우두동 426-1 외 2필지","강원특별자치도 춘천시 충열로 124, 1층 (우두동)","24227","춘천북부노인복지관","2024-06-28 10:50:42","U","2024-06-30 02:40:00","사회복지시설","264938.096395491","489264.719345188","사회복지시설","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"10","집단급식소","07_21_02_P","4181000","4181000-105-2017-00014","2017-12-11","","01","영업/정상","01","영업","","","","","033 815 2010","736.64","","강원특별자치도 춘천시 퇴계동 866","강원특별자치도 춘천시 퇴계공단길 72, 다동 3층 (퇴계동)","24427","주식회사 에프엠지","2025-06-01 16:00:52","U","2025-06-03 02:40:00","산업체","264997.255063046","482527.844509136","산업체","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"11","집단급식소","07_21_02_P","4181000","4181000-105-2017-00015","2017-12-15","","01","영업/정상","01","영업","","","","","033 243 8833","17.76","","강원특별자치도 춘천시 퇴계동 826-5","강원특별자치도 춘천시 백석골길22번길 21-21, 3층 (퇴계동)","24455","이루숲어린이집","2025-06-01 13:24:53","U","2025-06-03 02:40:00","어린이집","263423.590535908","483603.56096001","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","17.76","","","",
"12","집단급식소","07_21_02_P","4181000","4181000-105-2018-00001","2018-02-13","","01","영업/정상","01","영업","","","","","033  2547244","136.32","","강원특별자치도 춘천시 효자동 373-90 3층","강원특별자치도 춘천시 근화길 95, 3층 (효자동)","24362","월드비전 춘천종합사회복지관","2021-05-04 14:20:21","I","2023-06-13 00:00:00","사회복지시설","263531.86156987","485534.563221546","사회복지시설","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","31.2","","","",
"13","집단급식소","07_21_02_P","4181000","4181000-105-2018-00004","2018-06-11","","01","영업/정상","01","영업","","","","","","154.50","","강원특별자치도 춘천시 신북읍 산천리 342-2 춘천시농업기술센터","강원특별자치도 춘천시 신북읍 신북로 262, 춘천시농업기술센터 농업기술연구동 3층","24203","춘천시농업기술센터","2024-06-28 13:16:58","U","2024-06-30 02:40:00","공공기관","265936.821992945","494330.234537712","공공기관","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","45","","","",
"14","집단급식소","07_21_02_P","4181000","4181000-105-2005-00023","2005-04-21","","01","영업/정상","01","영업","","","","","033 2416621","10.14","","강원특별자치도 춘천시 우두동 700-7","강원특별자치도 춘천시 충열로67번길 38 (우두동)","24226","해나어린이집","2025-05-16 17:40:54","U","2025-05-18 02:40:00","어린이집","264376.679095613","489147.355054714","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","10.14","","","",
"15","집단급식소","07_21_02_P","4181000","4181000-105-2005-00026","2005-04-22","","01","영업/정상","01","영업","","","","","033 2572233","10.34","","강원특별자치도 춘천시 퇴계동 257-3","강원특별자치도 춘천시 영서로2151번길 16-11 (퇴계동)","24448","예원유치원","2025-04-01 09:04:18","U","2025-04-03 02:40:00","어린이집","264555.497136884","484016.463180827","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","10.34","","","",
"16","집단급식소","07_21_02_P","4181000","4181000-105-2005-00027","2005-04-22","","01","영업/정상","01","영업","","","","","033 2445024","10.53","","강원특별자치도 춘천시 신북읍 율문리 813-1 5리","강원특별자치도 춘천시 신북읍 신북로 99 (5리)","24205","사회복지법인한솔어린이집","2025-05-16 17:41:21","U","2025-05-18 02:40:00","어린이집","265968.324143069","492645.640272946","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","10.53","","","",
"17","집단급식소","07_21_02_P","4181000","4181000-105-2005-00028","2005-04-22","","01","영업/정상","01","영업","","","","","033 2420660","17.72","","강원특별자치도 춘천시 신북읍 천전리 993","강원특별자치도 춘천시 신북읍 맥국길 74","24204","사회복지법인진실어린이집","2017-07-18 17:17:05","I","2023-06-13 00:00:00","어린이집","268129.488695341","492941.242405613","어린이집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","17.72","","","",
"18","집단급식소","07_21_02_P","4181000","4181000-105-2018-00005","2018-06-21","","01","영업/정상","01","영업","","","","","033 253 5000","234.00","","강원특별자치도 춘천시 석사동 166","강원특별자치도 춘천시 영서로 1925-9, 토마스요양병원내 지하1층 (석사동)","24416","토마스요양병원","2024-06-28 14:35:18","U","2024-06-30 02:40:00","병원","266376.227610157","482956.40574868","병원","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","90","","","",
"19","집단급식소","07_21_02_P","4181000","4181000-105-2018-00006","2018-10-12","","01","영업/정상","01","영업","","","","","033  2603120","0.00","","강원특별자치도 춘천시 동산면 원창리 713 국립춘천병원","강원특별자치도 춘천시 동산면 영서로 824, 국립춘천병원 지하1층","24409","국립춘천병원직원식당","2024-11-29 16:54:40","U","2024-12-01 02:40:00","병원","267433.233427234","474628.124982161","병원","0","0","","","전용상수도(특정시설의 자가용 수도)","0","0","0","0","0","","0","0","N","0","","","",
"20","집단급식소","07_21_02_P","4181000","4181000-105-2018-00007","2018-10-29","","01","영업/정상","01","영업","","","","","033 255 0085","86.93","","강원특별자치도 춘천시 효자동 312-1","강원특별자치도 춘천시 공지로 270 (효자동)","24342","베드로병원","2024-06-28 11:30:49","U","2024-06-30 02:40:00","병원","264636.115691457","485077.929690747","병원","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","35.25","","","",
"21","집단급식소","07_21_02_P","4181000","4181000-105-2018-00008","2018-11-06","","01","영업/정상","01","영업","","","","","033 241 3000","48.00","","강원특별자치도 춘천시 동내면 거두리 684-1","강원특별자치도 춘천시 동내면 거두길 20-13, 지하1층","24400","춘천다원요양원","2024-06-28 13:31:36","U","2024-06-30 02:40:00","사회복지시설","266984.008739464","484389.498109579","사회복지시설","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","24","","","",
"22","집단급식소","07_21_02_P","4181000","4181000-105-2018-00009","2018-11-16","","01","영업/정상","01","영업","","","","","033 250 4005","308.89","","강원특별자치도 춘천시 옥천동 111-1 춘천시청","강원특별자치도 춘천시 시청길 11, 춘천시청 1층 (옥천동)","24347","춘천시청","2024-06-28 11:29:00","U","2024-06-30 02:40:00","공공기관","","","공공기관","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","81.79","","","",
