"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산가공업","07_22_05_P","4181000","418000000420030004","2003-12-30","","03","폐업","0002","폐업","2017-12-28","","","2017-12-28","","32.28","","강원특별자치도 춘천시 동면 지내리 245-6","","","뫼바우식품","2017-12-28 13:49:45","I","2023-06-13 00:00:00","식육가공업","268598.174810159","489922.159005451","축산물가공업","식육가공업","0","000","0",
"2","축산가공업","07_22_05_P","4241000","424000000420030001","2003-04-02","","03","폐업","0002","폐업","2009-03-31","","","","574-4893","60","","강원특별자치도 삼척시 근덕면 매원리 554","","","정원산양유가공","2009-03-31 11:36:56","I","2023-06-13 00:00:00","유가공업","","","축산물가공업","유가공업","0","000","0",
"3","축산가공업","07_22_05_P","4261000","426000000420070001","2007-10-29","","03","폐업","0002","폐업","2017-12-13","","","","345-1478","0","","강원특별자치도 횡성군 횡성읍 읍상리 350-4","강원특별자치도 횡성군 횡성읍 교항북로 20 (101-705(서도1차 아파트))","25234","한우직매장","2018-01-02 09:32:24","I","2023-06-13 00:00:00","식육가공업","287324.303312771","443701.598638612","축산물가공업","식육가공업","0","000","0",
"4","축산가공업","07_22_05_P","4301000","430000000420020001","2004-09-10","","01","영업/정상","0000","정상","","","","","033-452-6645","0","","강원특별자치도 철원군 갈말읍 문혜리 1224","강원특별자치도 철원군 갈말읍 호국로 4991","","(주) 초원농축산","2004-09-21 14:24:14","I","2023-06-13 00:00:00","식육가공업","227386.833277089","518009.295679173","축산물가공업","식육가공업","0","L00","0",
"5","축산가공업","07_22_05_P","4331000","433000000420020001","2002-07-16","","03","폐업","0002","폐업","2015-09-10","","","","461-1222","356.4","","강원특별자치도 인제군 인제읍 남북리 386","강원특별자치도 인제군 인제읍 인제로112번길 36-22","24624","주식회사 대암육가공","2017-12-04 17:18:53","I","2023-06-13 00:00:00","식육가공업","","","축산물가공업","식육가공업","0","000","0",
"6","축산가공업","07_22_05_P","6530000","653000000420230003","2023-08-23","","01","영업/정상","0000","정상","","","","","","189.07","","강원특별자치도 원주시 명륜동  833번지 2호","강원특별자치도 원주시 남원로469번길 11, 1층 (명륜동)","","농업회사법인 주식회사 서강식품","2024-11-15 15:42:29","U","2024-11-17 02:40:00","식육가공업","283443.077687389","425472.733111479","축산물가공업","식육가공업","0","L00","2",
"7","축산가공업","07_22_05_P","6530000","653000000420240008","2024-05-30","","01","영업/정상","0000","정상","","","","","0337318812","1686.7","","강원특별자치도 원주시 소초면 평장리 907번지 1호","강원특별자치도 원주시 소초면 현촌길 108","","주식회사 에버스","2024-05-30 18:43:44","I","2024-06-01 00:14:25","식육가공업","287951.272781622","436333.781724325","축산물가공업","식육가공업","0","L00","13",
"8","축산가공업","07_22_05_P","6530000","653000000420230001","2023-06-22","","01","영업/정상","0000","정상","","","","","","58.29","","강원특별자치도 횡성군 안흥면 안흥리 526번지 1호","강원특별자치도 횡성군 안흥면 주천강로안흥2길 25","","아랑푸드","2023-06-22 09:16:46","I","2023-06-24 00:19:17","식육가공업","","","축산물가공업","식육가공업","0","000","3",
"9","축산가공업","07_22_05_P","6530000","642000000420140014","2014-05-27","","01","영업/정상","0000","정상","","","","","","76.81","","강원특별자치도 춘천시 동내면 거두리 982번지 3호","강원특별자치도 춘천시 동내면 거두택지길14번길 17","200-962","우성닭갈비 본점 택배사업부","2023-06-15 13:33:57","U","2023-06-17 02:40:00","식육가공업","266299.485","483503.890000001","축산물가공업","식육가공업","0","000","0",
"10","축산가공업","07_22_05_P","6530000","642000000419960001","1996-06-12","","01","영업/정상","0000","정상","","","","","0336466670","7510.52","210-821","강원특별자치도 강릉시 강동면 모전리 576번지 3호","강원특별자치도 강릉시 강동면 단경로 114","210-821","동그린주식회사","2021-02-01 15:23:30","I","2023-06-13 00:00:00","유가공업","372789.751128288","469997.518972905","축산물가공업","유가공업","0","L00","99",
