"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산물운반업","07_22_25_P","4181000","418000000819910001","1991-03-15","","01","영업/정상","0000","정상","","","","","15772926","68.91","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 새롬공원길 *, *층 (석사동)","24394","대성화물(주)","2025-04-23 17:09:58","U","2025-04-25 02:40:00","","265677.251340603","483630.867958394","축산물운반업","","0","L00","0",
"2","축산물운반업","07_22_25_P","4181000","418000000819970001","1997-07-22","","01","영업/정상","0000","정상","","","","","2552621","30","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 새롬공원길 *, *층 (석사동)","24394","대성기업(주)","2022-04-07 10:52:36","I","2023-06-13 00:00:00","","265677.251340603","483630.867958394","축산물운반업","","0","L00","0",
"3","축산물운반업","07_22_25_P","4181000","418000000820020001","2002-12-03","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 동산면 원창리 ***","강원특별자치도 춘천시 동산면 가암길 **","","경희운수","2003-05-29 14:09:24","I","2023-06-13 00:00:00","","267341.842673347","475578.958445615","축산물운반업","","0","000","0",
"4","축산물운반업","07_22_25_P","4181000","418000000820040001","2004-09-13","","01","영업/정상","0000","정상","","","","","","99.99","","강원특별자치도 춘천시 칠전동 ***-**","강원특별자치도 춘천시 칠전동길 ** (칠전동)","","(합자)경영물류","2024-10-22 11:20:46","U","2024-10-24 02:40:00","","262905.962238314","482374.221868107","축산물운반업","","0","L00","0",
"5","축산물운반업","07_22_25_P","4181000","418000000820060001","2006-04-12","","01","영업/정상","0000","정상","","","","","","330","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 삭주로***번길 ** (후평동)","","대진운수","2006-04-12 10:29:51","I","2023-06-13 00:00:00","","265555.999568027","488024.041299945","축산물운반업","","0","000","0",
"6","축산물운반업","07_22_25_P","4181000","418000000820060002","2006-06-13","","01","영업/정상","0000","정상","","","","","","1058.93","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단*길 ** (퇴계동)","","농협중앙회 춘천급식점","2006-06-13 11:41:53","I","2023-06-13 00:00:00","","264811.077843905","482876.745763657","축산물운반업","","0","000","0",
"7","축산물운반업","07_22_25_P","4181000","418000000820190001","2019-12-05","","01","영업/정상","0000","정상","","","","","","98.91","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 새롬공원길 *, *층 (석사동)","24394","(주)대성상운","2025-07-10 16:02:22","U","2025-07-12 02:40:00","","265677.251340603","483630.867958394","축산물운반업","","0","L00","0",
"8","축산물운반업","07_22_25_P","4181000","418000000820210001","2021-01-04","","01","영업/정상","0000","정상","","","","","","50","","강원특별자치도 춘천시 칠전동 ***-**","강원특별자치도 춘천시 칠전동길 ** (칠전동)","24456","선우물류 주식회사","2025-07-02 17:25:12","U","2025-07-04 02:40:00","","262905.962238314","482374.221868107","축산물운반업","","0","L00","0",
"9","축산물운반업","07_22_25_P","4181000","418000000820230001","2023-01-04","","01","영업/정상","0000","정상","","","","","033-255-2624","25","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 새롬공원길 *, *층 (석사동)","24394","정인운수 주식회사","2023-11-23 11:31:53","U","2023-11-25 02:40:00","","265677.251340603","483630.867958394","축산물운반업","","0","L00","0",
"10","축산물운반업","07_22_25_P","4181000","418000000820210002","2021-06-02","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 사농동 *** 춘천 뉴시티 코아루","강원특별자치도 춘천시 영서로 ****, ***동 ***호 (사농동, 춘천 뉴시티 코아루)","24223","행복운수","2021-06-02 16:52:05","I","2023-06-13 00:00:00","","263745.755839268","490140.453348897","축산물운반업","","0","000","0",
"11","축산물운반업","07_22_25_P","4181000","418100000820240001","2024-11-14","","01","영업/정상","0000","정상","","","","","","450","","강원특별자치도 춘천시 동면 지내리 ***-**","강원특별자치도 춘천시 동면 가산로 ***-**","24211","주식회사 엠에쓰에쓰","2024-11-14 11:18:26","I","2024-11-16 00:12:02","","268542.115084817","490816.216488086","축산물운반업","","0","L00","0",
"12","축산물운반업","07_22_25_P","4181000","418000000820030001","2003-01-21","","03","폐업","0002","폐업","2015-03-02","","","","","0","","강원특별자치도 춘천시 동산면 원창리 ***","강원특별자치도 춘천시 동산면 가암길 **","","광종개별화물","2015-03-02 16:53:23","I","2023-06-13 00:00:00","","267341.842673347","475578.958445615","축산물운반업","","0","000","0",
