"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"1","환경측정대행업","09_30_17_P","6530000","653000008202300019","2023-08-08","","01","영업/정상","N","신규","","","","","","","26349","강원특별자치도 원주시 호저면 만종리 217-1","강원특별자치도 원주시 호저면 우무개로 326","26349","(주)삼성환경엔지니어링","2023-08-08 17:48:21","I","2023-08-10 00:18:35","","280935.024259656","429774.133074899","0","측정대행업","0","","5113011000","220100","1","","","","","","","","51130","5113011000","1","3219041","","0","341","","220100",
"2","환경측정대행업","09_30_17_P","6530000","653000008202300020","2023-08-08","","01","영업/정상","N","신규","","","","","","","26493","강원특별자치도 원주시 흥업면 매지리 1184-1 연세대원주환경친화기술센터 302호","강원특별자치도 원주시 흥업면 북원로 1389, 연세대원주환경친화기술센터 302호","26493","(주)에코엔비텍","2023-08-08 18:03:59","I","2023-08-10 00:18:35","","280254.288140415","419626.869610252","34","측정대행업","0","","5113037022","26493","0","1184","1","","","연세대원주환경친화기술센터","","303","51130","5113037022","0","3219073","연세대원주환경친화기술센터","0","1389","0","26493",
"3","환경측정대행업","09_30_17_P","6530000","653000008202300017","2023-08-07","","01","영업/정상","N","신규","","","","","","","24456","강원특별자치도 춘천시 칠전동 603-7","강원특별자치도 춘천시 칠전동길 31-5(칠전동)","24456","아람기술이앤지(주)","2023-08-07 10:27:13","I","2023-08-09 00:19:30","","262877.004279535","482285.243609461","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"4","환경측정대행업","09_30_17_P","6530000","653000008202300018","2023-08-07","","01","영업/정상","N","신규","","","","","","","25422","강원특별자치도 강릉시 주문진읍 교항리 1207-6","강원특별자치도 강릉시 주문진읍 농공단지길 28-32","25422","(주)세동이엔지","2023-08-07 10:31:50","I","2023-08-09 00:19:30","","360487.917334175","486867.906205672","0","측정대행업","0","","5115025022","25422","0","1207","6","","","","","","51150","5115025022","0","4460314","","0","28","32","25422",
"5","환경측정대행업","09_30_17_P","6530000","653000008202300023","2023-08-25","","01","영업/정상","N","신규","","","","","","","220-912","강원특별자치도 원주시 판부면 서곡리  2011번지 -6번지","강원특별자치도 원주시 판부면 오성마을길 63-7","220-912","(주)영동환경이앤텍","2023-08-25 09:18:17","I","2023-08-27 00:18:30","","284028.975216268","424549.946849535","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"6","환경측정대행업","09_30_17_P","6530000","653000008202300024","2025-07-29","","01","영업/정상","N","신규","","","","","","","220-912","강원특별자치도 원주시 판부면 서곡리  2011번지 -6번지","강원특별자치도 원주시 판부면 오성마을길 63-7","220-912","(주)영동환경이앤텍","2025-07-29 14:39:04","U","2025-07-31 02:40:00","","284028.975216268","424549.946849535","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"7","환경측정대행업","09_30_17_P","6530000","653000008202300012","2023-07-10","","01","영업/정상","N","신규","","","","","","","24408","강원특별자치도 춘천시 동내면 사암리 765번지","강원특별자치도 춘천시 동내면 대룡산길 80-3","24408","(주)이엠연구소","2023-07-10 10:03:45","I","2023-07-13 00:19:21","","267657.706361618","481762.761134097","40.8","측정대행업","0","","5111039024","24408","0","765","0","","","","","","51110","5111039024","0","4454152","","0","80","3","24408",
"8","환경측정대행업","09_30_17_P","6530000","653000008202300013","2025-07-22","","01","영업/정상","N","신규","","","","","","","24399","강원특별자치도 춘천시 동내면 거두리 457-7","강원특별자치도 춘천시 동내면 거두길 191","24399","(자)대한환경건설","2025-07-22 11:05:20","U","2025-07-24 02:40:00","","","","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
"9","환경측정대행업","09_30_17_P","6530000","653000008202300014","2023-07-24","","01","영업/정상","N","신규","","","","","0337645807","","220-934","강원특별자치도 원주시 관설동   634번지 3호","강원특별자치도 원주시 치악로 1351 (관설동)","","(주)선진환경","2023-07-24 08:58:41","I","2023-07-26 00:18:54","","286539.562056716","423342.277511088","120","측정대행업","0","","5113011600","220934","1","634","3","","","","","","51130","5113011600","1","3219054","","0","1351","","220180",
"10","환경측정대행업","09_30_17_P","6530000","653000008202300015","2023-07-25","","01","영업/정상","N","신규","","","","","","","26347","강원특별자치도 원주시 지정면 신평리 1126번지","강원특별자치도 원주시 지정면 청정로 80-1","26347","(주)알렉스분석시험소","2023-07-25 10:54:14","I","2023-07-27 00:18:54","","278740.864821739","431780.028130067","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","",
