"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호","사업자등록번호",
"1","환경컨설팅회사","09_30_18_P","6530000","642000020201900006","2025-10-02","","01","영업/정상","N","신규","","","","","0315966109","","14056","경기도 안양시 동안구 관양동 1307-37 관양두산벤처다임 3호","경기도 안양시 동안구 학의로 250, 관양두산벤처다임 3층 (관양동)","14056","(주)화신엔지니어링","2025-10-02 14:01:23","U","2025-10-05 02:40:00","","196988.166986686","433309.061488993","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","2218106648",
"2","환경컨설팅회사","09_30_18_P","6530000","642000020202100001","2021-02-03","","01","영업/정상","N","신규","","","","","","","24390","강원특별자치도 춘천시 석사동 796-11","강원특별자치도 춘천시 퇴계로 207, 명진빌딩 4층 (석사동)","24390","㈜리저브카본","2022-01-17 09:22:52","I","2023-06-13 00:00:00","","265193.628553188","484064.267149514","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"3","환경컨설팅회사","09_30_18_P","6530000","642000020202200001","2025-08-21","","01","영업/정상","N","신규","","","","","","","24387","강원특별자치도 춘천시 석사동 671-2","강원특별자치도 춘천시 석사길5번길 39, 101호(석사동)","24387","㈜아신이엔지","2025-08-21 15:48:05","U","2025-08-23 02:40:00","","265315.636865288","484305.027991023","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"4","환경컨설팅회사","09_30_18_P","6530000","642000020202200002","2022-10-04","","01","영업/정상","N","신규","","","","","","","24446","강원특별자치도 춘천시 퇴계동 430번지 우성아파트(상가) 102호","강원특별자치도 춘천시 국사봉길 7, 102호(퇴계동, 우성아파트)","24446","(주)에어텍","2022-10-04 11:24:08","I","2023-06-13 00:00:00","","264164.59449899","484281.809863332","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","2218148105",
"5","환경컨설팅회사","09_30_18_P","6530000","642000020202300001","2023-03-17","","01","영업/정상","N","신규","","","","","","","26460","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워 606호","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 606호(반곡동)","26460","(주)우덕리서치앤컨설팅","2023-03-17 15:24:08","I","2023-06-13 00:00:00","","286650.196160256","425529.258545694","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","2248118008",
"6","환경컨설팅회사","09_30_18_P","6530000","642000020201800001","2024-02-27","","01","영업/정상","N","신규","","","","","0332569818","","24232","강원특별자치도 춘천시 후평동 558-1","강원특별자치도 춘천시 후석로420번길 7, 916호 (후평동)","24232","㈜카이트엔지니어링","2024-02-27 15:39:28","U","2024-02-29 02:40:00","","265474.842593179","487512.552718902","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","1138654320",
"7","환경컨설팅회사","09_30_18_P","6530000","642000020201900001","2019-01-21","","01","영업/정상","N","신규","","","","","","","","강원특별자치도 춘천시 남산면 수동리 639번지","강원특별자치도 춘천시 남산면 추곡고개2길 26","","(주)엔이씨파워","2022-01-17 09:23:52","I","2023-06-13 00:00:00","","","","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"8","환경컨설팅회사","09_30_18_P","6530000","642000020201900003","2024-11-25","","01","영업/정상","N","신규","","","","","0313470500","","14058","경기도 안양시 동안구 관양동 922번지 평촌역하이필드 A동 715호","경기도 안양시 동안구 벌말로 66, 평촌역하이필드 A동 715호 (관양동)","14058","(주)중천엔지니어링","2024-11-25 17:42:32","U","2024-11-27 02:40:00","","197281.306783112","432471.390077496","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","4758601022",
"9","환경컨설팅회사","09_30_18_P","6530000","653000020202500002","2025-07-09","","01","영업/정상","N","신규","","","","","","","24348","강원특별자치도 춘천시 조양동 6-164","강원특별자치도 춘천시 시청길 24 (조양동)","24348","㈜이림이엔씨","2025-07-09 10:32:58","I","2025-07-11 00:20:02","","264185.81121934","486695.604780884","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","6768101616",
"10","환경컨설팅회사","09_30_18_P","6530000","653000020202500001","2025-07-08","","01","영업/정상","N","신규","","","","","07086483896","","26465","강원특별자치도 원주시 반곡동 1882-1","강원특별자치도 원주시 배울로 86, 302호 (반곡동)","26465","㈜에코이엠","2025-07-08 13:01:44","I","2025-07-10 00:20:01","","286636.67985905","425181.395398497","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","3818101964",
