"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"1","후원방문판매업체","08_26_05_P","6530000","20236530000301000044","2023-07-26","","01","영업/정상","2","영업","","","","","","","26437","강원특별자치도 원주시 단계동  ****번지 *호 성우프라자 ***호","강원특별자치도 원주시 천사로 **, 성우프라자 ***호 (단계동)","","(주) 럭셔리뷰티원주중앙점","2024-12-23 00:00:00","U","2024-12-25 02:40:00","","","","후원방문판매업","0","3588603098",
"2","후원방문판매업체","08_26_05_P","6530000","20146530000301000004","2014-03-06","","01","영업/정상","2","영업","","","","","0336450981","","25530","강원특별자치도 강릉시 임당동  **번지 **호","강원특별자치도 강릉시 토성로 ***, *층 (임당동)","","유니베라 신강릉대리점","2022-06-16 00:00:00","I","2023-06-16 00:19:48","","366897.642884434","474335.66435383","후원방문판매업","0","2261193621",
"3","후원방문판매업체","08_26_05_P","6530000","20136530000301000114","2013-08-20","","01","영업/정상","2","영업","","","","","0337455564","","220-937","강원특별자치도 원주시 단계동  ***번지 *호 *층","강원특별자치도 원주시 무실로 ***, *층 (단계동)","","유니베라 단계대리점","2022-06-16 00:00:00","I","2023-06-16 00:19:48","","283232.625319417","427027.66975589","후원방문판매업","0","2240776196",
"4","후원방문판매업체","08_26_05_P","6530000","20136530000301000117","2013-08-20","","01","영업/정상","2","영업","","","","","0337447550","","220-947","강원특별자치도 원주시 명륜동  ***번지 *호 *층","강원특별자치도 원주시 남원로 ***, *층 (명륜동)","","유니베라 원주중앙대리점","2022-06-16 00:00:00","I","2023-06-16 00:19:48","","284159.286285316","426571.718444477","후원방문판매업","0","2240439147",
"5","후원방문판매업체","08_26_05_P","6530000","20186530000301000003","2018-04-25","","01","영업/정상","2","영업","","","","","0332641243","","24424","강원특별자치도 춘천시 퇴계동  ***번지 *호 **호","강원특별자치도 춘천시 안마산로 ***, *층 **호 (퇴계동)","","한국화장품 춘천지사","2025-05-09 00:00:00","U","2025-05-11 02:40:00","","264821.013871032","483196.394695827","후원방문판매업","0","7994700274",
"6","후원방문판매업체","08_26_05_P","6530000","20136530000301000094","2013-08-20","","01","영업/정상","2","영업","","","","","0332631091","","","강원특별자치도 춘천시 석사동  ***번지","강원특별자치도 춘천시 공지로 ***-*, *층 (석사동)","","아모레퍼시픽 춘천특약점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","265532.420849964","484272.087151418","후원방문판매업","0","2210784381",
"7","후원방문판매업체","08_26_05_P","6530000","20136530000301000075","2013-08-20","","01","영업/정상","2","영업","","","","","0334615663","","24637","강원특별자치도 인제군 인제읍 합강리 ***번지 *호 ***호","강원특별자치도 인제군 인제읍 비봉로**번길 **, ***호","","아모레퍼시픽 인제점","2025-01-14 00:00:00","U","2025-01-16 02:40:00","","","","후원방문판매업","0","2270332388",
"8","후원방문판매업체","08_26_05_P","6530000","20146530000301000007","2014-06-02","","01","영업/정상","2","영업","","","","","0336555544","","25486","강원특별자치도 강릉시 포남동  ****번지 **호","강원특별자치도 강릉시 가작로 ***, *층 (포남동)","","오휘화장품 솔향강릉점","2024-05-22 00:00:00","U","2024-05-24 02:40:00","","368057.662972467","475985.831030966","후원방문판매업","0","2261194144",
"9","후원방문판매업체","08_26_05_P","6530000","20146530000301000008","2014-06-02","","01","영업/정상","2","영업","","","","","0335738855","","25922","강원특별자치도 삼척시 당저동  *번지 **호","강원특별자치도 삼척시 봉황로 ***-*(당저동)","","오휘화장품  삼척점","2024-05-22 00:00:00","U","2024-05-24 02:40:00","","392011.797389202","440579.653088229","후원방문판매업","0","2220987861",
"10","후원방문판매업체","08_26_05_P","6530000","20136530000301000036","2013-08-20","","01","영업/정상","2","영업","","","","","0336412535","","25476","강원특별자치도 강릉시 교동  **번지 **호","강원특별자치도 강릉시 가작로 ***-*, *층 (교동)","","(주)오휘화장품 강릉지사","2025-06-25 00:00:00","U","2025-06-27 02:40:00","","367253.041525545","476005.995156911","후원방문판매업","0","2268141903",
