"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자","관리주체",
"1","병원","01_01_01_P","4181000","PHMA220104180029021200002","2010-12-02","","03","폐업","03","폐업","2019-06-10","","","","033)251-2795","","200-862","강원특별자치도 춘천시 사북면 고탄리 533번지","강원특별자치도 춘천시 사북면 춘화로 392","24201","춘천호수요양병원","2019-06-10 10:54:26","I","2023-06-13 00:00:00","요양병원(일반요양병원)","261131.342782042","497966.875774043","요양병원(일반요양병원)","9","13","87","1167","101 102 120 122","내과, 신경과, 재활의학과, 가정의학과","","","","0","0","","","0","","시군구",
"2","병원","01_01_01_P","4181000","PHMA219824180029021200002","1982-03-08","","03","폐업","03","폐업","2016-07-31","","","","033-263-0500","","200-180","강원특별자치도 춘천시 석사동 171번지 8호","강원특별자치도 춘천시 스무숲길 4-46 (석사동)","24417","춘천중앙병원","2016-07-29 11:29:47","I","2023-06-13 00:00:00","병원","265713.451557895","482820.421569114","병원","3","0","99","0","101 105 102","내과, 신경과, 정형외과","","","","0","0","","","0","","시군구",
"3","병원","01_01_01_P","4181000","PHMA219974180029021200001","1997-04-18","","03","폐업","03","폐업","2022-02-24","","","","033)240-7000","5409","","강원특별자치도 춘천시 온의동 513-3,4,8","강원특별자치도 춘천시 경춘로 2364 (온의동)","24436","강남병원","2025-09-05 17:42:38","U","2025-09-07 02:40:00","병원","263363.74960516","484877.145433762","병원","38","38","192","5409","101 104 105 106 109 116","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과","","","","0","0","","","0","","시군구",
"4","병원","01_01_01_P","4181000","PHMA219974180029021200002","1997-09-09","","03","폐업","03","폐업","2012-03-01","","","","033)260-7116","","","강원특별자치도 춘천시 석사동 166번지","강원특별자치도 춘천시 영서로 1925-9 (석사동)","200-933","춘천한방병원","2012-02-29 10:25:31","I","2023-06-13 00:00:00","한방병원","266376.227610157","482956.40574868","한방병원","24","23","78","0","303 308 304 301 302 306 305 307","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","","시군구",
"5","병원","01_01_01_P","4181000","PHMA220124180029021200001","2012-03-02","","03","폐업","03","폐업","2019-05-18","","","","033)260-7116","","","강원특별자치도 춘천시 동면 장학리 80번지 1호","강원특별자치도 춘천시 동면 춘천로 527-34","24210","춘천한방병원","2019-05-16 12:18:14","I","2023-06-13 00:00:00","한방병원","267126.590536997","488627.11291077","한방병원","10","14","52","1144.07","301 305 308 306 302 304 307 303","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","","시군구",
"6","병원","01_01_01_P","4181000","PHMA220154180029021200001","2015-09-21","","01","영업/정상","13","영업중","","","","","033)255-0085","1429.42","","강원특별자치도 춘천시 효자동 312번지 1호","강원특별자치도 춘천시 공지로 270 (효자동)","24342","베드로병원","2024-02-19 16:51:51","U","2024-02-21 02:40:00","정신병원","264636.115691457","485077.929690747","정신병원","6","14","73","1429.42","103 102","신경과, 정신건강의학과","","","","0","0","","","0","","시도",
"7","병원","01_01_01_P","4181000","PHMA220074180029021200001","1900-01-01","","01","영업/정상","13","영업중","","","","","033-264-9885","","","강원특별자치도 춘천시 서면 당림리 167-1","강원특별자치도 춘천시 서면 샛말길 122-11","24463","춘천예현병원","2024-12-06 11:03:20","U","2024-12-08 02:40:00","정신병원","254245.483818577","483370.766177782","정신병원","25","75","297","0","101 102 103 120 122","내과, 신경과, 정신건강의학과, 재활의학과, 가정의학과","","","","0","0","","","0","","시도",
"8","병원","01_01_01_P","4181000","PHMA220044180029021200001","1900-01-01","","01","영업/정상","13","영업중","","","","","033-255-8515","1690.51","200-952","강원특별자치도 춘천시 효자동 655번지","강원특별자치도 춘천시 춘천로 180 (효자동)","24329","봄내병원","2024-12-06 10:50:58","U","2024-12-08 02:40:00","정신병원","264519.81300489","486204.177489443","정신병원","7","27","128","1690.51","102 103","신경과, 정신건강의학과","","","","0","0","","","0","","시도",
"9","병원","01_01_01_P","4181000","PHMA219924180029021200001","1900-01-01","","01","영업/정상","13","영업중","","","","","033)260-3000","2880","200-843","강원특별자치도 춘천시 동산면 원창리 713번지","강원특별자치도 춘천시 동산면 영서로 824","24409","국립춘천병원","2025-04-01 11:16:20","U","2025-04-03 02:40:00","정신병원","267433.233427234","474628.124982161","정신병원","42","30","153","2880","103","정신건강의학과","","","","0","0","","","0","","시도",
"10","병원","01_01_01_P","4181000","PHMA219994180029021200001","1999-12-01","","01","영업/정상","13","영업중","","","","","033)261-0999","4659.81","","강원특별자치도 춘천시 군자2리 442-1","강원특별자치도 춘천시 동산면 새술막길 315-77","24409","의료법인춘천서인병원","2024-05-10 10:39:15","U","2024-05-12 02:40:00","정신병원","264130.762308811","474489.513266524","정신병원","24","48","234","4659.81","103 101","내과, 정신건강의학과","","","","0","0","","","0","","시군구",
