"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"1","의료기기수리업","01_02_02_P","4181000","PHMG320054180029047400001","2005-06-07","","03","폐업","03","폐업","2013-08-27","","","","033-241-3878","","200-938","강원특별자치도 춘천시 온의동 538번지 8호","강원특별자치도 춘천시 춘주로92번길 14-1 (온의동)","200-938","위니아서비스(주)춘천점","2013-08-27 13:32:04","I","2023-06-13 00:00:00","","263196.590838208","484502.451768568","","","","",
"2","의료기기수리업","01_02_02_P","4181000","PHMG320074180029047400001","2007-04-03","","03","폐업","03","폐업","2011-01-13","","","","033-241-3878","","200-220","강원특별자치도 춘천시 칠전동 594번지 8호","강원특별자치도 춘천시 칠전서1길 6 (칠전동)","200-220","엠메디텍","2014-01-16 17:40:31","I","2023-06-13 00:00:00","","262768.371109136","482247.395097168","","","","",
"3","의료기기수리업","01_02_02_P","4181000","PHMG320084180029047400001","2008-11-25","","03","폐업","03","폐업","2019-04-30","","","","033-252-6080","","200-944","강원특별자치도 춘천시 퇴계동 772번지","","","(주)춘천LGC","2019-05-29 09:09:11","I","2023-06-13 00:00:00","","","","","","","",
"4","의료기기수리업","01_02_02_P","4181000","PHMG320114180029047400004","2011-07-08","","03","폐업","03","폐업","2015-03-30","","","","","","200-953","강원특별자치도 춘천시 효자2동 301번지 1호","강원특별자치도 춘천시 공지로 245 (효자동)","200-953","메디프로","2015-03-31 09:51:53","I","2023-06-13 00:00:00","","264740.192592919","484848.552292269","","","","",
"5","의료기기수리업","01_02_02_P","4181000","PHMG320144180029047400001","2014-06-16","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 춘천시 후만로98번길 14 (후평동)","24312","신세계의료기","2014-07-01 11:33:14","I","2023-06-13 00:00:00","","266423.575548299","486134.055459009","","","","",
"6","의료기기수리업","01_02_02_P","4181000","PHMG320104180029047400001","2010-12-15","","01","영업/정상","13","영업중","","","","","033-257-8452","","200-951","강원특별자치도 춘천시 효자동 608번지 27호","강원특별자치도 춘천시 서부대성로 176-1 (효자동)","24331","디지털월드","2014-01-17 16:29:20","I","2023-06-13 00:00:00","","264880.840021574","486109.83035167","","","","",
"7","의료기기수리업","01_02_02_P","4181000","PHMG320114180029047400001","2011-02-01","","01","영업/정상","13","영업중","","","","","033-257-9106","","200-043","강원특별자치도 춘천시 중앙로3가 23번지","강원특별자치도 춘천시 중앙로107번길 15-2 (중앙로3가)","24358","원강메디텍","2023-06-02 16:26:50","I","2023-06-13 00:00:00","","263641.653522609","486169.058697895","","","","",
"8","의료기기수리업","01_02_02_P","4181000","PHMG320114180029047400002","2011-02-01","","01","영업/정상","13","영업중","","","","","033-261-5400","","200-936","강원특별자치도 춘천시 석사동 703번지 4호","강원특별자치도 춘천시 벌말길47번길 30 (석사동)","24383","에이피인터네셔널","2012-08-28 13:53:17","I","2023-06-13 00:00:00","","265039.856569532","484543.781406723","","","","",
"9","의료기기수리업","01_02_02_P","4181000","PHMG320114180029047400003","2011-04-11","","01","영업/정상","13","영업중","","","","","070-8837-0949","","200-220","강원특별자치도 춘천시 칠전동 626번지 8호","강원특별자치도 춘천시 칠전서길 5-6 (칠전동)","24457","주식회사연구복지센터","2012-08-28 13:52:32","I","2023-06-13 00:00:00","","262750.13255766","482152.581059563","","","","",
"10","의료기기수리업","01_02_02_P","4181000","PHMG320114180029047400005","2011-11-22","","01","영업/정상","13","영업중","","","","","251-3131","","200-938","강원특별자치도 춘천시 온의동 514번지","강원특별자치도 춘천시 경춘로 2354 (온의동)","24436","스타키보청기춘천난청센터","2014-01-16 17:39:24","I","2023-06-13 00:00:00","","263297.231644072","484808.077816798","","","","",
"11","의료기기수리업","01_02_02_P","4181000","PHMG320124180029047400001","2012-01-16","","01","영업/정상","13","영업중","","","","","257-5710","","200-060","강원특별자치도 춘천시 교동 11번지","강원특별자치도 춘천시 삭주로 70 (교동)","24259","진울트라사운드코리아","2014-01-16 17:38:31","I","2023-06-13 00:00:00","","264897.143775646","487003.515265515","","","","",
"12","의료기기수리업","01_02_02_P","4181000","PHMG320124180029047400002","2012-02-16","","01","영업/정상","13","영업중","","","","","","","200-956","강원특별자치도 춘천시  701번지 8호 (M타워 504)","강원특별자치도 춘천시 후석로 326 (후평동)","24304","맑은소리보청기","2014-01-16 17:33:51","I","2023-06-13 00:00:00","","265931.855070483","486647.974415337","","","","",
"13","의료기기수리업","01_02_02_P","4181000","PHMG320124180029047400003","2012-02-06","","01","영업/정상","13","영업중","","","","","033-255-4262","","200-939","강원특별자치도 춘천시 우두동 212번지 2호","강원특별자치도 춘천시 우두중리길 14 (우두동)","24227","CJ냉열","2014-01-17 16:12:10","I","2023-06-13 00:00:00","","265366.479921351","489548.901020671","","","","",
"14","의료기기수리업","01_02_02_P","4181000","PHMG320124180029047400004","2012-04-03","","01","영업/정상","13","영업중","","","","","","","200-972","강원특별자치도 춘천시 석사동 880번지 2호","강원특별자치도 춘천시 퇴계농공로 16 (석사동)","24414","(주)웨이전스","2014-01-17 16:31:29","I","2023-06-13 00:00:00","","265437.172871451","483509.080694154","","","","",
"15","의료기기수리업","01_02_02_P","4181000","PHMG320124180029047400005","2012-08-26","","01","영업/정상","13","영업중","","","","","033-261-7636","","200-933","강원특별자치도 춘천시 석사동 291번지 1호","강원특별자치도 춘천시 외솔길 6 (석사동)","24327","정엔지니어링","2015-06-03 13:52:26","I","2023-06-13 00:00:00","","265896.563615707","483976.959087815","","","","",
"16","의료기기수리업","01_02_02_P","4181000","PHMG320134180029047400001","2013-03-14","","01","영업/정상","13","영업중","","","","","","","200-939","강원특별자치도 춘천시 우두동 212번지 2호","강원특별자치도 춘천시 우두중리길 14 (우두동)","24227","명성이앤지","2015-07-07 09:46:56","I","2023-06-13 00:00:00","","265366.479921351","489548.901020671","","","","",
"17","의료기기수리업","01_02_02_P","4181000","PHMG320154180029047400001","2015-02-09","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 춘천시 성심로 5 (효자동)","200-947","대명전자만물사","2015-02-11 17:15:55","I","2023-06-13 00:00:00","","264980.250677746","486981.631686361","","","","",
"18","의료기기수리업","01_02_02_P","4181000","PHMG320154180029047400002","2015-12-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 후평동 798-12","강원특별자치도 춘천시 후석로 275 (후평동)","24282","춘천사랑종합유통필립스AS","2021-01-20 11:13:18","I","2023-06-13 00:00:00","","266117.969520086","486222.180671109","","","","",
"19","의료기기수리업","01_02_02_P","4181000","PHMG320174180029047400001","2017-08-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 동면 장학리 204","강원특별자치도 춘천시 동면 춘천순환로 564","24213","무한상사","2022-08-31 13:31:24","I","2023-06-13 00:00:00","","266651.979111388","487688.972529928","","","","",
"20","의료기기수리업","01_02_02_P","4181000","PHMG320194180029047400001","2019-09-24","","01","영업/정상","13","영업중","","","","","033-252-6080","","","강원특별자치도 춘천시 퇴계동 1187번지 4호","강원특별자치도 춘천시 춘천로 18, LG전자 (퇴계동)","24368","엘지전자(주) 춘천서비스센터","2024-03-18 17:58:41","U","2024-03-20 02:40:00","","263468.773897824","485111.058721645","","","","",
"21","의료기기수리업","01_02_02_P","4181000","PHMG320214180029047400001","2021-01-27","","01","영업/정상","13","영업중","","","","","033-253-6778","","","강원특별자치도 춘천시 교동 157-10","강원특별자치도 춘천시 성심로 14 (교동)","24259","현대의료기","2021-01-27 16:58:04","I","2023-06-13 00:00:00","","264976.960820719","486895.476874915","","","","",
"22","의료기기수리업","01_02_02_P","4181000","PHMG320214180029047400002","2021-06-30","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 석사동 311-5","강원특별자치도 춘천시 공지로 133(석사동)","24389","주식회사 위니아서비스춘천점","2022-11-15 10:03:38","I","2023-06-13 00:00:00","","265599.154602506","484186.366387599","","","","",
"23","의료기기수리업","01_02_02_P","4181000","PHMG320224180029047400001","2022-04-12","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 후평동 734-19","강원특별자치도 춘천시 삭주로 196, 1층 (후평동)","24297","주식회사 엘케어","2022-04-12 16:21:50","I","2023-06-13 00:00:00","","266086.498127332","487368.018950843","","","","",
"24","의료기기수리업","01_02_02_P","4181000","PHMG320224180029047400002","2021-05-19","","01","영업/정상","13","영업중","","","","","070-4259-7509","","","강원특별자치도 춘천시 후평동 558-1","강원특별자치도 춘천시 후석로420번길 7, 427,428호 (후평동)","24232","스마트덴탈","2022-06-23 10:08:25","I","2023-06-13 00:00:00","","265474.842593179","487512.552718902","","","","",
"25","의료기기수리업","01_02_02_P","4181000","PHMG320224180029047400003","2023-02-08","","01","영업/정상","13","영업중","","","","","033-248-7756","","","","강원특별자치도 춘천시 충열로142번길 24-16, 강원도재활병원 (우두동)","24227","춘천시장애인보조기기수리지원센터","2025-10-20 10:10:58","U","2025-10-23 02:40:00","","265108.905671972","489243.60633558","","","","",
"26","의료기기수리업","01_02_02_P","4181000","PHMG320234180029047400001","2023-02-01","","01","영업/정상","13","영업중","","","","","033-251-7755","","","","강원특별자치도 춘천시 후석로 73, 1층 (석사동)","24383","모빌리티 그라운드","2023-02-02 14:30:14","I","2023-06-13 00:00:00","","265383.991521424","484483.496522123","","","","",
"27","의료기기수리업","01_02_02_P","4181000","PHMG320244181030047400001","2024-10-10","","01","영업/정상","13","영업중","","","","","033-765-1226","","","","강원특별자치도 춘천시 충혼길44번길 17, 1층 (온의동)","24437","대세엠케어","2024-10-10 13:21:06","I","2024-10-12 00:12:32","","263234.999342213","484576.996160895","","","","",
"28","의료기기수리업","01_02_02_P","4191000","PHMG320124190023047400001","2012-07-02","","03","폐업","03","폐업","2021-05-14","","","","","","","","강원특별자치도 원주시 상지대길 83, 403호 (우산동)","26339","케이엘엠본점","2021-06-04 11:49:43","I","2023-06-13 00:00:00","","282151.822954944","430257.366976729","","","","",
