"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물전시업","02_03_09_P","4181000","418000004720190014","2019-09-04","","01","영업/정상","0000","정상","","","","","033-264-0024","0","","강원특별자치도 춘천시 석사동 ***","강원특별자치도 춘천시 안마산로 ***-** (석사동)","24417","도그스테이블 석사점","2022-11-17 11:17:50","I","2023-06-13 00:00:00","","265543.109288531","482638.180291762","동물전시업","동물전시업","000","0",
"2","동물전시업","02_03_09_P","4181000","418000004720180055","2018-11-19","","01","영업/정상","0000","정상","","","","","241-8233","0","","강원특별자치도 춘천시 후평동 ***","강원특별자치도 춘천시 후석로***번길 **-*, *층 (후평동)","24233","엔젤펫 카페","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","266073.76701225","487858.789352542","동물전시업","동물전시업","000","0",
"3","동물전시업","02_03_09_P","4181000","418000004720180009","2018-04-10","","01","영업/정상","0000","정상","","","","","033-253-3523","0","","강원특별자치도 춘천시 조양동 ***-*","강원특별자치도 춘천시 중앙로**번길 *, *층 (조양동)","24353","히포코코","2022-04-28 18:08:55","I","2023-06-13 00:00:00","","263907.525093906","486490.624417762","동물전시업","동물전시업","000","0",
"4","동물전시업","02_03_09_P","4181000","418000004720180042","2018-09-27","","01","영업/정상","0000","정상","","","","","2448636","0","","강원특별자치도 춘천시 교동 ***-*","강원특별자치도 춘천시 삭주로**번길 * (교동)","24258","반갑다 창문밖 고양이","2022-04-28 18:08:57","I","2023-06-13 00:00:00","","265030.625650195","486983.354605721","동물전시업","동물전시업","000","0",
"5","동물전시업","02_03_09_P","4181000","418100004720240001","2024-10-18","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 백령로 ***, *층 (효자동)","24295","고양이 행복구역","2024-10-19 11:49:03","I","2024-10-21 00:12:25","","265249.99995137","485979.849477692","동물전시업","동물전시업","000","0",
"6","동물전시업","02_03_09_P","4181000","418100004720240002","2024-11-07","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 조양동 **-*","강원특별자치도 춘천시 시청길**번길 *-*, *층 (조양동)","24352","춘천 고양이집","2024-11-07 10:04:34","I","2024-11-09 00:12:08","","264048.306382749","486615.231614562","동물전시업","동물전시업","000","0",
"7","동물전시업","02_03_09_P","4181000","418000004720180013","2018-04-11","","03","폐업","0002","폐업","","","","","033-251-4446","0","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천로 ***","24213","개네집","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","266859.107975486","488253.798895921","동물전시업","동물전시업","000","0",
"8","동물전시업","02_03_09_P","4181000","418000004720200004","2020-03-24","","03","폐업","0002","폐업","2021-12-07","","","","","0","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로 *** (후평동)","24283","ADAM&amp;PET","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","266118.799199437","486103.986036206","동물전시업","동물전시업","000","0",
"9","동물전시업","02_03_09_P","4181000","418000004720200005","2020-04-21","","03","폐업","0002","폐업","2021-12-17","","","","","0","","강원특별자치도 춘천시 신북읍 용산리 ***","강원특별자치도 춘천시 신북읍 용산길 ***-**","24202","용산559","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","262699.321234031","495465.794443184","동물전시업","동물전시업","000","0",
"10","동물전시업","02_03_09_P","4181000","418000004720200008","2020-06-19","","03","폐업","0002","폐업","2021-12-10","","","","","0","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 **, *층","24400","발바닥애견카페","2022-04-28 18:08:58","I","2023-06-13 00:00:00","","267019.444768929","484504.54292803","동물전시업","동물전시업","000","0",
"11","동물전시업","02_03_09_P","4181000","418000004720180024","2018-06-18","","03","폐업","0002","폐업","2019-12-16","","","","033-243-0303","0","","강원특별자치도 춘천시 중앙로*가 **-*","강원특별자치도 춘천시 명동길 **, *층 (중앙로*가)","24354","작은언니네 고양이","2022-04-28 18:08:56","I","2023-06-13 00:00:00","","263789.341101935","486438.051502623","동물전시업","동물전시업","000","0",
"12","동물전시업","02_03_09_P","4181000","418000004720180007","2018-04-10","","04","취소/말소/만료/정지/중지","0004","말소","2023-07-06","","","","033-241-1214","0","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 춘천로 *** (후평동)","24257","레인보우클라우드","2023-07-06 13:37:17","U","2023-07-08 02:40:00","","265204.058378159","486592.320626815","동물전시업","동물전시업","000","0",
"13","동물전시업","02_03_09_P","4191000","419000004720200017","2020-06-01","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 소초면 흥양리 ***","강원특별자치도 원주시 소초면 황골로 ***-*","26310","견묘당","2024-03-13 17:15:42","U","2024-03-15 02:40:00","","289408.085260019","429659.907646967","동물전시업","동물전시업","000","0",
"14","동물전시업","02_03_09_P","4191000","419000004720210042","2021-12-15","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 양지로 **, ***호 (반곡동)","26465","해피주 동물카페 원주점","2022-12-16 09:52:57","I","2023-06-13 00:00:00","","286882.134009462","425165.486704147","동물전시업","동물전시업","000","0",
"15","동물전시업","02_03_09_P","4191000","419100004720240001","2024-05-24","","01","영업/정상","0000","정상","","","","","070-4369-8160","0","","강원특별자치도 원주시 관설동 ****-*","강원특별자치도 원주시 시청로 ***-*, *층 (관설동)","26472","디디애견미용","2024-11-29 18:36:28","U","2024-12-01 02:40:00","","285062.673890963","424363.352388597","동물전시업","동물전시업","000","0",
"16","동물전시업","02_03_09_P","4191000","419000004720180017","2018-08-24","","03","폐업","0002","폐업","2020-06-05","","","","033-731-8788","0","","강원특별자치도 원주시 무실동 ***-*","강원특별자치도 원주시 로아노크로 ** (무실동)","26383","펫타운애견카페","2022-04-28 18:08:00","I","2023-06-13 00:00:00","","281962.138873963","427068.792999864","동물전시업","동물전시업","000","0",
"17","동물전시업","02_03_09_P","4191000","419000004720180024","2018-10-04","","03","폐업","0002","폐업","2021-11-01","","","","0337456685","0","","강원특별자치도 원주시 일산동 ***-**","강원특별자치도 원주시 천사로 ***, *층 (일산동)","26425","강아지집","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","283318.086053561","427841.665386195","동물전시업","동물전시업","000","0",
"18","동물전시업","02_03_09_P","4191000","419000004720190010","2019-07-16","","03","폐업","0002","폐업","2025-08-01","","","","","0","","강원특별자치도 원주시 소초면 교항리 ***","강원특별자치도 원주시 소초면 다리목길 **-*","26304","박순호의 아이슬란드","2025-08-06 09:25:41","U","2025-08-08 02:40:00","","289605.489869701","437657.747923176","동물전시업","동물전시업","000","0",
"19","동물전시업","02_03_09_P","4191000","419000004720190019","2019-10-22","","03","폐업","0002","폐업","2020-01-09","","","","","0","","강원특별자치도 원주시 행구동 ***-*","강원특별자치도 원주시 행구덕현길 **, *층 (행구동)","26455","치쿠치쿠","2022-04-28 18:08:02","I","2023-06-13 00:00:00","","288579.934529061","426516.312192179","동물전시업","동물전시업","000","0",
"20","동물전시업","02_03_09_P","4191000","419000004720210008","2021-03-24","","03","폐업","0002","폐업","2022-07-01","","","","033-765-0999","0","","강원특별자치도 원주시 판부면 서곡리 ****-*","강원특별자치도 원주시 판부면 백운정윗길 **","26402","화이트클라우드","2022-07-01 15:49:59","I","2023-06-13 00:00:00","","283077.140226698","421171.078036202","동물전시업","동물전시업","000","0",
"21","동물전시업","02_03_09_P","4191000","419000004720210033","2018-10-04","","03","폐업","0002","폐업","2021-11-02","","","","","0","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 무실본동길 **(무실동)","26477","왈왈이 (무실점)","2022-04-28 18:08:05","I","2023-06-13 00:00:00","","282663.383340459","426480.18527278","동물전시업","동물전시업","000","0",
"22","동물전시업","02_03_09_P","4191000","419000004720180011","2018-06-25","","04","취소/말소/만료/정지/중지","0004","말소","2025-03-17","","","","","0","","강원특별자치도 원주시 단구동 ***-*","강원특별자치도 원주시 개운*길 **, ***호 (단구동)","26444","요술곰 동물원","2025-03-18 19:18:15","U","2025-03-20 02:40:00","","285135.876873429","426500.062998518","동물전시업","동물전시업","000","0",
"23","동물전시업","02_03_09_P","4191000","419000004720180020","2018-10-04","","04","취소/말소/만료/정지/중지","0004","말소","2025-03-17","","","","","0","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 토지길 ** (단구동)","26490","왈와리 (단구점)","2025-03-18 19:18:26","U","2025-03-20 02:40:00","","284850.944884013","424779.665059016","동물전시업","동물전시업","000","0",
"24","동물전시업","02_03_09_P","4191000","419100004720230001","2023-12-22","","04","취소/말소/만료/정지/중지","0004","말소","2025-03-17","","","","","0","","강원특별자치도 원주시 반곡동 ****-**","강원특별자치도 원주시 버들만이길 *-*, *층 (반곡동)","26466","애견카페 제니콩콩","2025-03-18 19:18:37","U","2025-03-20 02:40:00","","286229.408694837","424616.647546019","동물전시업","동물전시업","000","0",
"25","동물전시업","02_03_09_P","4201000","420000004720200009","2020-04-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 포남동 **-*","강원특별자치도 강릉시 산양길 ** (포남동)","25471","서당개","2022-04-28 18:08:33","I","2023-06-13 00:00:00","","368319.616744088","476947.524424759","동물전시업","동물전시업","000","0",
"26","동물전시업","02_03_09_P","4201000","420000004720180031","2018-10-28","","01","영업/정상","0000","정상","","","","","070-7799-8525","0","","강원특별자치도 강릉시 교동 ****-*","강원특별자치도 강릉시 하슬라로 *** (교동)","25516","플레이독애견카페","2022-04-28 18:08:31","I","2023-06-13 00:00:00","","364964.643534119","474759.393544892","동물전시업","동물전시업","000","0",
"27","동물전시업","02_03_09_P","4201000","420000004720180037","2018-11-19","","01","영업/정상","0000","정상","","","","","070-7787-4733","0","","강원특별자치도 강릉시 성산면 위촌리 ***-*","강원특별자치도 강릉시 성산면 위촌길 ***","25447","개스토랑 인 위촌길 299","2022-04-28 18:08:31","I","2023-06-13 00:00:00","","361760.750115372","474580.54284947","동물전시업","동물전시업","000","0",
"28","동물전시업","02_03_09_P","4201000","420000004720180038","2018-11-19","","01","영업/정상","0000","정상","","","","","070-5017-5900","0","","강원특별자치도 강릉시 옥천동 ***-*","강원특별자치도 강릉시 옥가로 ** (옥천동)","25551","도그라운드","2022-04-28 18:08:31","I","2023-06-13 00:00:00","","367299.506139867","474652.749976211","동물전시업","동물전시업","000","0",
"29","동물전시업","02_03_09_P","4201000","420000004720180040","2018-12-13","","01","영업/정상","0000","정상","","","","","647-7000","0","","강원특별자치도 강릉시 홍제동 ***-*","강원특별자치도 강릉시 사임당로 ***, *층 (홍제동)","25520","댕댕클럽","2022-04-28 18:08:31","I","2023-06-13 00:00:00","","364298.927352805","474389.630661878","동물전시업","동물전시업","000","0",
"30","동물전시업","02_03_09_P","4201000","420000004720200014","2020-08-06","","01","영업/정상","0000","정상","","","","","033-648-1100","0","","강원특별자치도 강릉시 금학동 **","강원특별자치도 강릉시 대학길 *, *층 (금학동)","25540","파충류카페 비비안","2022-04-28 18:08:33","I","2023-06-13 00:00:00","","367088.354458976","474027.513301894","동물전시업","동물전시업","000","0",
"31","동물전시업","02_03_09_P","4201000","420000004720200016","2020-09-15","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 임당동 **-*","강원특별자치도 강릉시 문화의길*번길 *, *층 (임당동)","25533","쓰담쓰담","2022-04-28 18:08:33","I","2023-06-13 00:00:00","","366861.985001848","474104.352427283","동물전시업","동물전시업","000","0",
"32","동물전시업","02_03_09_P","4201000","420000004720210003","2021-01-14","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 구정면 학산리 ****-*","강원특별자치도 강릉시 구정면 옥봉안길 *","25623","콩이네하우스","2022-04-28 18:08:34","I","2023-06-13 00:00:00","","367744.867474063","468681.929047072","동물전시업","동물전시업","000","0",
"33","동물전시업","02_03_09_P","4201000","420000004720210009","2021-06-21","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 사천면 노동리 ***","강원특별자치도 강릉시 사천면 송암골길 ***","25439","파인독(pine dog)","2022-04-28 18:08:34","I","2023-06-13 00:00:00","","361340.848565113","478477.641764563","동물전시업","동물전시업","000","0",
"34","동물전시업","02_03_09_P","4201000","420000004720210015","2021-11-18","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 견소동 ***-*","강원특별자치도 강릉시 경강로****번길 **-*(견소동)","25561","윤특 반려견 탐구생활","2023-03-06 10:06:30","I","2023-06-13 00:00:00","","370393.994887282","476274.965439564","동물전시업","동물전시업","000","0",
"35","동물전시업","02_03_09_P","4201000","420000004720220001","2022-04-05","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 두산동 ***-**","강원특별자치도 강릉시 강변로***번길 **(두산동)","25573","코코랑","2022-04-28 18:08:35","I","2023-06-13 00:00:00","","370020.68082362","475634.510287559","동물전시업","동물전시업","000","0",
"36","동물전시업","02_03_09_P","4201000","420000004720220003","2022-11-17","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 홍제동 ***-*","강원특별자치도 강릉시 사임당로**번길 *-**, *층 (홍제동)","25521","먹고놀개","2022-11-17 16:40:23","I","2023-06-13 00:00:00","","363902.319164363","473867.313488164","동물전시업","동물전시업","000","0",
"37","동물전시업","02_03_09_P","4201000","420000004720180012","2018-08-27","","01","영업/정상","0000","정상","","","","","645-2705","0","","강원특별자치도 강릉시 노암동 ***-*","강원특별자치도 강릉시 남부로***번길 ** (노암동)","25610","멍뭉이","2022-04-28 18:08:29","I","2023-06-13 00:00:00","","367065.690480501","472657.320758258","동물전시업","동물전시업","000","0",
"38","동물전시업","02_03_09_P","4201000","420000004720180022","2018-10-06","","01","영업/정상","0000","정상","","","","","922-6611","0","","강원특별자치도 강릉시 임당동 **-*","강원특별자치도 강릉시 강릉대로***번길 * (임당동)","25530","안녕고양이","2022-04-28 18:08:30","I","2023-06-13 00:00:00","","366816.674585709","474454.400601761","동물전시업","동물전시업","000","0",
"39","동물전시업","02_03_09_P","4201000","420000004720180028","2018-10-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 구정면 학산리 ***-*","강원특별자치도 강릉시 구정면 오독떼기길 **","25623","개들의왕국","2022-04-28 18:08:30","I","2023-06-13 00:00:00","","366561.815077909","468617.973078083","동물전시업","동물전시업","000","0",
"40","동물전시업","02_03_09_P","4201000","420100004720250003","2025-09-02","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 안현동 ***-* 경포상가","강원특별자치도 강릉시 해안로 *** (안현동)","25460","레이지캣카페","2025-09-02 13:16:01","I","2025-09-04 00:20:07","","367605.246840096","479721.906776649","동물전시업","동물전시업","000","0",
"41","동물전시업","02_03_09_P","4201000","420100004720250001","2025-01-31","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 강릉시 성산면 관음리 ***-**","강원특별자치도 강릉시 성산면 안곡길 **","25448","고양이집","2025-01-31 09:45:15","I","2025-02-02 00:11:09","","","","동물전시업","동물전시업","000","0",
"42","동물전시업","02_03_09_P","4201000","420100004720250002","2025-02-11","","01","영업/정상","0000","정상","","","","","033-643-7179","0","","강원특별자치도 강릉시 회산동 ***-**","강원특별자치도 강릉시 관솔길**번길 **-* (회산동)","25599","화이트 크로우 브루잉","2025-02-14 15:27:54","U","2025-02-16 02:40:00","","364555.642638283","472472.77521789","동물전시업","동물전시업","000","0",
"43","동물전시업","02_03_09_P","4201000","420000004720180029","2018-10-24","","03","폐업","0002","폐업","2021-01-31","","","","647-1144","0","","강원특별자치도 강릉시 송정동 ****","강원특별자치도 강릉시 경강로****번길 **, *층 (송정동)","25561","몽몽","2022-04-28 18:08:30","I","2023-06-13 00:00:00","","369876.470275385","476385.369250926","동물전시업","동물전시업","000","0",
"44","동물전시업","02_03_09_P","4201000","420000004720200003","2020-01-23","","03","폐업","0002","폐업","2022-08-30","","","","","0","","강원특별자치도 강릉시 입암동 ***-*","강원특별자치도 강릉시 성덕포남로 ***, ***호 (입암동)","25578","해피주 동물카페 강릉점","2022-12-09 14:32:01","I","2023-06-13 00:00:00","","368652.692258642","475112.699993779","동물전시업","동물전시업","000","0",
"45","동물전시업","02_03_09_P","4201000","420000004720200015","2020-09-02","","03","폐업","0002","폐업","2022-06-09","","","","","0","","강원특별자치도 강릉시 내곡동 ***-*","강원특별자치도 강릉시 남부로**번길 **-**, *층 (내곡동)","25604","갬성DOG","2022-06-14 16:27:27","I","2023-06-13 00:00:00","","366182.643461565","472630.344868276","동물전시업","동물전시업","000","0",
"46","동물전시업","02_03_09_P","4201000","420000004720220002","2022-09-07","","03","폐업","0002","폐업","2023-05-16","","","","","0","","강원특별자치도 강릉시 사천면 노동리 ***-*","강원특별자치도 강릉시 사천면 중앙서로 ***","25437","베일리하우스","2023-05-16 17:52:40","I","2023-06-13 00:00:00","","361703.464083441","480981.904647187","동물전시업","동물전시업","000","0",
"47","동물전시업","02_03_09_P","4201000","420000004720180013","2018-08-27","","03","폐업","0002","폐업","2024-11-28","","","","645-9800","0","","강원특별자치도 강릉시 지변동 ***-*","강원특별자치도 강릉시 죽헌길 ** (지변동)","25455","MODERN CAT","2024-11-28 11:13:00","U","2024-11-30 02:40:00","","365068.604886022","476569.961576919","동물전시업","동물전시업","000","0",
"48","동물전시업","02_03_09_P","4201000","420000004720180019","2018-09-18","","03","폐업","0002","폐업","2021-01-31","","","","647-1144","0","","강원특별자치도 강릉시 송정동 ****","강원특별자치도 강릉시 경강로****번길 **, *층 (송정동)","25561","몽몽","2022-04-28 18:08:30","I","2023-06-13 00:00:00","","369876.470275385","476385.369250926","동물전시업","동물전시업","000","0",
"49","동물전시업","02_03_09_P","4201000","420000004720180023","2018-10-06","","03","폐업","0002","폐업","2024-03-15","","","","646-2375","0","","강원특별자치도 강릉시 구정면 여찬리 ***","강원특별자치도 강릉시 구정면 구정중앙로 ***-*","25622","개버랜드","2024-03-15 16:10:34","U","2024-03-17 02:40:00","","365153.109674068","469627.771475696","동물전시업","동물전시업","000","0",
"50","동물전시업","02_03_09_P","4211000","421100004720230001","2023-08-18","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 동해시 천곡동 *** 이주민상가","강원특별자치도 동해시 중앙로 ***, 이주민상가 *층 ***호 (천곡동)","25769","묘냥묘냥","2023-08-18 17:26:54","I","2023-08-20 00:19:02","","386927.673523156","448667.134954151","동물전시업","동물전시업","000","0",
"51","동물전시업","02_03_09_P","4211000","421000004720180001","2018-07-18","","03","폐업","0002","폐업","","","","","","0","","강원특별자치도 동해시 천곡동 ****-* 삼양골든빌딩 ***호","강원특별자치도 동해시 천곡로 **, 삼양골든빌딩 (천곡동)","25768","펫벙커","2022-04-28 18:08:39","I","2023-06-13 00:00:00","","386739.511869919","448851.26894169","동물전시업","동물전시업","000","0",
"52","동물전시업","02_03_09_P","4211000","421000004720180006","2020-03-02","","03","폐업","0002","폐업","2024-11-30","","","","","0","","강원특별자치도 동해시 천곡동 **** 골든타워 ***호","강원특별자치도 동해시 대학로 **, 골든타워 ***호 (천곡동)","25768","모모몽 애견까페","2025-01-09 17:18:47","U","2025-01-11 02:40:00","","386777.564549742","448726.86736624","동물전시업","동물전시업","000","0",
"53","동물전시업","02_03_09_P","4211000","421000004720200001","2020-03-02","","03","폐업","0002","폐업","2021-05-25","","","","","0","","강원특별자치도 동해시 망상동 ***-*","강원특별자치도 동해시 망상길 ** (망상동)","25701","너랑 온","2022-04-28 18:08:40","I","2023-06-13 00:00:00","","384462.211387799","456328.226185033","동물전시업","동물전시업","000","0",
"54","동물전시업","02_03_09_P","4211000","421000004720200003","2018-11-30","","03","폐업","0002","폐업","2020-11-24","","","","","0","","강원특별자치도 동해시 쇄운동 ***-*","강원특별자치도 동해시 효자남길 **-*, *층 (쇄운동)","25807","삐삐라떼","2022-04-28 18:08:40","I","2023-06-13 00:00:00","","386144.782327249","445031.806867022","동물전시업","동물전시업","000","0",
"55","동물전시업","02_03_09_P","4221000","422100004720230001","2023-09-11","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 태백시 소도동 **-**","강원특별자치도 태백시 태백산로 **** (소도동)","26043","인투캣츠","2023-09-11 11:42:15","I","2023-09-13 00:18:07","","375289.937685848","405319.347906716","동물전시업","동물전시업","L00","0",
"56","동물전시업","02_03_09_P","4221000","422000004720180005","2018-11-08","","03","폐업","0002","폐업","2022-02-03","","","","","0","","강원특별자치도 태백시 황지동 ***-*","강원특별자치도 태백시 태백로 **** (황지동)","26039","캣독카페","2022-04-28 18:08:30","I","2023-06-13 00:00:00","","376795.392396021","407686.437412675","동물전시업","동물전시업","000","0",
"57","동물전시업","02_03_09_P","4221000","422000004720180008","2018-12-24","","03","폐업","0002","폐업","2023-12-12","","","","033-553-4940","0","","강원특별자치도 태백시 황지동 ***-**","강원특별자치도 태백시 상장로 **-* (황지동)","26039","몽글몽글 애견카페","2023-12-13 11:36:22","U","2023-12-15 02:40:00","","376742.416843762","407269.284772867","동물전시업","동물전시업","000","0",
"58","동물전시업","02_03_09_P","4231000","423000004720200006","2020-05-13","","03","폐업","0002","폐업","2023-05-16","","","","","0","","강원특별자치도 속초시 조양동 ****-*","강원특별자치도 속초시 선사로*길 ** (조양동)","24892","둥개둥개","2023-05-18 10:18:44","I","2023-06-13 00:00:00","","339596.00222119","521682.449297482","동물전시업","동물전시업","000","0",
"59","동물전시업","02_03_09_P","4231000","423000004720200007","2020-05-20","","03","폐업","0002","폐업","2024-04-18","","","","","0","","강원특별자치도 속초시 조양동 ****-*","강원특별자치도 속초시 철새길 **, *층 (조양동)","24872","냥이네 호수","2024-04-18 10:59:27","U","2024-04-20 02:40:00","","338573.981684229","522215.668811786","동물전시업","동물전시업","000","0",
"60","동물전시업","02_03_09_P","4231000","423000004720200011","2020-09-01","","03","폐업","0002","폐업","2023-12-26","","","","","0","","강원특별자치도 속초시 노학동 산 ***-**","강원특별자치도 속초시 관광로 ***-** (노학동)","24868","나나 Dog","2024-01-03 16:09:24","U","2024-01-06 02:40:00","","334911.085027835","521096.959871809","동물전시업","동물전시업","L00","0",
"61","동물전시업","02_03_09_P","4251000","425000004720180011","2018-09-26","","01","영업/정상","0000","정상","","","","","033-433-3631","0","","강원특별자치도 홍천군 홍천읍 갈마곡리 ***-*","강원특별자치도 홍천군 홍천읍 홍천로 ***, *동 *층","25125","어도러블독","2022-04-28 18:09:24","I","2023-06-13 00:00:00","","278842.852706642","466464.568783887","동물전시업","동물전시업","000","0",
"62","동물전시업","02_03_09_P","4251000","425100004720240001","2024-12-12","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 홍천군 홍천읍 희망리 **-*","강원특별자치도 홍천군 홍천읍 희망로 **, *층","25134","고양이의 하루","2024-12-12 09:15:50","I","2024-12-14 00:11:40","","278097.500550083","466073.400218148","동물전시업","동물전시업","000","0",
"63","동물전시업","02_03_09_P","4251000","425000004720180005","2018-07-09","","03","폐업","0002","폐업","2021-01-29","","","","1899-2250","0","","강원특별자치도 홍천군 화촌면 풍천리 **-*","강원특별자치도 홍천군 화촌면 가락재로 ***, *동 *층","25156","(주)하늘마음바이오 홍천지점","2022-04-28 18:09:11","I","2023-06-13 00:00:00","","278078.643187069","481648.412674322","동물전시업","동물전시업","L00","0",
"64","동물전시업","02_03_09_P","4251000","425000004720180009","2018-09-13","","03","폐업","0002","폐업","2022-02-16","","","","","0","","강원특별자치도 홍천군 홍천읍 신장대리 **-*","강원특별자치도 홍천군 홍천읍 신장대로 **, *동 *층","25136","똥꼬냥이","2022-04-28 18:09:24","I","2023-06-13 00:00:00","","277814.399137535","465714.3524361","동물전시업","동물전시업","000","0",
"65","동물전시업","02_03_09_P","4281000","428000004720210004","2021-10-27","","01","영업/정상","0000","정상","","","","","033-335-0004","0","","강원특별자치도 평창군 평창읍 종부리 **-**","강원특별자치도 평창군 평창읍 종부*길 ***-**","25377","(주)더조은펫타운","2022-10-04 16:03:48","I","2023-06-13 00:00:00","","325193.138385256","428272.676180813","동물전시업","동물전시업","000","0",
"66","동물전시업","02_03_09_P","4281000","428000004720180005","2018-10-16","","03","폐업","0002","폐업","2024-05-14","","","","","0","","강원특별자치도 평창군 대화면 하안미리 산 ***","강원특별자치도 평창군 대화면 가평로 ***-**","25363","검단켄빌","2024-05-14 10:23:38","U","2024-05-16 02:40:00","","333007.467191296","438358.127968885","동물전시업","동물전시업","000","0",
