"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","게임물제작업","03_05_02_P","4181000","CDFF2241082003000005","2003-09-26","","03","폐업","03","폐업","2011-03-08","","","","343-6604","","","강원특별자치도 춘천시 동내면 신촌리 ***-*","강원특별자치도 춘천시 동내면 동내로 **","200-881","종합광고기획표현","2011-12-23 10:25:03","I","2023-06-13 00:00:00","","266864.170067072","483112.483801224","게임물제작업","유통관련업","0","","게임","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","게임물제작업","03_05_02_P","4181000","CDFF2241082009000001","2009-02-05","","03","폐업","03","폐업","2012-05-22","","","","241-0078","","","강원특별자치도 춘천시 운교동 ***-*","강원특별자치도 춘천시 춘천로 *** (운교동)","200-080","코리안 게임","2012-05-22 15:19:41","I","2023-06-13 00:00:00","","264518.560691241","486257.333422215","게임물제작업","유통관련업","0","","게임물","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","게임물제작업","03_05_02_P","4181000","CDFF2241082011000001","2011-02-23","","03","폐업","03","폐업","2012-05-22","","","","","","","강원특별자치도 춘천시 운교동 *** 동부시장 **호","강원특별자치도 춘천시 동부시장길 * (운교동)","200-080","스마트 전자","2012-05-22 15:19:30","I","2023-06-13 00:00:00","","264518.245047485","486328.376714699","게임물제작업","유통관련업","2","","게임물","24","2","0","판매시설","0","0","0","0","","","","","","","","","","","","0","","","","","","상업지역",
"4","게임물제작업","03_05_02_P","4181000","CDFF2241082014000001","2014-04-24","","03","폐업","03","폐업","2023-04-05","","","","070-4217-0515","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 강원대학길 * (효자동)","24341","렉트웍스","2023-04-05 17:34:45","I","2023-06-13 00:00:00","","265481.557982219","485420.871953344","게임물제작업","유통관련업","0","","모바일게임","95.07","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","게임물제작업","03_05_02_P","4181000","CDFF2241082015000001","2015-09-04","","03","폐업","03","폐업","2024-02-10","","","","","","","강원특별자치도 춘천시 봉의동 **","강원특별자치도 춘천시 봉의산길**번길 **, B동 B**호 (봉의동)","24265","익드라실 스튜디오","2025-03-17 17:23:37","U","2025-03-19 02:40:00","","264374.316412646","487186.385740051","게임물제작업","유통관련업","0","아파트지역","게임물","50.4","5","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"6","게임물제작업","03_05_02_P","4181000","CDFF2241082024000002","2024-07-09","","03","폐업","03","폐업","2025-01-19","","","","","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 백령로 **, ***호 (효자동)","24340","시온(ZION)","2025-01-20 12:29:48","U","2025-01-22 02:40:00","","264956.63225047","485585.216752142","게임물제작업","유통관련업","2","","게임제작","13.05","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","게임물제작업","03_05_02_P","4181000","CDFF2241082001000001","2001-07-31","","01","영업/정상","13","영업중","","","","","243-6355","","","강원특별자치도 춘천시 우두동 ***","강원특별자치도 춘천시 사우벌길 ** (우두동)","24221","(주)데크","2011-12-23 10:17:35","I","2023-06-13 00:00:00","","","","게임물제작업","유통관련업","0","","게임","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","게임물제작업","03_05_02_P","4181000","CDFF2241082002000001","2002-02-19","","01","영업/정상","13","영업중","","","","","243-7242","","","강원특별자치도 춘천시 후평동 ***-** 춘천소프트웨어센터 ***호","강원특별자치도 춘천시 삭주로***번길 ** (후평동)","24232","(주)세이뉴","2011-12-23 10:19:02","I","2023-06-13 00:00:00","","265606.315410307","487746.76318291","게임물제작업","유통관련업","0","","게임","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","게임물제작업","03_05_02_P","4181000","CDFF2241082002000002","2002-03-06","","01","영업/정상","13","영업중","","","","","252-2523","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 춘천로 *** (후평동)","24296","(주)다조인","2015-09-04 15:07:37","I","2023-06-13 00:00:00","","266063.126900839","487624.32185624","게임물제작업","유통관련업","0","","게임","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","게임물제작업","03_05_02_P","4181000","CDFF2241082003000001","2003-01-14","","01","영업/정상","13","영업중","","","","","258-6106","","","강원특별자치도 춘천시 후평동 ***-** 하이테크벤처타운 CDS동***호","강원특별자치도 춘천시 소양강로 **, CDS동 ***호 (후평동, 하이테크벤처타운)","24232","DEN","2013-12-30 15:07:17","I","2023-06-13 00:00:00","","265331.3469315","487999.802568208","게임물제작업","유통관련업","0","","게임","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
