"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","승려수","신도수","창립연대","유래연혁","지정취소","지정취소일자","지정취소사유","전통사찰명",
"1","전통사찰","03_07_11_P","6530000","4241000-002","1988-05-28","","01","영업/정상","BBBB","","","","","","0335749302","","","강원특별자치도 삼척시 근덕면 궁촌리 924번지","강원특별자치도 삼척시 근덕면 궁촌길 1162","","영은사","2011-11-23 14:03:39","I","2023-06-13 00:00:00","","399997.566403595","422503.55486505","2","1200","891","신라 선덕여왕 3년 삼화사와 함께 약사삼불의 창건설화가 전해지고 있으나 역사적으로는 진성여왕 5년 범일국사가 창건하였다고 함.
조선명종때 사명대사가 현재위치로 이전 운망사라 칭하고, 그후 1641년 벽봉스님이 중건하여 영은사로 개명.","A","","","영은사",
"2","전통사찰","03_07_11_P","6530000","4181000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0332441095","","","강원특별자치도 춘천시 북산면 청평리 1리 675번지","","","청평사","2011-11-22 13:54:16","I","2023-06-13 00:00:00","","","","2","1200","973","고려 광종 24년 백암선원으로 창건되어 조선 명종(1557) 청평사로 개명","A","","","청평사",
"3","전통사찰","03_07_11_P","6530000","4181000-002","1988-10-21","","01","영업/정상","BBBB","","","","","","0332446753","","","강원특별자치도 춘천시 서면 덕두원리 54번지 3호","강원특별자치도 춘천시 서면 박사로 169-47","","상원사","2011-11-22 14:00:32","I","2023-06-13 00:00:00","","258874.10120546","482272.488224663","2","800","1314","삼악산에 위치한 이 사찰은 신라때 창건되었다고 전해지나, 1858년도(철종 9년) 금강산에서 온 풍계선사가 중건했다고 함.","A","","","상원사",
"4","전통사찰","03_07_11_P","6530000","4191000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0337471525","","","강원특별자치도 원주시 행구동 산105번지","","","보문사","2011-11-22 14:18:16","I","2023-06-13 00:00:00","","","","1","280","신라경순왕","신라 경순왕때 무학대사가 창건했다고 전함.
경내에는 고려말 조선초 때의 것으로 보이는 정석탑이 있어 고찰의 흔적을 엿볼 수 있음.","A","","","보문사",
"5","전통사찰","03_07_11_P","6530000","4191000-002","1988-05-28","","01","영업/정상","BBBB","","","","","","0337631608","","","강원특별자치도 원주시 신림면 성남리 2리 1060번지","강원특별자치도 원주시 신림면 성남로 930","","상원사","2011-11-22 14:24:58","I","2023-06-13 00:00:00","","293348.283989","423252.552976482","1","158","신라 문무왕","신라 문무왕 때 의상대사가 창건하고 경순왕 무학대사가 중창했다고 전함.","A","","","상원사",
"6","전통사찰","03_07_11_P","6530000","4191000-003","1988-05-28","","01","영업/정상","BBBB","","","","","","0337471815","","","강원특별자치도 원주시 행구동 98번지","강원특별자치도 원주시 고문골길 155 (행구동)","","국형사","2011-11-22 14:17:25","I","2023-06-13 00:00:00","","289746.472267288","426281.50502515","3","100","신라 경순왕","신라 경순왕때 무학대사 창건.","A","","","국형사",
"7","전통사찰","03_07_11_P","6530000","4191000-004","1988-05-28","","01","영업/정상","BBBB","","","","","","0337422598","","","강원특별자치도 원주시 태장동 122번지1호","강원특별자치도 원주시 치악로 2006-19 (태장동)","","영천사","2011-11-22 14:15:49","I","2023-06-13 00:00:00","","285123.306046539","428916.064774946","4","200","고려시대(연대미상)","고려말 나옹화상이 머물렀던 곳으로 나옹화상의 사리탑으로 알려지는 영전사지 보제존자사리탑이 있었으나 19119년 옮겨져 현재 경복궁 내에 있음.","A","","","영천사",
"8","전통사찰","03_07_11_P","6530000","4191000-005","1988-05-28","","01","영업/정상","BBBB","","","","","","0337324800","","","강원특별자치도 원주시 소초면 학곡리 2리 1029번지","강원특별자치도 원주시 소초면 구룡사로 500","","구룡사","2011-11-22 14:12:22","I","2023-06-13 00:00:00","","292901.518643279","433596.09078137","5","2850","668","신라 문무왕 8년 의상대사 창건.

신라말 도선국사, 조선초 무학대사, 조선중기 서산대사 등이 머물면서 많은 후학을 배출했던 곳임.","A","","","구룡사",
"9","전통사찰","03_07_11_P","6530000","4191000-006","1988-05-28","","01","영업/정상","BBBB","","","","","","0337310215","","","강원특별자치도 원주시 소초면 흥양리 3리 산1784번지","강원특별자치도 원주시 소초면 황골로 707","","입석사","2011-11-22 14:23:24","I","2023-06-13 00:00:00","","291684.524447513","429182.482674385","2","300","신라시대(연대미상)","신라의 의상대사가 창건했다고 전함.","A","","","입석사",
"10","전통사찰","03_07_11_P","6530000","4191000-007","1988-05-28","","01","영업/정상","BBBB","","","","","","0337624783","","","강원특별자치도 원주시 판부면 금대리 2리 1388번지","강원특별자치도 원주시 판부면 영원산성길 685","","영원사","2011-11-22 14:21:40","I","2023-06-13 00:00:00","","291335.253568379","423112.284943662","1","67","신라 문무왕","신라 문무왕때 의상대사가 창건했다고 함.","A","","","영원사",
"11","전통사찰","03_07_11_P","6530000","4201000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0336489431","","","강원특별자치도 강릉시 성산면 보광리 산544번지","강원특별자치도 강릉시 성산면 보현길 396","","보현사","2011-11-23 13:28:31","I","2023-06-13 00:00:00","","355898.482999984","471959.00894826","3","1500","925","신라 경애왕이 국사 낭원대사에 의해 창건됨.
낭원대사가 96세에 입적하자 고려 태조 왕건이 낭원대사의 성덕을 기려 탑을 건립하고 오진이라 부르게 하였다 함.","A","","","보현사",
"12","전통사찰","03_07_11_P","6530000","4201000-002","1988-05-28","","01","영업/정상","BBBB","","","","","","0336445337","","","강원특별자치도 강릉시 강동면 정동진리 산17번지","강원특별자치도 강릉시 강동면 율곡로 1505-16","","낙가사","2011-11-23 13:31:39","I","2023-06-13 00:00:00","","","","4","1500","신라선덕여왕","신라성덕여왕때 자장율사가 수다사란 이름으로 창건하고 고려초 중창하면서 등명사로 개칭.
등명사의 옛절터에 1950년대 중창함.","A","","","낙가사",
"13","전통사찰","03_07_11_P","6530000","4201000-003","1988-05-28","","01","영업/정상","BBBB","","","","","","0336432985","","","강원특별자치도 강릉시 금학동 29번지","","","관음사","2015-02-10 20:40:01","I","2023-06-13 00:00:00","","","","3","1200","1923","금강산의 유점사,건봉사,오대산 월정사 3대 본사에서 불교연합 포교당으로 창건.","A","","","관음사",
"14","전통사찰","03_07_11_P","6530000","4201000-004","1988-05-28","","01","영업/정상","BBBB","","","","","","0336479450","","","강원특별자치도 강릉시 구정면 어단리 926번지","","","법왕사","2011-11-23 13:30:08","I","2023-06-13 00:00:00","","","","3","2000","634","신라 선덕여왕 3년에 자장율사가 창건하고 1946년 법왕사로 개칭하였다고 함.","A","","","법왕사",
"15","전통사찰","03_07_11_P","6530000","4201000-005","1988-05-28","","01","영업/정상","BBBB","","","","","","0336475781","","","강원특별자치도 강릉시 사천면 사기막리 821번지","강원특별자치도 강릉시 사천면 중앙서로 961","","용연사","2011-11-23 13:26:24","I","2023-06-13 00:00:00","","356753.175325385","477853.744311757","1","1500","1670","1670년대 왕장대사가 창건.
한국동란 시 전소 1956년 중수.","A","","","용연사",
"16","전통사찰","03_07_11_P","6530000","4201000-006","2006-01-06","","01","영업/정상","BBBB","","","","","","0336447756","","","강원특별자치도 강릉시 구정면 구정리 29","강원특별자치도 강릉시 구정면 청파로 176-38","","청학사","2011-11-23 13:33:09","I","2023-06-13 00:00:00","","365046.654081672","467320.729138696","3","1500","고려시대","","A","","","청학사",
"17","전통사찰","03_07_11_P","6530000","4211000-001","1988-05-28","","01","영업/정상","BBBB","","","","","","0335329623","","","강원특별자치도 동해시 송정동 502번지 2호","","","감추사","2011-11-23 13:39:15","I","2023-06-13 00:00:00","","","","1","800","신라시대","신라 진평왕의 셋째딸인 선화공주와 백제 무왕의 설화가 전해지고 있음.
현재 사찰은 1902년에 건립됨.","A","","","감추사",
