"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","비디오물감상실업","03_10_01_P","4181000","CDFF1242012002000002","2002-09-17","","03","폐업","03","폐업","2010-01-12","","","","033)261-6490","","200-911","강원특별자치도 춘천시 남산면 강촌리 237-7","강원특별자치도 춘천시 남산면 강촌로 76","","까치라인 DVD존","2010-01-12 17:10:35","I","2023-06-13 00:00:00","","255789.224663816","479052.406687646","비디오물감상실업","","0","","","125.38","0","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
"2","비디오물감상실업","03_10_01_P","4181000","CDFF1242011996000010","1996-09-30","","03","폐업","03","폐업","2006-12-19","","","","","","200-947","강원특별자치도 춘천시 효자동 18-57","강원특별자치도 춘천시 백령로 163  (효자동)","","천광 비디오방","2009-03-18 09:45:57","I","2023-06-13 00:00:00","","265418.691767643","486184.361820559","비디오물감상실업","","0","","","0","1","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
"3","비디오물감상실업","03_10_01_P","4181000","CDFF1242011996000011","1996-09-05","","03","폐업","03","폐업","2001-05-10","","","","","","200-948","강원특별자치도 춘천시 효자동 176-12","강원특별자치도 춘천시 백령로 19  (효자동)","","백령영상 감상실","2009-03-18 11:45:22","I","2023-06-13 00:00:00","","264796.136717104","485116.862547629","비디오물감상실업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","비디오물감상실업","03_10_01_P","4181000","CDFF1242011996000012","1996-09-05","","03","폐업","03","폐업","2001-02-22","","","","","","200-952","강원특별자치도 춘천시 효자동 655-9","강원특별자치도 춘천시 춘천로 182-1  (효자동)","","이브비디오방","2009-03-18 11:50:24","I","2023-06-13 00:00:00","","264555.847092814","486221.540233505","비디오물감상실업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","비디오물감상실업","03_10_01_P","4181000","CDFF1242011996000013","1996-09-05","","03","폐업","03","폐업","2001-08-08","","","","","","200-947","강원특별자치도 춘천시 효자동 629-3","강원특별자치도 춘천시 백령로138번길 29  (효자동)","","비디오가방을 만났을때","2009-03-18 11:56:15","I","2023-06-13 00:00:00","","265399.758173661","485927.972261273","비디오물감상실업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","비디오물감상실업","03_10_01_P","4181000","CDFF1242011999000001","1999-07-07","","03","폐업","03","폐업","2002-03-09","","","","","","200-050","강원특별자치도 춘천시 죽림동 32","강원특별자치도 춘천시 약사고개길 13  (죽림동)","","제일 비디오방","2009-03-18 09:46:26","I","2023-06-13 00:00:00","","263815.717679964","486351.132414808","비디오물감상실업","","0","","","0","0","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
"7","비디오물감상실업","03_10_01_P","4181000","CDFF1242011999000002","1999-10-26","","03","폐업","03","폐업","2004-12-10","","","","033)261-0046","","200-911","강원특별자치도 춘천시 남산면 강촌리 227-54","","","콤비 영화관","2009-03-18 09:47:03","I","2023-06-13 00:00:00","","255701.58532205","479180.437870117","비디오물감상실업","","0","","","0","0","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
"8","비디오물감상실업","03_10_01_P","4181000","CDFF1242012000000001","2000-10-10","","03","폐업","03","폐업","2011-01-21","","","","033)252-5258","","200-947","강원특별자치도 춘천시 효자동 625-9","강원특별자치도 춘천시 백령로138번길 17  (효자동)","","DVD ZONE(춘천점)","2011-01-21 16:50:33","I","2023-06-13 00:00:00","","265350.434996533","485954.401239268","비디오물감상실업","","0","","","132.23","0","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
"9","비디오물감상실업","03_10_01_P","4181000","CDFF1242012001000001","2001-05-23","","03","폐업","03","폐업","2009-03-25","","","","033)256-7613","","200-947","강원특별자치도 춘천시 효자동 627-11","강원특별자치도 춘천시 서부대성로 232  (효자동)","","다우존(강대점)","2009-03-26 11:00:30","I","2023-06-13 00:00:00","","265347.598229481","485861.175252163","비디오물감상실업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
"10","비디오물감상실업","03_10_01_P","4181000","CDFF1242012001000002","2001-08-29","","03","폐업","03","폐업","2010-11-03","","","","033)251-3992","","200-959","강원특별자치도 춘천시 후평동 726-3","강원특별자치도 춘천시 후석로 366  (후평동)","","DVD 시네마존","2010-11-04 10:01:24","I","2023-06-13 00:00:00","","265742.317278702","487007.27816154","비디오물감상실업","","0","","","192.96","0","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
"11","비디오물감상실업","03_10_01_P","4181000","CDFF1242012001000003","2001-10-08","","03","폐업","03","폐업","2006-09-14","","","","033)243-9666","","200-947","강원특별자치도 춘천시 효자동 618-19","강원특별자치도 춘천시 춘천로204번길 56  (효자동)","","DVD 씨네마클럽","2009-03-18 09:48:38","I","2023-06-13 00:00:00","","265206.811659917","486004.37975344","비디오물감상실업","","0","","","0","0","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
"12","비디오물감상실업","03_10_01_P","4181000","CDFF1242012001000004","2001-11-24","","03","폐업","03","폐업","2016-10-27","","","","033)252-3778","","","강원특별자치도 춘천시 교동 157-15","강원특별자치도 춘천시 삭주로 74 (교동)","24259","DVD 디지털영화관","2016-10-27 16:22:39","I","2023-06-13 00:00:00","","264935.602089382","487003.932298204","비디오물감상실업","","0","","","133.7","2","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
"13","비디오물감상실업","03_10_01_P","4181000","CDFF1242012002000001","2002-05-27","","03","폐업","03","폐업","2005-10-11","","","","033)257-1266","","200-941","강원특별자치도 춘천시 조양동 50-4","강원특별자치도 춘천시 금강로62번길 4  (조양동)","","퓨쳐 DVD영화관","2005-10-11 18:29:32","I","2023-06-13 00:00:00","","263983.087644106","486574.222921221","비디오물감상실업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","자동","","","","","0","","","","","","",
