"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","즉석판매제조가공업","07_22_19_P","4191000","4191000-107-2023-00187","2023-08-31","","01","영업/정상","01","영업","","","","","","9.90","","강원특별자치도 원주시 관설동 1495-3","강원특별자치도 원주시 치악로 1527, 1층 (관설동)","26471","주식회사유농위드(판부점)","2023-10-10 19:48:33","U","2023-10-12 02:40:00","즉석판매제조가공업","285447.53785015","424682.625071138","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"2","즉석판매제조가공업","07_22_19_P","4191000","4191000-107-2023-00188","2023-08-31","","01","영업/정상","01","영업","","","","","031 7465300","17.02","","강원특별자치도 원주시 무실동 1062-1 이마트","강원특별자치도 원주시 북원로 1928, 이마트 지1층 (무실동)","26395","(주)동해식품","2023-10-10 20:11:38","U","2023-10-12 02:40:00","즉석판매제조가공업","281366.703634706","424684.582635502","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"3","즉석판매제조가공업","07_22_19_P","4201000","4201000-107-2023-00222","2023-08-31","","01","영업/정상","01","영업","","","","","","32.50","","강원특별자치도 강릉시 옥계면 현내리 362-26","강원특별자치도 강릉시 옥계면 현내시장길 70, 1층","25634","시골건강원","2023-09-15 10:29:48","U","2023-09-17 02:40:00","즉석판매제조가공업","379670.499566958","458309.909530203","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","8.2","","","",
"4","즉석판매제조가공업","07_22_19_P","4181000","4181000-107-2023-00105","2023-07-26","","01","영업/정상","01","영업","","","","","","19.00","","강원특별자치도 춘천시 운교동 187-6","강원특별자치도 춘천시 춘천로185번길 8, 1층 (운교동)","24350","토담반찬","2023-07-26 10:42:11","I","2023-07-28 00:18:47","즉석판매제조가공업","264570.475093178","486329.701361873","즉석판매제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","즉석판매제조가공업","07_22_19_P","4181000","4181000-107-2023-00106","2023-07-26","","01","영업/정상","01","영업","","","","","","27.00","","강원특별자치도 춘천시 퇴계동 416-5","강원특별자치도 춘천시 영서로2151번길 6-1, 1층 (퇴계동)","24448","장손반찬","2023-07-26 17:23:25","I","2023-07-28 00:18:47","즉석판매제조가공업","264488.108570512","484160.090482212","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"6","즉석판매제조가공업","07_22_19_P","4301000","4301000-107-2023-00068","2023-08-30","","01","영업/정상","01","영업","","","","","","17.90","","강원특별자치도 철원군 동송읍 이평리 648-36","강원특별자치도 철원군 동송읍 북원로 1455-3","24016","소이온정","2025-04-22 13:41:27","U","2025-04-24 02:40:00","즉석판매제조가공업","219549.066","523108.480333333","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"7","즉석판매제조가공업","07_22_19_P","4181000","4181000-107-2023-00119","2023-08-31","","01","영업/정상","01","영업","","","","","","130.32","","강원특별자치도 춘천시 동내면 신촌리 441-4","강원특별자치도 춘천시 동내면 동내로 103-13","24407","소당식품","2023-08-31 11:09:57","I","2023-09-02 00:18:46","즉석판매제조가공업","267083.470305726","483325.798668299","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"8","즉석판매제조가공업","07_22_19_P","4181000","4181000-107-2023-00121","2023-08-31","","01","영업/정상","01","영업","","","","","","19.00","","강원특별자치도 춘천시 석사동 885-3","강원특별자치도 춘천시 퇴계농공로 9, 1층 109호 (석사동)","24415","몬나니 젤라또","2025-02-21 16:47:21","U","2025-02-23 02:40:00","즉석판매제조가공업","265515.316122155","483566.14122817","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"9","즉석판매제조가공업","07_22_19_P","4331000","4331000-107-2023-00014","2023-07-26","","01","영업/정상","01","영업","","","","","","12.18","","강원특별자치도 인제군 남면 신남리 603-1","강원특별자치도 인제군 남면 신남로 84","24649","자연산약초건강원","2023-07-26 16:52:50","I","2023-07-28 00:18:47","즉석판매제조가공업","294970.914547901","496877.464140883","즉석판매제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","12.18","","","",
"10","즉석판매제조가공업","07_22_19_P","4251000","4251000-107-2023-00035","2023-08-24","","01","영업/정상","01","영업","","","","","","127.79","","강원특별자치도 홍천군 내면 광원리 1157","강원특별자치도 홍천군 내면 소계천길 74","25170","오대산 힐링이야기","2023-08-30 11:50:49","U","2023-09-01 02:40:00","즉석판매제조가공업","323479.08146264","479014.579989794","즉석판매제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","5.22","","","",
"11","즉석판매제조가공업","07_22_19_P","4191000","4191000-107-2023-00179","2023-08-16","","01","영업/정상","01","영업","","","","","","13.44","","강원특별자치도 원주시 봉산동 1050-34","강원특별자치도 원주시 치악로 1906, 1층 (봉산동)","26328","능선","2023-10-22 12:36:39","U","2023-10-24 02:40:00","즉석판매제조가공업","284632.145058967","428116.498071616","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"12","즉석판매제조가공업","07_22_19_P","4201000","4201000-107-2018-00269","2018-12-28","","01","영업/정상","01","영업","","","","","","28.62","","강원특별자치도 강릉시 주문진읍 주문리 315-2","강원특별자치도 강릉시 주문진읍 시장길 59, 1층","25413","강원도엄나무닭강정","2024-07-01 15:31:59","U","2024-07-03 02:40:00","즉석판매제조가공업","360693.354194602","489385.229635069","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","28.62","","","",
"13","즉석판매제조가공업","07_22_19_P","4261000","4261000-107-2023-00017","2023-09-08","","01","영업/정상","01","영업","","","","","033 345 9825","69.90","","강원특별자치도 횡성군 공근면 학담리 433-3","강원특별자치도 횡성군 공근면 영서로 143","25208","농업회사법인 산애찬 주식회사","2023-09-12 09:05:01","U","2023-09-14 02:40:00","즉석판매제조가공업","284740.479942028","447766.756614616","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","16.34","","","",
"14","즉석판매제조가공업","07_22_19_P","4261000","4261000-107-2023-00018","2023-09-08","","01","영업/정상","01","영업","","","","","","7.20","","강원특별자치도 횡성군 횡성읍 읍상리 642-1","강원특별자치도 횡성군 횡성읍 읍마로2번길 2, 102호","25227","커피시계","2023-09-08 11:33:20","I","2023-09-10 00:18:09","즉석판매제조가공업","287697.131880228","443384.165746518","즉석판매제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"15","즉석판매제조가공업","07_22_19_P","4201000","4201000-107-2023-00189","2023-08-03","","01","영업/정상","01","영업","","","","","","33.15","","강원특별자치도 강릉시 회산동 610","강원특별자치도 강릉시 회산로 315, 1층 103호 (회산동)","25598","유아이베이커리","2023-08-08 18:08:39","U","2023-08-10 02:40:00","즉석판매제조가공업","364156.980085822","472343.38057355","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"16","즉석판매제조가공업","07_22_19_P","4231000","4231000-107-2023-00066","2023-08-31","","01","영업/정상","01","영업","","","","","","24.05","","강원특별자치도 속초시 영랑동 160-5 송하아파트","강원특별자치도 속초시 영랑로3길 20, 송하아파트 (영랑동)","24809","코지키친","2023-08-31 16:34:11","I","2023-09-02 00:18:46","즉석판매제조가공업","339352.625843552","524877.95457287","즉석판매제조가공업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"17","즉석판매제조가공업","07_22_19_P","4191000","4191000-107-2023-00186","2023-08-30","","01","영업/정상","01","영업","","","","","","56.84","","강원특별자치도 원주시 일산동 365 두진하트리움시티","강원특별자치도 원주시 천사로 189, 상가2동 1층 102호 (일산동, 두진하트리움시티)","26417","24무인홍스키친반찬가게일산점","2025-04-18 13:39:15","U","2025-04-20 02:40:00","즉석판매제조가공업","283652.889698416","428073.769853619","즉석판매제조가공업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"18","즉석판매제조가공업","07_22_19_P","4261000","4261000-107-2023-00015","2023-08-21","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 횡성군 둔내면 삽교리 190-1","강원특별자치도 횡성군 둔내면 경강로구두미1길 102-16","25261","페이지102(전통음식연구회)","2023-08-21 15:51:28","I","2023-08-23 00:18:32","즉석판매제조가공업","311009.971882584","453257.395391356","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"19","즉석판매제조가공업","07_22_19_P","4181000","4181000-107-2023-00109","2023-08-08","","01","영업/정상","01","영업","","","","","","3.30","","강원특별자치도 춘천시 온의동 511 이마트","강원특별자치도 춘천시 경춘로 2353, 이마트 1층 (온의동)","24435","(주)신세계푸드","2024-11-27 09:45:14","U","2024-11-29 02:40:00","즉석판매제조가공업","263141.943193102","484821.289677657","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"20","즉석판매제조가공업","07_22_19_P","4211000","4211000-107-2023-00073","2023-08-08","","01","영업/정상","01","영업","","","","","033 5311622","22.99","","강원특별자치도 동해시 부곡동 153-1 예가낙지마을","강원특별자치도 동해시 승지로 46, 예가낙지마을 1층 (부곡동)","25741","예가유통","2023-08-08 15:25:52","I","2023-08-10 00:18:35","즉석판매제조가공업","385269.897713673","450564.741236162","즉석판매제조가공업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"21","즉석판매제조가공업","07_22_19_P","4201000","4201000-107-2023-00192","2023-08-07","","01","영업/정상","01","영업","","","","","033 662 3688","15.17","","강원특별자치도 강릉시 연곡면 영진리 353-70 동방이스트빌","강원특별자치도 강릉시 연곡면 연주로 162, 동방이스트빌 111동 102호","25429","애경이네닭갈비","2023-08-07 10:31:56","I","2023-08-09 00:19:30","즉석판매제조가공업","361622.71641138","486923.542176055","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"22","즉석판매제조가공업","07_22_19_P","4201000","4201000-107-2023-00212","2023-08-21","","01","영업/정상","01","영업","","","","","","9.06","","강원특별자치도 강릉시 회산동 24-2","강원특별자치도 강릉시 강변로 74-26, 1층 102호 (회산동)","25600","해피유얼데이","2023-09-18 14:52:49","U","2023-09-20 02:40:00","즉석판매제조가공업","365506.048304138","472690.450172556","즉석판매제조가공업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"23","즉석판매제조가공업","07_22_19_P","4351000","4351000-107-2023-00029","2023-08-28","","01","영업/정상","01","영업","","","","","","55.80","","강원특별자치도 양양군 양양읍 월리 449-1 명지푸르미아파트","강원특별자치도 양양군 양양읍 남대천로 99-14, 상가동 202호 (명지푸르미아파트)","25032","컴프커피 로스터스","2023-11-27 11:02:56","U","2023-11-29 02:40:00","즉석판매제조가공업","341793.156486262","507902.353083881","즉석판매제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"24","즉석판매제조가공업","07_22_19_P","4181000","4181000-107-2023-00108","2023-08-07","","01","영업/정상","01","영업","","","","","","49.20","","강원특별자치도 춘천시 소양로2가 1 소양로현대아파트","강원특별자치도 춘천시 모수물길 60, 상가동 1층 102호 (소양로2가, 소양로현대아파트)","24267","달쿠","2023-08-07 17:31:32","I","2023-08-09 00:19:30","즉석판매제조가공업","263896.122997652","487632.740458328","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"25","즉석판매제조가공업","07_22_19_P","4281000","4281000-107-2023-00039","2023-08-21","","01","영업/정상","01","영업","","","","","","49.28","","강원특별자치도 평창군 평창읍 하리 53-14","강원특별자치도 평창군 평창읍 평창시장1길 19","25376","강원평창다슬기액기스","2023-08-21 11:24:05","I","2023-08-23 00:18:32","즉석판매제조가공업","323525.861899879","430349.143447813","즉석판매제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"26","즉석판매제조가공업","07_22_19_P","4211000","4211000-107-2023-00060","2023-07-04","","01","영업/정상","01","영업","","","","","","18.70","","강원특별자치도 동해시 발한동 226-5","강원특별자치도 동해시 동호3길 6-1, 1층 자호 (발한동)","25724","과일집 프루츠하우스 동해점","2025-04-09 15:54:48","U","2025-04-11 02:40:00","즉석판매제조가공업","385770.562140548","451299.120247307","즉석판매제조가공업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"27","즉석판매제조가공업","07_22_19_P","4191000","4191000-107-2023-00166","2023-08-01","","01","영업/정상","01","영업","","","","","","9.55","","강원특별자치도 원주시 흥업면 흥업리 57-2","강원특별자치도 원주시 흥업면 흥업텃둔길 5, 1층","26403","버번로스터리","2023-08-26 10:26:44","U","2023-08-28 02:40:00","즉석판매제조가공업","281560.691194281","422819.949338752","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"28","즉석판매제조가공업","07_22_19_P","4191000","4191000-107-2023-00168","2023-08-01","","01","영업/정상","01","영업","","","","","055 343 2528","2.50","","강원특별자치도 원주시 관설동 1453 홈플러스","강원특별자치도 원주시 치악로 1489, 홈플러스 2층 (관설동)","26471","주식회사오에스푸드","2023-08-11 16:07:05","U","2023-08-13 02:40:00","즉석판매제조가공업","285677.402683418","424408.068770392","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"29","즉석판매제조가공업","07_22_19_P","4201000","4201000-107-2023-00188","2023-08-01","","01","영업/정상","01","영업","","","","","","22.70","","강원특별자치도 강릉시 주문진읍 교항리 176","강원특별자치도 강릉시 주문진읍 장성로 51, 1층","25418","떡봉이수산","2024-05-14 13:12:35","U","2024-05-16 02:40:00","즉석판매제조가공업","360585.329048494","488873.227477369","즉석판매제조가공업","0","0","","","","0","0","0","0","0","임대","0","0","N","8","","","",
"30","즉석판매제조가공업","07_22_19_P","4191000","4191000-107-2023-00174","2023-08-09","","01","영업/정상","01","영업","","","","","","9.90","","강원특별자치도 원주시 단계동 800-28","강원특별자치도 원주시 단구로 63, 1층 (단계동)","26434","젤라로젤라또","2025-07-18 13:34:34","U","2025-07-20 02:40:00","즉석판매제조가공업","283140.517217818","427203.290180128","즉석판매제조가공업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","15.84","","","",
