"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","유흥주점영업","07_23_02_P","4181000","4181000-102-1981-00004","1981-02-09","","01","영업/정상","01","영업","","","","","033 2647274","122.34","","강원특별자치도 춘천시 효자동 302-57","강원특별자치도 춘천시 효석로9번길 9 (효자동)","24373","파파노래타운","2017-10-17 14:40:14","I","2023-06-13 00:00:00","간이주점","264514.623566631","484941.448854727","간이주점","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","122.34","","","",
"2","유흥주점영업","07_23_02_P","4181000","4181000-102-1990-00003","1990-01-05","","01","영업/정상","01","영업","","","","","033 2540077","130.33","","강원특별자치도 춘천시 효자동 711-18","강원특별자치도 춘천시 남춘로55번길 3 (효자동, 지하 1층)","24372","호박노래타운","2024-12-10 15:58:11","U","2024-12-12 02:40:00","비어(바)살롱","264387.752598136","485049.248576389","비어(바)살롱","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","130.33","","","",
"3","유흥주점영업","07_23_02_P","4181000","4181000-102-1989-00006","1989-05-20","","01","영업/정상","01","영업","","","","","033 2525362","92.47","","강원특별자치도 춘천시 요선동 18-2","강원특별자치도 춘천시 서부대성로48번길 24 (요선동, 2층)","24272","룸비너스가요주점","2024-05-14 11:04:22","U","2024-05-16 02:40:00","간이주점","263923.839491295","486755.236570881","간이주점","0","0","유흥업소밀집지역","","상수도전용","0","0","0","0","0","","0","0","Y","92.47","","","",
"4","유흥주점영업","07_23_02_P","4181000","4181000-102-2002-00012","2002-07-30","","01","영업/정상","01","영업","","","","","033 2602779","169.07","","강원특별자치도 춘천시 남산면 백양리 29-1 엘리시안 강촌","강원특별자치도 춘천시 남산면 북한강변길 688, 엘리시안 강촌","24464","오데움","2024-04-25 17:29:20","U","2024-04-27 02:40:00","기타","251021.728216938","480612.913126754","기타","0","0","","","","0","0","0","0","0","","0","0","Y","169.07","","","",
"5","유흥주점영업","07_23_02_P","4181000","4181000-102-2002-00018","2002-09-12","","01","영업/정상","01","영업","","","","","033 2516014","128.00","","강원특별자치도 춘천시 효자동 641-6","강원특별자치도 춘천시 춘천로 199 (효자동, 지하 1층)","24260","세븐틴","2025-01-08 09:12:39","U","2025-01-10 02:40:00","룸살롱","264702.174234341","486310.528026106","룸살롱","0","0","","","","0","0","0","0","0","","0","0","Y","128","","","",
"6","유흥주점영업","07_23_02_P","4181000","4181000-102-2002-00019","2002-10-19","","01","영업/정상","01","영업","","","","","033 2430542","99.38","","강원특별자치도 춘천시 퇴계동 343-12","강원특별자치도 춘천시 남춘로 33 (퇴계동, 지하 1층)","24370","꼴깝뮤직타운","2025-09-25 10:51:57","U","2025-09-27 02:40:00","기타","264263.48004171","484876.816383614","기타","0","0","","","","0","0","0","0","0","","0","0","Y","99.38","","","",
"7","유흥주점영업","07_23_02_P","4181000","4181000-102-2002-00020","2002-10-30","","01","영업/정상","01","영업","","","","","","93.40","","강원특별자치도 춘천시 요선동 9-11","강원특별자치도 춘천시 서부대성로48번길 9-1 (요선동)","24271","바비","2023-10-26 10:05:13","U","2023-10-28 02:40:00","룸살롱","263979.234367238","486879.660806182","룸살롱","0","0","","","","0","0","0","0","0","","0","0","Y","93.4","","","",
"8","유흥주점영업","07_23_02_P","4181000","4181000-102-2002-00021","2002-10-30","","01","영업/정상","01","영업","","","","","033 2542765","312.70","","강원특별자치도 춘천시 요선동 15-24","강원특별자치도 춘천시 서부대성로48번길 15 (요선동, 지하 1층)","24272","에스","2022-02-03 15:03:09","I","2023-06-13 00:00:00","룸살롱","263960.813505006","486824.28445188","룸살롱","0","0","유흥업소밀집지역","","상수도전용","0","0","0","0","0","","0","0","Y","312.7","","","",
"9","유흥주점영업","07_23_02_P","4181000","4181000-102-1982-00005","1982-04-28","","01","영업/정상","01","영업","","","","","033 2513739","99.32","","강원특별자치도 춘천시 요선동 18-1","강원특별자치도 춘천시 서부대성로48번길 22-2 (요선동)","24272","다이너스","2024-09-06 10:50:11","U","2024-09-08 02:40:00","기타","263904.110716469","486763.045123333","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","99.32","","","",
"10","유흥주점영업","07_23_02_P","4181000","4181000-102-1983-00001","1983-06-10","","01","영업/정상","01","영업","","","","","033 2410188","79.71","","강원특별자치도 춘천시 요선동 14-2","강원특별자치도 춘천시 서부대성로48번길 16 (요선동)","24272","고고가요타운(GO GO가요타운)","2024-12-10 15:53:12","U","2024-12-12 02:40:00","비어(바)살롱","263939.261599407","486829.888929441","비어(바)살롱","0","0","","","","0","0","0","0","0","","0","0","Y","79.71","","","",
