"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","목재수입유통업","09_27_01_P","4181000","418100090201400005","2014-03-05","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 후석로***번길 ** (후평동)","24298","***","2018-10-10 14:23:43","I","2024-05-17 01:13:33","","265962.710891458","486891.578444823","목재수입유통업","","우드펠릿, 우드칩, 톱밥, 목분","","10000","50","영업",
"2","목재수입유통업","09_27_01_P","4181000","418100090201700004","2017-06-08","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 퇴계공단*길 ** (퇴계동)","24427","***","2020-05-11 13:57:21","I","2024-05-17 01:13:33","","265027.778655593","482873.963107103","목재수입유통업","","제재목","","0","30","영업",
"3","목재수입유통업","09_27_01_P","4181000","418100090201700008","2017-09-26","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 우두하리길 **-* (우두동)","","이행삼","2017-09-25 21:43:40","I","2024-05-17 01:13:33","","265241.385507129","488799.063236204","목재수입유통업","","목탄, 성형숯","","0","0","영업",
"4","목재수입유통업","09_27_01_P","4181000","418100090201700009","2017-12-05","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 우두하리길 **-* (우두동)","24227","***","2018-07-27 14:44:42","I","2024-05-17 01:13:33","","265241.385507129","488799.063236204","목재수입유통업","","목탄, 성형숯","","0","0","영업",
"5","목재수입유통업","09_27_01_P","4181000","418100090201800002","2018-06-20","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 서면 덕두원*길 **","24462","***","2018-06-20 11:26:47","I","2024-05-17 01:13:33","","258554.951321781","483868.169772142","목재수입유통업","","","","0","0","영업",
"6","목재수입유통업","09_27_01_P","4181000","418100090201800003","2018-06-20","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 공지로 *** (근화동)","24360","***","2018-06-20 11:27:55","I","2024-05-17 01:13:33","","262954.90876885","485950.774776057","목재수입유통업","","","","0","0","영업",
"7","목재수입유통업","09_27_01_P","4181000","418100090201800004","2018-09-10","","01","영업/정상","1","정상","","","","","0332418300","","","강원특별자치도 춘천시 효자동 *** 춘천시 다문화가족지원센터","강원특별자치도 춘천시 공지로 ***, 춘천시 다문화가족지원센터 *층 (효자동)","24372","주식회사 케이드","2022-01-04 14:04:27","I","2024-05-17 01:13:33","","264312.5178044","485239.21704575","목재수입유통업","","","","0","0","영업",
"8","목재수입유통업","09_27_01_P","4181000","418100090202100006","2021-12-13","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 춘주로***번길 **(퇴계동)","24451","***","2022-07-01 11:34:13","I","2024-05-17 01:13:33","","263812.127252946","484398.562484848","목재수입유통업","","우드펠릿","","20000","0","영업",
"9","목재수입유통업","09_27_01_P","4181000","418100090202400005","2024-04-17","","01","영업/정상","1","정상","","","","","033-264-0027","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단*길 ** (퇴계동)","24427","주식회사 삼우산업","2024-04-17 11:14:19","I","2024-05-17 01:13:33","","265027.778655593","482873.963107103","목재수입유통업","","","","0","0","영업",
"10","목재수입유통업","09_27_01_P","4181000","418100090202200007","2022-07-22","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 영서로 ****-*(사농동)","24219","***","2022-07-22 14:00:03","I","2024-05-17 01:13:33","","263474.244251217","490740.130003673","목재수입유통업","","숯","1","0","0","영업",
"11","목재수입유통업","09_27_01_P","4181000","418100090202300001","2023-01-11","","01","영업/정상","1","정상","","","","","050-8090-2898","","","","강원특별자치도 춘천시 세실로 ***(후평동)","24307","***","2023-02-07 12:36:46","I","2024-05-17 01:13:33","","266614.873092291","486091.634437667","목재수입유통업","","감포나무, 도마재료, 톱밥, 대패톱밥","","1500","1","영업",
"12","목재수입유통업","09_27_01_P","4181000","418100090202400009","2024-12-20","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 춘천시 우두*길 ***, ***동 ***호 (우두동, 춘천파크에뷰)","24221","***","2024-12-30 09:42:37","I","2025-01-01 00:11:33","","264588.170839031","490159.948079806","목재수입유통업","","","","0","0","영업",
"13","목재수입유통업","09_27_01_P","4191000","419100090202400003","2024-09-04","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 원주시 소초면 흥양리 ***","강원특별자치도 원주시 소초면 황골로 ***, *동","26310","농업회사법인 주식회사 강치봉","2024-09-05 17:14:20","I","2024-09-07 00:13:01","","288044.234607216","431472.736364735","목재수입유통업","","목탄, 백탄, 비장탄, 참숯 등","2","1000","100","영업",
"14","목재수입유통업","09_27_01_P","4191000","419100090201400019","2014-12-30","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 원주시 호저면 중부동*길 **","220-924","***","2014-12-30 14:25:36","I","2024-05-17 01:13:33","","279764.253863641","426961.388417874","목재수입유통업","","","","0","0","영업",
"15","목재수입유통업","09_27_01_P","4191000","419100090201800006","2018-03-21","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 원주시 북원로 ****-**, 이룸레지던스 ***호 (단계동)","26436","(주)리더스","2018-03-21 16:35:53","I","2024-05-17 01:13:33","","282400.45","427505.14","목재수입유통업","","목재펠릿, 톱밥, 목재칩","","0","0","영업",
