"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","저탄장면적","철도인입선유무명","사업개시예정일자","윤전기생산시설",
"1","석연탄제조업","09_28_06_P","4181000","2008418016621100001","2010-10-28","","03","폐업","2","폐지","2020-08-06","","","","0332550700","","200-931","강원특별자치도 춘천시 근화동 791번지 5호","","","(주)육림연탄","2020-08-06 14:19:22","I","2023-06-13 00:00:00","","263359.300420353","487840.732806407","5550","무","20050714","7",
"2","석연탄제조업","09_28_06_P","4191000","200741901532100001","2007-12-10","","01","영업/정상","BBBB","","","","","","0337439085","","220-801","강원특별자치도 원주시 문막읍 동화리 9번지 2호","","","(주)원주연탄","2008-01-22 09:44:33","I","2023-06-13 00:00:00","","276259.352817815","426899.330720751","600","무","20060711","7",
"3","석연탄제조업","09_28_06_P","4201000","1999420011521100014","2011-10-30","","01","영업/정상","BBBB","","","","","","033 661 0331","","210-862","강원특별자치도 강릉시 연곡면 방내리 175번지  1   호","강원특별자치도 강릉시 연곡면 동해대로 4321-14","","동덕연탄","2016-08-22 17:55:17","I","2023-06-13 00:00:00","","361360.222505113","486473.049325322","4290","무","19991230","6",
"4","석연탄제조업","09_28_06_P","4201000","2021420032621100001","2021-04-19","","01","영업/정상","BBBB","","","","","","033 6529119","","","강원특별자치도 강릉시 강동면 임곡리 12-3","강원특별자치도 강릉시 강동면 임곡로 552-6","25629","(주)삼보에너지","2021-04-19 09:10:13","I","2023-06-13 00:00:00","","375333.075808226","467952.591248001","936","무","20210416","5",
"5","석연탄제조업","09_28_06_P","4211000","2006421010621100001","2006-11-17","","03","폐업","2","폐지","2012-04-18","","","","02  565 5300","","240-804","강원특별자치도 동해시 발한동 43번지 2호 묵호항만 상옥하치장 3호선 23-25호","강원특별자치도 동해시 임항로 121 (발한동)","","대산자원","2012-05-02 11:11:32","I","2023-06-13 00:00:00","","386440.434140241","451350.205241013","1554","유","20061117","1",
"6","석연탄제조업","09_28_06_P","4221000","1975422001021112991","1999-12-15","","03","폐업","2","폐지","2011-12-31","2011-06-01","","","5523552","","235-020","강원특별자치도 태백시 화전동 11번지","","","강원연료공업주식회사","2011-12-30 13:35:48","I","2023-06-13 00:00:00","","","","5766","무","19750901","3",
"7","석연탄제조업","09_28_06_P","4221000","1999422001021100011","1999-12-15","","03","폐업","2","폐지","2024-12-31","2024-09-01","2024-12-31","","0335827848","","235-200","강원특별자치도 태백시 철암동  360번지","","","강원연료공업(주) 철암연탄공장","2024-12-27 13:24:36","U","2024-12-29 02:40:00","","381037.02620402","403725.270035302","2100","무","19750912","2",
"8","석연탄제조업","09_28_06_P","4221000","2017422007221100000","2017-04-07","","03","폐업","2","폐지","2021-06-22","2021-03-16","2021-09-15","","5528018","","","","강원특별자치도 태백시 싸리밭길 179 (화전동)","","주식회사 태백연탄","2021-06-22 14:28:17","I","2023-06-13 00:00:00","","371906.481170618","411710.350260556","875","무","20170407","4",
"9","석연탄제조업","09_28_06_P","4221000","1999422001021100010","1999-12-15","","01","영업/정상","BBBB","","","","","","0335529363","","235-010","강원특별자치도 태백시 황지동  337번지  43  호","강원특별자치도 태백시 백두대간로 100-36 (황지동)","","강원연료공업(주) 혈암연탄공장","2018-11-27 15:02:46","I","2023-06-13 00:00:00","","376063.917720564","411710.737450407","5308","무","19750912","2",
"10","석연탄제조업","09_28_06_P","4221000","2000422001021100002","2000-01-11","","01","영업/정상","BBBB","","","","","","0335522482","","235-220","강원특별자치도 태백시 백산동 141번지 1호","강원특별자치도 태백시 동태백로 878 (백산동)","","칠표연탄공장","2013-11-14 16:07:21","I","2023-06-13 00:00:00","","380688.503672567","406387.668554306","392.87","무","19750912","3",
"11","석연탄제조업","09_28_06_P","4221000","2015422007221100001","2015-11-09","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 태백시 동태백로 297 (철암동)","","동이산업","2022-06-27 17:35:19","I","2023-06-13 00:00:00","","381331.539086535","402453.706198512","1208","무","20151109","0",
