"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수정화업체","09_29_03_P","4181000","J001278126624000000","2021-08-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 온의동 152-5","강원특별자치도 춘천시 영서로 2301, 2층 (온의동)","24435","한국산업개발(주)","2025-04-23 10:11:50","U","2025-04-25 02:40:00","","263223.615698129","485041.146257817","5","700000000","가스크로마트그래프(6890)
DO meter(850A+) Ph meter(420A)
전기전도도(CM-53)탁도계(Hi93703)
잔류염소측정기(58700-00)
염분계(SS31A)수량유속계(FP201)
TES-1300(수온,온도,지열측정기)
지하수위측정기","0",
"2","지하수정화업체","09_29_03_P","4181000","J001157110002118L00","2021-08-12","2021-08-13","03","폐업","2","취소정지업체","","","","","","","","강원특별자치도 춘천시 온의동 151-10","강원특별자치도 춘천시 영서로 2301, 2층층 (온의동)","24435","한국산업개발(주)","2023-01-06 13:53:35","I","2023-06-13 00:00:00","","263223.615698129","485041.146257817","0","0","","0",
"3","지하수정화업체","09_29_03_P","4181000","J001201110167397L00","2013-12-10","2017-09-12","03","폐업","2","취소정지업체","","","","","","","","강원특별자치도 춘천시 석사동 114-2","강원특별자치도 춘천시 공지로 57-11, 2층 (석사동, 석사동,kt석사빌딩)","24397","㈜지오엔지니어링","2017-09-13 10:29:00","I","2023-06-13 00:00:00","","266027.910955951","483485.142338829","7","100000000","수위측정장비. 수소이온농도PH,tndhs,EC,DO측정,Eh측정, 대수성시험외(변동없음)","0",
"4","지하수정화업체","09_29_03_P","4181000","J001278126624000L00","2009-06-29","2021-08-13","03","폐업","2","취소정지업체","","","","","","","","강원특별자치도 춘천시 온의동 152-5","","","한국산업개발(주)","2021-08-13 10:42:39","I","2023-06-13 00:00:00","","","","7","700000000","가스크로마트그래프(6890)
DO meter(850A+) Ph meter(420A)
전기전도도(CM-53)탁도계(Hi93703)
잔류염소측정기(58700-00)
염분계(SS31A)수량유속계(FP201)
TES-1300(수온,온도,지열측정기)
지하수위측정기","0",
"5","지하수정화업체","09_29_03_P","4221000","J002228121851000000","2010-03-22","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 황지동 200-13 유진상가 2층 202","강원특별자치도 태백시 번영로 154 (황지동, 유진2차아트빌)","26038","(주)태서산업","2018-05-08 09:13:03","I","2023-06-13 00:00:00","","376471.497307538","408068.822638091","7","600000000","수위측정기
수소이온농도측정기
전기전도도 측정기
용존산소측정기
산화환원전위 측정기
가스크로마토 그라프","0",
"6","지하수정화업체","09_29_03_P","4221000","J001448110006543L00","2012-09-10","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 태백시 황지동 200-13 유진상가 2층202호","강원특별자치도 태백시 번영로 154 (황지동, 유진2차아트빌)","26038","(주)태서산업","2018-05-08 09:46:07","I","2023-06-13 00:00:00","","376471.497307538","408068.822638091","11","600000000","수질측정기(현장용)  1대
(ph,수온,전기전도도, 용존산소 및 산화환원전위의 측정가능)
VOC측정장비(가스크로마토그래피) 1대
지하수위 측정기 1대","0",
"7","지하수정화업체","09_29_03_P","4251000","J001153110005136L00","2024-09-04","","01","영업/정상","1","영업","","","","","","","","경기도 연천군 전곡읍 간파리 334","","","(주)베르원","2024-09-05 13:19:35","I","2024-09-07 00:13:01","","200490.70880116","492877.454904023","5","700000000","--Gas Tiger 2000 복합가스측정기
--현장용 수질 측정기(YK-2005WA)
--지하 수위 측정기 (WL-50)
--가스크로마트그래프 장비임대차 계약(~2025.12.31)","0",
"8","지하수정화업체","09_29_03_P","4281000","J001101111613581L00","2009-01-12","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 진부면 하진부리 1084","강원특별자치도 평창군 진부면 상월거문로 735","","메스텍코리아(주)","2010-02-04 16:15:34","I","2023-06-13 00:00:00","","335288.572455327","460916.068626709","7","550000000","휴대용 가스측정기(가스크로마토그래프)
현장용 수질측정기
지하수위측정기","0",
"9","지하수정화업체","09_29_03_P","4321000","J005655200466000L00","2022-04-22","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 용평면 장평리 269-1","강원특별자치도 평창군 용평면 평창대로 1948-4","25315","삼성지하수","2022-04-22 09:28:24","I","2023-06-13 00:00:00","","325165.994238123","453903.911569309","0","0","","0",
"10","지하수정화업체","09_29_03_P","4331000","J001101110337174L00","2003-11-07","","01","영업/정상","1","영업","","","","","","","","서울특별시 송파구 가락동 16-15 정화빌딩","","","㈜한서엔지니어링","2019-02-26 10:10:56","I","2023-06-13 00:00:00","","211012.501708485","444227.766938692","5","670000000","","0",
