"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021201600004","2016-08-01","","02","휴업","1","휴업","","2021-03-22","2021-11-01","","033-242-4611","","","강원특별자치도 춘천시 동면 월곡리 238 241-1,241,242,243","","","대일생활건강(주)","2024-10-29 10:53:20","U","2024-10-31 02:40:00","","270729.484846151","491121.178303432","대기배출업소관리","","4종","","16","365","16","365","7618801039",
"2","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021202300005","2023-06-20","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 동면 만천리 480-31","강원특별자치도 춘천시 동면 춘천순환로 357","24315","진성부란자1급종합정비공장","2025-10-30 11:09:37","U","2025-11-01 02:40:00","자동차 종합 수리업","267486.93476538","485916.234107658","대기배출업소관리","자동차 종합 수리업","5종","","8","300","8","300","7240300086",
"3","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199100006","1991-07-02","","01","영업/정상","11","영업","","","","","0332612461","","","강원특별자치도 춘천시 동산면 봉명리 1007","강원특별자치도 춘천시 동산면 원무동길 51","","강원레미콘(주)","2020-03-03 16:21:04","I","2023-06-13 00:00:00","","267938.054987005","474219.868812228","대기배출업소관리","","5종","","8","300","8","300","2218104524",
"4","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021202000007","2020-11-09","","01","영업/정상","11","영업","","","","","033-262-7780","","","강원특별자치도 춘천시 남산면 수동리 239-1","강원특별자치도 춘천시 남산면 한치로 343","24465","덕호산업(주)","2024-10-29 11:15:47","U","2024-10-31 02:40:00","폐기물 수집운반업","258609.008082864","475604.755593434","대기배출업소관리","폐기물 수집운반업","4종","","8","300","","0","2218107647",
"5","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021202200005","2022-06-21","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 춘천시 근화동 786-51","강원특별자치도 춘천시 공지로 627 (근화동)","24244","대명1급자동차정비공장","2024-11-04 16:54:26","U","2024-11-06 02:40:00","","263218.300234465","487533.934581357","대기배출업소관리","","5종","차량정비","8","300","8","300","",
"6","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199500002","1995-09-23","","01","영업/정상","11","영업","","","","","033-261-7801","","","강원특별자치도 춘천시 남산면 창촌리 300-12","강원특별자치도 춘천시 남산면 보매기길 88","","강원전선(주)","2024-12-30 17:05:08","U","2025-01-01 02:40:00","절연선 및 케이블 제조업","256326.594948508","476075.657335063","대기배출업소관리","절연선 및 케이블 제조업","5종","전선","23","253","23","253","5568800587",
"7","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199300017","1993-06-03","","01","영업/정상","11","영업","","","","","0332616062","","","강원특별자치도 춘천시 동내면 사암리 890","강원특별자치도 춘천시 동내면 점말1길 78-6","","부흥정미소","2022-03-03 15:16:14","I","2023-06-13 00:00:00","","267663.110908466","481113.728020413","대기배출업소관리","","5종","","8","90","8","90","2212907353",
"8","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199300028","1993-09-21","","01","영업/정상","11","영업","","","","","0332645300","","","강원특별자치도 춘천시 동산면 군자리 719-1 720-1번지","강원특별자치도 춘천시 동산면 종자리로 418 (720-1번지)","","난지아스콘(주)","2024-08-21 13:20:27","U","2024-08-23 02:40:00","아스콘 제조업","266170.500872577","473054.98974802","대기배출업소관리","아스콘 제조업","4종","아스콘","10","150","10","150","2218142251",
"9","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199300029","1993-10-11","","01","영업/정상","11","영업","","","","","0332625800","","","강원특별자치도 춘천시 동내면 신촌리 257-1","강원특별자치도 춘천시 동내면 춘천순환로152번길 112","","진성종합정비공장","2025-05-21 11:44:12","U","2025-05-23 02:40:00","자동차 종합 수리업","267737.403791338","483786.586596537","대기배출업소관리","자동차 종합 수리업","5종","","8","300","8","300","2210337861",
"10","대기오염물질배출시설설치사업장","09_30_08_P","4181000","418100021199400001","1994-04-21","","01","영업/정상","11","영업","","","","","033-255-5757","","","","강원특별자치도 춘천시 춘천로 427 (후평동)","24233","합자회사 공신","2025-10-28 11:08:30","U","2025-10-30 02:40:00","자동차 종합 수리업","266111.102495795","487924.185196075","대기배출업소관리","자동차 종합 수리업","5종","","4","300","4","300","2218113038",
