"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4181000","418100064199300055","1993-11-10","","01","영업/정상","11","영업","","","","","033-262-2254","","","강원특별자치도 춘천시 석사동 123-1","강원특별자치도 춘천시 동내로 10 (석사동)","200-933","한국교통안전공단 춘천자동차검사소","2020-09-03 01:35:47","I","2023-06-13 00:00:00","","266317.651349899","483275.844134039","확인검사대행자","","","","","0","","0",
"2","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4181000","418100064200800001","2008-11-05","","01","영업/정상","11","영업","","","","","0332631289","","","강원특별자치도 춘천시 퇴계동 857-3","","","고려엔지니어링(주)","2008-11-05 11:47:08","I","2023-06-13 00:00:00","자동차 종합 수리업","265208.725859809","482847.685784001","확인검사대행자","자동차 종합 수리업","","","","0","","0",
"3","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4181000","418100065201500001","2015-05-18","","01","영업/정상","11","영업","","","","","262-2843","","","","강원특별자치도 춘천시 동면 한솔만천로 34","200-852","진성부란자1급종합정비공장","2018-01-08 11:10:31","I","2023-06-13 00:00:00","자동차 종합 수리업","268160.310536947","486187.691275546","배출가스전문정비사업자","자동차 종합 수리업","","","","0","","0",
"4","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4181000","418100065201800001","2018-11-09","","01","영업/정상","11","영업","","","","","033-252-0864","","","강원특별자치도 춘천시 근화동 268-6","강원특별자치도 춘천시 근화길 11 (근화동)","24360","강원부란자","2018-12-19 11:57:26","I","2023-06-13 00:00:00","","262871.761358088","485866.64741088","배출가스전문정비사업자","","","","","0","","0",
"5","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4181000","418100065201900001","2019-06-17","","01","영업/정상","11","영업","","","","","033-252-9678","","","강원특별자치도 춘천시 근화동 748-15","강원특별자치도 춘천시 영서로 2442, KTAMG 명성자동차 (근화동)","24246","KTAMG 명성자동차","2019-06-17 15:39:09","I","2023-06-13 00:00:00","","262567.312879254","486253.330755923","배출가스전문정비사업자","","","","","0","","0",
"6","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4181000","418100065201300002","2013-04-09","","03","폐업","2","폐업","2017-12-27","","","","0332625800","","","강원특별자치도 춘천시 동내면 신촌리 257-1","강원특별자치도 춘천시 동내면 춘천순환로152번길 112","","진성종합정비공장","2018-01-04 14:53:48","I","2023-06-13 00:00:00","자동차 종합 수리업","267737.403791338","483786.586596537","배출가스전문정비사업자","자동차 종합 수리업","","","","0","","0",
"7","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4181000","418100065201300003","2013-08-06","","03","폐업","2","폐업","2016-09-30","","","","0332520864","","","강원특별자치도 춘천시 근화동 268-1","강원특별자치도 춘천시 근화길 7 (근화동)","24360","강원고속정비공장","2018-01-04 15:02:41","I","2023-06-13 00:00:00","","262888.174036869","485907.0489035","배출가스전문정비사업자","","","","","0","","0",
"8","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4191000","419100065201800001","2018-05-30","","01","영업/정상","11","영업","","","","","033-735-8294","","","강원특별자치도 원주시 우산동 242-3","강원특별자치도 원주시 우산로 21 (우산동)","26344","그린기능장카서비스","2023-08-12 09:59:20","I","2023-08-14 00:18:32","","282828.006469182","429795.436415312","배출가스전문정비사업자","","","","","0","","0",
"9","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4191000","419100065202000001","2020-08-12","","01","영업/정상","11","영업","","","","","033-742-9149","","","강원특별자치도 원주시 태장동 698-14","강원특별자치도 원주시 현충로 38 (태장동)","26325","아우토반공업사","2023-08-12 10:08:57","I","2023-08-14 00:18:32","","284524.7953883","428988.377603489","배출가스전문정비사업자","","","","","0","","0",
"10","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","4191000","419100065201300001","2013-09-09","","01","영업/정상","11","영업","","","","","033-761-5200","","","강원특별자치도 원주시 판부면 서곡리 517","강원특별자치도 원주시 판부면 건너말길 7","26401","남원주서비스 기아오토큐","2024-01-22 10:30:11","U","2024-01-24 02:40:00","","283109.327004881","424281.98098978","배출가스전문정비사업자","","","","","0","","0",
