"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)",
"1","종합체육시설업","10_37_01_P","4181000","CDFH3301262020000001","2020-01-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 1029","강원특별자치도 춘천시 지석로 88, 3~7층 (퇴계동)","24419","카펠라휘트니스센터","2021-12-08 13:44:16","I","2023-06-13 00:00:00","","265484.323107091","483357.389326855",
"2","종합체육시설업","10_37_01_P","4181000","CDFH3301262006000001","2006-10-04","","04","취소/말소/만료/정지/중지","35","직권말소","2011-04-15","","","","033-263-4922","","200-943","강원특별자치도 춘천시 퇴계동 1029","강원특별자치도 춘천시 지석로 88 (퇴계동)","200-965","카펠라 스포츠클럽","2011-11-07 15:01:31","I","2023-06-13 00:00:00","","265484.323107091","483357.389326855",
"3","종합체육시설업","10_37_01_P","4191000","CDFH3301262009000001","2009-11-30","","01","영업/정상","13","영업중","","","","","769-8201","","220-170","강원특별자치도 원주시 반곡동 1401-10 2층","강원특별자치도 원주시 동부순환로 200, 2층 (반곡동)","26460","인터불고 웰니스센터","2022-02-07 16:41:13","I","2023-06-13 00:00:00","","286272.710008855","426045.161207519",
"4","종합체육시설업","10_37_01_P","4221000","CDFH3301262025000001","2025-05-29","","01","영업/정상","13","영업중","","","","","033-806-5041","","","강원특별자치도 태백시 황지동 244-52 태백국민체육센터","강원특별자치도 태백시 번영로 220, 태백국민체육센터 (황지동)","26023","태백국민체육센터","2025-05-29 09:33:07","I","2025-05-31 00:20:02","","376283.163097607","408606.184538342",
"5","종합체육시설업","10_37_01_P","4221000","CDFH3301262025000002","2025-05-29","","01","영업/정상","13","영업중","","","","","033-806-5001","","","강원특별자치도 태백시 장성동 159-1 태백장성 생활SOC 복합시설","강원특별자치도 태백시 장성1길 175-1, 태백장성 생활SOC 복합시설 (장성동)","26052","장성국민체육센터","2025-05-29 11:40:43","I","2025-05-31 00:20:02","","378498.20163908","401834.014517795",
"6","종합체육시설업","10_37_01_P","4241000","CDFH3301262020000001","2020-11-20","","01","영업/정상","13","영업중","","","","","070-7713-5524","","","강원특별자치도 삼척시 원덕읍 호산리 산 1-3","강원특별자치도 삼척시 원덕읍 삼척로 734","25961","원덕한마음스포츠센터","2020-11-20 16:57:37","I","2023-06-13 00:00:00","","407602.129757552","412379.695341186",
"7","종합체육시설업","10_37_01_P","4251000","CDFH3301262009000001","2009-12-09","","03","폐업","03","폐업","2023-06-19","","","","033-439-7121","","250-856","강원특별자치도 홍천군 서면 팔봉리 1278-11","강원특별자치도 홍천군 서면 한치골길 262","","코나세르스파","2023-06-19 17:47:57","U","2023-06-21 02:40:00","","260173.247115994","461255.142360437",
"8","종합체육시설업","10_37_01_P","4281000","CDFH3301262018000001","2018-02-19","","01","영업/정상","13","영업중","","","","","033-330-7156","","","강원특별자치도 평창군 대관령면 용산리 130 용평리조트","강원특별자치도 평창군 대관령면 올림픽로 715, 모나용평 주식회사","25352","모나용평 피트니스센터","2025-09-09 08:55:47","U","2025-09-11 02:40:00","","348259.144297804","461699.273918606",
"9","종합체육시설업","10_37_01_P","4281000","CDFH3301262009000002","2009-10-05","","04","취소/말소/만료/정지/중지","35","직권말소","2017-02-16","","","","033-330-6234","","232-711","강원특별자치도 평창군 봉평면 면온리 1095","강원특별자치도 평창군 봉평면 태기로 174","25307","주식회사 제이디아이스포츠","2017-02-16 13:09:33","I","2023-06-13 00:00:00","","317177.713905004","454046.509523181",
"10","종합체육시설업","10_37_01_P","4301000","CDFH3301262019000001","2019-06-10","","01","영업/정상","13","영업중","","","","","033-450-5292","","","강원특별자치도 철원군 갈말읍 군탄리 1382-6","강원특별자치도 철원군 갈말읍 갈말로 51","24032","철원국민체육센터","2019-09-22 18:25:23","I","2023-06-13 00:00:00","","226460.529628009","517355.031298889",
"11","종합체육시설업","10_37_01_P","4331000","CDFH3301262009000002","2009-08-20","","01","영업/정상","13","영업중","","","","","033-461-0027","","252-805","강원특별자치도 인제군 인제읍 남북리 388 인제하늘내린센터(누리채)","강원특별자치도 인제군 인제읍 비봉로44번길 100  (인제하늘내린센터(누리채))","","인제하늘내린센터(누리채)","2019-01-07 18:16:45","I","2023-06-13 00:00:00","","302196.86161156","507078.279113904",
"12","종합체육시설업","10_37_01_P","4341000","CDFH3301262007000001","2007-03-27","","01","영업/정상","13","영업중","","","","","033-680-3359","","219-903","강원특별자치도 고성군 거진읍 송포리 634-1","강원특별자치도 고성군 거진읍 자산천로 236","","고성국민체육센터","2007-03-27 20:23:58","I","2023-06-13 00:00:00","","326782.409216442","549035.087061438",
