"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","썰매장업","10_39_01_P","4181000","CDFH3301092003000002","2003-01-24","","03","폐업","03","폐업","2008-11-18","","","","","","200-881","강원특별자치도 춘천시 동내면 거두리 516-2","","","싼타눈썰매장","2008-11-18 16:20:35","I","2023-06-13 00:00:00","","","","썰매장업","사립","0","0","0","0","0","","",
"2","썰매장업","10_39_01_P","4181000","CDFH3301092008000001","2008-01-02","","03","폐업","03","폐업","2018-08-13","","","","","","","강원특별자치도 춘천시 동면 월곡리 244-2","강원특별자치도 춘천시 동면 금옥길 228","24211","옥광산 눈썰매장","2018-08-13 11:13:26","I","2023-06-13 00:00:00","","270783.171860065","491199.33958967","썰매장업","사립","Y","0","0","0","0","","",
"3","썰매장업","10_39_01_P","4181000","CDFH3301092013000001","2013-12-23","","03","폐업","03","폐업","2025-07-31","","","","244-1962","","200-852","강원특별자치도 춘천시 동면 만천리 1002-3","강원특별자치도 춘천시 동면 금베이길 93-27","24212","스프링베일리조트눈썰매장","2025-07-31 16:01:55","U","2025-08-02 02:40:00","","269443.073249921","486653.711544855","썰매장업","사립","Y","0","0","0","0","","",
"4","썰매장업","10_39_01_P","4181000","CDFH3301091998000001","1998-03-18","","01","영업/정상","13","영업중","","","","","033-243-2130","","","강원특별자치도 춘천시 사북면 지암리 457","강원특별자치도 춘천시 사북면 화악지암길 322-65","24200","춘천알프스벨리썰매장","2023-02-03 09:56:20","I","2023-06-13 00:00:00","","252518.832550882","496877.197429402","썰매장업","사립","","0","0","0","0","","",
"5","썰매장업","10_39_01_P","4181000","CDFH3301092003000001","2003-04-24","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 사북면 고탄리 26-2","강원특별자치도 춘천시 사북면 지내고탄로 795","24201","고탄눈썰매장","2015-12-22 09:29:36","I","2023-06-13 00:00:00","","263105.263406435","498065.946914519","썰매장업","사립","","0","0","0","0","","",
"6","썰매장업","10_39_01_P","4181000","CDFH3301092005000001","2005-12-19","","01","영업/정상","13","영업중","","","","","033-260-2858","","","","강원특별자치도 춘천시 남산면 북한강변길 688 (강촌리조트)","24464","엘리시안 강촌 눈썰매장","2024-05-02 15:04:21","U","2024-05-04 02:40:00","","251021.728216938","480612.913126754","썰매장업","사립","Y","0","0","0","0","","",
"7","썰매장업","10_39_01_P","4181000","CDFH3301092009000001","2009-01-23","","01","영업/정상","13","영업중","","","","","033-262-0990","","200-843","강원특별자치도 춘천시 동산면 원창리 304-1 외 1필지(304)","","","춘천밸리눈썰매장","2020-02-06 16:18:15","I","2023-06-13 00:00:00","","268315.534940369","477273.827080774","썰매장업","사립","","0","0","0","0","","",
"8","썰매장업","10_39_01_P","4181000","CDFH3301092014000001","2014-01-09","","01","영업/정상","13","영업중","","","","","252-4200","","200-130","강원특별자치도 춘천시 근화동 206-2","","","(구)캠프페이지간이눈썰매장","2014-01-09 13:38:46","I","2023-06-13 00:00:00","","263173.732321953","486996.360982571","썰매장업","사립","Y","1","0","0","0","","",
"9","썰매장업","10_39_01_P","4191000","CDFH3301091998000001","1998-12-11","","03","폐업","03","폐업","2019-12-06","","","","732-3700","","220-821","강원특별자치도 원주시 지정면 월송리 산 2-2","강원특별자치도 원주시 지정면 신평석화로 236","","동서울레스피아 사계절레일썰매장","2019-12-06 13:59:11","I","2023-06-13 00:00:00","","","","썰매장업","사립","Y","0","0","0","0","","",
"10","썰매장업","10_39_01_P","4191000","CDFH3301092020000001","2020-12-24","","03","폐업","03","폐업","2022-12-22","","","","033-730-3500","","","강원특별자치도 원주시 지정면 판대리 577-2","강원특별자치도 원주시 지정면 오크밸리2길 132","26357","오크밸리 눈썰매장","2022-12-22 16:52:36","I","2023-06-13 00:00:00","","272000.036047268","434131.465949678","썰매장업","사립","","0","0","0","0","","",
"11","썰매장업","10_39_01_P","4191000","CDFH3301092007000001","2007-12-18","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 지정면 월송리 1016 오크밸리","강원특별자치도 원주시 지정면 오크밸리2길 58, 오크밸리","26357","오크밸리 눈썰매장","2023-01-13 14:32:28","I","2023-06-13 00:00:00","","273387.408064752","435358.539333992","썰매장업","사립","","0","0","0","0","","",
"12","썰매장업","10_39_01_P","4191000","CDFH3301092024000001","2024-02-19","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 지정면 판대리 577-2","강원특별자치도 원주시 지정면 오크밸리2길 64","26357","이로","2024-02-19 17:29:52","I","2024-02-21 00:16:02","","272000.036047268","434131.465949678","썰매장업","사립","","0","0","0","0","","",
"13","썰매장업","10_39_01_P","4191000","CDFH3301091996000001","1996-12-06","","04","취소/말소/만료/정지/중지","35","직권말소","2020-01-13","","","","732-5800","","220-831","강원특별자치도 원주시 소초면 학곡리 223-3","강원특별자치도 원주시 소초면 구룡사로 47","26304","드림랜드눈썰매장","2020-01-14 16:02:56","I","2023-06-13 00:00:00","","293994.091982093","437166.819596727","썰매장업","사립","Y","0","0","0","0","","",
