"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"1","무료직업소개소","11_50_01_P","4181000","2000418016614502","2007-11-11","","01","영업/정상","20","영업중","","","","","033 263 5466","","","강원특별자치도 춘천시 석사동 322-1","강원특별자치도 춘천시 외솔길 17 (석사동)","24327","강원도지적발달장애인복지협회","2023-06-29 16:33:31","U","2023-07-01 02:40:00","","265912.439959245","484089.616046659","법인","무료",
"2","무료직업소개소","11_50_01_P","4181000","2015418027714500002","2015-03-23","","01","영업/정상","20","영업중","","","","","033 256 8819","","","","강원특별자치도 춘천시 효자로 7-1 (퇴계동, 한국노총2층)","200-943","사회적협동조합희망리본","2024-06-17 13:19:03","U","2024-06-19 02:40:00","","263814.739690008","485032.963469186","법인","무료",
"3","무료직업소개소","11_50_01_P","4181000","2016418027714500001","2016-02-01","","01","영업/정상","20","영업중","","","","","033 813 2746","","","","강원특별자치도 원주시 남원로 564, 4층 (개운동)","26448","사회적협동조합희망리본","2018-04-02 16:03:01","I","2023-06-13 00:00:00","","283958.907452086","426224.681317642","법인","무료",
"4","무료직업소개소","11_50_01_P","4181000","2016418027714500002","2016-02-01","","01","영업/정상","20","영업중","","","","","033 637 8819","","","강원특별자치도 속초시 조양동 1034번지 4호","강원특별자치도 속초시 동해대로 4024, 제일프라자 3층 307호 (조양동)","24872","사회적협동조합희망리본","2018-04-02 16:00:59","I","2023-06-13 00:00:00","","339623.798653472","522007.571747617","법인","무료",
"5","무료직업소개소","11_50_01_P","4181000","2016418027714500005","2016-02-25","","01","영업/정상","20","영업중","","","","","033 643 8820","","","강원특별자치도 강릉시 용강동 2번지 2호","강원특별자치도 강릉시 임영로 175, 3층 (용강동)","25528","사회적협동조합희망리본","2018-04-02 16:03:56","I","2023-06-13 00:00:00","","366609.178606698","474391.131896519","법인","무료",
"6","무료직업소개소","11_50_01_P","4181000","2019418031914500002","2019-02-22","","01","영업/정상","20","영업중","","","","","033 255 8866","","","","서울특별시 종로구 삼일대로 461, 운현궁 에스케이 허브 (경운동)","03147","춘천동부노인복지관(사회복지법인 대한불교천태종복지재단)","2024-12-13 15:49:06","U","2024-12-15 02:40:00","","198658.943470079","452604.254902527","법인","무료",
"7","무료직업소개소","11_50_01_P","4181000","2020418034914500012","2020-12-30","","01","영업/정상","20","영업중","","","","","033 242 0529","","","","강원특별자치도 춘천시 영서로 2301, 3층 (온의동)","24435","(사)강원경영자총협회","2021-12-15 09:17:44","I","2023-06-13 00:00:00","","263223.615698129","485041.146257817","법인","무료",
"8","무료직업소개소","11_50_01_P","4181000","2021418034914500005","2021-05-06","","01","영업/정상","20","영업중","","","","","033 252 5070","","","","강원특별자치도 춘천시 시청길 32, 해찬빌딩 3층 (조양동)","24348","재단법인 춘천미래동행재단","2024-12-02 15:17:22","U","2024-12-04 02:40:00","","264256.518818601","486741.3242034","법인","무료",
"9","무료직업소개소","11_50_01_P","4181000","2021418034914500008","2021-08-13","","01","영업/정상","20","영업중","","","","","033 253 4575","","","강원특별자치도 춘천시 석사동 170-3 춘천지역자활센터","강원특별자치도 춘천시 영서로 1925-29, 춘천지역자활센터 (석사동)","24416","춘천지역자활센터","2021-12-28 16:40:11","I","2023-06-13 00:00:00","","266347.308466325","482833.050453088","법인","무료",
"10","무료직업소개소","11_50_01_P","4181000","2024418108314500004","2024-02-28","","01","영업/정상","20","영업중","","","","","033 254 4878","","","","강원특별자치도 춘천시 옛경춘로 483 (칠전동)","24239","사단법인 춘천와이더블유씨에이","2025-04-24 11:23:50","U","2025-04-26 02:40:00","","262375.938269666","482662.56722102","법인","무료",
