"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"1","유료직업소개소","11_50_02_P","4181000","2016418027714500006","2016-05-31","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 석사동 641-4","강원특별자치도 춘천시 후석로 63-1 (석사동)","24383","춘천다모아인력","2024-11-20 13:01:37","U","2024-11-22 02:40:00","","265324.677623235","484406.82540671","개인","유료",
"2","유료직업소개소","11_50_02_P","4181000","2017418027714500002","2017-04-18","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 700번지 10호","강원특별자치도 춘천시 공지로 314 (효자동)","24338","우리인력","2024-11-20 12:59:53","U","2024-11-22 02:40:00","","264262.300542486","485327.236574898","개인","유료",
"3","유료직업소개소","11_50_02_P","4181000","2017418027714500004","2017-09-04","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 석사동 755번지 7호","강원특별자치도 춘천시 애막골길20번길 8 (석사동)","24326","춘천지원인력","2024-11-20 12:59:17","U","2024-11-22 02:40:00","","265980.152070736","484860.821833324","개인","유료",
"4","유료직업소개소","11_50_02_P","4181000","2020418034914500006","2020-03-30","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 후평동 842번지 7호 2층","강원특별자치도 춘천시 삭주로 126-1, 2층 (후평동)","24254","스마일인력","2024-11-20 12:53:22","U","2024-11-22 02:40:00","","265429.578983136","487166.127928059","개인","유료",
"5","유료직업소개소","11_50_02_P","4181000","2020418034914500010","2020-08-21","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 744-9 2층","강원특별자치도 춘천시 춘천로 223, 2층 (효자동)","24259","오케이인력","2024-11-20 12:51:08","U","2024-11-22 02:40:00","","264906.15962607","486416.299109399","개인","유료",
"6","유료직업소개소","11_50_02_P","4181000","2021418034914500002","2021-02-23","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 소양로2가 172-1 춘천서부시장 31호","강원특별자치도 춘천시 서부대성로 12, 1층 31호 (소양로2가, 신동아아파트)","24272","춘천파출부소개소","2024-11-20 12:50:26","U","2024-11-22 02:40:00","","263675.833817836","487157.336209289","개인","유료",
"7","유료직업소개소","11_50_02_P","4181000","2021418034914500004","2021-03-31","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 후평동 709-18 1층","강원특별자치도 춘천시 후석로 379, 1층 (후평동)","24256","에이스인력","2024-11-20 12:49:49","U","2024-11-22 02:40:00","","265648.859983307","487117.167213634","개인","유료",
"8","유료직업소개소","11_50_02_P","4181000","2021418034914500009","2021-09-09","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 효자동 17-8","강원특별자치도 춘천시 서부대성로239번길 29(효자동)","24289","강원간병전문센터","2025-02-11 14:05:55","U","2025-02-13 02:40:00","","265559.720789169","486085.794065323","개인","유료",
"9","유료직업소개소","11_50_02_P","4181000","2022418034914500004","2022-08-05","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 근화동 706-3 3층","강원특별자치도 춘천시 가연길5번길 41-6, 3층 (근화동)","24276","힘찬인력","2024-11-20 12:47:48","U","2024-11-22 02:40:00","","263089.539436946","486112.006304921","개인","유료",
"10","유료직업소개소","11_50_02_P","4181000","2022418034914500005","2022-09-14","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 근화동 709-8 1층","강원특별자치도 춘천시 공지로 452-1, 1층 (근화동)","24359","봄내인력","2022-09-27 15:56:45","I","2023-06-13 00:00:00","","263039.392852903","485978.914278528","개인","유료",
