"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","일반음식점","07_24_04_P","6510000","6510000-101-2018-00967","2018-11-29","","01","영업/정상","01","영업","","","","","","80.14","690-808","제주특별자치도 제주시 삼도이동 1120-2","제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)","63166","탑동에이치지","2023-05-17 16:50:16","U","2023-05-19 02:40:00","기타","155346.157881043","2179.44268093056","기타","","","","","상수도전용","","","","","","","","","N","80.14","","","",
"2","일반음식점","07_24_04_P","6510000","6510000-101-2018-00905","2018-11-02","","01","영업/정상","01","영업","","","","","","27.00","695-973","제주특별자치도 제주시 구좌읍 세화리 1397-6번지","제주특별자치도 제주시 구좌읍 구좌로 77, 1층","63361","에릭스에스프레소","2018-11-02 11:02:34","I","2018-11-04 02:36:04","기타","186814.90295874","2782.64677833025","기타","","","","","상수도전용","","","","","","","","","N","27","","","",
"3","일반음식점","07_24_04_P","6510000","6510000-101-2019-00007","2019-01-07","","01","영업/정상","01","영업","","","","","","152.00","695-925","제주특별자치도 제주시 한림읍 대림리 1845-2","제주특별자치도 제주시 한림읍 한림상로 237, 1층","63030","일품순두부한림점","2024-10-29 18:09:19","U","2024-10-31 02:40:00","한식","131789.099975463","-8313.22119674172","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","152","","","",
"4","일반음식점","07_24_04_P","6510000","6510000-101-2019-00008","2019-01-07","","01","영업/정상","01","영업","","","","","","82.00","690-121","제주특별자치도 제주시 아라일동 6139","제주특별자치도 제주시 중앙로 581, 에이동 1층 (아라일동)","63248","김복남맥주제주아라점","2022-03-10 10:22:13","U","2022-03-12 02:40:00","식육(숯불구이)","157718.600964273","-2679.09171215397","식육(숯불구이)","","","","","상수도전용","","","","","","","","","N","82","","","",
"5","일반음식점","07_24_04_P","6510000","6510000-101-2018-00906","2018-11-02","","01","영업/정상","01","영업","","","","","","107.90","690-121","제주특별자치도 제주시 아라일동 6138","제주특별자치도 제주시 중앙로 573, 1층 (아라일동)","63248","우정곱창아라점","2024-05-09 10:43:39","U","2024-05-11 02:40:00","정종/대포집/소주방","157721.211097116","-2589.90280318334","정종/대포집/소주방","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","107.9","","","",
"6","일반음식점","07_24_04_P","6510000","6510000-101-2018-00947","2018-11-20","","01","영업/정상","01","영업","","","","","","114.51","690-121","제주특별자치도 제주시 아라일동 368-81","제주특별자치도 제주시 산천단동2길 13, 1층 101호 (아라일동)","63243","얌샘김밥제대점","2025-02-05 13:19:23","U","2025-02-07 02:40:00","기타","158845.068090049","-5152.30706742735","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","114.51","","","",
"7","일반음식점","07_24_04_P","6510000","6510000-101-2018-00907","2018-11-02","","01","영업/정상","01","영업","","","","","","180.00","690-814","제주특별자치도 제주시 연동 280-37","제주특별자치도 제주시 삼무로7길 16, 1층 (연동)","63118","스톤아일랜드탭하우스","2024-12-05 09:46:03","U","2024-12-07 02:40:00","기타","152832.403517654","-324.197212085329","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","180","","","",
"8","일반음식점","07_24_04_P","6510000","6510000-101-2018-00909","2018-11-05","","01","영업/정상","01","영업","","","","","","30.20","695-922","제주특별자치도 제주시 한림읍 귀덕리 3019","","","레게펍","2023-04-12 17:11:34","U","2023-04-14 02:40:00","기타","133999.305865372","-5688.43211893888","기타","","","","","상수도전용","","","","","","","","","N","30.2","","","",
"9","일반음식점","07_24_04_P","6510000","6510000-101-2018-00974","2018-12-04","","01","영업/정상","01","영업","","","","","","46.14","695-929","제주특별자치도 제주시 한림읍 옹포리 127-15번지","제주특별자치도 제주시 한림읍 월계로 15, 1층","63012","옹포분식","2018-12-04 12:36:22","I","2018-12-06 02:20:08","기타","130607.844087705","-10050.9324310114","기타","","","","","상수도전용","","","","","","","","","N","46.14","","","",
"10","일반음식점","07_24_04_P","6510000","6510000-101-2018-00975","2018-12-04","","01","영업/정상","01","영업","","","","","","54.46","690-807","제주특별자치도 제주시 도남동 67-9","제주특별자치도 제주시 독짓골2길 10, 1층 (도남동)","63221","연두랑고갈비","2022-03-15 15:21:32","U","2022-03-17 02:40:00","한식","156189.946398376","-470.831800134411","한식","","","","","상수도전용","","","","","","","","","N","54.46","","","",
