"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"1","치과기공소","01_02_04_P","4181000","PHMB320104180029062300001","2010-01-18","","03","폐업","03","폐업","2013-01-29","","","","","","200-080","강원특별자치도 춘천시 운교동 169번지 18호 2층","강원특별자치도 춘천시 금강로 100-1, 2층 (운교동)","200-080","스마일치과기공소","2013-01-30 10:06:20","I","2023-06-13 00:00:00","","264223.531188543","486257.554003748","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"2","치과기공소","01_02_04_P","4181000","PHMB320134180029062300002","2013-03-28","","03","폐업","03","폐업","2016-11-30","","","","","","200-940","강원특별자치도 춘천시 우두동 1051번지 2호 지하1층","강원특별자치도 춘천시 영서로 2777 (우두동)","24237","오케이치과기공소","2016-11-30 13:10:53","I","2023-06-13 00:00:00","","263998.778032756","488973.552468884","2","1","2","1","1","1","2","1","1","1","1","1","1","1","1",
"3","치과기공소","01_02_04_P","4181000","PHMB319794180029062300001","1979-07-02","","01","영업/정상","13","영업중","","","","","033-257-8779","","","강원특별자치도 춘천시 운교동 107번지 1호","강원특별자치도 춘천시 춘천로 159 (운교동)","24351","강원치과기공소","2016-10-26 13:13:18","I","2023-06-13 00:00:00","","264324.654585059","486238.289978923","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"4","치과기공소","01_02_04_P","4181000","PHMB319984180029062300001","1998-01-08","","01","영업/정상","13","영업중","","","","","243-2804","","","강원특별자치도 춘천시 조양동 43번지 7호","강원특별자치도 춘천시 시청길12번길 10 (조양동)","24352","Muse치과기공소","2016-10-26 13:11:44","I","2023-06-13 00:00:00","","264109.648664903","486578.216675301","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"5","치과기공소","01_02_04_P","4181000","PHMB320034180029062300001","2003-03-20","","01","영업/정상","13","영업중","","","","","033)254-2882","","","강원특별자치도 춘천시 후평동 876번지 4호","강원특별자치도 춘천시 세실로208번길 8-18 (후평동)","24307","그린치과기공소","2024-10-02 09:51:46","U","2024-10-04 02:40:00","","266660.405","486105.755","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"6","치과기공소","01_02_04_P","4181000","PHMB320034180029062300002","2003-04-03","","01","영업/정상","13","영업중","","","","","033)241-2830","","","강원특별자치도 춘천시 효자동 611번지 14호","강원특별자치도 춘천시 서부대성로 194 (효자동)","24331","정치과기공소","2016-10-26 13:16:01","I","2023-06-13 00:00:00","","265036.988542342","486034.13403191","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"7","치과기공소","01_02_04_P","4181000","PHMB320084180029062300001","2008-12-15","","01","영업/정상","13","영업중","","","","","251-2804","","","강원특별자치도 춘천시 온의동 530번지 1호 1층","강원특별자치도 춘천시 충혼길34번길 5 (온의동)","24436","메인치과기공소","2016-11-17 17:26:21","I","2023-06-13 00:00:00","","263367.778461521","484579.813356018","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"8","치과기공소","01_02_04_P","4181000","PHMB320114180029062300001","2011-01-24","","01","영업/정상","13","영업중","","","","","257-2878","","","강원특별자치도 춘천시 효자동 654번지 3호","강원특별자치도 춘천시 춘천로 188, 메가시티 4층 407호 (효자동)","24329","예인치과기공소","2020-02-13 17:42:02","I","2023-06-13 00:00:00","","264625.007546706","486195.45439825","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"9","치과기공소","01_02_04_P","4181000","PHMB320114180029062300002","2011-07-26","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 우두동 1051번지 2호 지하1층","강원특별자치도 춘천시 영서로 2777, 지하1층 (우두동)","24237","장서근치과기공소","2023-10-04 14:54:23","U","2023-10-06 02:40:00","","263998.778032756","488973.552468884","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"10","치과기공소","01_02_04_P","4181000","PHMB320144180029062300001","2014-01-13","","01","영업/정상","13","영업중","","","","","070-911-2804","","","강원특별자치도 춘천시 퇴계동 152-10","강원특별자치도 춘천시 안마산로 169-10, 201호 (퇴계동)","24448","수 치과기공소","2022-10-04 17:20:03","I","2023-06-13 00:00:00","","264497.481958556","483633.521766583","1","1","3","1","2","1","2","1","1","1","1","1","2","1","1",
"11","치과기공소","01_02_04_P","4181000","PHMB320144180029062300002","2014-01-27","","01","영업/정상","13","영업중","","","","","033)261-2804","","","","강원특별자치도 춘천시 안마산로 214, 금호상가동 2층 13호 (퇴계동, 금호2차아파트)","24424","SM치과기공소","2014-01-27 17:44:17","I","2023-06-13 00:00:00","","264821.013871032","483196.394695827","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"12","치과기공소","01_02_04_P","4181000","PHMB320144180029062300003","2014-07-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 538번지 5호","강원특별자치도 춘천시 춘주로92번길 12 (온의동)","24437","하이(HI)치과기공소","2019-12-03 14:58:09","I","2023-06-13 00:00:00","","263213.18083746","484534.431769964","1","1","3","1","1","1","1","1","1","1","1","1","1","1","0",
"13","치과기공소","01_02_04_P","4181000","PHMB320164180029062300001","2016-12-27","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 석사동 114-24","강원특별자치도 춘천시 공지로 57-4, 3층 (석사동)","24396","JS치과기공소","2024-10-17 11:58:38","U","2024-10-19 02:40:00","","266035.017186432","483589.445299088","2","1","10","1","1","2","4","2","3","3","2","7","2","1","1",
"14","치과기공소","01_02_04_P","4181000","PHMB320174180029062300001","2017-07-31","","01","영업/정상","13","영업중","","","","","033-242-2482","","","강원특별자치도 춘천시 퇴계동 1191번지 1호","강원특별자치도 춘천시 우묵길56번길 20, 2동 201호 (퇴계동)","24368","CORE 치과기공소","2019-04-22 14:57:01","I","2023-06-13 00:00:00","","263638.388355931","484934.136556831","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"15","치과기공소","01_02_04_P","4181000","PHMB320184180029062300001","2018-06-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 548번지 13호 2층","강원특별자치도 춘천시 명주길 2, 2층 (효자동)","24336","춘천탑치과기공소","2018-06-07 13:01:39","I","2023-06-13 00:00:00","","263891.397055828","485636.002420455","1","1","3","0","1","1","1","1","1","1","1","1","2","1","1",
"16","치과기공소","01_02_04_P","4181000","PHMB320184180029062300002","2018-08-21","","01","영업/정상","13","영업중","","","","","033-256-2882","","","강원특별자치도 춘천시 온의동 518번지 5호 1층","강원특별자치도 춘천시 충혼길20번길 12, 1층 (온의동)","24436","호반치과기공소","2018-08-21 17:48:48","I","2023-06-13 00:00:00","","263401.764994067","484733.850601592","1","1","3","1","1","2","1","1","1","1","1","1","2","1","1",
