"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","가축인공수정소","02_04_02_P","4181000","418000000320200001","2020-11-27","","01","영업/정상","0000","정상","","","","","","18","","강원특별자치도 춘천시 동내면 고은리 466-1","강원특별자치도 춘천시 동내면 동내로 262-10","24399","곰실 가축 인공수정소","2020-11-27 10:57:15","I","2023-06-13 00:00:00","","268489.194715078","483097.637283795","가축인공수정소","","0","000","0",
"2","가축인공수정소","02_04_02_P","4181000","418000000319790001","1979-02-03","","01","영업/정상","0000","정상","","","","","033)242-2925","0","","강원특별자치도 춘천시 후평동 713-8","강원특별자치도 춘천시 후석로 401 (후평동)","24251","한독동물병원","2013-12-17 15:23:33","I","2023-06-13 00:00:00","","265535.693299175","487288.037686488","가축인공수정소","","0","000","0",
"3","가축인공수정소","02_04_02_P","4181000","418000000319810001","1981-10-05","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 효자동 312-8","강원특별자치도 춘천시 공지로264번길 5-1 (효자동)","","춘성가축인공수정소","2008-07-29 13:30:15","I","2023-06-13 00:00:00","","264650.432633892","485039.899241118","가축인공수정소","","0","000","0",
"4","가축인공수정소","02_04_02_P","4181000","418000000319910001","1991-10-02","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 온의동 510","강원특별자치도 춘천시 영서로 2317 (온의동)","24434","춘천가축인공수정소","2012-01-19 17:31:10","I","2023-06-13 00:00:00","","263030.653293619","485050.328015576","가축인공수정소","","0","000","0",
"5","가축인공수정소","02_04_02_P","4181000","418000000319930001","1993-03-30","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 삼천동 44-10 춘천파크자이","강원특별자치도 춘천시 스포츠타운길 460 (삼천동, 춘천파크자이)","24431","강원가축인공수정소","2020-11-06 13:14:55","I","2023-06-13 00:00:00","","262236.027353812","485157.316438971","가축인공수정소","","0","000","0",
"6","가축인공수정소","02_04_02_P","4181000","418000000319980001","1998-07-29","","01","영업/정상","0000","정상","","","","","033)241-8333","0","","강원특별자치도 춘천시 사농동 158 현대아파트 111동 1302호","강원특별자치도 춘천시 영서로 2920, 111동 13층 02호 (사농동)","24224","제일가축인공수정소","2013-12-17 15:38:27","I","2023-06-13 00:00:00","","263577.414771224","490145.352381932","가축인공수정소","","0","000","0",
"7","가축인공수정소","02_04_02_P","4181000","418000000320080001","2008-05-28","","01","영업/정상","0000","정상","","","","","","6.25","","강원특별자치도 춘천시 신북읍 발산리 181","강원특별자치도 춘천시 신북읍 장본길 234-2","","소양 가축인공수정소","2009-08-11 17:49:19","I","2023-06-13 00:00:00","","267368.270109771","495859.948249694","가축인공수정소","","0","000","0",
"8","가축인공수정소","02_04_02_P","4181000","418000000320230001","2023-02-08","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 춘천시 서면 월송리 1120","강원특별자치도 춘천시 서면 수정2길 184-52","24460","소통수정소","2023-02-08 15:47:01","I","2023-06-13 00:00:00","","260624.253512061","491266.004201413","가축인공수정소","","0","000","0",
"9","가축인공수정소","02_04_02_P","4181000","418000000319910002","1991-10-15","","03","폐업","0002","폐업","2007-09-06","","","","","0","","강원특별자치도 춘천시 효자동 744-10","강원특별자치도 춘천시 춘천로223번길 3 (효자동)","","함형국가축인공수정소","2007-09-07 13:08:36","I","2023-06-13 00:00:00","","264900.962047061","486425.914085949","가축인공수정소","","0","000","0",
"10","가축인공수정소","02_04_02_P","4181000","418000000319960001","1996-05-29","","03","폐업","0002","폐업","2003-08-09","","","","033)262-2332","0","","강원특별자치도 춘천시 석사동 310-18","강원특별자치도 춘천시 후석로66번길 41-2 (석사동)","","양수가축인공수정소","2003-08-09 11:30:38","I","2023-06-13 00:00:00","","265618.655556587","484099.627765047","가축인공수정소","","0","000","0",
"11","가축인공수정소","02_04_02_P","4181000","418000000320040001","2004-04-14","","03","폐업","0002","폐업","2005-03-03","","","","033-261-4927","5.4","","강원특별자치도 춘천시 동내면 사암리 1083-1","강원특별자치도 춘천시 동내면 점말길 50-20","","초원가축인공수정소","2005-03-08 16:25:53","I","2023-06-13 00:00:00","","267529.229882563","480011.405504252","가축인공수정소","","0","000","0",
"12","가축인공수정소","02_04_02_P","4181000","418000000320070001","2007-08-17","","03","폐업","0002","폐업","2009-10-30","","","","2555667","0","","강원특별자치도 춘천시 후평동 481","강원특별자치도 춘천시 후만로 37 (후평동)","24281","우리가축인공수정소","2012-01-19 17:35:05","I","2023-06-13 00:00:00","","265726.30589084","486074.183143946","가축인공수정소","","0","000","0",
"13","가축인공수정소","02_04_02_P","4181000","418000000319960002","1996-07-13","","04","취소/말소/만료/정지/중지","0003","행정처분","","","","","033)242-6453","0","","강원특별자치도 춘천시 신북읍 발산리 79-2","강원특별자치도 춘천시 신북읍 장본2길 31","","명세개인가축인공수정소","2009-01-19 09:36:24","I","2023-06-13 00:00:00","","267118.307481844","495185.441622864","가축인공수정소","","0","000","0",
"14","가축인공수정소","02_04_02_P","4191000","419100000320230001","2023-07-07","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 보통리 346","","","경준가축인공수정소","2023-07-07 14:20:07","I","2023-07-09 00:19:03","","276895.089194956","427573.551862137","가축인공수정소","","0","000","0",
"15","가축인공수정소","02_04_02_P","4191000","419000000320220001","2022-01-27","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 소초면 흥양리 504","강원특별자치도 원주시 소초면 황골로 269-33","26310","소초가축인공수정소","2022-08-02 08:56:59","I","2023-06-13 00:00:00","","288540.209372504","430834.447712892","가축인공수정소","","0","000","0",
"16","가축인공수정소","02_04_02_P","4191000","419000000320220005","2022-04-25","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 문막읍 취병리 751","강원특별자치도 원주시 문막읍 취병로 580","26360","소사랑 수정소","2023-11-30 11:04:12","U","2023-12-02 02:40:00","","268376.661195109","426595.781612986","가축인공수정소","","0","000","0",
"17","가축인공수정소","02_04_02_P","4191000","419000000320220006","2022-06-10","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 보통리 377-6","","","곰말인공수정소","2023-11-30 11:02:24","U","2023-12-02 02:40:00","","276819.213467053","427094.060087483","가축인공수정소","","0","000","0",
"18","가축인공수정소","02_04_02_P","4191000","419000000320220007","2022-08-12","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 호저면 무장리 1204","강원특별자치도 원주시 호저면 살미길 119","26301","호저가축인공수정소","2022-08-12 10:08:56","I","2023-06-13 00:00:00","","280268.902258229","436380.640222731","가축인공수정소","","0","000","0",
"19","가축인공수정소","02_04_02_P","4191000","419000000320220008","2022-10-13","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 간현리 325","강원특별자치도 원주시 지정면 경장길 19-11","26359","원주가축인공수정소","2023-11-30 11:01:38","U","2023-12-02 02:40:00","","274904.001616752","427134.806302514","가축인공수정소","","0","000","0",
"20","가축인공수정소","02_04_02_P","4191000","419000000319910001","1991-06-26","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 호저면 만종리 659-6","강원특별자치도 원주시 호저면 감박산길 5","26377","원성가축인공수정소","2012-05-17 09:50:42","I","2023-06-13 00:00:00","","279679.306662369","428246.552029722","가축인공수정소","","0","000","0",
"21","가축인공수정소","02_04_02_P","4191000","419000000319940001","1994-03-29","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 봉산동 73-4","강원특별자치도 원주시 화실유암길 109-22 (봉산동)","26454","북원가축인공수정소","2019-02-11 21:06:57","I","2023-06-13 00:00:00","","287367.836173366","428034.111861997","가축인공수정소","","0","000","0",
"22","가축인공수정소","02_04_02_P","4191000","419000000320150001","2015-07-16","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 문막읍 궁촌리 1002-10","강원특별자치도 원주시 문막읍 만디길 34","26496","백두인공수정소","2019-12-10 15:28:18","I","2023-06-13 00:00:00","","273477.459612969","418394.10404371","가축인공수정소","","0","000","0",
"23","가축인공수정소","02_04_02_P","4191000","419000000320160001","2016-06-19","","01","영업/정상","0000","정상","","","","","","10.55","","강원특별자치도 원주시 평원동 135-21","강원특별자치도 원주시 평원안길 26-15 (평원동)","26430","이철구 가축인공수정소","2016-06-20 10:13:33","I","2023-06-13 00:00:00","","284415.446839757","428036.709658468","가축인공수정소","","0","000","0",
"24","가축인공수정소","02_04_02_P","4191000","419000000320170001","2017-01-12","","01","영업/정상","0000","정상","","","","","","9.9","","","강원특별자치도 원주시 부론면 부귀로 327","26499","진서인공수정소","2017-07-12 10:38:00","I","2023-06-13 00:00:00","","268171.35300773","409558.052886686","가축인공수정소","","0","000","0",
"25","가축인공수정소","02_04_02_P","4191000","419000000320210001","2021-05-13","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 가곡리 1525 원주기업도시 8단지 호반베르디움","강원특별자치도 원주시 지정면 가곡로 120, 807동 2801호 (원주기업도시 8단지 호반베르디움)","26352","다산가축인공수정소","2021-05-13 09:47:24","I","2023-06-13 00:00:00","","277453.036175427","431403.392608011","가축인공수정소","","0","000","0",
"26","가축인공수정소","02_04_02_P","4191000","419000000320210002","2021-12-17","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 호저면 매호리 568","강원특별자치도 원주시 호저면 고논골길 18-30","26300","매화가축인공수정소","2021-12-17 17:15:16","I","2023-06-13 00:00:00","","277722.467938211","434566.039899599","가축인공수정소","","0","000","0",
"27","가축인공수정소","02_04_02_P","4191000","419000000320210003","2021-12-29","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 우산동 660 상지대학교 벤처창업관 107호","강원특별자치도 원주시 상지대길 83, 상지대학교 벤처창업관 107호 (우산동)","26339","중부수정란이식센터","2023-11-30 11:03:35","U","2023-12-02 02:40:00","","282151.822954944","430257.366976729","가축인공수정소","","0","000","0",
"28","가축인공수정소","02_04_02_P","4191000","419000000320220003","2022-03-03","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 신림면 용암리 1149","강원특별자치도 원주시 신림면 구학산로 1848-58","26506","건영 가축인공수정소","2022-03-03 13:45:18","I","2023-06-13 00:00:00","","296809.194155931","412363.920570683","가축인공수정소","","0","000","0",
"29","가축인공수정소","02_04_02_P","4191000","419000000320220004","2022-03-25","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 부론면 노림리 1327","강원특별자치도 원주시 부론면 견훤로 689-41","26497","장인 인공수정소","2022-03-25 14:54:30","I","2023-06-13 00:00:00","","269078.718090689","418292.189068775","가축인공수정소","","0","000","0",
"30","가축인공수정소","02_04_02_P","4191000","419100000320240003","2024-10-30","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 소초면 교항리 486-1","강원특별자치도 원주시 소초면 텃골길 55-19","26304","부자농장 인공수정소","2024-10-30 17:22:38","I","2024-11-01 00:12:59","","290121.135279101","437157.461811567","가축인공수정소","","0","000","0",
"31","가축인공수정소","02_04_02_P","4191000","419100000320240002","2024-10-08","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 호저면 고산리 133-3","강원특별자치도 원주시 호저면 호저로 1249-24","26302","임성수가축인공수정소","2024-10-08 16:14:16","I","2024-10-10 00:12:40","","280731.514133853","441854.962768367","가축인공수정소","","0","000","0",
"32","가축인공수정소","02_04_02_P","4191000","419100000320250005","2025-10-22","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단구동 1451 단구동 한신더휴","강원특별자치도 원주시 단구로 250, 101동 202호 (단구동, 단구동 한신더휴)","26449","백운수정소","2025-10-22 11:27:41","I","2025-10-24 00:20:42","","284483.177120462","425888.353280909","가축인공수정소","","0","000","0",
"33","가축인공수정소","02_04_02_P","4191000","419100000320250006","2025-10-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 태장동 128-2 태장동보렉스아파트","강원특별자치도 원주시 치악로 2033, 803동 103호 (태장동, 태장동보렉스아파트)","26325","우리가축인공수정소","2025-10-23 15:44:04","I","2025-10-25 00:20:02","","284970.949873787","429299.27418987","가축인공수정소","","0","000","0",
"34","가축인공수정소","02_04_02_P","4191000","419100000320240001","2024-03-07","","01","영업/정상","0000","정상","","","","","","33","","강원특별자치도 원주시 부론면 노림리 1276","강원특별자치도 원주시 부론면 선유길 379-8","26497","알리스타 가축인공수정소","2024-03-07 17:32:20","I","2024-03-09 00:15:37","","268832.059118357","418523.056825344","가축인공수정소","","0","000","0",
"35","가축인공수정소","02_04_02_P","4191000","419100000320250004","2025-10-10","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 소초면 교항리 486-1","강원특별자치도 원주시 소초면 텃골길 55-19","26304","대동수정소","2025-10-10 08:58:34","I","2025-10-12 00:20:08","","290121.135279101","437157.461811567","가축인공수정소","","0","000","0",
"36","가축인공수정소","02_04_02_P","4191000","419100000320250002","2025-09-25","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 문막읍 반계리 1200-1 A동","강원특별자치도 원주시 문막읍 원문로 2198, A동","26361","김진수 가축인공수정소","2025-09-25 09:09:02","I","2025-09-27 00:20:02","","270253.063215709","421908.465459645","가축인공수정소","","0","000","0",
"37","가축인공수정소","02_04_02_P","4191000","419100000320250003","2025-10-02","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 문막읍 건등리 1545","강원특별자치도 원주시 문막읍 석지1길 99-5","26369","종일수정소","2025-10-02 09:23:11","I","2025-10-05 00:20:16","","271880.494851535","424102.361725325","가축인공수정소","","0","000","0",
