"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","종축업","02_04_06_P","4181000","418000000220110001","2011-02-01","","01","영업/정상","0000","정상","","","","","","0","24466","강원특별자치도 춘천시 남산면 광판리 *** , ***-*, ***","강원특별자치도 춘천시 남산면 김유정로 ***-***","24466","봄내양계","2023-10-11 13:34:43","U","2023-10-13 02:40:00","종계업","262026.578594359","469096.075349932","종축업","종계업","359","000","0",
"2","종축업","02_04_06_P","4181000","418000000220220001","2022-07-20","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 동산면 봉명리 *** 외 **필지","","","봉원농장","2022-11-28 15:30:18","I","2023-06-13 00:00:00","종오리업","270846.604892278","474995.348785375","종축업","종오리업","1004","000","0",
"3","종축업","02_04_06_P","4181000","418000000220110002","2011-11-04","","02","휴업","0001","휴업","","2024-05-22","2027-05-21","","","","200-913","강원특별자치도 춘천시 남산면 광판리 ***-*","강원특별자치도 춘천시 남산면 동촌로 **-*","24466","화산농장","2024-05-23 16:39:49","U","2024-05-25 02:40:00","종계업","260920.928117767","471478.830340464","종축업","종계업","369","000","0",
"4","종축업","02_04_06_P","4181000","418000000220070001","2007-12-05","","03","폐업","0002","폐업","2008-08-11","","","","","0","200-913","강원특별자치도 춘천시 남산면 광판리 ***-*","","","광판농장","2008-08-11 15:03:54","I","2023-06-13 00:00:00","종계업","260920.928117767","471478.830340464","종축업","종계업","290","000","0",
"5","종축업","02_04_06_P","4181000","418000000220030001","1994-11-24","","03","폐업","0002","폐업","2004-08-02","","","","","12016","200-939","강원특별자치도 춘천시 우두동 ***-**","","","정진농장","2004-08-02 10:22:02","I","2023-06-13 00:00:00","종돈업","265318.2386455","488881.167227367","종축업","종돈업","4","000","0",
"6","종축업","02_04_06_P","4181000","418000000220030002","2003-01-02","","03","폐업","0002","폐업","2007-11-19","","","","033-262-8541","6526","200-842","강원특별자치도 춘천시 동산면 조양리 ****","","","금보육종춘천지회영농조합법인","2007-11-19 14:53:34","I","2023-06-13 00:00:00","종돈업","267564.315214823","471141.660706988","종축업","종돈업","5","000","0",
"7","종축업","02_04_06_P","4191000","419000000220040001","2004-09-21","","01","영업/정상","0000","정상","","","","","1544-9266","0","220-821","강원특별자치도 원주시 지정면 월송리 ***","강원특별자치도 원주시 지정면 자작길 **","26358","농업회사법인(유)금보육종","2015-07-09 18:05:44","I","2023-06-13 00:00:00","종돈업","275698.945985638","430038.936176363","종축업","종돈업","35","","0",
"8","종축업","02_04_06_P","4191000","419000000220070002","2015-07-09","","01","영업/정상","0000","정상","","","","","070-7733-9310","0","220-821","강원특별자치도 원주시 호저면 무장리 ***-*","강원특별자치도 원주시 호저면 생담길 ***","26301","농업회사법인(주)금보디디에프","2024-01-23 10:17:14","U","2024-01-25 02:40:00","종돈업","280007.522504603","433607.688077686","종축업","종돈업","494","L00","0",
"9","종축업","02_04_06_P","4191000","419000000220210001","2021-04-27","","03","폐업","0002","폐업","2025-03-11","","","","","","26499","강원특별자치도 원주시 부론면 정산리 ***","강원특별자치도 원주시 부론면 학고개길 **","26499","동인팜영농조합법인","2025-03-11 14:19:00","U","2025-03-13 02:40:00","종돈업","269579.186781573","410533.935025134","종축업","종돈업","1255","L00","0",
"10","종축업","02_04_06_P","4191000","419000000220150001","2015-07-23","","03","폐업","0002","폐업","2024-11-20","","","","","","26358","강원특별자치도 원주시 지정면 월송리 ***","강원특별자치도 원주시 지정면 자작길 **","26358","농업회사법인(주)금돈","2024-11-20 09:49:34","U","2024-11-22 02:40:00","종돈업","275698.945985638","430038.936176363","종축업","종돈업","1075","L00","0",
"11","종축업","02_04_06_P","4191000","419000000220030001","2003-04-23","","03","폐업","0002","폐업","2003-04-25","","","","","832","","강원특별자치도 원주시 문막읍 후용리 ***-**","","","승재농장","2003-04-28 15:10:56","I","2023-06-13 00:00:00","종돈업","270613.525","420038.241","종축업","종돈업","0","000","0",
"12","종축업","02_04_06_P","4191000","419000000220030002","2003-04-23","","03","폐업","0002","폐업","2003-04-25","","","","","0","","강원특별자치도 원주시 문막읍 후용리 ***-**","","","승재농장","2003-04-28 15:06:48","I","2023-06-13 00:00:00","종돈업","","","종축업","종돈업","0","000","0",
"13","종축업","02_04_06_P","4191000","419000000220070001","2007-02-22","","03","폐업","0002","폐업","2019-03-22","","","","732-7975","0","220-813","강원특별자치도 원주시 부론면 손곡리 ***-*","강원특별자치도 원주시 부론면 손곡새말길 **-**","26498","북원피그몰","2019-03-22 15:27:14","I","2023-06-13 00:00:00","종돈업","271776.400274069","414583.30425379","종축업","종돈업","408","000","0",
"14","종축업","02_04_06_P","4201000","420000000220020001","2002-10-19","","01","영업/정상","0000","정상","","","","","","469.2","210-801","강원특별자치도 강릉시 주문진읍 교항리 ***-*","강원특별자치도 강릉시 주문진읍 공시내길 **","25421","교항양돈영농조합법인","2023-11-06 17:42:31","U","2023-11-08 02:40:00","종돈업","359419.51268504","486785.784452007","종축업","종돈업","1","L00","0",
"15","종축업","02_04_06_P","4201000","420000000220070001","2007-07-16","","01","영업/정상","0000","정상","","","","","","0","210-822","강원특별자치도 강릉시 강동면 산성우리 ***","강원특별자치도 강릉시 강동면 율곡로 ***-**","25630","영동양돈영농조합법인","2020-10-28 13:19:53","I","2023-06-13 00:00:00","종돈업","377586.68634654","463895.274077059","종축업","종돈업","194","L00","0",
"16","종축업","02_04_06_P","4201000","420000000220060001","2006-01-16","","03","폐업","0002","폐업","2006-09-14","","","","648-5050","0","210-824","강원특별자치도 강릉시 강동면 임곡리 **","","","주남영농조합법인","2006-09-14 13:50:12","I","2023-06-13 00:00:00","종돈업","374294.580030024","467683.455140861","종축업","종돈업","177","L00","0",
"17","종축업","02_04_06_P","4251000","425000000220020001","2002-02-22","","03","폐업","0002","폐업","2008-03-24","","","","433-0202","20000","250-863","강원특별자치도 홍천군 내촌면 와야리 ***","강원특별자치도 홍천군 내촌면 수작골길 ***","25162","입문축산","2011-10-30 13:35:03","I","2023-06-13 00:00:00","종돈업","301393.578426215","478193.32815484","종축업","종돈업","2","000","0",
"18","종축업","02_04_06_P","4251000","425000000220070001","2007-03-13","","03","폐업","0002","폐업","2016-11-11","","","","","0","250-811","강원특별자치도 홍천군 화촌면 구성포리 ****","강원특별자치도 홍천군 화촌면 도심리길 ***","25156","산우리 종돈장","2016-11-23 10:34:43","I","2023-06-13 00:00:00","종돈업","277511.451258931","478061.870980108","종축업","종돈업","351","000","0",
"19","종축업","02_04_06_P","4251000","425000000220000002","2000-01-27","","03","폐업","0002","폐업","2015-04-23","","","","261-3648","11848","250-882","강원특별자치도 홍천군 북방면 전치곡리 **","강원특별자치도 홍천군 북방면 밭치리길***번길 *","25111","홍천종계장","2015-04-27 14:11:56","I","2023-06-13 00:00:00","종계업","267842.247618175","470741.816448816","종축업","종계업","1","000","0",
"20","종축업","02_04_06_P","4261000","426000000220040001","2004-04-26","","01","영업/정상","0000","정상","","","","","342-4747","0","225-823","강원특별자치도 횡성군 안흥면 소사리 ***","강원특별자치도 횡성군 안흥면 덧재로***번길 **","","신청봉영농조합법인","2004-04-26 16:15:06","I","2023-06-13 00:00:00","종돈업","302732.328261197","439796.930474114","종축업","종돈업","1","L00","0",
"21","종축업","02_04_06_P","4261000","426000000220070001","2007-10-02","","01","영업/정상","0000","정상","","","","","342-1597","0","225-802","강원특별자치도 횡성군 횡성읍 반곡리 ***-*","강원특별자치도 횡성군 횡성읍 광학로 ***-**","","대성축산","2019-08-20 16:12:20","I","2023-06-13 00:00:00","종계업","284017.558118973","441111.714729626","종축업","종계업","784","000","0",
"22","종축업","02_04_06_P","4261000","426000000220210001","2021-05-17","","01","영업/정상","0000","정상","","","","","","","25272","강원특별자치도 횡성군 강림면 강림리 ****-*","강원특별자치도 횡성군 강림면 주천강로 ****","25272","농업회사법인 팜스텍(주) 횡성농장","2023-12-12 09:45:15","U","2023-12-14 02:40:00","종돈업","300222.256058039","430933.328737777","종축업","종돈업","2331","L00","0",
"23","종축업","02_04_06_P","4261000","426000000220040002","2004-05-31","","03","폐업","0002","폐업","2010-01-13","","","","342-2901","0","225-872","강원특별자치도 횡성군 공근면 창봉리 ***-*","강원특별자치도 횡성군 공근면 창봉*길 **","","정진영농조합법인","2010-01-14 16:28:29","I","2023-06-13 00:00:00","종돈업","282383.759805293","452725.046462031","종축업","종돈업","14","L00","0",
"24","종축업","02_04_06_P","4261000","426000000220050001","2005-12-14","","03","폐업","0002","폐업","2011-11-01","","","","","0","225-874","강원특별자치도 횡성군 공근면 신촌리 ***-**","강원특별자치도 횡성군 공근면 경강로신촌*길 **-**","","유일농장","2011-12-08 15:47:39","I","2023-06-13 00:00:00","종오리업","284413.775895792","446393.627719084","종축업","종오리업","441","000","0",
"25","종축업","02_04_06_P","4261000","426000000220070002","2007-12-27","","03","폐업","0002","폐업","2013-05-31","","","","","0","225-822","강원특별자치도 횡성군 안흥면 지구리 ***-*","강원특별자치도 횡성군 안흥면 상터로 ***","","대성축산","2013-06-03 17:34:52","I","2023-06-13 00:00:00","종계업","305667.338525891","437888.748643747","종축업","종계업","850","000","0",
"26","종축업","02_04_06_P","4261000","426000000220110001","2011-08-16","","03","폐업","0002","폐업","2013-12-02","","","","","","446-905","강원특별자치도 횡성군 공근면 신촌리","강원특별자치도 횡성군 공근면 경강로신촌*길 **-**","25209","에버그린 횡성농장","2013-12-18 15:53:34","I","2023-06-13 00:00:00","종오리업","284416.089380693","446338.28466834","종축업","종오리업","1465","000","0",
"27","종축업","02_04_06_P","4261000","426000000220170001","2017-05-16","","03","폐업","0002","폐업","2018-04-19","","","","340-6933","","25266","","강원특별자치도 횡성군 둔내면 현궁로 ***","25266","강원도 축산기술연구소","2018-04-19 11:40:58","I","2023-06-13 00:00:00","종계업","303025.239386832","444188.933915344","종축업","종계업","2161","L00","0",
"28","종축업","02_04_06_P","4261000","426000000220170002","2017-05-22","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","","25238","","강원특별자치도 횡성군 횡성읍 광학로 ***-**","25238","대성축산","2017-05-22 11:52:25","I","2023-06-13 00:00:00","종계업","284017.558118973","441111.714729626","종축업","종계업","2162","000","0",
"29","종축업","02_04_06_P","4271000","427000000220040001","2004-09-06","","03","폐업","0002","폐업","2013-05-24","","","","033-378-6110","0","233-829","강원특별자치도 영월군 산솔면 화원리 ***-*","","","영월농장","2013-05-24 13:31:12","I","2023-06-13 00:00:00","종계업","345838.543520168","405955.174918187","종축업","종계업","9","000","0",
"30","종축업","02_04_06_P","4281000","428000000220180001","2018-10-25","","01","영업/정상","0000","정상","","","","","","","25335","강원특별자치도 평창군 진부면 상월오개리 산 ***","강원특별자치도 평창군 진부면 상월거문로 ***-***","25335","이시돌영농조합법인","2023-07-13 16:45:26","U","2023-07-15 02:40:00","종돈업","","","종축업","종돈업","474","L00","0",
"31","종축업","02_04_06_P","4281000","428000000220180002","2018-10-29","","01","영업/정상","0000","정상","","","","","","","25330","강원특별자치도 평창군 진부면 송정리 ****","강원특별자치도 평창군 진부면 윗쌀면길 **-**","25330","송정농장(종축업)","2018-10-29 10:43:44","I","2023-06-13 00:00:00","종돈업","337848.71232995","458817.390753492","종축업","종돈업","475","000","0",
"32","종축업","02_04_06_P","4281000","428000000220190001","2019-07-23","","01","영업/정상","0000","정상","","","","","033-336-0641","","25335","강원특별자치도 평창군 진부면 상월오개리 ***-**","강원특별자치도 평창군 진부면 상월거문로 ***-***","25335","농업회사법인(주)상월","2021-11-10 13:17:27","I","2023-06-13 00:00:00","종돈업","333519.279318913","459401.412195415","종축업","종돈업","498","L00","0",
"33","종축업","02_04_06_P","4281000","428000000220200002","2020-08-19","","01","영업/정상","0000","정상","","","","","","","25314","강원특별자치도 평창군 용평면 이목정리 ** 외 *필지 (**, **-*, ***-*)","강원특별자치도 평창군 용평면 경강로 ****-**","25314","이화영농조합법인","2023-02-17 14:36:26","I","2023-06-13 00:00:00","종돈업","330144.214225766","457785.024481446","종축업","종돈업","515","L00","0",
"34","종축업","02_04_06_P","4281000","428000000220040001","2004-04-22","","03","폐업","0002","폐업","2005-06-23","","","","","0","232-942","강원특별자치도 평창군 진부면 상월오개리","","","대관령FINE","2005-06-23 17:32:53","I","2023-06-13 00:00:00","종돈업","","","종축업","종돈업","1","000","0",
