"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","복합유통게임제공업","03_05_04_P","4181000","CDFF2241032010000001","2010-06-17","","03","폐업","03","폐업","2024-11-21","","","","","","","강원특별자치도 춘천시 조양동 51-1 (3,4층)","강원특별자치도 춘천시 명동길 9 (조양동)","24353","수피아 복합게임방","2024-11-22 08:55:38","U","2024-11-24 02:40:00","","263941.411251686","486567.565500837","복합유통게임제공업","유통관련업","5","","","341.45","3","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","일반상업지역",
"2","복합유통게임제공업","03_05_04_P","4181000","CDFF2241032010000002","2010-06-29","","03","폐업","03","폐업","2018-10-01","","","","033)251-6733","","","강원특별자치도 춘천시 조양동 50-16 (2,3층)","강원특별자치도 춘천시 명동길 5-2 (조양동)","24353","스마일 멀티방","2018-10-01 14:14:37","I","2023-06-13 00:00:00","","263966.552589554","486589.290858859","복합유통게임제공업","유통관련업","4","","노래연습장, 영화감상실","257.11","2","0","사무실","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","상업지역",
"3","복합유통게임제공업","03_05_04_P","4181000","CDFF2241032013000001","2013-05-22","","03","폐업","03","폐업","2013-07-08","","","","","","","강원특별자치도 춘천시 퇴계동 1171-1","강원특별자치도 춘천시 퇴계로 66 (퇴계동)","200-170","현대 멀티방","2013-07-08 11:52:01","I","2023-06-13 00:00:00","","263992.451648672","484786.599193798","복합유통게임제공업","유통관련업","0","기타","","162","1","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","주거지역",
"4","복합유통게임제공업","03_05_04_P","4181000","CDFF2241032013000002","2013-06-04","","03","폐업","03","폐업","2013-09-05","","","","","","","강원특별자치도 춘천시 운교동 178","강원특별자치도 춘천시 금강로121번길 6 (운교동)","200-080","VIP멀티방","2013-09-05 15:19:43","I","2023-06-13 00:00:00","","264441.578539588","486158.168158683","복합유통게임제공업","유통관련업","0","기타","","85.71","1","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","pc,아케이드게임","전체이용가","","","","상업지역",
"5","복합유통게임제공업","03_05_04_P","4181000","CDFF2241032018000001","2018-02-14","","03","폐업","03","폐업","2023-10-01","","","","","","","강원특별자치도 춘천시 중앙로2가 14-3","강원특별자치도 춘천시 명동길 6-1 (중앙로2가)","24353","G-Zone(명동 오락실)","2024-12-05 18:03:49","U","2024-12-07 02:40:00","","263944.655786543","486602.170301545","복합유통게임제공업","유통관련업","4","기타","노래연습장,게임제공업","401.94","3","0","근린생활시설","0","0","0","0","","","","","","","","","","","","0","야구,양궁,사격","전체이용가","","","","일반상업지역",
"6","복합유통게임제공업","03_05_04_P","4181000","CDFF2241032020000001","2020-09-25","","03","폐업","03","폐업","2021-07-09","","","","033)260-2795","","","강원특별자치도 춘천시 남산면 백양리 29-1 엘리시안 강촌(1층)","강원특별자치도 춘천시 남산면 북한강변길 688, 엘리시안 강촌 1층","24464","Game Zone(게임존)","2021-07-12 16:08:14","I","2023-06-13 00:00:00","","251021.728216938","480612.913126754","복합유통게임제공업","유통관련업","15","","","153.72","1","0","기타","0","0","0","0","","","","","","","","","","","","0","","전체이용가","","","","",
"7","복합유통게임제공업","03_05_04_P","4181000","CDFF2241031985000001","1985-12-20","","03","폐업","03","폐업","2003-04-03","","","","033)252-1573","","200-030","강원특별자치도 춘천시 요선동 14-8","강원특별자치도 춘천시 서부대성로44번길 21  (요선동)","","새중앙 게임장","2003-04-10 09:54:57","I","2023-06-13 00:00:00","","263910.093209468","486783.743052348","복합유통게임제공업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","복합유통게임제공업","03_05_04_P","4181000","CDFF2241031988000001","1988-02-19","","03","폐업","03","폐업","2003-01-09","","","","033)257-3534","","200-962","강원특별자치도 춘천시 후평동 818-9","강원특별자치도 춘천시 복골길 52  (후평동)","","미도컴퓨터 게임장","2003-04-10 09:59:08","I","2023-06-13 00:00:00","","266395.370275897","486057.150340448","복합유통게임제공업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","복합유통게임제공업","03_05_04_P","4181000","CDFF2241031989000001","1989-03-10","","03","폐업","03","폐업","2002-10-04","","","","033)242-8832","","200-962","강원특별자치도 춘천시 후평동 822-3","강원특별자치도 춘천시 후만로 92  (후평동)","","타임머신 컴퓨터게임장","2003-04-10 10:11:20","I","2023-06-13 00:00:00","","266327.196475967","486225.945284185","복합유통게임제공업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","복합유통게임제공업","03_05_04_P","4181000","CDFF2241031989000002","1989-11-06","","03","폐업","03","폐업","2002-11-08","","","","033)253-6493","","200-957","강원특별자치도 춘천시 후평동 677-9","강원특별자치도 춘천시 춘천로 259-1  (후평동)","","점보 게임장","2003-04-10 10:13:34","I","2023-06-13 00:00:00","","265229.569184325","486606.869728906","복합유통게임제공업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
