"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"1","박물관, 미술관","03_07_05_P","6530000","B04012023000001","2023-07-13","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 부론면 법천리 594번지 0호 원주법천사지유적전시관","강원특별자치도 원주시 부론면 법천사지길 50-15","","원주 법천사지 유적전시관","2023-07-13 10:58:15","U","2024-10-11 02:40:00","","267702.516002422","411867.431090332","박물관","","20221228","공립","1종","전문박물관","","","0","","","","","",
"2","박물관, 미술관","03_07_05_P","6530000","B04012018000005","2000-07-03","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 평창군 진부면 동산리 17번지 5호 2 2동","강원특별자치도 평창군 진부면 오대산로 176-0","","월정사성보박물관","2019-08-27 10:06:11","U","2024-10-11 02:40:00","","341237.906250914","469660.318070337","박물관","","19991013","사립","1종","전문박물관","","","0","","","","","",
"3","박물관, 미술관","03_07_05_P","6530000","B04012019000019","2019-10-14","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 춘천시 신동면 증리 616번지 0호","강원특별자치도 춘천시 신동면 풍류1길 156-0","","책과인쇄박물관","2019-10-10 17:33:54","U","2024-10-11 02:40:00","","263744.021633511","479896.493762067","박물관","","20150714","사립","1종","전문박물관","","","0","","","","","",
"4","박물관, 미술관","03_07_05_P","6530000","B04012022000002","2022-12-08","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 동해시 발한동 240번지 20호  1동","강원특별자치도 동해시 발한로 183-6, 1동 (발한동,연필뮤지엄)","","연필뮤지엄","2023-01-11 11:26:15","U","2024-10-11 02:40:00","","386084.949997006","451557.27538792","박물관","","20221208","사립","2종","전시관","","","0","","","","","",
"5","박물관, 미술관","03_07_05_P","6530000","B04022010000005","2007-07-09","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 강릉시 강동면 정동진리 산 33번지 1호","강원특별자치도 강릉시 강동면 율곡로 1441","","하슬라미술관","2019-07-05 20:47:28","U","2024-10-11 02:40:00","","377177.641251611","469018.308895371","미술관","","20031020","사립","1종","미술관","","","0","0","","","","",
"6","박물관, 미술관","03_07_05_P","6530000","B04022011000001","1997-10-02","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 속초시 교동 668번지 57호","강원특별자치도 속초시 엑스포로 156 (교동)","","석봉도자기미술관","2019-03-14 13:41:12","U","2024-10-11 02:40:00","","338557.733325203","522858.110020054","미술관","","19971002","사립","1종","미술관","","","0","0","","","","",
"7","박물관, 미술관","03_07_05_P","6530000","B04022012000001","2011-12-27","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 인제군 북면 용대리 1663번지","강원특별자치도 인제군 북면 황태길 245","","내설악백공미술관","2025-09-04 13:50:39","U","2025-09-06 02:40:00","","319184.935550371","524248.072811115","미술관","","20110806","사립","1종","미술관","","","0","","","","","",
"8","박물관, 미술관","03_07_05_P","6530000","B04022012000002","2012-06-29","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 원주시 지정면 월송리 999번지 13호","강원특별자치도 원주시 지정면 오크밸리2길 260","","뮤지엄 산(청조갤러리)","2021-04-21 11:42:14","U","2024-10-11 02:40:00","","272801.836916309","435435.376667351","미술관","","20120512","사립","1종","미술관","","","0","","","","","",
"9","박물관, 미술관","03_07_05_P","6530000","B04022012000003","2003-02-28","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 양구군 양구읍 정림리 131번지 1호","강원특별자치도 양구군 양구읍 박수근로 265-15","","양구군립박수근미술관","2019-07-31 11:29:54","U","2024-10-11 02:40:00","","286030.106405231","510850.008279632","미술관","","20021025","공립","1종","미술관","","","0","","","","","",
"10","박물관, 미술관","03_07_05_P","6530000","B04022013000001","2012-12-31","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 영월군 영월읍 삼옥리 590번지 2호","강원특별자치도 영월군 영월읍 삼옥길 31","","국제현대미술관","2023-08-16 11:43:17","U","2024-10-11 02:40:00","","333662.858647227","412854.549031809","미술관","","20001102","사립","1종","미술관","","","0","","","","","",
"11","박물관, 미술관","03_07_05_P","6530000","B04022013000003","2013-09-23","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 인제군 북면 한계리 1191번지 12호","강원특별자치도 인제군 북면 예술인촌길 66-12","","인제 내설악미술관","2020-02-24 16:30:01","U","2024-10-11 02:40:00","","309800.068424304","516587.767011435","미술관","","20121006","공립","1종","미술관","","","0","","","","","",
