"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","시내순환관광업","03_07_06_P","4181000","CDFI3261052010000001","2010-12-09","","03","폐업","03","폐업","2018-12-31","","","","033-257-5533","","200-070","강원특별자치도 춘천시 조양동 15-2","강원특별자치도 춘천시 아침길 10  (조양동)","","(자)한일여행사","2019-01-24 18:02:54","I","2023-06-13 00:00:00","","264173.833925259","486480.851915096","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","350000000","","","","0",
"2","시내순환관광업","03_07_06_P","4181000","CDFI3261052014000001","2014-09-30","","01","영업/정상","13","영업중","","","","","033-253-4567","","200-966","강원특별자치도 춘천시 퇴계동 1135","강원특별자치도 춘천시 춘천로44번길 4 (퇴계동)","24367","매일관광(주)","2014-09-30 09:33:20","I","2023-06-13 00:00:00","","263596.962817693","485332.145494401","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","시내순환관광업","03_07_06_P","4191000","CDFI3261052017000001","2017-08-03","","01","영업/정상","13","영업중","","","","","033-763-1005","","","강원특별자치도 원주시 개운동 434-4","강원특별자치도 원주시 남원로 564 (개운동)","26448","천호관광합자회사","2017-08-03 12:43:48","I","2023-06-13 00:00:00","","283958.907452086","426224.681317642","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","341000000","","","","0",
"4","시내순환관광업","03_07_06_P","4191000","CDFI3261052024000001","2024-02-27","","01","영업/정상","13","영업중","","","","","033-763-1005","","","강원특별자치도 원주시 문막읍 동화리 87","강원특별자치도 원주시 문막읍 보통로 119","26364","주식회사 천호투어","2024-02-27 17:44:15","I","2024-02-29 00:15:52","","275526.080519584","426419.625739645","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","300000000","","","","0",
"5","시내순환관광업","03_07_06_P","4211000","CDFI3261052009000001","2009-10-15","","02","휴업","02","휴업","","2011-12-26","2012-12-26","","","","240-041","강원특별자치도 동해시 발한동 208-1","강원특별자치도 동해시 해안로 520 (발한동)","240-041","(주)미래관광","2017-01-03 18:22:18","I","2023-06-13 00:00:00","","386204.630562403","451445.282635359","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","시내순환관광업","03_07_06_P","4221000","CDFI3261052014000002","2014-06-12","","03","폐업","03","폐업","2017-07-28","","","","033-552-9488","","235-800","강원특별자치도 태백시 황지동 91-8","강원특별자치도 태백시 황지로 4 (황지동)","26021","(주)뉴대성관광","2017-08-02 10:31:48","I","2023-06-13 00:00:00","","376659.986599994","408252.77058494","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0",
"7","시내순환관광업","03_07_06_P","4221000","CDFI3261052019000001","2019-01-31","","01","영업/정상","13","영업중","","","","","033-552-9488","","","강원특별자치도 태백시 황지동 118-13","강원특별자치도 태백시 태백로 1232 (황지동)","26039","(합)태백산고속관광","2020-03-11 13:11:19","I","2023-06-13 00:00:00","","376872.182549991","407059.130910477","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","240000000","","","","0",
"8","시내순환관광업","03_07_06_P","4221000","CDFI3261052012000001","2012-07-19","","01","영업/정상","13","영업중","","","","","0335537799","","235-801","강원특별자치도 태백시 황지동 270-1 영암운수","강원특별자치도 태백시 광장로 6 (황지동, 영암운수)","26007","영암고속(주)","2012-07-19 15:23:00","I","2023-06-13 00:00:00","","376268.905091342","410150.688450577","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","935000000","","","","0",
"9","시내순환관광업","03_07_06_P","4221000","CDFI3261052014000001","2014-06-12","","01","영업/정상","13","영업중","","","","","033-552-9560","","235-800","강원특별자치도 태백시 황지동 29-47","강원특별자치도 태백시 번영로 366 (황지동)","26013","(명)스카이여행사","2014-06-12 15:56:57","I","2023-06-13 00:00:00","","376971.280330681","409589.228400198","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","600000000","","","","0",
"10","시내순환관광업","03_07_06_P","4221000","CDFI3261052014000003","2014-06-12","2017-11-29","04","취소/말소/만료/정지/중지","31","등록취소","","","","","033-582-9651","","235-120","강원특별자치도 태백시 문곡동 34-18","강원특별자치도 태백시 문곡길 4 (문곡동)","26044","(합자)월드하나","2017-11-29 16:42:59","I","2023-06-13 00:00:00","","377972.644012669","404350.019256985","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0",
"11","시내순환관광업","03_07_06_P","4231000","CDFI3261052009000001","2009-05-26","","03","폐업","03","폐업","","","","","033-639-2593","","217-070","강원특별자치도 속초시 노학동 973","","","속초시시설관리공단","2021-04-02 10:59:13","I","2023-06-13 00:00:00","","","","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"12","시내순환관광업","03_07_06_P","4241000","CDFI3261052017000001","2017-02-14","","01","영업/정상","13","영업중","","","","","033-575-3575","","","강원특별자치도 삼척시 사직동 259-4","강원특별자치도 삼척시 중앙로 100, 1층 (사직동)","25930","(주)굿프랜드","2020-07-07 09:22:07","I","2023-06-13 00:00:00","","391982.452356757","439106.941821431","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"13","시내순환관광업","03_07_06_P","4241000","CDFI3261052013000001","2013-09-25","","01","영업/정상","13","영업중","","","","","033-541-4300","","245-010","강원특별자치도 삼척시 남양동 55-72","강원특별자치도 삼척시 중앙로 207 (남양동)","25920","(합)뉴삼일관광","2013-09-25 17:52:56","I","2023-06-13 00:00:00","","391751.458630868","439943.291364372","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","","","","0",
"14","시내순환관광업","03_07_06_P","4241000","CDFI3261052013000002","2013-09-25","","01","영업/정상","13","영업중","","","","","033-573-5077","","245-120","강원특별자치도 삼척시 마달동 24-1","강원특별자치도 삼척시 마달길 67 (마달동)","25908","(자)이사부관광","2019-06-27 19:05:37","I","2023-06-13 00:00:00","","390802.35472216","441566.886695616","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","","","","0",
"15","시내순환관광업","03_07_06_P","4241000","CDFI3261052013000003","2013-09-25","","01","영업/정상","13","영업중","","","","","033-573-0440","","245-010","강원특별자치도 삼척시 남양동 16-4","강원특별자치도 삼척시 척주로 27 (남양동)","25921","(자)봉황관광","2013-09-25 17:57:10","I","2023-06-13 00:00:00","","391707.973631326","440218.435324894","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","","","","0",
"16","시내순환관광업","03_07_06_P","4281000","CDFI3261052020000001","2020-08-31","","01","영업/정상","13","영업중","","","","","033-334-9600","","","강원특별자치도 평창군 평창읍 하리 157-4","강원특별자치도 평창군 평창읍 평창중앙로 50","25376","(합자)강원관광","2020-08-31 11:40:02","I","2023-06-13 00:00:00","","323563.046913582","430479.878088015","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0",
"17","시내순환관광업","03_07_06_P","4291000","CDFI3261052012000001","2012-04-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 정선군 사북읍 직전리 552","강원특별자치도 정선군 사북읍 배래치길 15","26149","(합)산아리관광","2020-03-19 09:58:51","I","2023-06-13 00:00:00","","360773.234476758","417172.207944236","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"18","시내순환관광업","03_07_06_P","4291000","CDFI3261052013000001","2013-02-21","","01","영업/정상","13","영업중","","","","","033-563-0561","","233-807","강원특별자치도 정선군 정선읍 북실리 742-1","강원특별자치도 정선군 정선읍 정선로 1231","26132","(합)보람관광","2013-02-21 16:12:15","I","2023-06-13 00:00:00","","346227.289101665","432131.883229397","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0",
"19","시내순환관광업","03_07_06_P","4301000","CDFI3261052014000001","2014-07-02","","03","폐업","03","폐업","2014-07-30","","","","","","269-811","강원특별자치도 철원군 동송읍 장흥리 23-73","강원특별자치도 철원군 동송읍 태봉로 1825","269-811","(주)한양관광여행사 철원지점","2014-09-03 08:52:39","I","2023-06-13 00:00:00","","225166.241871275","520474.837361192","관광순환버스업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0",
