"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002024000006","2024-09-06","","03","폐업","03","폐업","2025-06-24","","","","","","","강원특별자치도 춘천시 온의동 587-3","강원특별자치도 춘천시 춘천로17번길 31, 2층 212호 (온의동)","24364","우아키즈룸","2025-06-24 16:27:50","U","2025-06-26 02:40:00","","263160.872805759","485210.738426853","신고테마파크업","","","0","","","","","2","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"2","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002024000005","2024-08-22","","03","폐업","03","폐업","2025-06-04","","","","","","","강원특별자치도 춘천시 남산면 백양리 174","강원특별자치도 춘천시 남산면 서백길 691-83","24464","문배골캠핑장","2025-06-04 16:28:14","U","2025-06-06 02:40:00","","251843.412190201","477510.116548052","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","2","","","","","","","0","","","","0",
"3","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002019000002","2019-07-24","","03","폐업","03","폐업","2025-04-17","","","","033-252-5253","","","강원특별자치도 춘천시 온의동 6-25 롯데마트","강원특별자치도 춘천시 방송길 84, 롯데마트 2층 (온의동)","24364","디지털노리파크 온의점","2025-04-18 08:44:53","U","2025-04-20 02:40:00","","263109.175778889","485355.40305733","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","트램폴린 1대","1","","","","","","","0","","","","0",
"4","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002023000002","2023-05-26","","03","폐업","03","폐업","2023-10-30","","","","","","","강원특별자치도 춘천시 남산면 백양리 29-1 엘리시안 강촌","강원특별자치도 춘천시 남산면 북한강변길 688, 엘리시안 강촌","24464","(주)제이제이레포츠","2023-11-07 14:44:22","U","2023-11-09 02:40:00","","251021.728216938","480612.913126754","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"5","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002015000001","2015-07-06","","03","폐업","03","폐업","2020-10-30","","","","033-263-3308","","200-972","강원특별자치도 춘천시 석사동 888-3 화인프라자 502, 503호","강원특별자치도 춘천시 퇴계농공로 19 (석사동, 화인프라자 502, 503호)","24415","롤리폴리","2020-11-06 11:16:52","I","2023-06-13 00:00:00","","265491.672679322","483465.568460441","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"6","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002015000002","2015-08-18","","03","폐업","03","폐업","2020-04-10","","","","033-252-0971","","","강원특별자치도 춘천시 온의동 511","강원특별자치도 춘천시 경춘로 2353 (온의동, 이마트)","24435","플레이타임","2020-03-31 14:26:25","I","2023-06-13 00:00:00","","263141.943193102","484821.289677657","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","4","","","","","","","0","","","","0",
"7","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002016000001","2016-07-21","","03","폐업","03","폐업","2018-06-14","","","","033-254-9911","","","강원특별자치도 춘천시 동면 장학리 1007-2","강원특별자치도 춘천시 동면 춘천로 451, 4층","24209","점프노리 춘천장학점","2018-06-14 15:06:03","I","2023-06-13 00:00:00","","266323.786721997","488052.217169646","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"8","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002016000002","2016-09-02","","03","폐업","03","폐업","2025-03-10","","","","033-252-0661","","","강원특별자치도 춘천시 온의동 58-7","강원특별자치도 춘천시 영서로 2341, 7층 701호 (온의동)","24433","타요키즈카페 춘천온의점","2025-03-10 10:01:01","U","2025-03-12 02:40:00","","262888.576455637","485326.813219134","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"9","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000002","2017-05-31","","03","폐업","03","폐업","2020-11-16","","","","033-256-5466","","","강원특별자치도 춘천시 사농동 75-11","강원특별자치도 춘천시 영서로 2847-6, 2층 (사농동)","24235","점프스토리","2020-11-16 15:11:35","I","2023-06-13 00:00:00","","263589.68277014","489552.0959355","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","테마파크업(기타)","03_07_08_P","4181000","CDFI5272002017000004","2017-06-19","","03","폐업","03","폐업","2021-11-03","","","","","","","강원특별자치도 춘천시 후평동 25","강원특별자치도 춘천시 후석로 247 (후평동)","24284","점핑팡팡","2021-11-04 11:39:21","I","2023-06-13 00:00:00","","266120.470828552","485927.629589119","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
