"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","전문휴양업","03_07_10_P","4181000","CDFI2262102012000001","2012-05-31","","01","영업/정상","13","영업중","","","","","033)263-9550","","200-914","강원특별자치도 춘천시 남산면 서천리 산 111","강원특별자치도 춘천시 남산면 햇골길 80","24464","제이드가든","2022-05-19 17:57:15","I","2023-06-13 00:00:00","","247535.210069792","480783.400995624","전문휴양업","","","2","","","","","2","0","0","1186","Jade Garden","Special Recreation Service","0","0","","0","0","","0","1186.1","","0","","","","","","","0","","","","1186",
"2","전문휴양업","03_07_10_P","4181000","CDFI2262102023000001","2023-02-10","","01","영업/정상","13","영업중","","","","","033-243-9261","","","강원특별자치도 춘천시 사북면 고성리 산 102-13","강원특별자치도 춘천시 사북면 사여골길 294","24201","국립용화산자연휴양림","2025-10-01 18:10:30","U","2025-10-03 02:40:00","","266745.7954921","501275.703060639","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","전문휴양업","03_07_10_P","4191000","CDFI2262102022000001","2022-12-21","","01","영업/정상","13","영업중","","","","","033-766-1063","","","강원특별자치도 원주시 판부면 서곡리 산 167-9","강원특별자치도 원주시 판부면 백운산길 81","26402","국립 백운산 자연휴양림","2025-10-23 14:27:15","U","2025-10-25 02:40:00","","283590.472231401","419786.483256799","전문휴양업","","","0","","","","기타","0","0","0","0","","","0","0","","0","0","","0","12079.97","","0","","","","","","","0","","","","12080",
"4","전문휴양업","03_07_10_P","4201000","CDFI2262102015000001","2015-06-26","","01","영업/정상","13","영업중","","","","","0336457887","","210-120","강원특별자치도 강릉시 초당동 532-2","강원특별자치도 강릉시 난설헌로 131 (초당동)","25466","(주)경포아쿠아리움","2015-06-26 15:19:52","I","2023-06-13 00:00:00","","367950.860927223","478141.732782199","전문휴양업","","생산녹지지역","2","","","","문화시설","2","0","0","0","","","0","0","","0","0","","0","2865.86","","0","","","","","","","0","","","","2866",
"5","전문휴양업","03_07_10_P","4201000","CDFI2262102015000002","2015-09-07","","01","영업/정상","13","영업중","","","","","0336454540","","","강원특별자치도 강릉시 강동면 정동진리 569-1","강원특별자치도 강릉시 강동면 헌화로 990-1","25631","(주)타임뮤지엄","2015-09-07 09:28:29","I","2023-06-13 00:00:00","","379656.470813302","466979.457377581","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"6","전문휴양업","03_07_10_P","4201000","CDFI2262102022000001","2022-12-16","","01","영업/정상","13","영업중","","","","","033-641-9990","","","강원특별자치도 강릉시 성산면 어흘리 산 2-1","강원특별자치도 강릉시 성산면 삼포암길 133","25443","국립대관령자연휴양림","2025-09-29 08:04:05","U","2025-10-01 02:40:00","","","","전문휴양업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","3004.66","","0","","","","","","","0","","","","3005",
"7","전문휴양업","03_07_10_P","4241000","CDFI2262102023000001","2023-03-20","","01","영업/정상","13","영업중","","","","","033-574-2553","","","강원특별자치도 삼척시 원덕읍 임원리 산 1 검봉산자연휴양림","강원특별자치도 삼척시 원덕읍 임원안길 525-145, 검봉산자연휴양림","25956","국립검봉산자연휴양림","2025-10-17 13:29:29","U","2025-10-19 02:40:00","","403153.388489997","417878.355801885","전문휴양업","","관리지역","2","기타","","","숙박시설","2","0","0","0","","","0","0","","0","0","","0","1574.38","","0","","","","","","","3800000000","","","","1574",
"8","전문휴양업","03_07_10_P","4251000","CDFI2262102014000001","2014-12-10","","01","영업/정상","13","영업중","","","","","033-430-8311","","250-856","강원특별자치도 홍천군 서면 팔봉리 산 277","강원특별자치도 홍천군 서면 한치골길 541-123","25101","소노펠리체 컨트리클럽 비발디파크","2025-05-08 10:30:29","U","2025-05-10 02:40:00","","","","전문휴양업","","관리지역","2","기타","","","근린생활시설","1","1","0","0","Sonofelice Country Club","Specialized Recreation Business","0","0","","0","0","","0","1322604","","0","","","","","","","28205260800","","","","1322604",
"9","전문휴양업","03_07_10_P","4251000","CDFI2262102023000001","2023-02-07","","01","영업/정상","13","영업중","","","","","033-435-8536","","","강원특별자치도 홍천군 내면 광원리 산 197-1 삼봉자연휴양림","강원특별자치도 홍천군 내면 삼봉휴양길 276, 삼봉자연휴양림","25170","국립삼봉자연휴양림","2025-10-10 14:59:39","U","2025-10-12 02:40:00","","326851.64185603","484497.687244147","전문휴양업","","","0","","","","숙박시설","0","0","0","0","","","0","0","","0","0","","0","870.78","","0","","","","","","","0","","","","871",
"10","전문휴양업","03_07_10_P","4261000","CDFI2262102022000001","2022-05-20","","01","영업/정상","13","영업중","","","","","033-340-7700","","","강원특별자치도 횡성군 서원면 유현리 638","강원특별자치도 횡성군 서원면 경강로유현6길 28","25200","에스엘셀레스 옥스필드","2025-05-15 15:31:59","U","2025-05-17 02:40:00","","274695.541099952","446751.923957712","전문휴양업","","","0","기타","","","","0","0","0","0","","","0","0","","0","0","","0","6874.48","","0","","","","","","","0","","","","6874",
